集号	行号	疑似误识	建议术语
P09	78	机细胞	壁细胞
P09	132	烂氨酸基酶受体	酪氨酸激酶受体
P09	440	着细胞	主细胞
P09	833	集细胞	壁细胞
P09	1032	基细胞	壁细胞
P09	1033	基细胞	壁细胞
P09	1034	基细胞	壁细胞
P09	1040	基细胞	壁细胞
P09	1214	机细胞	壁细胞
P09	1215	机细胞	壁细胞
P09	1223	机细胞	壁细胞
P09	1398	伏刺激	阈刺激
P09	1398	刺激足	雌激素
P09	1551	急松剂	激动剂
P09	1664	肌肉无	肌肉素
P09	1835	鸡细胞	壁细胞
P09	1844	鸡细胞	壁细胞
P09	1857	粗基丝	促激素
P09	1858	鸡细胞	壁细胞
P09	1862	粗基丝	促激素
P09	1863	粗基丝	促激素
P09	1874	粗基丝	促激素
P09	1897	粗基丝	促激素
P09	1924	粗基丝	促激素
P09	1939	粗基丝	促激素
P09	1946	粗基丝	促激素
P09	1948	粗基丝	促激素
P09	1953	粗基丝	促激素
P09	1961	粗基丝	促激素
P09	1984	颗基细胞	颗粒细胞
P09	1984	基细胞	壁细胞
P09	2013	粗基斯	促激素
P09	2017	粗基斯	促激素
P09	2019	粗基斯	促激素
P09	2042	粗基斯	促激素
P09	2314	基细胞	壁细胞
P09	2347	基细胞	壁细胞
P09	2355	基细胞	壁细胞
P09	2366	基细胞	壁细胞
P09	2370	基细胞	壁细胞
P09	2375	基细胞	壁细胞
P09	2378	基细胞	壁细胞
P09	2475	基细胞	壁细胞
P09	2478	基细胞	壁细胞
P09	2480	基细胞	壁细胞
P09	2600	录细胞	粒细胞
P09	2729	基细胞	壁细胞
P09	2734	基细胞	壁细胞
P09	2735	基细胞	壁细胞
P09	2753	基细胞	壁细胞
P09	2759	基细胞	壁细胞
P09	2775	粗基丝	促激素
P09	2793	粗基丝	促激素
P09	2808	粗基丝	促激素
P09	2815	肌肉具	肌肉素
P09	2824	粗基丝	促激素
P09	2826	粗基丝	促激素
P09	2875	粗基丝	促激素
P09	2883	粗基丝	促激素
P09	2901	粗基丝	促激素
P09	2903	粗基丝	促激素
P09	2955	粗基丝	促激素
P09	2961	粗基丝	促激素
P09	2967	粗基丝	促激素
P09	3032	械蛋白	铁蛋白
P09	3034	械蛋白	铁蛋白
P09	3038	械蛋白	铁蛋白
P09	3057	械蛋白	铁蛋白
P09	3089	基钉蛋白	肌动蛋白
P09	3212	粗机丝	促激素
P09	3217	械蛋白	铁蛋白
P09	3259	械蛋白	铁蛋白
P09	3439	械蛋白	铁蛋白
P09	3443	械蛋白	铁蛋白
P09	3451	械蛋白	铁蛋白
P09	3551	基细胞	壁细胞
P09	3654	皮层支	皮层柱
P09	3659	来呼吸	外呼吸
P09	3696	呼气膜	呼吸膜
P09	4158	脂细胞	主细胞
P09	4159	脂细胞	主细胞
P10	137	肌结长	肌紧张
P10	315	粗鸡丝	促激素
P10	316	粗鸡丝	促激素
P10	321	粗鸡丝	促激素
P10	326	始复习	施呼吸
P10	492	肌肉具	肌肉素
P10	507	胃容积	肺容积
P10	662	肌肉毒	肌肉素
P10	788	粗鸡丝	促激素
P10	794	粗鸡丝	促激素
P10	1055	粗鸡丝	促激素
P10	1100	到血压	高血压
P10	1456	步刺激	阈刺激
P10	1479	械蛋白	铁蛋白
P10	1497	机细胞	壁细胞
P10	1553	记细胞	壁细胞
P10	1561	记细胞	壁细胞
P10	1568	记细胞	壁细胞
P10	1607	机械欧	机械阈
P10	1653	贸通道	慢通道
P10	1901	去激活	去极化
P10	1934	物传导	骨传导
P10	1954	自动解离性	自动节律性
P11	124	感觉奇怪	感觉器官
P11	246	脉凹呀	脉搏压
P11	319	部点位	阈电位
P11	471	细细胞	壁细胞
P11	473	细细胞	壁细胞
P11	481	细细胞	壁细胞
P11	635	名师名	明适应
P12	596	肺脏通	内脏痛
P12	597	冲吸收	重吸收
P12	695	子球蛋白	肌球蛋白
P12	715	比球蛋白	肌球蛋白
P12	778	着细胞	主细胞
P12	980	液化扩散	易化扩散
P12	1014	去激活	去极化
P12	1093	体化扩散	易化扩散
P13	14	组织已	组织液
P13	314	熟细胞	主细胞
P13	356	熟细胞	主细胞
P13	358	熟细胞	主细胞
P13	586	聚质细胞	巨噬细胞
P13	965	形性本	性兴奋
P13	1064	只往膜	视网膜
P13	1100	细胞摔倒	细胞衰老
P13	2311	脉呼吸	外呼吸
P13	2422	熟细胞	主细胞
P13	2474	胜肠激素	生长激素
P13	2655	死细胞	壁细胞
P13	2664	聚属细胞	巨噬细胞
P13	2664	属细胞	主细胞
P13	2665	聚属细胞	巨噬细胞
P13	2665	属细胞	主细胞
P13	2717	着细胞	主细胞
P14	18	素吸收	骨吸收
P14	68	去形成	骨形成
P14	231	物形成	骨形成
P14	699	复返归	负反馈
P14	866	版收缩	单收缩
P14	1038	激血压	低血压
P14	1169	机械堵	机械阈
P14	1279	机械物	机械阈
P14	1298	剂细胞	壁细胞
P14	1427	板收缩	单收缩
P14	1427	收缩情	收缩性
P15	176	些交通	心绞痛
P15	478	去激活	去极化
P15	482	去激活	去极化
P15	546	去激活	去极化
P15	567	去激活	去极化
P15	835	去激活	去极化
P15	1055	完呼吸	外呼吸
P15	1356	心肌梗塞	心肌梗死
P15	1646	理学呀	低血压
P15	1683	聚质细胞	巨噬细胞
P15	1683	批细胞	壁细胞
P15	1722	低血液	低血压
P15	1739	呼吸声	呼吸商
P15	1987	凝聚元	凝集原
P15	1996	凝聚元	凝集原
P15	2002	凝聚元	凝集原
P16	10	心理市场	心律失常
P16	14	心理市场	心律失常
P16	18	习细胞	壁细胞
P16	20	能电位	锋电位
P16	20	机细胞	壁细胞
P16	21	机细胞	壁细胞
P16	21	心理市场	心律失常
P16	22	心理市场	心律失常
P16	25	学习到	血细胞
P16	25	心理市场	心律失常
P16	43	新知识	心指数
P16	82	心理失常	心律失常
P16	92	心理失常	心律失常
P16	94	心理失常	心律失常
P16	304	基细胞	壁细胞
P16	306	蜜细胞	壁细胞
P16	365	收缩细	收缩期
P16	386	腺体细胞	前体细胞
P16	405	细细胞	壁细胞
P16	406	细细胞	壁细胞
P16	439	机细胞	壁细胞
P16	606	心理失常	心律失常
P16	663	心理失常	心律失常
P16	797	积细胞	壁细胞
P16	835	积细胞	壁细胞
P16	842	机细胞	壁细胞
P17	8	细细胞	壁细胞
P17	8	线体细胞	前体细胞
P17	12	自理细胞	自律细胞
P17	14	际细胞	壁细胞
P17	95	甲流通道	钾漏通道
P17	109	甲流通道	钾漏通道
P17	142	忆电位	阈电位
P17	194	集细胞	壁细胞
P17	195	机细胞	壁细胞
P17	227	机细胞	壁细胞
P17	229	机细胞	壁细胞
P17	253	速复即	壶腹嵴
P17	254	速复即	壶腹嵴
P17	256	速复即	壶腹嵴
P17	264	机细胞	壁细胞
P17	273	机细胞	壁细胞
P17	293	机细胞	壁细胞
P17	299	己细胞	壁细胞
P17	394	速附计	壶腹嵴
P17	403	速附计	壶腹嵴
P17	458	生物链	生物电
P17	462	基细胞	壁细胞
P17	471	积细胞	壁细胞
P17	472	积细胞	壁细胞
P17	476	积细胞	壁细胞
P17	780	纪细胞	壁细胞
P17	787	纪细胞	壁细胞
P17	789	基细胞	壁细胞
P17	891	速复计	壶腹嵴
P18	13	基细胞	壁细胞
P18	16	衡点位	锋电位
P18	16	衡点位	锋电位
P18	105	酸症度	酸中毒
P18	405	机细胞	壁细胞
P18	527	基细胞	壁细胞
P18	576	机细胞	壁细胞
P18	738	虚极化	去极化
P18	897	机细胞	壁细胞
P18	963	速复机	壶腹嵴
P18	969	入复机	壶腹嵴
P18	980	机细胞	壁细胞
P18	986	机细胞	壁细胞
P18	987	机细胞	壁细胞
P18	995	机细胞	壁细胞
P18	1010	纳甲梦	钠钾泵
P18	1018	机细胞	壁细胞
P18	1027	纳甲梦	钠钾泵
P18	1030	机细胞	壁细胞
P18	1034	纳甲梦	钠钾泵
P18	1034	机细胞	壁细胞
P18	1037	机细胞	壁细胞
P18	1038	机细胞	壁细胞
P18	1048	机细胞	壁细胞
P18	1055	机细胞	壁细胞
P18	1060	机细胞	壁细胞
P18	1067	机细胞	壁细胞
P18	1137	基细胞	壁细胞
P18	1238	基细胞	壁细胞
P18	1239	基细胞	壁细胞
P18	1242	基细胞	壁细胞
P18	1267	基细胞	壁细胞
P18	1296	基细胞	壁细胞
P18	1337	基细胞	壁细胞
P18	1342	基细胞	壁细胞
P18	1359	基细胞	壁细胞
P18	1368	基细胞	壁细胞
P18	1375	基细胞	壁细胞
P18	1401	去旗化	去极化
P18	1408	去旗化	去极化
P18	1594	机细胞	壁细胞
P18	1615	际细胞	壁细胞
P18	1626	积细胞	壁细胞
P18	1627	积细胞	壁细胞
P18	1698	机细胞	壁细胞
P18	1739	虚极化	去极化
P18	1748	虚极化	去极化
P18	1758	虚极化	去极化
P18	1789	糊计划	去极化
P18	1842	基细胞	壁细胞
P18	1863	气自动虚极化	期自动去极化
P18	1863	虚极化	去极化
P19	124	去点位	阈电位
P19	127	心理失常	心律失常
P19	129	心理失常	心律失常
P19	133	心理失常	心律失常
P19	173	半通道	慢通道
P19	178	伏刺激	阈刺激
P19	244	外密密	外泌体
P19	311	机细胞	壁细胞
P19	421	变压钳	电压钳
P19	848	机细胞	壁细胞
P19	860	机细胞	壁细胞
P19	884	机细胞	壁细胞
P19	894	机细胞	壁细胞
P19	1349	子分析	自分泌
P19	1433	复电位	阈电位
P19	1668	基细胞	壁细胞
P19	1670	基细胞	壁细胞
P19	1673	基细胞	壁细胞
P19	1712	步传导	骨传导
P19	1724	续传到	骨传导
P19	1761	心室数	心指数
P19	1868	基细胞	壁细胞
P19	1872	基细胞	壁细胞
P19	1889	基细胞	壁细胞
P19	1987	机细胞	壁细胞
P19	2264	心理视场	心律失常
P19	2266	心理视场	心律失常
P19	2406	机细胞	壁细胞
P19	2416	机细胞	壁细胞
P20	5	去细化	去极化
P20	5	超细化	超极化
P20	30	动作联位	动作电位
P20	34	部传导	骨传导
P20	45	动作变位	动作电位
P20	56	动作变位	动作电位
P20	61	记细胞	壁细胞
P20	119	机细胞	壁细胞
P20	629	减慢摄	腱反射
P20	655	减慢摄	腱反射
P20	969	舒张发	舒张压
P20	2489	基细胞	壁细胞
P20	2676	子分母	自分泌
P20	2776	肌肉固	肌肉素
P20	2811	异肠自身调节	异长自身调节
P20	2922	粗鸡丝	促激素
P20	2983	理传导	气传导
P21	39	基细胞	壁细胞
P21	40	基细胞	壁细胞
P21	58	基细胞	壁细胞
P21	100	触细胞	主细胞
P21	632	体紧张	肌紧张
P21	950	脾细胞	壁细胞
P21	1299	主动脉总	主动脉弓
P21	1522	甲状腺附	甲状腺素
P21	1579	质度正	失读症
P21	2735	心室书	心指数
P21	3145	子血压	低血压
P21	3352	离休克	脊休克
P21	3361	得血压	低血压
P21	3415	保证舒	饱中枢
P21	3479	比血压	低血压
P22	23	心扎术	心指数
P22	62	组织疏松	骨质疏松
P22	148	内容记	肺容积
P22	199	比血压	低血压
P22	252	神经关	神经元
P22	436	减慢摄	腱反射
P22	611	然收缩	单收缩
P22	632	脏容量	氧容量
P22	1518	呼吸同	呼吸功
P22	1519	晚呼吸	外呼吸
P23	5	时候两	视后像
P23	492	阳总量	氧容量
P23	568	素吸收	骨吸收
P23	573	凝血门	凝血酶
P23	575	凝血门	凝血酶
P24	43	感受压	感受野
P24	101	内脏供	内脏痛
P24	109	叫反射	腱反射
P24	144	期长期	低常期
P24	227	去激活	去极化
P24	237	气自动去医化	期自动去极化
P24	237	去医化	去极化
P24	256	心理失常	心律失常
P24	267	纳开交换体	钠钙交换体
P24	267	激活盖	激活态
P24	270	激活盖	激活态
P24	295	丝细胞	壁细胞
P24	392	机细胞	壁细胞
P24	399	机细胞	壁细胞
P24	443	虚极化	去极化
P24	993	缸容量	氧容量
P24	1177	到中树	饱中枢
P24	1214	节叫反射	节间反射
P24	1214	叫反射	腱反射
P24	1215	叫反射	腱反射
P24	1330	高种树	饱中枢
P24	1741	音反射	近反射
P24	1761	音反射	近反射
P24	1765	音反射	近反射
P24	1769	音反射	近反射
P24	1779	音反射	近反射
P24	2204	基态换	激肽原
P24	2254	基态缓	激肽原
P24	2308	比紧张	肌紧张
P24	2319	皮质基素	抑制激素
P24	2320	皮质基素	抑制激素
P24	2501	球膀器	球旁器
P24	2503	球膀细胞	球旁细胞
P24	2511	球膀器	球旁器
P24	2527	础细胞	主细胞
P24	2533	础细胞	主细胞
P24	2596	肾肠腺素	肾上腺素
P24	2598	肾肠腺素	肾上腺素
P24	2634	肾肠腺素	肾上腺素
P24	2654	肾肠腺素	肾上腺素
P24	2712	使用生	失用症
P24	2829	定兴奋	性兴奋
P24	3036	基细胞	壁细胞
P24	3039	基细胞	壁细胞
P24	3124	康林药剂素	抗利尿激素
P24	3224	叫器官	腱器官
P25	1265	时候胸	视后像
P26	213	力顺应性	比顺应性
P26	595	法治美	辅脂酶
P26	623	肺脏通	内脏痛
P26	1062	始呼气	施呼吸
P26	1082	学习要	血细胞
P26	1553	气道周	胰岛轴
P26	1585	道收缩	单收缩
P26	1612	道收缩	单收缩
P27	436	积量往	肌浆网
P27	474	肺泡呼小腔	肺泡无效腔
P27	524	解剖呼啸腔	解剖无效腔
P28	305	来呼吸	外呼吸
P28	521	着细胞	主细胞
P29	39	时候两	视后像
P29	1224	位溶积	肺容积
P29	1382	基细胞	壁细胞
P29	1386	基细胞	壁细胞
P29	1739	氧气曲线	氧离曲线
P29	1985	实用性	适应性
P30	96	氨基甲铅血红蛋白	氨基甲酰血红蛋白
P30	101	氨基甲铅血红蛋白	氨基甲酰血红蛋白
P30	202	学习要	血细胞
P30	238	呼吸动	呼吸功
P30	263	氨基钾鲜血红代白	氨基甲酰血红蛋白
P31	87	来呼吸	外呼吸
P31	211	始呼气	施呼吸
P31	365	虚极化	去极化
P31	407	呼吸动	呼吸功
P31	730	经适应	明适应
P31	746	经适应	明适应
P31	811	至呼吸	施呼吸
P31	892	意长期	低常期
P31	1102	学习好	血细胞
P32	23	时间长熟	时间常数
P32	29	呼吸圣	呼吸商
P32	36	基细胞	壁细胞
P32	39	机制去	抑制区
P32	74	结抗器	拮抗剂
P32	78	结抗器	拮抗剂
P32	224	方分泌	旁分泌
P32	259	生长益素	生长激素
P32	374	氧分泌	旁分泌
P32	374	氧分泌	旁分泌
P32	479	素吸收	骨吸收
P32	1110	氧分泌	旁分泌
P32	1110	氧分泌	旁分泌
P32	1182	心反射	近反射
P32	1216	心反射	近反射
P33	147	机细胞	壁细胞
P33	167	纳甲棒	钠钾泵
P33	168	纳甲棒	钠钾泵
P33	171	纳甲棒	钠钾泵
P33	302	去异化	去极化
P33	341	反收缩	单收缩
P33	495	肌动力	激动剂
P33	527	基细胞	壁细胞
P33	800	肠盖循环	肠肝循环
P33	862	阻抑制	去抑制
P33	864	阻抑制	去抑制
P33	1223	到内分泌	胞内分泌
P33	1315	相分泌	腔分泌
P33	1420	乳激素	促激素
P33	1422	乳激素	促激素
P33	1423	乳激素	促激素
P33	1440	乳激素	促激素
P33	1464	脾细胞	壁细胞
P33	1477	脾细胞	壁细胞
P33	1487	复返会	负反馈
P33	1919	数障碍	舒张期
P33	1993	液电分酶	胰淀粉酶
P33	2094	心知识	心指数
P33	2225	物形成	骨形成
P33	2225	形成湿	性成熟
P34	15	完呼吸	外呼吸
P34	61	明时节	明视觉
P34	971	呼吸胜	呼吸商
P34	1132	残后减少	餐后碱潮
P34	1169	残后减少	餐后碱潮
P34	1191	纳甲蚌	钠钾泵
P34	1340	微黛白美	胃蛋白酶
P34	1344	长期美	肠激酶
P34	1345	微黛白美	胃蛋白酶
P34	1348	微黛白美	胃蛋白酶
P34	1351	微黛白美	胃蛋白酶
P34	1356	微黛白美	胃蛋白酶
P34	1701	生长益素	生长激素
P34	1725	生长益素	生长激素
P34	1785	氧分泌	旁分泌
P34	1786	氧分泌	旁分泌
P34	1849	失常核	视上核
P34	1875	气分泌	自分泌
P34	2004	气分泌	自分泌
P34	2072	气分泌	自分泌
P34	2135	气分泌	自分泌
P34	2143	基细胞	壁细胞
P34	2165	气分泌	自分泌
P34	2167	气分泌	自分泌
P34	2169	气分泌	自分泌
P34	2194	气分泌	自分泌
P34	2204	气分泌	自分泌
P34	2227	气分泌	自分泌
P34	2242	气分泌	自分泌
P34	2301	步刺激	阈刺激
P34	2352	内激素	内皮素
P34	2436	类结合	肺结核
P34	2440	记细胞	壁细胞
P34	2758	数张日	舒张期
P34	2879	慢收缩	单收缩
P34	2897	天复合	前负荷
P34	3154	能量代谢里	能量代谢率
P35	70	心知识	心指数
P35	204	未代白酶元	胃蛋白酶原
P35	204	未代白酶	胃蛋白酶
P35	206	乙代白酶元	胰蛋白酶原
P35	207	乙代白酶元	胰蛋白酶原
P35	278	时候强	视后像
P35	367	糜带白酶	糜蛋白酶
P35	376	糜带白酶	糜蛋白酶
P35	386	糜带白酶	糜蛋白酶
P35	389	胰带白酶原	胰蛋白酶原
P35	394	胰带白酶原	胰蛋白酶原
P35	410	胰带白酶原	胰蛋白酶原
P35	419	去激活	去极化
P35	436	胰带白酶原	胰蛋白酶原
P35	436	胰带白酶原	胰蛋白酶原
P35	527	氧分泌	旁分泌
P35	528	氧分泌	旁分泌
P35	530	氧分泌	旁分泌
P35	588	复返会	负反馈
P35	624	氧分泌	旁分泌
P35	624	氧分泌	旁分泌
P35	626	氧分泌	旁分泌
P35	627	氧分泌	旁分泌
P35	849	呼吸胜	呼吸商
P35	1169	去激活	去极化
P35	1799	内部细	内呼吸
P35	1884	食物吸	施呼吸
P35	1884	物吸收	骨吸收
P35	1907	食物吸	施呼吸
P35	1907	物吸收	骨吸收
P35	2174	五吸收	骨吸收
P35	2186	组吸收	骨吸收
P35	2427	体化扩散	易化扩散
P35	2436	体化扩散	易化扩散
P36	4	完呼吸	外呼吸
P36	128	氧气曲线	氧离曲线
P36	144	氧气曲线	氧离曲线
P36	394	带呼吸	外呼吸
P36	1330	蜜激素	雌激素
P36	1705	肾脚球	肾小球
P37	75	室上课	视上核
P37	648	占地产热	战栗产热
P37	1428	全无同	醛固酮
P37	1621	站立站热	战栗产热
P38	51	呼吸声	呼吸商
P38	56	肺脏通	内脏痛
P38	57	肺脏通	内脏痛
P38	209	上五点	生物电
P38	218	基细胞	壁细胞
P38	229	基细胞	壁细胞
P38	235	着细胞	主细胞
P38	276	上五点	生物电
P38	796	乙醪素	胰岛素
P38	918	远虚小管	远曲小管
P38	932	远虚小管	远曲小管
P38	1222	剂细胞	壁细胞
P38	1223	剂细胞	壁细胞
P38	1227	剂细胞	壁细胞
P39	143	胎排屏障	胎盘屏障
P39	554	远期小管	远曲小管
P39	578	碍血压	低血压
P39	646	数蛋白	视蛋白
P39	695	白蛋白小	白蛋白尿
P39	818	皮质神代位	皮质肾单位
P39	818	神代位	肾单位
P39	819	皮质神代位	皮质肾单位
P39	819	神代位	肾单位
P39	1124	血细胞比用	血细胞比容
P39	1389	批细胞	壁细胞
P39	1474	去吸收	骨吸收
P39	1631	脾细胞	壁细胞
P39	1669	去异化	去极化
P39	1674	体化扩散	易化扩散
P39	1761	液化扩散	易化扩散
P40	9	理学呀	低血压
P40	48	理化去	易化区
P40	283	去吸收	骨吸收
P40	284	去吸收	骨吸收
P40	664	心理视场	心律失常
P40	715	许吸收	骨吸收
P40	907	去吸收	骨吸收
P40	970	实粗细	施呼吸
P41	292	抗利妙激素	抗利尿激素
P41	531	负点位	阈电位
P41	532	负点位	阈电位
P41	665	全无同	醛固酮
P41	667	全无同	醛固酮
P41	672	去吸收	骨吸收
P41	681	去吸收	骨吸收
P41	774	部吸收	骨吸收
P41	794	生负电	生物电
P41	797	生负电	生物电
P41	901	原器小管	远曲小管
P41	913	原器小管	远曲小管
P41	927	原器小管	远曲小管
P41	928	原器小管	远曲小管
P41	938	原器小管	远曲小管
P41	950	原器小管	远曲小管
P41	1164	批细胞	壁细胞
P41	1307	去吸收	骨吸收
P41	1457	密细胞	壁细胞
P41	1582	气分泌	自分泌
P42	147	去异化	去极化
P42	161	水泥尿	水利尿
P42	167	石膀河	室旁核
P42	193	脾制激素	抑制激素
P42	245	时上课	视上核
P42	616	部吸收	骨吸收
P43	1213	脾细胞	壁细胞
P43	1438	批细胞	壁细胞
P44	7	异常自身调解	异长自身调节
P44	15	异常自身调解	异长自身调节
P44	166	批制激素	抑制激素
P44	225	机细胞	壁细胞
P44	229	机细胞	壁细胞
P44	237	机细胞	壁细胞
P44	239	机细胞	壁细胞
P44	403	传老行	传导性
P44	404	传老行	传导性
P44	671	乳吸收	骨吸收
P44	736	球膀气	球旁器
P44	738	肾脚球	肾小球
P44	856	时方合	室旁核
P44	867	时方合	室旁核
P44	954	市王河	室旁核
P44	1001	易刺激	阈刺激
P44	1005	易刺激	阈刺激
P44	1015	易刺激	阈刺激
P44	1029	度强度	阈强度
P44	1261	盐激素	孕激素
P44	1264	脂肪激素	释放激素
P45	376	内生基钙	内生肌酐
P45	590	去形成	骨形成
P45	626	肾糖溢	肾糖阈
P45	826	心知识	心指数
P45	1246	胶剂渗透压	胶体渗透压
P46	64	感觉只	感觉柱
P46	112	学习好	血细胞
P46	225	觉细胞	血细胞
P46	227	觉细胞	血细胞
P46	407	机械压	机械阈
P46	441	心理市场	心律失常
P46	443	心理市场	心律失常
P46	508	觉细胞	血细胞
P46	570	部点位	阈电位
