# 源音频：P47-生理学本科教学及考研基础课 p47 感官2-视觉器官（折光）.m4a
# 时长：4966s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,这节课咱们接着往下看一看这个视觉器官。
[00:02:43] 咱们就学讲一句话了,尽管进系鞭位形成RK1通道,开不开放不是无条控,它是肺门空的。
[00:02:51] 但是膜外甲浓度变化时候,是会影响通道开放大小的。
[00:02:56] 我们就加了一句话说,膜外甲的浓度对于RK1的通道,它的开放它不参与。
[00:03:03] 开不开放自己的事儿,肺门空的。
[00:03:06] 但是开放大小,它可是能管。
[00:03:09] 七个名字说,只调解,不参与。
[00:03:12] 如果这样一个复杂的知识结构,你没有做好准备去感受,去把控,那实际上你开始学习,开始复习,你发现哪哪都是困难。
[00:03:22] 所以这两天微博上,因为很多22年考业同学开始复习了,你就发现,这一开始复习,每年的老话题,又重新来过。
[00:03:30] 甚至我看昨天晚上,这个酸奶妹。
[00:03:33] 没有干,这小侠同学在微博上还在感慨说,又看到了去年那个傻傻的自己。
[00:03:40] 人都是这样。
[00:03:41] 一年一年百岁年龄成长,百岁学习和积累啊。
[00:03:45] 它的知识结构在提升,它的心更大,它能同时把控更多的知识,而不乱套。
[00:03:52] 你妈妈妈妈这会重新学习一遍,再加上药理学,诊断学,病生学内容,继续看一下。
[00:03:59] 一个是膜外甲浓度会改变膜的甲通透性。
[00:04:03] 一细胞膜,膜的电位本身会改变膜的甲通透性。
[00:04:09] 这就是你讲的,生理学上背的,RK1内向整流。
[00:04:15] 膜电位,不调控RK1开放呼唤壁,因为它是非膜控的。
[00:04:20] 但是膜电位大小,会调控RK1的开放水平。
[00:04:24] 以至于在112大开术往下读,会发现,新式机细胞三期的复极化后半程,
[00:04:30] 它的复极化过程是正反馈的。
[00:04:33] 你体会一下。
[00:04:34] 你突然在原来一个很简单的顺序线性思考基础之上,往里边加了几个干扰项。
[00:04:41] 就变成三个因素同时参与了。
[00:04:44] 所以我们没有做好这样一个准备,我们没有这么一份心态,
[00:04:47] 老师你别搞下这么难,你给我讲讲这表格吧,你给我说考试考什么吧。
[00:04:51] 就来了,背诵。
[00:04:54] 这么难的心电生理学怎么能学下去,我在想这个事。
[00:04:58] 读了几十年书了,到现在为止一直在想,在我们这个年龄,50后的年龄,
[00:05:03] 不要说读什么内容的书,
[00:05:05] 黄色书,你还有心情读十分钟,不翻手机屏幕吗?
[00:05:11] 何况年轻了20多岁,朝气蓬勃,
[00:05:15] 正在人生这一辈子,
[00:05:16] 他的人生的经验阅历,知识的积累成变,
[00:05:21] 步入社会的这么一个殿堂,
[00:05:23] 这个十字路口上,
[00:05:25] 你的心躁得就跟西北风刮着花花响一样,
[00:05:29] 你怎么往前走?
[00:05:30] 所以一边讲课一边在感慨,
[00:05:32] 人类社会中还真是不能少一个角色,叫老师。
[00:05:36] 大概老师,
[00:05:37] 老师这个分量不够,应该叫老师,
[00:05:40] 叫牧羊人,
[00:05:42] 这个词好像听起来有点宗教的味道,
[00:05:44] 你还别说宗教,
[00:05:45] 它未必就一定是坏事,
[00:05:46] 只是看你拿来做什么,
[00:05:48] 你要拿来做一个假活佛去骗财骗色,
[00:05:51] 那是一回事,
[00:05:52] 真的能拿来让人内心有一个崇尚高尚的一个趋势或向往,
[00:05:59] 那也未必是坏事,
[00:06:01] 不管它了,
[00:06:02] 所以这一节内容,
[00:06:04] 十诀其关,咱们得说点事,
[00:06:05] 到这一节呀,
[00:06:06] 你学会把握,
[00:06:07] 把握知识结构,
[00:06:08] 圣经学每张内容其实都讲四个话题,
[00:06:11] 但是刚才说别的章节比较大,我漏不住它,
[00:06:14] 那么感觉器官内容比较少,我好漏,
[00:06:16] 就学了四个东西,
[00:06:17] 一,
[00:06:18] 上节课讲的,感受器官的四大神的特性,
[00:06:20] 二,
[00:06:21] 视觉器官,
[00:06:22] 三,听觉器官,
[00:06:23] 四,前天器官,
[00:06:25] 那么视觉器官学什么,你把这一篇读完,
[00:06:28] 你感受一下,
[00:06:28] 视觉器官就学了两个话题,
[00:06:30] 哲观
[00:06:32] 和感光,
[00:06:33] 听觉器官就学了两个话题,
[00:06:35] 传音
[00:06:36] 和感应,
[00:06:37] 所以讲到这一章内容的时候,我作为老师,我更
[00:06:40] 感兴趣的,不是知识的细节,
[00:06:43] 是通过一个结构比较简单的篇幅或章节
[00:06:47] 去看了一个更深邃的,
[00:06:48] 更广袤的
[00:06:50] 世界,你比方说
[00:06:51] 听觉器官,下一节讲
[00:06:53] 听觉耳朵,
[00:06:55] 学两个话题,
[00:06:56] 声音传导
[00:06:57] 和声音感受,那么声音在哪感受的,有个名字叫
[00:07:01] 高低式器,
[00:07:03] 螺旋器,
[00:07:05] 内耳,
[00:07:06] 窝光,
[00:07:07] 鼓弥录,
[00:07:08] 摩弥录,
[00:07:09] 前听节,
[00:07:10] 窝光,
[00:07:11] 鼓节,
[00:07:12] 前听膜,
[00:07:13] 基地膜,
[00:07:14] 内膜细胞,
[00:07:15] 外膜细胞,
[00:07:16] 这样的一个基本名字你都不熟悉,当然里边还包含着
[00:07:19] 内淋巴和外淋巴,甚至包括窝孔,
[00:07:22] 还包括什么,软圆窗膜,
[00:07:24] 圆窗膜,
[00:07:25] 鼓膜,
[00:07:27] 鼓膜张肌,
[00:07:29] 咽鼓膏,
[00:07:31] 坐飞机起飞降落的时候,起压变化很大,海拔高度变化大,包括坐高铁过隧道,
[00:07:37] 嘴里边经常说的,
[00:07:38] 叫个口香糖呀,
[00:07:39] 或者是拿起一杯水来,
[00:07:40] 不是咕咚咕咚,平时那样喝,
[00:07:42] 是往嘴里抿一小口,
[00:07:43] 发出声音的
[00:07:45] 咕咚,
[00:07:45] 吞咽动作会打开我们的咽鼓膏,
[00:07:50] 这才知道中耳和
[00:07:52] 鼻腔,口咽部这个地方
[00:07:55] 和口腔,它是贯通的,在咽喉鼻子,
[00:07:57] 那么这个地方贯通的时候,
[00:07:59] 儿童也是,儿童就是脸型,
[00:08:01] 婴儿肥婴儿肥,一个人长大之后,女大,18变,越变越漂亮,越变越好看,
[00:08:06] 人长大之后和小时候样子不一样,
[00:08:08] 为什么,因为长大以后,
[00:08:09] 下颌骨
[00:08:10] 会重新发育,
[00:08:11] 那么伴随下颌骨发育,我的咽咕咕就从儿童期的
[00:08:15] 水平位
[00:08:16] 变成一个略陡之位了,
[00:08:18] 这就是为什么儿童
[00:08:20] 更容易发生
[00:08:21] 化脑性的中耳炎,
[00:08:23] 甚至
[00:08:24] 骨膜穿孔,
[00:08:25] 儿童的咽咕咕比较水平,
[00:08:27] 一旦中耳内部有感染,它的脑性分泌物
[00:08:30] 排不出来,
[00:08:31] 那么成年之后,我的下颌骨发育,把咽咕咕拉的往下垂了,
[00:08:36] 这样有点分泌物容易排出来,
[00:08:39] 嗯,
[00:08:40] 这就包括了吞咽动作,
[00:08:42] 是吧,喝水啊,叫口香糖啊,这些动作,
[00:08:45] 会不断打开咽咕咕口,
[00:08:47] 让这个口腔和中耳
[00:08:49] 保持一个压力平衡,
[00:08:50] 那么如果中耳和外极压力平衡,
[00:08:52] 中耳的外面
[00:08:53] 是通过骨膜和外耳去
[00:08:55] 封接的,
[00:08:56] 那么骨膜两侧压力就相等,
[00:08:59] 否则的话,你坐在那地方啊,
[00:09:01] 压力变化太大,
[00:09:02] 长时间咽咕咕鼻塞不通,慢性咽咽,
[00:09:05] 中耳内部的气体不断被吸收,
[00:09:07] 中耳内部压力就下降,
[00:09:09] 那么中耳外面骨膜对的是大气,
[00:09:11] 通过外耳道就连着大气是大气啊,
[00:09:14] 中耳里边气体吸收后压力就下降,
[00:09:16] 这样一个压力差值,
[00:09:17] 大气推着骨膜就内陷了,
[00:09:20] 所以什么感觉都有时候说,
[00:09:21] 正好放假期间坐车,坐个大巴车,
[00:09:23] 回到家过春节,
[00:09:25] 坐了三四个小时,下了以后耳朵听东西,
[00:09:27] 嗡嗡嗡嗡听不真,
[00:09:29] 这个时候捏住鼻子,
[00:09:30] 轻轻的鼓一下气,嗯,一吹,
[00:09:33] 觉得耳朵呜,响一声,
[00:09:35] 把骨膜吹出来,
[00:09:37] 就不内陷了,
[00:09:38] 这种生活中的不舒服的感受,
[00:09:41] 几乎人人都一样,
[00:09:42] 咱们能不能说人人都是满心奄奄,这个话好像有点
[00:09:46] 一棍子打死一车人,
[00:09:49] 一高子
[00:09:50] 打翻一船人,这种邪义,但是实际上满心奄奄,
[00:09:54] 无处不在,
[00:09:55] 直到去到消化内科发现,
[00:09:57] 为时光泛流,
[00:09:58] 是几乎都得有满心奄奄这种不舒服感受的,
[00:10:02] 我梦到以为是耳朵,
[00:10:03] 不是耳朵,以为是嗓子有问题,满心奄奄,
[00:10:06] 时间久了发现吃点阿玛拉作效果挺好的,
[00:10:08] 为什么?
[00:10:09] 为时光泛流,开个玩笑说,
[00:10:11] 让你不减肥,
[00:10:12] 腹内压高,
[00:10:13] 这个样子,
[00:10:14] 所以你越学这个知识之间,管通度越高,
[00:10:18] 刚才讲了一个什么?
[00:10:19] 你要学习听觉,
[00:10:21] 声音的感受,
[00:10:22] 你需要掌握的基本知识,
[00:10:24] 为什么最近一直有个强烈想法,
[00:10:27] 那天在微博上的同学们,春节期间不忙的话,
[00:10:30] 我拿着我
[00:10:31] 五七八点
[00:10:32] 时间,这个晚上
[00:10:34] 给同同讲一讲整段学的名词解释,
[00:10:37] 其实春节
[00:10:38] 最后还想看看,在中月十五前,
[00:10:40] 后来要不忙的话,
[00:10:41] 咱们再开个生理学的名字解释,
[00:10:43] 内科学的名字解释,外科学的名字解释,
[00:10:46] 把每个学科呀,从概念角度入手,
[00:10:49] 你学会点什么再说,
[00:10:51] 就还那句老话,
[00:10:52] 总得有点东西拿得出手吧,
[00:10:55] 这么个小意思,不管它了,
[00:10:57] 刚才讲了一个,你要学会听觉,
[00:11:00] 你得具备的基本素养,
[00:11:02] 这个听觉器官,
[00:11:04] 有感应还有传应,
[00:11:06] 声波从外耳道怎么进内耳,
[00:11:08] 才发现,哦,
[00:11:09] 有气传导,
[00:11:10] 有骨传导,
[00:11:13] 再往下读书或听课才发现,
[00:11:15] 从外耳到内耳这个过程,外耳中耳和内耳,中间有骨膜,来个床膜,
[00:11:20] 听鼓,听小鼓,听鼓链,
[00:11:22] 吹鼓针鼓和瞪鼓,才发现,
[00:11:24] 实际上从传导途径,
[00:11:26] 不仅仅是传一下一个管道,
[00:11:28] 不是,
[00:11:29] 还有所谓的中耳
[00:11:30] 增压效应,
[00:11:33] 我就琢磨着,老实说,我讲后世,外耳道往里边,往内耳传的时候,
[00:11:37] 不但要传,途径,还有增压,这不增行不行,
[00:11:40] 所以你发现这个穴心怎么样领悟,哦,
[00:11:43] 就这么一个啊哈猛字这么来的,
[00:11:45] 不增压行不行,
[00:11:47] 大叔翻一下发现,不增压不行,
[00:11:49] 声音在外面,在空气中的时候,空气传播,空气的阻力很小,
[00:11:53] 随便传呗,
[00:11:55] 但是一旦它到了中耳,通过听鼓链,软约传导到内耳以后,
[00:12:00] 就到外灵芭去了,
[00:12:01] 外灵芭内灵芭之间还有交互,
[00:12:03] 那么声波在水里边传播,水溶液,内灵芭外灵芭,
[00:12:07] 水溶液里边传播,
[00:12:09] 和在空气中传播,那个阻力完全不一样,
[00:12:11] 脚踩给数据了,
[00:12:13] 你要不动它的话,
[00:12:15] 声音传到内耳,在水的灵芭液的阻力情况下,
[00:12:18] 大概它的强度都达不到正常的1%,
[00:12:21] 你什么都听不着屁都听不着,
[00:12:23] 听不着屁,
[00:12:24] 听着也不好,
[00:12:25] 没味儿,
[00:12:27] 我瞎说它,
[00:12:29] 那么这时候在读书上说,经过中耳增压效应之后,
[00:12:32] 能让声腔恢复到正常声腔的
[00:12:35] 略微一半,差不太多,
[00:12:37] 40%到50%的样子,
[00:12:40] 换句话说,
[00:12:41] 没有中耳的增压效应,
[00:12:43] 谁都是聋子,
[00:12:46] 所以为什么一直感受说,
[00:12:48] 明察秋毫,不是态度是能力,
[00:12:51] 到底你走心了,你这是琢磨,
[00:12:53] 他刚想到说中耳增压,这不增压我行不行,
[00:12:56] 结果你给被诉穿过去了,
[00:12:58] 你这会翻开书看看,谁一会听见了给我打个弹幕上,
[00:13:01] 不增压不行,不增压屁也听不见,
[00:13:03] 就写原话得了,写弹幕上,
[00:13:05] 这回几股增压没有,
[00:13:07] 中耳不但是一个声音的传播途径,
[00:13:09] 还有主要的增压效应,
[00:13:11] 一个是软约创模
[00:13:13] 和固模的面积比,
[00:13:15] 大概17比1的样子,
[00:13:16] 一个是听鼓链,长短臂,
[00:13:19] 撬棍,撬杆,
[00:13:21] 给汽车换个轮胎,换个车轱轱,
[00:13:23] 去千斤里,油压千里把它压起来,
[00:13:25] 面积比和长度比,
[00:13:26] 长度比打个1.3比1,
[00:13:28] 所以长度比加上面积比,
[00:13:30] 搁一起,
[00:13:31] 经过中耳的传递以后,
[00:13:32] 声枪大概能加
[00:13:34] 20倍多一点,
[00:13:36] 你说22.8倍,22.7倍,
[00:13:37] 20几倍,我说的20倍吧,
[00:13:40] 所以这里边咱们定性不定量,
[00:13:41] 老师你讲错了,22.8倍,你说22.6倍,
[00:13:44] 我打死你,信不信?
[00:13:47] 我们这关心的是不增压不行,
[00:13:49] 增多少咱们再说呗,
[00:13:51] 大概增个20来倍,
[00:13:52] 为什么能增压?
[00:13:53] 一个是
[00:13:54] 大眉睫毛小眉睫走,
[00:13:56] 一个是长臂,
[00:13:57] 短臂走,
[00:13:58] 这要总结一下,听觉学什么?
[00:14:00] 听觉学两块,
[00:14:01] 传音和感应,
[00:14:03] 视觉学什么?
[00:14:05] 遮光和感光,
[00:14:07] 虽有时候
[00:14:08] 老百姓讲出来还在啊,娃是个好娃,没眼色,
[00:14:11] 夜里没火,
[00:14:13] 师傅在那做手术,旁边钳子都掉了,你不让他脚往边踢一下,他一家踩钳子上滑倒了,
[00:14:19] 把病人肚脐上拉了个口,怎么办?
[00:14:21] 夜里没火,
[00:14:22] 所以小孩琴,
[00:14:24] 爱死人,
[00:14:25] 这个琴
[00:14:26] 在歇点时候,家里边也没啥火,放牛呀,喂猪呀,也没这小活儿干,
[00:14:31] 妈妈在这搭设卫生,能不能帮妈妈端杯热水呀,
[00:14:35] 帮妈妈擦擦汗呀,
[00:14:36] 你看妈妈就心心就哼哼的,
[00:14:38] So warmly,
[00:14:40] 就很暖,一看妈妈改活的腰杀腿棍,自动就说,开了手机,
[00:14:45] 背锁背锁,三个大,
[00:14:48] 那是青蛙,何止是你亲妈,
[00:14:53] 给别人帮你踹一下去了,老实讲,就不能越戴耳筒,
[00:14:58] 巨婴,
[00:15:00] Huge baby,
[00:15:02] Big baby,
[00:15:07] 为啥不走心,
[00:15:08] 就没心可走,
[00:15:11] 走别人的心,让别人没心可走去吧,
[00:15:15] 我这讲了个什么东西,
[00:15:17] 生物,
[00:15:18] 增强,增大的,
[00:15:19] 生理学意义,
[00:15:22] 第二个,
[00:15:22] 到底这一篇内文怎么学下来的,
[00:15:24] 你谁也没管听觉器官学会,每个人都听觉学两个东西,
[00:15:28] 传言和感应,
[00:15:29] 传言学两个话题,
[00:15:30] 传导途径,
[00:15:32] 传导特征,
[00:15:33] 特征是什么,生强增大,
[00:15:35] 正复兼效,
[00:15:36] 途径是什么,
[00:15:37] 气传导和骨传导,
[00:15:38] 气传导还有主要途径
[00:15:40] 和次要途径之分,
[00:15:42] 差在哪里,
[00:15:43] 差在听骨量,
[00:15:44] 你再往下读,
[00:15:45] 经过听骨料传导内容的时候,
[00:15:48] 故事气体正当,
[00:15:51] 传导内容的时候,
[00:15:52] 是原创模,
[00:15:54] 那么原创模在窝寡的下方,
[00:15:57] 骨节,
[00:15:57] 软原创模在窝寡的上方,
[00:15:59] 前庭节,
[00:16:00] 前庭节,窝寡,骨节,
[00:16:02] 你打开教材读,看是不是
[00:16:04] 定序的密,
[00:16:05] 一会咱们再说,
[00:16:06] 我收回来,
[00:16:07] 那么这样的话,听觉就明确了,
[00:16:09] 学两块,视觉一样两块,
[00:16:10] 两块,
[00:16:11] 浙光和感光,刚才说小孩亲爱死人,
[00:16:14] 浙光,先往下读,
[00:16:15] 解开一球总论,
[00:16:17] 眼是人体最重要的一个感觉,
[00:16:19] 感觉器官,
[00:16:20] 所以按照教材一般认识学说,
[00:16:22] 大概这一辈子,我们在现代社会中
[00:16:25] 获取的信息量很大,一会新冠疫情,一会美国总统滚蛋,
[00:16:29] 一会川杰国同学中国卧底,各种信息,
[00:16:33] 这些信息95%以上是来自于视觉的,
[00:16:36] 来自于视觉,
[00:16:38] 所以到这个地方讲到感官,上一节好讲点废话,这还得讲一下,
[00:16:42] 你不难想象,
[00:16:43] 一个人把这本书变成视敏度给你听,
[00:16:46] 你去看视频听课,
[00:16:48] 你自己静下来,
[00:16:50] 闭着眼把这本书回忆一遍,
[00:16:52] 或别人不用视频,你闭着眼在那靠着别人,搬个小马扎,
[00:16:55] 坐你这小沙发边上,让你妈妈读浪读。
[00:16:58] 同学们好,
[00:16:59] 我们现在学习感觉器官,
[00:17:02] 第一节,视觉器官,
[00:17:04] 一,眼球的生理功能,
[00:17:06] 类似于这样,
[00:17:07] 纯粹通过听觉传入的,
[00:17:09] 视觉的图片性是传入的,
[00:17:11] 视觉的文字性是传入的,
[00:17:13] 视觉各种亮相我狗眼的,
[00:17:15] 包括什么比基尼,
[00:17:17] 很艳丽的画面,传给我的,
[00:17:19] 两者在我的批层
[00:17:21] 和心灵深处
[00:17:22] 反应都完全不一样。
[00:17:24] 读书
[00:17:25] 是一种美德,
[00:17:26] 是值得捧一本书坐那读。
[00:17:29] 老师,我听别人跟我讲语音不行啊。
[00:17:31] 你还别说,
[00:17:32] 你要不是学医,我就不跟你讲经了。
[00:17:35] 你是学医的人,当然不一样。
[00:17:37] 那怎么能一样,你打开视觉批层,
[00:17:39] 打开档的批层高级过程都一样不?
[00:17:41] 那就不可能。
[00:17:42] 你通过听东西,听一本书,
[00:17:45] 你是去聂山野恒会上房去了,什么博罗卡去了,
[00:17:48] 你去看一本书,去整理书,
[00:17:50] 你怎么一样了?
[00:17:51] 那能一样不?
[00:17:53] 不一样。
[00:17:54] 批层位置都不一样。
[00:17:56] 对了,你也非这样,港界的话就能说
[00:17:58] 你不太适合学医,那我能跟你说什么呀?
[00:18:01] 笼子和瞎子能一样吗?
[00:18:02] 嗯,不管它了。
[00:18:04] 那么现代社会咱们一般认为,实际上咱们获取的信息
[00:18:07] 都不止95,
[00:18:09] 有人认为是99以上信息来自于视觉。
[00:18:11] 这个意义上讲一句话说,
[00:18:13] 在这个意义上看起来,
[00:18:14] 现代社会
[00:18:16] 瞎子比笼子
[00:18:18] 更可怜一点。
[00:18:20] 这是我们做生存
[00:18:22] 心理学的一个很纠结的话题,
[00:18:24] 因为人类呀
[00:18:26] 和动物比起来多了一个东西,
[00:18:28] 叫抽象的语言。
[00:18:30] 所以我讲个喜欢说句话,
[00:18:31] 你要在桌子上给猴子扔根香蕉,
[00:18:34] 猴子也会抱着皮吃,
[00:18:36] 你这不打他,他拿起来吃了。
[00:18:38] 人要是你从教室外面上了个厕所,回来桌子上,你这刚才读这本书是吧,
[00:18:42] 手机还在那扔着,上个厕所,哥们帮我看,
[00:18:45] 看看书,马上回来。
[00:18:47] 回来一看,我的书本上
[00:18:49] 有一根香蕉,
[00:18:51] 进口蕉,
[00:18:52] 一看,
[00:18:53] 就很好吃的样子。
[00:18:54] 你吃不?
[00:18:56] 猴子一看,就去吃了。
[00:18:57] 谁给我搁这儿的?
[00:18:59] 这不是
[00:19:01] 2月14号没买桩玫瑰,
[00:19:03] 买这根香蕉给我的吧?
[00:19:06] 这不是妈妈知道我读书考研太辛苦,
[00:19:09] 半夜打飞笔过来送根香蕉,就走了吧?
[00:19:11] 要不这香蕉是天下掉下来的吗?
[00:19:14] 所以我讲和你一路说,同学们,
[00:19:15] 从厕所回来放在书本上的那根香蕉,
[00:19:19] 在你的事业中,
[00:19:20] 你除了想不起来它是能吃以外,
[00:19:22] 你什么都能想出来。
[00:19:24] 它没给我下毒吧?
[00:19:26] 有没有放点
[00:19:27] 琥珀胆解,给我来个激松剂,把我扛走呀?
[00:19:31] 这家伙里面有没有放点绿氨酮,风力麻醉?
[00:19:36] 麻蛊,
[00:19:36] 它们是叫冰毒呀。
[00:19:39] 有没有放点
[00:19:41] 亚硝酸引?
[00:19:43] 让我变得蓝花花的呀?
[00:19:45] 弄点牙加兰,让我变得绿花花的呀?
[00:19:48] 在我们的眼中,这根香蕉除了不是香蕉,
[00:19:51] 它什么都是,而在猴子眼中,这根香蕉只能是一个banana。
[00:19:57] 为什么猴子就不精神病,人就精神病了?我们总是读的太少,
[00:20:01] 想的还太多。你告诉我这不叫心理学,这叫啥?
[00:20:06] 什么叫惊喜?
[00:20:10] 所以人只能活在第二世界中,
[00:20:12] 第二信号系统。
[00:20:15] 语言,文字,
[00:20:17] 图像,
[00:20:19] 想象,
[00:20:20] 画面等等之中,
[00:20:22] 画面冲击
[00:20:23] 才是我们唯一追求的目标,
[00:20:25] 而不是那个饼子。
[00:20:27] 我们不在乎那个饼子好不好吃,
[00:20:29] 我们在乎那个饼子好不好吃,
[00:20:29] 我们在乎他眼里有没有我,有没有在大雪纷飞的季节里出去买个饼子回来给我吃。
[00:20:35] 那跟我买的饼子完全不一样,
[00:20:38] 我就看他有着心没有。
[00:20:41] 不是吗?
[00:20:42] 我们要有个说法。
[00:20:45] 我在想我们学
[00:20:47] 感觉器官的目的,就是为了研究一下野球上有没有光电反应,身体结系我能不能常动自来位吗?
[00:20:54] 我们把自己当什么了?
[00:20:56] 我们把自己下降为动物了。
[00:20:59] 人比动物的唯一高明之处
[00:21:01] 是人有
[00:21:02] 抽象语言。
[00:21:05] 不用给我拿根香蕉,你给我说个banana,我也知道那个味道。
[00:21:11] 抽象的语言。
[00:21:14] 我至少我个人不敢保证动物就没有抽象语言。
[00:21:19] 但是我能保证的是人是有抽象语言的。
[00:21:22] 所以这个语言为什么刚才讲说是
[00:21:25] 虾子比龙子更可怜,虾子显然获取
[00:21:29] 买来信息的机会更低。
[00:21:32] 但是龙子
[00:21:34] 和虾子也有一个麻烦。
[00:21:37] 龙子
[00:21:38] 能看见
[00:21:39] 听不见
[00:21:42] 他的语言怎么升华为抽象的。
[00:21:46] 虾子只能是抽象,虾子看不见。
[00:21:49] 说虾子也能摸象老师,
[00:21:51] 摸着象尾巴以为大象长到下个儿舌,你欺负我没动过出动英语是吧。
[00:21:59] 虾子摸象谁不是虾子。
[00:22:01] 这一辈子包括我自己在那,谁不是在摸象。
[00:22:04] 我以为生理学就是生理学吗?
[00:22:07] 可能我的眼中生理学比你眼中那本生理学稍微厚一点点,
[00:22:10] 也没厚多少。
[00:22:12] 就这都已经当老师了。
[00:22:14] 所以突然这么感慨的话,就是我们作为一个知识分子,或者未来的知识分子,
[00:22:19] 我们是不是能够像知识分子那样静下来思考一点问题,
[00:22:23] 而不是人云亦云,
[00:22:24] 而不是叽叽喳喳,
[00:22:26] 而不是喳喳呼呼一惊一乍。
[00:22:28] 心中一静,
[00:22:29] 心中一动,
[00:22:31] 心中一成果,
[00:22:33] 心中一正,
[00:22:34] 心中一惊,
[00:22:36] 心中一乍。
[00:22:37] 所以一个就是一边录课一边在想,我想感官,我再给我的学生讲少了。
[00:22:42] 先不管他了,
[00:22:43] 就当我感官了。
[00:22:44] 开了一下。
[00:22:46] 那么也得适应刺激。
[00:22:47] 刚刚沈一杰讲,我讲出四大生命特性。
[00:22:50] 适应刺激肯定是可变光的。
[00:22:52] 可变光实际上就是一电磁波,
[00:22:54] 波长从370到740纳米。
[00:22:57] 你要在这走心的话,你读一下后面讲的颜色局。
[00:23:01] 说就算这么一个
[00:23:02] 间隔的宽度只有370的,两倍是740。
[00:23:06] 正好370纳米这个宽度内部
[00:23:09] 人眼能够分辨的颜色
[00:23:11] 就多达150多度。
[00:23:14] 两个纳米的话,
[00:23:16] 150就300了。
[00:23:18] 所以差不多你看到了没有。
[00:23:19] 人眼能够在波长,比如说370
[00:23:22] 到371之间
[00:23:24] 区分出颜色的不同。
[00:23:26] 这还是颜色。
[00:23:27] 有灰度值多达1000多。
[00:23:29] 所以世界上有时候达不到一个纳米的
[00:23:32] 细节。
[00:23:33] 人眼都是可以分辨出来的。
[00:23:35] 人眼的分辨能力是相当强的。
[00:23:38] 相当相当强。
[00:23:39] 这儿画了一个眼球的
[00:23:42] 简单示意图。
[00:23:43] 前面有角膜,是吧。
[00:23:45] 角膜外面肯定有点紧。
[00:23:46] 这角膜外面有一层泪液。
[00:23:48] 它起一个润滑作用。
[00:23:50] 那么这里边还有前发后发,重要的是瞳孔。
[00:23:53] 精状体。
[00:23:54] 玻璃体。所以好多人天生呀
[00:23:56] 玻璃体里有一点点混浊的
[00:23:59] 这个续广的一些物质。
[00:24:01] 就是精状体,玻璃体
[00:24:02] 不是完全清澈透明。
[00:24:05] 它像胶洞一样,像咱们吃的那个葡萄菠萝皮那个样子。
[00:24:08] 它里边有一些小杂质。
[00:24:10] 这样的话在生活中表现也不尽一切。
[00:24:12] 也前面还有一个什么续广物飞来飞去的。
[00:24:14] 叫飞银针。
[00:24:16] 飞银针就是玻璃体里边有一个小杂质。
[00:24:19] 这个小杂质没有任何危害,只是出生了以后
