行号	误识	纠正为	置信度	原句
1293	超几化	超极化	high	低钾就超几化,
1339	去几化	去极化	high	内向电流会让摩去几化,
1353	去几化	去极化	high	那么内向电流让摩去几化,
1354	超几化	超极化	high	外向电流让摩超几化,
1365	超级化	超极化	high	电位就会稍微有点超级化,
1367	去几化	去极化	high	就稍微有点去几化,
1377	心脚痛	心绞痛	high	心脚痛了,
1384	心脚痛	心绞痛	high	一旦一个心脚痛到患者心肌缺血,
1386	超级化	超极化	high	第一个咱们看钠钾泵会让我轻微的超级化,
1388	心脚痛	心绞痛	high	心脚痛了,
1405	去几化	去极化	high	高甲让膜去几化,
1408	去几化	去极化	high	让膜去几化,
1410	心脚痛	心绞痛	high	心脚痛的患者,
1411	心脚痛	心绞痛	high	心脚痛的时候,
1412	去几化	去极化	high	缺血的心肌细胞是处于去几化状态,
1419	去几化	去极化	high	这个骨骼基细胞去几化,
1420	超几化	超极化	high	超几化,
1423	去几化	去极化	high	心脏去几化,
1424	超几化	超极化	high	超几化,
1433	去几化	去极化	high	缺血的心脏细胞是要发生去几化的,
1441	钠甲泵	钠钾泵	high	以及钠甲泵的活动水平,
1442	钠甲泵	钠钾泵	high	钠甲泵咱们学的这整整一节课进气裂胃结束了,
1450	钠甲泵	钠钾泵	high	离子学说里边并没有包含钠甲泵,
1455	钠甲泵	钠钾泵	high	进气裂胃产生过程中钠甲泵起作用了没有,
1461	钠甲泵	钠钾泵	high	钠甲泵没有参与,
1462	钠甲泵	钠钾泵	high	但是钠甲泵的活动会改变你的进气裂胃,
1465	钠甲泵	钠钾泵	high	钠甲泵只调解而不参与进气裂胃的,
1466	钠甲泵	钠钾泵	high	钠甲泵只调解不参与这个样子的,
1474	钠甲泵	钠钾泵	high	以及钠甲泵的一个辅助作用,
1513	趋激化	去极化	high	那么膜裂胃先发生趋激化,
1514	复激化	复极化	high	再发生复激化的这么一个连续变化过程,
1516	趋激化	去极化	high	咱们专门强调趋激化,
1517	复激化	复极化	high	复激化,
1518	复激化	复极化	high	复激化就是一个过程,
1519	趋激化	去极化	high	趋激化即使状态也是过程,
1526	趋激化	去极化	high	膜裂胃先发生一个快速趋激化,
1527	复激化	复极化	high	但复激化的后半段速度就慢了,
1600	风电位	锋电位	high	风电位,
1605	趋激化	去极化	high	它会快速的一个趋激化,
1606	复激化	复极化	high	复激化,
1607	风电位	锋电位	high	有风电位表达,
1609	摸电位	膜电位	high	摸电位一个缓慢变化,
1615	风电位	锋电位	high	一定是产生了一个风电位出来,
1697	风点位	锋电位	high	叫风点位,
1706	风点位	锋电位	high	风点位,
1710	风点位	锋电位	high	有风点位就是了,
1758	复机化	复极化	high	到复机化结束,
1817	全货物	全或无	high	这就叫全货物,
1832	全货物	全或无	high	就是全货物,
1861	动作变微	动作电位	medium	细胞动作变微了,
1863	风电位	锋电位	high	在风电位之内,
1865	动作变微	动作电位	medium	细胞都不会动作变微,
1868	动作变微	动作电位	medium	细胞产生一次动作变微以后,
1869	风电位	锋电位	high	一定要在风电位之外再给刺激,
1940	趋激化	去极化	high	膜越来越趋激化,
1942	反激化	反极化	high	膜反激化了,
1943	反激化	反极化	high	反激化情况下,
1945	反激化	反极化	high	那的内流一定是在反激化那头被挡住的,
1951	反激化	反极化	high	即是反激化的,
1953	反激化	反极化	high	平衡电位就是反激化的,
1987	续计划	去极化	medium	那你的续计划假外流复计划过,
1987	复计划	复极化	high	那你的续计划假外流复计划过,
2011	假漏通道	钾漏通道	high	还有假漏通道,
2137	摸电位	膜电位	high	摸电位如果负95就挡住假了,
2195	区计化	去极化	high	引起区计化的内向电流,
2204	去计化	去极化	high	让膜去计化,
2206	负计化	复极化	high	让膜负计化,
2207	超计化	超极化	high	或超计化,
2212	去计化	去极化	high	还打上了一个去计化,
2213	超计化	超极化	high	和超计化的烙印,
2216	去计化	去极化	high	又把去计化,
2217	预点位	阈电位	high	更接近膜的预点位,
2220	去计化	去极化	high	说膜去计化的时候,
2222	超计化	超极化	high	超计化的时候,
2225	去计化	去极化	high	去计化兴奋,
2226	超计化	超极化	high	超计化抑制,
2227	去计化	去极化	high	去计化兴奋,
2228	超计化	超极化	high	超计化抑制,
2233	视感细胞	视杆细胞	high	视感细胞接触光线照射,
2234	超计化	超极化	high	是超计化兴奋的,
2287	异化扩散	易化扩散	high	第一节学的通道异化扩散,
2293	电压前	电压钳	high	是利用电压前置技术,
2476	动作点微	动作电位	high	膜就不产生动作点微了,
2523	虚极化	去极化	medium	既然那内流虚极化的,
2538	虚极化	去极化	medium	虚极化是拿内流实现的,
2542	虚极化	去极化	medium	那就不内流就没虚极化,
2546	虚极化	去极化	medium	实验室中膜的虚极化,
2557	膜点位	膜电位	high	是改变膜点位的,
2579	膜点位	膜电位	high	你想要膜点位多少就多少,
2616	区计划	去极化	high	区计划,
2617	负计划	复极化	high	负计划,
2660	虚极化	去极化	medium	那内流虚极化,
2661	负极化	复极化	high	假微流负极化,
2682	点牙钳	电压钳	high	我用点牙钳,
2714	去计划	去极化	high	去计划一次,
2716	去计划	去极化	high	再去计划一次,
2718	去计划	去极化	high	再去计划,
2760	摩电位	膜电位	high	有人在摩电位置,
2773	摩电位	膜电位	high	把摩电位从附六十变,
2915	动作点位	动作电位	high	跑太阳水动作点位,
2919	去激化	去极化	high	哪块是你流去激化,
2920	去激化	去极化	high	等去激化结束差不多,
2922	负激化	复极化	high	那么甲就开始外流负激化,
2926	动作点位	动作电位	high	动作点位是,
2927	封点位	锋电位	high	封点位和后点位,
2929	封点位	锋电位	high	那么封点位后点位什么情况,
2941	趋激化	去极化	high	再看趋激化,
2942	动作点位	动作电位	high	动作点位,
2948	复激化	复极化	high	复激化也很短,
2956	趋激化	去极化	high	如果说不到一个毫秒就趋激化了,
2957	复激化	复极化	high	那么不到一个毫秒也复激化了,
2958	动作点位	动作电位	high	动作点位的趋激化,
2958	趋激化	去极化	high	动作点位的趋激化,
2959	复激化	复极化	high	复激化速度是相当快的,
2964	封点位	锋电位	high	所以我们把这一段叫封点位,
3045	取机化	去极化	high	你怎么知道取机化是,
3050	取机化	去极化	high	取机化是不是那内流的,
3057	动作点位	动作电位	high	为什么说动作点位这一块,
3058	动作点位	动作电位	high	动作点位这一块,
3065	取机化	去极化	high	就没取机化,
3066	复机化	复极化	high	加什么还复机化,
3069	取机化	去极化	high	膜取机化,
3168	静息点位	静息电位	high	变成静息点位,
3170	静息点位	静息电位	high	变回静息点位,
3187	膜点位	膜电位	high	在膜点位复极化的时候,
3193	动作点位	动作电位	high	动作点位在风电位里边,
3193	风电位	锋电位	high	动作点位在风电位里边,
3194	风电位	锋电位	high	风电位没有结束的时候,
3196	动作点位	动作电位	high	也不能产生第二次动作点位,
3197	动作点位	动作电位	high	所以咱们动作点位,
3200	风电位	锋电位	high	因为在风电位时间内部,
3202	风电位	锋电位	high	过了风电位之后,
3204	风电位	锋电位	high	风电位之后,
3223	动作点位	动作电位	high	动作点位这个地方,
