# 源音频：P12-生理学本科教学及考研基础课 p12 血液生理第一节2-血液的理化特性.m4a
# 时长：2078s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好,同学们,咱们上节课谈了一下血液这章的第一节,有关血液的构成和理化特性。
[00:07:23] 在这如果你听到的话,
[00:07:24] 你打到弹幕上体会一下,
[00:07:26] 我们的血浆pH正常7.40,
[00:07:28] 7.40是个什么东西?
[00:07:29] 7.40就是比值,
[00:07:31] 20比1,
[00:07:32] 注意,
[00:07:34] 是比值20比1,
[00:07:35] 是数字,
[00:07:36] 数学概念,
[00:07:37] 可不是说血液中有20个碳酸氢根,
[00:07:41] 有一个碳酸或者一个二氧化碳,
[00:07:44] 不是,
[00:07:45] 这个碳酸氢根比碳酸本身你可以理解为,
[00:07:48] 是碳酸氢根比二氧化碳的意思,
[00:07:50] 那么我们血浆中碳酸氢根是多少?
[00:07:52] 是平均24个,
[00:07:54] 24,
[00:07:55] 24,
[00:07:57] 毫无而没生,
[00:07:59] 这样的话二氧化碳,
[00:08:00] 实际上是1.2,
[00:08:02] 比值,
[00:08:03] 20比1,
[00:08:04] 设想一下,
[00:08:05] 假如碳酸氢根不再是24,
[00:08:07] 不再是24,
[00:08:08] 变成48了,
[00:08:10] 二氧化碳也不是1.2变成2.4了,
[00:08:12] 那么比值还是20比1,
[00:08:13] 对不对?
[00:08:14] 数学上,
[00:08:15] 所以这个时候pH值就还是7.40,
[00:08:18] 你发现了吗?
[00:08:19] pH值7.40只能反映我体内酸和碳,
[00:08:25] 比值是正常的,
[00:08:26] 20比1,
[00:08:27] 40比2,
[00:08:28] 80比4,
[00:08:29] 160比8,
[00:08:30] 这个意思,
[00:08:31] 但不能表明,
[00:08:32] 或者没法反映体内酸和碳的含量是否得到,
[00:08:37] 换句话说,
[00:08:38] 如果肺脏和肾脏两个小器官狼狈为奸,
[00:08:42] 互相勾结起来骗我,
[00:08:44] 我还真不知道,
[00:08:45] 我觉得pH值特别美,
[00:08:47] 可是,
[00:08:48] 能追逐蛤蟆快乐的死去,
[00:08:51] 怎么死?
[00:08:52] 幸福死的,
[00:08:53] 被骗了,
[00:08:54] 所以将来到了临床学科,
[00:08:55] 到病生,
[00:08:56] 到诊断学,
[00:08:56] 还要关注一下,
[00:08:57] 不但我要关注pH值大小是不是7.4,
[00:09:00] 我还得关注碳酸氢根的含量,
[00:09:02] 还是不是7.4,
[00:09:03] 就是22到26个,
[00:09:05] 平均24个毫毛尾生,
[00:09:07] 所以到诊断学上要规定,
[00:09:09] 临床学也规定,
[00:09:10] 只要我们抽血化验一下,
[00:09:12] 血称化,
[00:09:12] 检查一下,
[00:09:13] 碳酸氢根的含量,
[00:09:15] 小于20,
[00:09:16] 就叫带酸,
[00:09:18] 大于28,
[00:09:19] 就叫带基,
[00:09:20] 所以通过这样一些细节学习,
[00:09:22] 越来我们观察事物的精细程度就越高,
[00:09:25] 明察秋毫,
[00:09:27] 不使态度是能力,
[00:09:28] 所以刚刚实际上在入课之前,
[00:09:31] 我这翻了翻手机才开始坐下来,
[00:09:33] 今天是换了一个地方,
[00:09:35] 你能看背景还是能看到红色斧子,
[00:09:37] 所以刚才大量老师下来还帮我们录了个小视频,
[00:09:41] 我代表我们宝贵医教给同学们做一个心灵的祝福,
[00:09:45] 我刚才还挤着红衣巾,
[00:09:46] 一会再挤上给你看看,
[00:09:47] 后面还有红盒子,
[00:09:49] 还有红斧子,
[00:09:50] 很喜庆,
[00:09:51] 那会完了以后他们走了,
[00:09:53] 录完以后走了,
[00:09:54] 我在这发了个手机,
[00:09:55] 准备入课了,
[00:09:56] 一看还有同学刚才微博上生气,
[00:09:58] 说老师读完这个以后,
[00:10:00] 你还说他浓胸吗,
[00:10:01] 我告诉他说读完哪个,
[00:10:02] 我他妈也说他很浓胸,
[00:10:04] 你傻呀,
[00:10:05] 你拿百度里边那些网红的老师来和专业老师来评,
[00:10:08] 说老师你怎么突然给人发飙了,
[00:10:10] 发什么飙,
[00:10:10] 你又没纠缓那课学,
[00:10:11] 你翻一下,
[00:10:12] 纠缓那课学上说,
[00:10:13] 在给一个胸腔基业患者做胸腔的穿刺,
[00:10:17] 胸穿,
[00:10:17] 抽胸水化验的时候,
[00:10:19] 教材明确的写着,
[00:10:20] 胸水的pH值如果小于7.0的话,
[00:10:24] 小于7.0,
[00:10:25] 那么只有两种情况,
[00:10:27] 一,
[00:10:27] 食管破裂,
[00:10:28] 二,
[00:10:29] 他妈的浓胸,
[00:10:30] 2018年的西医综合考试考这么一个内科题,
[00:10:33] 就接三年了,
[00:10:34] 2021年再考一次你还错,
[00:10:36] 你还有理了是不是?
[00:10:37] 如果这会儿听到我的课了,
[00:10:39] 你把弹幕给我打出来,
[00:10:40] 你说我哪错了,
[00:10:41] 你告诉我,
[00:10:41] 再背一次,
[00:10:42] 纠缓内科学明确写着,
[00:10:44] 胸水的pH值是小于7.0的话,
[00:10:47] 实际上2018年的西医综合给的体感是6.9,
[00:10:50] 比7.0小6.1吧,
[00:10:52] 要么是食管破裂,
[00:10:54] 要么是浓胸,
[00:10:55] 说你死不停,
[00:10:56] 结核病和糖尿病是0.9,
[00:10:59] 两个慢性消耗性疾病,
[00:11:02] 中医把消耗性疾病称之为劳病,
[00:11:05] 所以我们亲切的把《红楼梦》里边的女主角朱娇,
[00:11:09] 林黛玉同学称之为女儿老,
[00:11:13] 某种意义上女儿老指的就是结核病,
[00:11:16] 说怎么结核病你还女儿老老实,
[00:11:18] 学完内科才发现肺结核最好发育青年女性,
[00:11:22] 贾伯玉怎么不得你?
[00:11:24] 王媳妇怎么不得你?
[00:11:26] 怎么林黛玉就得了?
[00:11:27] 青年女性小姑娘漂亮呗?
[00:11:29] 你不知道结核病是青年女性专利,
[00:11:33] 你不知道什么叫劳病,
[00:11:34] 因为消耗,
[00:11:35] 机体没有抵抗力,
[00:11:36] 姑娘连月经都没有了,
[00:11:37] 你不信你回红楼梦场去,
[00:11:39] 她这个机体消耗大了以后,
[00:11:41] 我连饭都吃不饱,
[00:11:42] 我还来什么月经试,
[00:11:43] 还蜂拈啊,
[00:11:44] 所以刚才在这想,
[00:11:46] 我在出工的时候,
[00:11:48] 我的生母老师吕智少老师,
[00:11:49] 吕老师这几十年来不敢往人家名字,
[00:11:51] 这是非常优秀的老师,
[00:11:53] 吕老师说,
[00:11:54] 因为我们在那个时候生活很,
[00:11:56] 物质生活不叫匮乏,
[00:11:59] 叫很贫困,
[00:12:00] 大家谁都一样,
[00:12:01] 县长的儿子也没好哪去,
[00:12:02] 县长儿子比我这个农民儿子,
[00:12:04] 我这个牧家儿子,
[00:12:05] 大概比我们能多吃两顿咸菜吧,
[00:12:07] 我记得我们县里边政府大约60亩地,
[00:12:10] 所以政府大约占地65,
[00:12:12] 所以县里边把这个县政府叫60亩地,
[00:12:14] 60亩地里边那个咸菜特别香,
[00:12:17] 今天如果他们问我说,
[00:12:18] 你一天就吃一个面包,
[00:12:20] 我说你好几天吃一个面包,
[00:12:21] 你想不想吃菜,
[00:12:23] 想,
[00:12:23] 想吃小时候那个辣辣的,
[00:12:25] 红辣椒油泼辣子,
[00:12:27] 或者那个老健个的,
[00:12:29] 芥菜,
[00:12:29] 老咸菜,
[00:12:31] 在我的记忆中,
[00:12:33] 这话都吞一口水了,
[00:12:34] 在我的记忆中,
[00:12:35] 老芥菜那个咸菜用红辣椒烧出来,
[00:12:37] 要比芥菜,
[00:12:39] 要比茶菜,
[00:12:40] 这个咸菜红辣椒烧出来,
[00:12:42] 那个配灵牌茶菜,
[00:12:43] 如果说福林,
[00:12:44] 我知道,
[00:12:44] 都是玩的,
[00:12:45] 那么鸟浆牌是吧,
[00:12:47] 嗯,
[00:12:47] 鸟浆牌,
[00:12:48] 配灵牌茶菜,
[00:12:49] 好,
[00:12:50] 开玩笑这个同学,
[00:12:51] 我看那一次,
[00:12:52] 看马读工在观视频,
[00:12:53] 他说我配灵牌,
[00:12:54] 我说我配灵牌,
[00:12:54] 大家都在开这个玩笑,
[00:12:56] 就像蒋介石,
[00:12:56] 我们叫常开生,
[00:12:57] 开生线上,
[00:12:58] 知道小蒋介石,
[00:12:59] 我还不然拿来,
[00:13:00] 他老婆叫宋美龄吧,
[00:13:01] 就这个意思是什么意思呀,
[00:13:03] 就是说那个时候出工老师说,
[00:13:05] 我们是长狮子,
[00:13:06] 长跳蚤,
[00:13:07] 昨天晚上我在手机上看了一个,
[00:13:10] 我在微博上转,
[00:13:11] 一站的一个纪录片,
[00:13:12] 一站的英国士兵在战壕,
[00:13:15] 在法国的战壕里和德国人打仗,
[00:13:17] 先来巫师的时候,
[00:13:18] 就点个大野豆呀,
[00:13:19] 或者点一堆购火,
[00:13:20] 来烤他衣服,
[00:13:21] 啪啪啪啪响,
[00:13:23] 衣服的缝隙里面全是狮子,
[00:13:26] 狮子蛋,
[00:13:27] 老百姓叫挤,
[00:13:28] 挤子,
[00:13:29] 所以那个时候,
[00:13:30] 吕老师就讲述这个狮子呀,
[00:13:32] 营养丰富的时候不下蛋,
[00:13:34] 是卵生的,
[00:13:35] 直接下小狮子,
[00:13:36] 如果营养不丰富的话,
[00:13:38] 他为了繁衍后代,
[00:13:39] 他就下成挤,
[00:13:40] 等到你一旦吃饱饭了,
[00:13:42] 你的体温就把这个小挤就像孵化,
[00:13:44] 我们就每个人像小母鸡一样,
[00:13:46] 把衣服里边的小狮子发出来,
[00:13:48] 啪着小咬,
[00:13:49] 还咬你,
[00:13:51] 感慨说实际上你到临床工作以后,
[00:13:54] 就发现结核病的消耗很大,
[00:13:56] 好多女生都病精了,
[00:13:58] 如果这样的话,
[00:14:00] 你体会一下,
[00:14:01] 临床有两个病害怕感染,
[00:14:02] 一结核,
[00:14:03] 二糖尿病,
[00:14:05] 结核病的病人合并细菌与感染,
[00:14:08] 是临床极其常见或普遍的现象,
[00:14:11] 人家拿Ada血肝脱胺酶大于45,
[00:14:14] 来让你定结核挖个坑,
[00:14:16] 再告你LDH3000傻孩子,
[00:14:19] 这特么就叫浓胸里边的战斗,
[00:14:22] 你背下来,
[00:14:23] 别给老师在这怼了,
[00:14:24] 你见过结核病人没有,
[00:14:25] 我们一上午给病人出1000多毫升的液体,
[00:14:28] 你见过没,
[00:14:29] 一个大注射器50毫升,
[00:14:30] 出20多管子,
[00:14:31] 出的你腰酸腿困,
[00:14:32] 你站都站不住了,
[00:14:33] 你傻,
[00:14:34] 真傻还是装傻,
[00:14:35] 你说这个老师怼什么呀,
[00:14:37] 开个玩笑,
[00:14:38] 我结核的病人比你结核的人多,
[00:14:40] 你吵什么,
[00:14:41] 安心听课多好呀,
[00:14:43] 所以一边讲课,
[00:14:45] 一边在办公室安安静静的大伙女,
[00:14:47] 她很喜庆,
[00:14:48] 你怎么就生气了,
[00:14:49] 你怎么又生气了,
[00:14:50] Where you still love me tomorrow,
[00:14:52] 不是,
[00:14:53] 教育他妈真难,
[00:14:55] 人生有两大难事,
[00:14:57] 第一个,
[00:14:58] 把别人钱装我口袋里,
[00:15:00] 这很难,
[00:15:00] 第二个,
[00:15:01] 把我的思想装别人脑子里,
[00:15:03] 更他妈难,
[00:15:04] plus and pro,
[00:15:07] 你听点不好吗,
[00:15:09] 干嘛就这么把自己关闭在医学大门之外呀,
[00:15:13] 你确定Ada高的一定是结核,
[00:15:15] 没人说不是结核,
[00:15:16] 这个病实际上学校里应该写,
[00:15:18] 是结核性虚强基因,
[00:15:20] 合成,
[00:15:20] 合并,
[00:15:21] 化农感染,
[00:15:22] 这是最标准的,
[00:15:23] 肯定是一边抗结核治疗,
[00:15:26] 一边抗感染,
[00:15:27] 给他抽液体,
[00:15:29] 给他放水,
[00:15:30] 但是也不代表他不是农匈呀,
[00:15:35] 8月份看到2018年的题目,
[00:15:37] 12月份国家又考了一次,
[00:15:39] 你还打错,
[00:15:42] 莫非你的错误我买单吗,
[00:15:45] 因为我是在录专业课同学嘛,
[00:15:46] 我在想,
[00:15:47] 你不能静下来听老师讲点什么叫专业吗,
[00:15:51] 就这个意思,
[00:15:52] 没有跟我学生生气的意思啊,
[00:15:54] 是感慨说,
[00:15:55] 我们的人,
[00:15:56] 我们的同学们,
[00:15:57] 学点东西得多难,
[00:15:58] 记住,
[00:15:59] 学习就没有快乐的,
[00:16:00] 学习只能是痛苦的,
[00:16:02] 我一直以为,
[00:16:03] 结核病的别人就不感染,
[00:16:05] 直到看到每个结核病人发高尘3、9、8,
[00:16:08] 才知道,
[00:16:08] 哇塞,
[00:16:09] 结核病最容易感染,
[00:16:10] 对呀,
[00:16:10] 再说一遍,
[00:16:11] 你以为的,
[00:16:12] 就他妈是你以为的吗,
[00:16:13] 他是什么样子,
[00:16:16] 就是什么样子,
[00:16:18] 我们不能因为吵架,
[00:16:19] 让别人死掉吧,
[00:16:20] 二头小姑娘,
[00:16:21] 不可以,
[00:16:22] 嗯,
[00:16:22] 所以体会一下,
[00:16:24] 20比1,
[00:16:25] 经常把我坑了,
[00:16:26] 这是数学数字,
[00:16:27] 20比1就叫做pH7.4,
[00:16:30] 那么40比2还叫pH7.4,
[00:16:32] 这个情况在临床医学我们叫什么,
[00:16:34] 就叫代偿,
[00:16:35] 一旦不再是40比2变成40比3了,
[00:16:38] pH值维持不了,
[00:16:39] 那就叫失代偿,
[00:16:41] 参见内科学的支气化效果,
[00:16:43] 重症和危重,
[00:16:45] 重症病人已经护心性酸中毒,
[00:16:48] 喝病带心性酸中毒,
[00:16:49] 护酸喝病带酸,
[00:16:50] 已经护衰了,
[00:16:52] 但是pH值还是7.4左右,
[00:16:55] 一旦病人来pH,
[00:16:56] 一直都不再7.4了,
[00:16:57] 我们叫微重哮喘,
[00:16:59] 沉默解默肺,
[00:17:01] 失代偿,
[00:17:02] 心音都模糊,
[00:17:04] 听不到,
[00:17:08] 做到内科学咱们要讲的事情更多,
[00:17:10] 这还是一门本科教学的生理学,
[00:17:12] 这人还在想寒假期间,
[00:17:13] 有时间的话是不是给同学们抽搐一门
[00:17:15] 诊断学的课,
[00:17:16] 我好好讲一讲这个课,
[00:17:18] 以什么形式进行,
[00:17:20] 让我稍微容忧,
[00:17:20] 稍微抽搐一下,
[00:17:22] 我去讲生理学,
[00:17:23] 不管他了,
[00:17:24] 所以无论如何,
[00:17:25] 咱们学业中一般认为是七大堆,
[00:17:27] 缓冲堆,
[00:17:28] 或者有人说八大堆,
[00:17:29] 不管他了,
[00:17:29] 但这边最主要的一定是谁,
[00:17:31] 碳酸氢液,
[00:17:32] 比碳酸这是最主要的,
[00:17:34] 次要的还有,
[00:17:35] 你比如说磷酸氢二钠,
[00:17:36] 磷酸二氢钠,
[00:17:38] 血浆蛋白钠,
[00:17:39] 血浆蛋白等等,
[00:17:40] 他这很多,
[00:17:42] 我们读一读就好了,
[00:17:43] 我就不啰嗦了,
[00:17:44] 第一个,
[00:17:45] 就是维持血浆p质质7.4的这些酸解物质的缓冲,
[00:17:50] 缓冲吸,
[00:17:51] 缓冲一下,
[00:17:52] 第二条,
[00:17:54] 我们的血浆的p质质是通过肺脏和肾脏
[00:17:57] 共同调节实现的,
[00:17:58] 刚才说了,
[00:17:59] 肺脏通过调节二氧化碳,
[00:18:01] 肾脏通过产生和冲吸收,
[00:18:04] 碳酸氢针的形式,
[00:18:05] 肺脏调节酸,
[00:18:07] 肾脏调节碱,
[00:18:09] 粗略可以这样理解,
[00:18:10] 这样的话,
[00:18:11] 两个器官让血浆p质质保持一个相对的稳定,
[00:18:15] 内环境的特点,
[00:18:16] 两大特点,
[00:18:16] 既相当稳定,
[00:18:18] 又动达平衡,
[00:18:20] 然后再通过肺脏和肾脏调节,
[00:18:22] 让血液中的缓冲系统各种物质,
[00:18:24] 它的比例恢复正常,
[00:18:26] 肌体内部二氧化碳太多了,
[00:18:28] 通过加强呼吸排出去,
[00:18:29] 对吧,
[00:18:30] 二氧化碳太少了,
[00:18:31] 哎,
[00:18:31] 比如说,
[00:18:32] 哭泣,
[00:18:34] 中午掉了个东西,
[00:18:35] 哭了半天,
[00:18:35] 往起一站,
[00:18:36] 手脚发麻,
[00:18:38] 多少年之后才发现,
[00:18:39] 为什么我中午哭的多了,
[00:18:41] 手脚就发麻,
[00:18:42] 是我哭的多没赶上吃饭饿的吗?
[00:18:44] 不是,
[00:18:45] 在这认真体会一句话,
[00:18:46] 认真的体会一句话,
[00:18:48] 碱中毒,
[00:18:49] 自带着,
[00:18:51] 滴钙,
[00:18:52] 血蒸的,
[00:18:53] 而咱们不管是大二还是大五小朋友都知道,
[00:18:56] 滴钙,
[00:18:56] 抽搐,
[00:18:57] 滴钙,
[00:18:58] 精卷,
[00:18:59] 这句话,
[00:18:59] 打弹幕上,
[00:19:00] 给后来的学习,
[00:19:02] 再说一遍,
[00:19:02] 碱中毒自带着,
[00:19:04] 滴钙血蒸,
[00:19:06] 那么钙去哪里了?
[00:19:07] 钙没有排到体外,
[00:19:08] 钙从溶解状态,
[00:19:10] 就凹合掉,
[00:19:11] 结合了,
[00:19:12] 所以我们实际上,
[00:19:13] 尽管咱们临床上测血钙浓度,
[00:19:16] 测得血氧中的钙的总量,
[00:19:18] 但我们在意的是溶解的钙,
[00:19:21] 学过消化系统,
[00:19:22] 你知道,
[00:19:23] 钙和铁都是这样,
[00:19:24] 酸性环境容易溶解,
[00:19:26] 碱性环境容易沉淀,
[00:19:28] 而溶解的铁和钙,
[00:19:30] 铁才能吸收,
[00:19:31] 特别是铁,
[00:19:33] 为什么二钾铁才能吸收,
[00:19:34] 三钾铁不吸收,
[00:19:35] 但是二钾铁吸收完之后,
[00:19:37] 体内马上变成三钾铁,
[00:19:38] 有没有?
[00:19:38] 以二钾方式吸收,
[00:19:40] 以三钾方式储存,
[00:19:42] 那么合成红细胞血红代表的时候,
[00:19:45] 再变回二钾,
[00:19:46] 你看它麻烦不麻烦,
[00:19:48] 二钾,
[00:19:48] 三钾,
[00:19:49] 二钾,
[00:19:50] 变来变去的,
[00:19:51] 不散不死的,
[00:19:54] 这两个客键接着往下翻,
[00:19:58] 第三大块就虚像这一块活的血液构成中最关心的一块体,
[00:20:02] 虚像的渗透压,
[00:20:04] 概念,
[00:20:05] 溶液具有吸引水分子,
[00:20:07] 透过半透膜的一种力量,
[00:20:09] 所以讲课中也一直强调同学们,
[00:20:11] 渗透压是个什么?
[00:20:12] 是个力量,
[00:20:13] 是干嘛?
[00:20:14] 是液体吸引水的力量,
[00:20:17] 吸引水,
[00:20:18] 而且咱们一定要强调,
[00:20:20] 达尔就这样学习的,
[00:20:22] 一个渗透压的高低,
[00:20:23] 液体渗透压高低,
[00:20:25] 它的大小与溶质的高低,
[00:20:26] 和它的颗粒数目多少这么相关,
[00:20:29] 而与溶质的种类和颗粒的大小无关,
