行号	误识	纠正为	置信度	原句
982	平衡点位	平衡电位	high	达到个子平衡点位的时候
988	平衡点位	平衡电位	high	到自己平衡点位的时候没有驱动力了
991	平衡点位	平衡电位	high	平衡点位
993	动作点位	动作电位	high	怎么理解动作点位过程中
999	平衡点位	平衡电位	high	平衡点位的差距
1002	平衡点位	平衡电位	high	和平衡点位的差距越小
1075	预点位	阈电位	high	我们就叫预点位
1077	预点位	阈电位	high	把预点位专门改个名字
1119	欲点位	阈电位	high	切到欲点位去
1122	欲点位	阈电位	high	刺激强度足够大就到欲点位了
1126	欲点位	阈电位	high	不到欲点位
1137	欲点位	阈电位	high	欲点位之后的膜进一步区域化
1151	欲点位	阈电位	high	从欲点位之后
1152	欲点位	阈电位	high	所以欲点位之后的膜
1154	欲点位	阈电位	high	欲点位之前的膜
1179	欲点位	阈电位	high	欲点位之后的进一步区域化
1183	欲点位	阈电位	high	到欲点位就走了
1184	欲点位	阈电位	high	不到欲点位再给来一个刺激
1202	动作点位	动作电位	high	而只有三种细胞才有动作点位
1220	动作点位	动作电位	high	动作点位
1223	平衡点位	平衡电位	high	叫平衡点位
1227	动作点位	动作电位	high	那么动作点位的核心思想是学会预点位
1227	预点位	阈电位	high	那么动作点位的核心思想是学会预点位
1229	平衡点位	平衡电位	high	能学会平衡点位预点位
1229	预点位	阈电位	high	能学会平衡点位预点位
1231	平衡点位	平衡电位	high	知道平衡点位谁和谁平衡
1232	预点位	阈电位	high	知道预点位外号叫燃点
1284	负极化	复极化	high	就负极化了
1286	负极化	复极化	high	伴随二的负极化
1442	遇强度	阈强度	high	通常遇强度
1445	遇强度	阈强度	high	遇强度越小
1480	预点位	阈电位	high	预点位一般比近系列位少10-20毫伏
1484	预点位	阈电位	high	预点位是-50
1490	膜点位	膜电位	high	膜点位就从-70变成-90了
1528	遇强度	阈强度	high	遇强度大小
1531	膜点位	膜电位	high	膜点位和预点位差距
1531	预点位	阈电位	high	膜点位和预点位差距
1540	超长期	超常期	high	超长期
1541	低长期	低常期	high	低长期
1639	伏击化	复极化	high	基本上伴随着M的伏击化
1647	复击化	复极化	high	因为模要不复击化
1656	复击化	复极化	high	那么伴随着模的复击化过程慢慢通道
1669	复击化	复极化	high	所以复击化的过程中
1675	动作点位	动作电位	high	产生动作点位的
1678	复击化	复极化	high	不需要模复击化的进气点位
1681	复击化	复极化	high	一般模复击化到
1687	模点位	膜电位	high	模点位
1696	超长期	超常期	high	称之为超长期
1699	低长期	低常期	high	低长期
1707	超长期	超常期	high	超长期
1708	低长期	低常期	high	低长期
1714	风点位	锋电位	high	东西点位是风点位这个石头挖得很清楚
