# 源音频：P09-生理学本科教学及考研基础课 p09 肌细胞的收缩1.m4a
# 时长：6571s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:08] 好,同学们,咱们接下来拿一个整段的时间来学一学细胞这一章第四节,肌细胞的收缩。
[00:04:01] 大脑皮森指挥肌肉的时候,不但能够让肌肉收缩和舒张一下,还能让肌肉的收缩的长度,收缩的力量刚刚好,拿起杯子喝水,没有谁把水倒到人家背后,同学脸上去,也没有水不够就这样喝,因为水是不是正好放在嘴上,动作的协调,因此说这个随意啊,不但有随意的收缩舒张一下,还可以随意调节一块肌肉,收缩的力量大小。
[00:04:29] 我就老开玩笑,你说自己脸有点痒痒。
[00:04:32] 你见过谁,挠自己脸的时候,就好,这女生给人打架,着急到指甲场外,有武器,抓她一把,给她脸上留一个永远不曾抹去的记号,露一下,没见过吧?
[00:04:45] 我自己脸上一挠,说哥们你脸上这么好几道,要挠呀要挠的,骗鬼,跟你同学打架了吧?
[00:04:53] 这个样子,随意的收缩舒张和随意调节肌肉,收缩力量,叫张力,随意。
[00:05:01] 那么为什么心肌和平滑肌?
[00:05:03] 不随意。
[00:05:04] 想起来解剖学习的了,内脏活动接受植物神经支配。
[00:05:08] 植物神经包括谁呀?
[00:05:10] 米走和胶感。
[00:05:11] 当然在很多时候,米走在医学上也叫做副交感神经。
[00:05:16] 所以慢慢咱们往循环,往呼吸走,你就会学一个更深层,较难的一个词。
[00:05:22] 每天跟人说副胶感,米走,副胶感,米走。
[00:05:24] 那么米走和副胶感这两条神经到底是什么区别?
[00:05:28] 学很久以后才发现,米走神经是一条神经杆。
[00:05:33] 像一根电缆线一样,既有从周围向中处传入的部分,也有中处向外周传出。
[00:05:39] 你比如你学完胸环生理,学完胸环生理了,心血管系统,你就会发现,支配我们心脏和血管的米走神经哪来的?
[00:05:48] 来自于盐水的盐水,米走神经的胰核,背核,怀疑的胰核,后背的背。
[00:05:56] 就有同学到考研了,也就是没有毕业了,不知道胰核背核也是没谁了,不是我批评。
[00:06:03] 那么,米走的胰核背核,盐水出来之后,往心脏那里发走,叫传出。
[00:06:12] 但是心脏如果有点不舒服,又会通过米走往回传。
[00:06:15] 所以你发现,米走神经既有传出纤维中处到外周的,又有外周回到中处的,叫传入纤维。
[00:06:22] 在米走神经杆中,传出的那一部分纤维,解剖穴和其他穴壳拿出来,就叫副胶感。
[00:06:29] 所以体会一句话,副胶感特质,特别重要。
[00:06:33] 特质,special, especially, especially,特质,米走神经杆中传出的那一部分纤维。
[00:06:41] 应该这样说,米走神经包含副交感神经和传入部分,两块。
[00:06:48] 先听一下,但是在细胞这章第四节谈机细胞收缩的时候,咱们一般是以骨骼机细胞为例,往下学习的。
[00:06:56] 但是你注意,在这一节,你会稍待一下心机细胞。
[00:07:01] 平滑肌细胞没有做专门的研究。
[00:07:03] 我印象中,咱们这个医学体系中考试,没有专门考,不是平滑肌不重要。
[00:07:08] 教学体系为什么把平滑肌就输入了,不知道。
[00:07:11] 咱们这章内容是平滑肌会谈一点,谈的也不多。
[00:07:15] 在临床实践和工作中,科研考试学习中,我们关心更多的是骨骼机和心机,特别是心机。
[00:07:23] 但心机更多内容跑到胸怀系统讲了,所以这一节谈的主要是骨骼机。
[00:07:27] 你把知识结构给清楚。
[00:07:29] 所以这一节主要介绍骨骼机细胞的时候说了。
[00:07:33] 下往下。
[00:07:33] 翻。
[00:07:39] 这章课就要想阐述一个东西。
[00:07:41] 骨骼机是随意机,大脑皮层一兴奋,肌肉怎么就会收缩?
[00:07:46] 那不用问,回到第二节去了。
[00:07:49] 肌肉要想随意,首先需要神经系统,运动神经二和运动神经元,周图,和骨骼机细胞之间进行一次跨膜的信号转导。
[00:08:02] 所以在这儿咱们得严格的提个心。
[00:08:05] 有同学大二学完生理生化之后把书记扔不要了,大三开始学药理。
[00:08:09] 发现了。
[00:08:09] 发现什么也学不会。
[00:08:10] 体会一下,药理学是升级版的生理学。
[00:08:14] 在生理学这门口的基础之上,把受体拿出来,是吧,把地质拿出来,找一个相似的物质,找一个不同的物质,我们就叫机动机,拮抗剂,等等。
[00:08:26] 生理学往前走半步就是药理学。
[00:08:30] 生理学往细胞膜内走一步就是生化学。
[00:08:33] 所以你慢慢慢慢就会发现咱们医学的不同学科都是从生理学派生出来的。
[00:08:38] 为什么反复强调说诺贝尔医学讲的。
[00:08:41] 全称叫诺贝尔的生理学或医学家。
[00:08:44] 注意是or,不是and。
[00:08:48] 可见生理学和医学是一个平等的概念。
[00:08:52] 生理学非常大,也非常重要。
[00:08:54] 咱们大二学这本生理学,这个physiology,这个地方能叫生理学的纲要都了不得了。
[00:09:00] 所以你要是有一天万一不小心会接触一本专业的生理学,你会发现那本书叫clinical medical physiology,叫临床医用生理学。
[00:09:08] 几十个分册。
[00:09:09] 我印象中就是胸怀系统。
[00:09:11] 他就看这本scala system,叫心脏和血管系统。
[00:09:16] 里边就十八篇,chapter one,chapter two,chapter three,就很多。
[00:09:20] 所以咱们这本书很薄。
[00:09:22] 这也是做了一辈子生理学教学,我就一直想写一本中国版的医用生理学,临床医用生理学。
[00:09:28] 一直在抽搐,在写一些东西。
[00:09:30] 但不是他一想,我想进一步修正。
[00:09:33] 将来在退休之前,退休江湖之前,把这门课从临床到基础,贯通式的。
[00:09:40] 纵向和横向。
[00:09:41] 写一本书,给我的学生在医学生涯中拿去用。
[00:09:46] 哪怕写慢一点,把它写认真。
[00:09:48] 所以刚才世界上,开车路课之前,山东一个出版社,我的学生做编辑,还在聊。
[00:09:53] 我说过去这几年,大概我的精力,工作重点,会往写书上转一下。
[00:10:01] 当然也别担心,这个网络的本科教学课,我是一直会做下去。
[00:10:05] 我看有没有可能多加几门课。
[00:10:07] 生理诊断,内科外科一直在讲。
[00:10:10] 我看看病生。
[00:10:11] 同学们大概缺一门病生课,里面有一个很好的课程。
[00:10:15] 我试着讲一讲,反正这个网络课也不赚钱。
[00:10:18] 闲也闲着,给个人也慢慢讲。
[00:10:20] 嗯,这个样子。
[00:10:21] 这个地方突然说废话干什么,本科教学你也别急。
[00:10:23] 本科生你急什么,去体会一下。
[00:10:26] 神经系统有个想法,想让手把杯子拿起来。
[00:10:30] 手怎么知道的?
[00:10:32] 那么就需要神经和肌肉之间,架起一座桥梁,把信息告诉肌肉说。
[00:10:38] 神经系统,把信息告诉肌肉。
[00:10:41] 这个过程。
[00:10:42] 在第二阶就叫做跨膜的信号转导。
[00:10:46] 那么在这个地方怎么转导?
[00:10:48] 这个地方同学们大多数都上过教学本科的课程了。
[00:10:51] 在终板膜上长的一个东西,叫N2型的咽碱受体。
[00:10:56] 所以到了这个实际案例以后你体会一下,咱们细胞这张第二阶跨膜信号转导学什么了?
[00:11:01] 你翻开书看,一共就学到三大类,四小类的膜本面受体。
[00:11:06] G大白欧联的,通道欧联的,酶欧联的。
[00:11:10] 酶欧联又有两种。
[00:11:11] 烂氨酸基酶受体和尿肝酸化化酶受体。
[00:11:15] GC,CGMP,下血气激活这个PKG,再往下走。
[00:11:20] 这样的。
[00:11:21] 先不管它了。
[00:11:22] 因此这个过程大概叙述一下。
[00:11:24] 从神经纤维,实际上就是阿尔法神经元啊,周托莫烧,这个小动作电位APXMOTENCAL,上节为什么讲它。
[00:11:32] 动作电位到达这个肌肉以后呀,和肌肉之间产生一个肌膜动作电位。
[00:11:40] 这个直接藏了个结构,一会儿专门学。
[00:11:43] 就叫神经骨骼肌的接头在这儿。
[00:11:47] 接头本身咱们在上节和电活动的小节里边谈一下。
[00:11:50] 接头这个终板电位并不是动作电位。
[00:11:53] 所以在终板电位变成肌细胞膜动点位之间,还有一个过程。
[00:11:58] 那么肌细膜膜动点位再一步往下走,会变化成骨骼肌细胞的收缩。
[00:12:04] 怎么收缩的?
[00:12:05] 粗细肌丝相对一个滑行,著名的SLIDING THEORY。
[00:12:10] 一直强调为什么不叫缩短叫滑行。
[00:12:12] 就两根快的。
[00:12:13] 两根盖子互相滑动一下。
[00:12:15] SLIDING,滑动。
[00:12:17] 这样。
[00:12:18] 这是这一节咱们也学的一些内容。
[00:12:20] 先往下翻。
[00:12:21] 神经和肌肉之间如何进行信息交流,进行跨膜信号转导的。
[00:12:28] 这任何一个生理活动都学一个结构基础。
[00:12:30] 神经系统和骨骼肌细胞之间这个信号转导结构就叫做神经肌接头。
[00:12:36] 由于叫神经骨骼接头,NM,神经,Nerve,肌肉,Muscle,它们给接头。
[00:12:42] 这个结构是一个最规矩的结构。
[00:12:44] 三个部分。
[00:12:45] 接头前膜,接头后膜,接头间隙。
[00:12:48] 三块。
[00:12:50] 这三块的微细结构是咱们生理学乃至医学知识构架的一个基础平台。
[00:12:56] 是极其重要的一个知识点。
[00:12:58] 记住,从今天开始,以后这个医学生涯中,在你退休之前,你遭遇的所有考试都会靠这个东西。
[00:13:06] 太重要了。
[00:13:07] 比你想的还要再重要。
[00:13:10] more important,更重要一点。
[00:13:13] 嗯。
[00:13:13] 这个结构咱们如果已经读过书听过课了,你来看一下。
[00:13:16] 它有几个重要的结构。
[00:13:18] 在接头前膜,接头前膜是谁?
[00:13:20] 就是阿尔法神经元轴骨膜烧。
[00:13:22] 一个阿尔法神经元,就像人体这个躯干,这个身体,胸腔腑腔,这个包体,然后生出个小胳膊,叫轴突。
[00:13:31] 哎,正好冬天天冷,穿着个衣服比较厚。
[00:13:34] 你注意,这个袖子多长,到手腕处,我去了。
[00:13:37] 我想说什么?
[00:13:38] 说这个包体,发出一个轴突。
[00:13:41] 这个轴突让我们包着衣服。
[00:13:42] 嗯。
[00:13:43] 我们就叫有随纤维。
[00:13:45] 但注意,有随纤维,到轴突膜烧处,像衣服的袖口一样,就裸露了。
[00:13:51] 手腕是露在外面的。
[00:13:53] 有随纤维不是包裹全场。
[00:13:56] 到轴突膜烧处露出来,不是露出手腕,为什么还拿手来比划?
[00:14:00] 实际上你仔细读书发现,一个阿尔法神经元,一条轴突,轴突膜烧,并不是一个颅头酸。
[00:14:07] 膜烧裸露出来以后,会有分支。
[00:14:09] 每个分支,你用手腕,手掌和手指比划,特别重要。
[00:14:12] 每个分支的膜烧,像拇指一样,都略微有点膨大。
[00:14:17] 我们叫一个突出小体。
[00:14:20] 一个阿尔法神经元的轴突膜烧,有些分支少三五个,有些分支多上千个。
[00:14:28] 你慢慢这本书往后读,读到神经系统就会发现,支配我们大腿部四头肌的那个阿尔法神经元,轴突膜烧分支就多,数百上千个。
[00:14:38] 支配咱们动眼是野球转一下。
[00:14:40] 在那书里,这个一转,这个小动眼就会发现,
[00:14:42] 这个小动眼,
[00:14:43] 这个小动眼是阴 jam,这个小神经元,轴突膜烧分支就少。
[00:14:48] 每一个分支膜烧,嗯,一个拇指,都和一条骨骼积的细胞,叫肌纤维,肌细胞,构成一个神经继接头。
[00:14:57] 你想说什么不?
[00:14:58] 我想说,一个阿尔法神经元,轴突膜烧的分支越多,那么,这个神经元,她指挥的肌细胞数量就越多。
[00:15:09] 如果只有两个分支,支配两条肌肉。
[00:15:10] 如果剁头蒜,支配一条肌肉。
[00:15:12] 一千个分支,支配一条肌肉。
[00:15:13] 支配一千条肌肉
[00:15:15] 在这生理学上
[00:15:17] 这一节就写了神经痛还要写
[00:15:19] 在这我们就严格的给一个概念
[00:15:21] 不管你平时主没注意
[00:15:23] 这儿开始注意啊
[00:15:24] 生理学上把一个阿尔法神经元
[00:15:26] 一个神经元
[00:15:28] 因为周透莫少有分支的
[00:15:30] 和他支配的所有肌纤维
[00:15:33] 你有几个分支你就支配几条肌纤维
[00:15:35] 一千个分支支配一千个
[00:15:36] 你有一万个分支有本事你支配一万条
[00:15:38] 对了我们把一个神经元
[00:15:40] 和他支配的所有肌纤维
[00:15:42] 就命名称之为
[00:15:45] 一个运动的单位
[00:15:48] 运动单位
[00:15:50] 提前听一句话
[00:15:52] 运动单位有大
[00:15:54] 有小
[00:15:55] 为什么因为有些阿尔法神经元周透莫少
[00:15:57] 分支多有些阿尔法神经元周透莫少
[00:15:59] 分支少你猜一下
[00:16:01] 支配手指头这个躯肌
[00:16:03] 这个小肌肉的神经元和支配大腿
[00:16:06] 那块骨丝头肌
[00:16:07] 割下来能剥二十斤饺子那块大肌肉
[00:16:09] 你猜哪个神经元
[00:16:12] 分支多
[00:16:13] 那还有问啊
[00:16:14] 肌肉块越大的
[00:16:15] 阿尔法神经元分支越多
[00:16:17] 阿尔法神经元分支多
[00:16:18] 支配肌肉数量多
[00:16:20] 一个神经元兴奋的时候
[00:16:21] 肌肉输出力量就大
[00:16:23] 一个神经元分支的数量少
[00:16:25] 支配肌纤维的数量少
[00:16:27] 那么这个动作产生出的力量就小
[00:16:29] 但你注意了吗
[00:16:30] 力量小的时候更精细
[00:16:32] 胳膊上支配大胳膊的神经元分支多
[00:16:36] 支配前臂的分支少一点
[00:16:38] 支配手指的分支最少
[00:16:39] 这样我要做一个很精细的动作
[00:16:42] 都是拿手指捻住
[00:16:43] 碾花
[00:16:44] 比心
[00:16:45] 你结果是拿一窝给人比心
[00:16:48] 你能比了不
[00:16:48] 一窝那是见生见美的
[00:16:50] 结构是功能的基础
[00:16:54] 有点那意思了没有
[00:16:55] 先不管了
[00:16:56] 那么每一个风筝毛梢略微庞大
[00:16:59] 在这儿就称之为一个接头前膜
[00:17:01] 你注意啊
[00:17:03] 接头前膜有几个结构
[00:17:04] 一个结构是前膜上呀
[00:17:06] 长着L型的
[00:17:08] 电压门空的盖通道
[00:17:10] 从此以后这个盖就把你整住了
[00:17:12] 记住
[00:17:13] 盖中盖
[00:17:14] 新盖
[00:17:14] 重盖
[00:17:15] 聚能盖
[00:17:15] 葡萄酸盖
[00:17:16] 蓝皮盖
[00:17:17] 咱们学整个医学到处都是盖
[00:17:19] 如果细胞这一章开始学盖了
[00:17:21] 盖粒子第一次看见了啊
[00:17:23] 到血液那章你试试
[00:17:24] 如果血液中没有盖粒子
[00:17:25] 血液还凝固不
[00:17:27] 不凝固了
[00:17:27] 所以说在街上说18岁成人礼了
[00:17:30] 献个雪
[00:17:30] 表明我是成年人了
[00:17:32] 献雪去了
[00:17:33] 那个雪袋子里抽200毫升一个雪
[00:17:35] 你的雪抽出来放入塑料袋
[00:17:37] 为什么就不凝呢
[00:17:38] 塑料袋里加了点抗凝剂
[00:17:40] 我问你们背了没
[00:17:41] 拿个抗凝剂
[00:17:41] 居然酸呐
[00:17:43] 如果说老师这天我有点恶心
[00:17:45] 一吃油腻
[00:17:46] 我就难受
[00:17:47] 有点腹胀
[00:17:47] 说不舒服
[00:17:48] 插个肝肱吧
[00:17:49] 也就有点黄
[00:17:50] 插个肝肱呢
[00:17:51] 哎
[00:17:51] 护士小姐姐过来
[00:17:52] 挺漂亮
[00:17:53] 拿个小针头给你从肘中进来
[00:17:54] 一抽
[00:17:55] 抽点雪
[00:17:55] 放了个小湿管一晃
[00:17:57] 拿走了
[00:17:57] 测去了
[00:17:58] 看看肝肱能好
[00:17:59] 我转安慰高不高
[00:18:00] 那个雪放的小湿管就不凝
[00:18:01] 那个湿管为什么雪不凝
[00:18:03] 那里边放的是肝素
[00:18:04] 不是凝像
[00:18:06] 我开玩笑啊
[00:18:07] 肝素
[00:18:11] 你发现了没有
[00:18:12] 在临床上
[00:18:13] 我们想让雪也不凝固
[00:18:15] 有人采用的是肝素
[00:18:16] 有人采用聚烟酸钠
[00:18:17] 聚烟酸钠为什么能抗凝
[00:18:19] 雪也那边要断断讲
[00:18:20] 因为聚烟酸钠是个钙的熬合剂
[00:18:22] 你把它放到雪液中
[00:18:23] 它把钙类子熬合掉了
[00:18:25] 没有钙
[00:18:25] 雪也是不能凝固的
[00:18:27] 同学们
[00:18:28] 钙在血液凝固中起什么作用
[00:18:30] 学了没有
[00:18:31] 我讲这一节课的时候
[00:18:32] 我知道你们把胸管都快学完
[00:18:34] 有没有啥追点让我录课
[00:18:35] 钙就是四因子
[00:18:39] 有没有
[00:18:40] 从此开始跟这个钙
[00:18:43] 打得不可开交
[00:18:45] 记住
[00:18:46] 接头前膜上
[00:18:47] 就有钙
[00:18:48] L型钙通道
[00:18:49] L型的还不够
[00:18:50] 电压门控的钙通道
[00:18:52] 胸怀系统你们可能开始学了
[00:18:54] 在心脏的生理中
[00:18:56] 见没见过别的电压门控通道
[00:18:57] 钙通道
[00:18:58] 见过
[00:18:59] T型钙通道
[00:19:00] 一横一竖
[00:19:01] T
[00:19:02] 在哪里见过
[00:19:03] 豆房结细胞
[00:19:04] 你翻开书看有没有
[00:19:05] 所以一道心肌电生理
[00:19:08] 刚才咱们专门讲课
[00:19:10] 就是细胞电
[00:19:11] 是你的升级版
[00:19:12] plus了
[00:19:13] 你光以为手机plus
[00:19:14] 细胞电也plus
[00:19:16] 咱们这个细胞
[00:19:19] 这张学的电活动是标配的
[00:19:21] 对了
[00:19:21] 学到心肌电生理的时候
[00:19:23] 就升级版的
[00:19:24] 说什么胸怀系统
[00:19:26] 细胞你讲我就听懂
[00:19:27] 胸怀听不懂
[00:19:28] 因为知识升级了
[00:19:29] 你脑袋没升级
[00:19:30] plus
[00:19:31] 做好准备
[00:19:32] 这儿先听
[00:19:33] 电压门控改通道L型的
[00:19:35] 主通过烧
[00:19:36] 这是一个结构
[00:19:37] 第二个结构
[00:19:38] 前膜内部含有丰富的
[00:19:40] 包含着地质
[00:19:41] 胆
[00:19:42] 解的囊泡
[00:19:43] 在前膜内部的每个囊泡
[00:19:46] 大小差不多
[00:19:47] 有无聊人士统计
[00:19:49] 一个囊泡内部
[00:19:50] 大概有一万分子左右的
[00:19:52] 一些单解
[00:19:53] 你还记不记得第一节
[00:19:54] 咱们怎么学的
[00:19:55] 物质跨膜转运
[00:19:56] 有单纯扩散
[00:19:57] 有膜蛋白介绍的跨膜转运
[00:19:59] 还有出膜和入膜
[00:20:00] 膜泡运输
[00:20:01] 大分子物质
[00:20:03] 在细胞膜内出去
[00:20:04] 细胞膜外进来
[00:20:06] 包吞
[00:20:06] 包吐
[00:20:07] 是吧
[00:20:07] 包饮
[00:20:07] 这些东西
[00:20:08] 都不会单分子进行
[00:20:11] 总是以囊泡为单位
[00:20:12] 量子
[00:20:13] 去运输
[00:20:14] 叫膜泡运输
[00:20:16] 那么前膜将来要是往外释放单解
[00:20:18] 单解一个跨膜转运
[00:20:20] 转到膜外去
[00:20:21] 怎么转的
[00:20:21] 以囊泡为单位转的
[00:20:23] 就是咱们从开始接触生理学
[00:20:25] 到最终退休之前
[00:20:27] 一直强调的一个内容
[00:20:29] 囊泡为单位
[00:20:30] 量子是释放
[00:20:32] 前膜内部
[00:20:33] 前膜上面两个结构
[00:20:34] 一个是著名的电压模统
[00:20:36] 改通道
[00:20:37] L型的
[00:20:39] Lang
[00:20:39] 长的
[00:20:40] 长石层的
[00:20:40] 那个T是transit
[00:20:42] 瞬间顺势
[00:20:43] Lang
[00:20:44] T-R-A-N
[00:20:45] S-I-N-T
[00:20:46] transit
[00:20:47] 这个是Lang
[00:20:48] 长石层的
[00:20:50] 先不管它
[00:20:50] 一个是盖通道
[00:20:51] 合盖
[00:20:52] 一个是包含单解的地质囊泡
[00:20:55] 这是前膜
[00:20:56] 间隙就是一个空隙
[00:20:58] 充满着细胞外液
[00:21:00] 把它没有啥东西
[00:21:00] 那么和前膜对应的是
[00:21:02] 接头后膜
[00:21:03] 后膜你注意
[00:21:05] 前膜是神经细胞
[00:21:06] 中途膜烧
[00:21:07] 后膜可就是骨骼肌细胞的一部分了
[00:21:10] 后膜还有一个名字
[00:21:12] end plate
[00:21:12] 叫中板
[00:21:14] 中板
[00:21:14] 有人翻译叫中盘
[00:21:16] 实际上中盘中板一个意思
[00:21:18] 骨骼肌是个立体结构
[00:21:19] 像一个黄瓜一样
[00:21:20] 上把刀子削个坑
[00:21:22] 露出一包小黄瓤子来
[00:21:24] 那个地方那个小坑就叫中板
[00:21:25] 但周边还是绿皮的小黄瓜
[00:21:29] 老黄瓜刷绿漆装闷
[00:21:32] 你把那层黄瓜削了以后
[00:21:33] 里边是不是感觉很嫩的
[00:21:36] 体会一下
[00:21:37] 中板就是黄
[00:21:39] 拿每根黄瓜
[00:21:40] 拿刀子把皮削了一块
[00:21:42] 那一小片
[00:21:43] 那个本身是黄瓜皮的一部分
[00:21:46] 但是因为你把绿皮削掉了
[00:21:47] 和周边不太一样
[00:21:49] 注意中板是骨骼肌细胞膜的一部分
[00:21:53] 但是又是比较特殊的一部分
[00:21:57] 说老实我就听不懂了呀
[00:21:58] 这事要想一下
[00:21:59] 咱们在城市里边走
[00:22:00] 马路上是吧
[00:22:01] 水泥路面也好
[00:22:02] 白油路面
[00:22:03] 这个马路路面也好
[00:22:04] 但是走这么二三十米
[00:22:06] 就有一个铁盖子下属到井盖
[00:22:10] 这个水泥路面就是正常骨骼肌细胞膜
[00:22:13] 路面上过一会就有一个圆的铁制的
[00:22:15] 一个盖子
[00:22:16] 那个盖子叫中板
[00:22:18] 你想这个铁盖子
[00:22:20] 你拿手摸一摸
[00:22:21] 是吧
[00:22:21] 脸添上去
[00:22:22] 感受一下
[00:22:23] 和这个水泥路面一样
[00:22:25] 材质就不一样
[00:22:26] 这要记下来
[00:22:27] 终板膜尽管是机器膜膜一部分
[00:22:30] 但这个材质
[00:22:30] 这个结构和机器膜膜就不一样
[00:22:34] 有什么东西
[00:22:34] 有一个N二型的烟检授体
[00:22:38] 吴伯伯老师在写教材时候
[00:22:40] 在课件的时候
[00:22:41] 这是按教材原话写的
[00:22:43] 他写了一个N二型
[00:22:44] 胆检
[00:22:45] 门控
[00:22:46] 胆检
[00:22:46] 通道
[00:22:47] 胆检门控的
[00:22:49] 那不用问
[00:22:49] 这是化学门控的
[00:22:51] 我记得是在2011年
[00:22:52] 国家在西医综合研究生考试入学中
[00:22:55] 把这个东西还起了个名字
[00:22:57] 一架
[00:22:59] 就是单个粒子的
[00:23:01] 单个电荷的
[00:23:03] 不是粒子
[00:23:03] 单个电荷
[00:23:04] 一架
[00:23:05] 非选择性
[00:23:06] 阳粒子通道
[00:23:08] 那个英文应该叫做
[00:23:09] None Selective
[00:23:11] None
[00:23:12] None
[00:23:13] 划一个小横杆
[00:23:14] Select
[00:23:15] 选择
[00:23:15] S E L E C T
[00:23:17] I V E
[00:23:18] 复词形式
[00:23:19] None Selective
[00:23:20] Cation
[00:23:20] Channel
[00:23:21] 你要改句也可以写下
[00:23:23] C A T I O N
[00:23:24] Cation
[00:23:25] 是杨立子的一个专业术语
[00:23:27] Channel
[00:23:27] C H
[00:23:28] A N E L
[00:23:30] Channel
[00:23:31] 通道
[00:23:32] 非选择性的
[00:23:34] 一架
[00:23:35] 一样子通道
[00:23:37] 强调这个通道
[00:23:38] 粒子选择性不强
[00:23:40] 一架的
[00:23:41] 所以主要对那和甲通头
[00:23:43] 对钙通头性很小
[00:23:45] 你在复习第一节里边强调
[00:23:47] 通道具有两个特性
[00:23:48] 门控特性
[00:23:49] 粒子选择性
[00:23:51] 都这要用
[00:23:51] 这都要用的
[00:23:53] 所以终板膜一个是长着这么通道
[00:23:56] 第二个还有一个更重要的结构
[00:23:58] 叫单间纸媒
[00:24:00] 在这一章的第二节
[00:24:03] 咱们谈信号转导时候谈过
[00:24:05] 第二性是比如AC
[00:24:07] 线杆算化完美
[00:24:08] 能催化心肌细胞内部
[00:24:10] ATP
[00:24:11] 缓化成CMP
[00:24:12] 缓化成酸线杆
[00:24:13] 第二性是
[00:24:15] 催化完并没有结束
[00:24:16] 加上这个第二性是激活PK
[00:24:18] ATK这样
[00:24:19] 心肌细胞钙通头蛋白发生磷酸化
[00:24:21] 磷酸化休逝
[00:24:22] 完了以后
[00:24:23] 这个CMP就被PDE给降解掉了
[00:24:27] 第二件你还记得不
[00:24:28] 磷酸二支媒
[00:24:29] 它是一个降解媒
[00:24:30] 实际上在神经基接头这
[00:24:32] 前膜将来释放单间
[00:24:34] 单间释放出来以后
[00:24:36] 和后膜这个二二收体结合一下
[00:24:37] 你看这是单间门控的一个二二线收体
[00:24:41] 一控制通道一开放
[00:24:42] 那就是一流动
[00:24:43] 流动完了以后
[00:24:44] 单间次节通道开放完之后
[00:24:46] 单间就没有用了
[00:24:47] 就及时的被单间
