行号	误识	纠正为	置信度	原句
1868	磁基素	雌激素	high	磁基素对于女性的生殖系统的结构和功能
1920	运剂素	孕激素	high	磁基础和运剂素对宫颈液分泌
2021	测激素	促激素	medium	测激素
2133	次激素	雌激素	high	失去了次激素的天然保护
2137	复返回	负反馈	medium	有复返回和正反馈两种
2140	次激素	雌激素	high	次激素的中枢作用
2146	次激素	雌激素	high	次激素缺乏
2254	磁激素	雌激素	high	刚才是磁激素的
2258	运激素	孕激素	high	运激素接着往下走
2259	运激素	孕激素	high	运激素常常是在磁激素中的基础之上
2259	磁激素	雌激素	high	运激素常常是在磁激素中的基础之上
2261	磁激素	雌激素	high	所以磁激素是背景
2262	运激素	孕激素	high	运激素是它描绘一个特色
2267	磁激素	雌激素	high	磁激素
2268	磁激素	雌激素	high	磁激素让子宫内膜增生
2269	运激素	孕激素	high	运激素让子宫内膜分泌
2277	运激素	孕激素	high	运激素也叫保胎药
2282	磁激素	雌激素	high	你看这一点和磁激素相反了吧
2289	运激素	孕激素	high	运激素哪来的
2292	磁激素	雌激素	high	磁激素第二次高分和运激素
2292	运激素	孕激素	high	磁激素第二次高分和运激素
2293	运激素	孕激素	high	运激素出来以后
2303	磁激素	雌激素	high	磁激素与磁激素是相反的作用
2303	磁激素	雌激素	high	磁激素与磁激素是相反的作用
2307	磁激素	雌激素	high	在磁激素的作用基础之上
2309	磁激素	雌激素	high	所以磁激素是导广的事
2310	运激素	孕激素	high	运激素是腺泡的事
2315	复返回	负反馈	medium	复返回抑制
2317	复返回	负反馈	medium	复返回的
2319	磁激素	雌激素	high	由于血中高浓度的磁激素
2340	运激素	孕激素	high	是运激素
2341	运激素	孕激素	high	运激素一个高浓度的运激素
2341	运激素	孕激素	high	运激素一个高浓度的运激素
2342	复返会	负反馈	medium	复返会抑制
2343	复返会	负反馈	medium	复返会在这体现着
2347	运激素	孕激素	high	运激素可以增强嫩肋代谢
2352	运激素	孕激素	high	排卵后的运激素分泌增加
2364	运激素	孕激素	high	运激素能够使得血管和消化道张力下降
2366	运激素	孕激素	high	因为体内运激素水平增高
2400	瘾激素	孕激素	medium	刺激素和瘾激素作用也是相反的
2411	瘾激素	孕激素	medium	刺激素 瘾激素
2558	磁基素	雌激素	high	而再加上磁基素
2569	磁基素	雌激素	high	所以上面这个磁基素
2571	克里细胞	颗粒细胞	high	它通过克里细胞抑制素
2572	磁基素	雌激素	high	那么磁基素的高峰
2581	磁基素	雌激素	high	分泌大量磁基素
2582	磁基素	雌激素	high	磁基素第二次高峰
2589	孕肌素	孕激素	high	到底孕肌素磁基素是怎么作用
2589	磁基素	雌激素	high	到底孕肌素磁基素是怎么作用
2592	磁基素	雌激素	high	磁基素
2594	孕肌素	孕激素	high	孕肌素
2600	磁基素	雌激素	high	卵泡器的时候磁基素为主
2603	孕肌素	孕激素	high	加上孕肌素
2604	孕肌素	孕激素	high	孕肌素就在增殖基础之上
2766	靶线轴	靶腺轴	high	这是三条靶线轴其中一条
2768	靶线轴	靶腺轴	high	三条靶线轴四个促激素
2770	下秋脑	下丘脑	high	第一个就是下秋脑血液体的
2773	下秋脑	下丘脑	high	于宁州其是下秋脑血液体乱炒三轴
2776	靶线轴	靶腺轴	high	这个靶线轴活动
2779	下秋脑	下丘脑	high	下秋脑的GNRH
2811	复反馈	负反馈	high	主要进行复反馈
2819	复反馈	负反馈	high	对FSH的复反馈
2907	运激素	孕激素	high	尤其是运激素增加更为明显
2910	运激素	孕激素	high	和运激素的高峰
2913	运激素	孕激素	high	运激素在黄体期才有
2915	运激素	孕激素	high	没有被运激素高峰
2924	运激素	孕激素	high	大腊运激素
2927	复繁会	负反馈	medium	对下腸道腺内的复繁会调节作用
2928	复繁会	负反馈	medium	黄体期的复繁会
2936	复繁会	负反馈	medium	它的复繁会作用
3000	绝境期	绝经期	high	为绝境期
3014	绝境期	绝经期	high	生殖功能也随之完全丧失进入绝境期
