行号	误识	纠正为	置信度	原句
305	超几话	超极化	high	超几话怎么就正了,
306	去几话	去极化	high	去几话怎么就负了,这个得专门做个解释。
307	去几话	去极化	high	去几话超几话呀,
307	超几话	超极化	high	去几话超几话呀,
318	动作点位	动作电位	high	铲除坐骨肺神经,神经感动作点位,
343	超级化	超极化	high	什么叫超级化呀?
346	超级化	超极化	high	叫超级化,
348	超级化	超极化	high	这个点超级化了,
349	超级化	超极化	high	这个点没有超级化,
351	超级化	超极化	high	这个是超级化的啊,
352	超级化	超极化	high	这个没有超级化,
354	超级化	超极化	high	哪个地方超级化从外看,
366	超级化	超极化	high	那么一个细胞膜越超级化,
369	超级化	超极化	high	负100就叫超级化,
371	超级化	超极化	high	哪个地方超级化,
374	超级化	超极化	high	所以超级化就叫正后电位,
375	去级化	去极化	high	去级化就叫负后电位,
384	后超级化	后超极化	high	正后电位就叫后超级化,
386	超级化	超极化	high	超级化的部分,
387	预电位	阈电位	high	膜电位距离预电位-50毫伏,
395	预电位	阈电位	high	就是看膜电位和预电位的差距,
396	超级化	超极化	high	超级化的时候,
397	预电位	阈电位	high	因为膜电位距离预电位更远,
408	超长期	超常期	high	超长期,
409	低长期	低常期	high	低长期,
439	假漏通道	钾漏通道	high	假漏通道,
454	假漏通道	钾漏通道	high	就不是假漏通道,
465	假漏通道	钾漏通道	high	你发现神经细胞是假漏通道,
477	中板电位	终板电位	high	中板电位一翻一翻,
478	中板膜	终板膜	high	中板膜是怎么产生电位的,
479	中板膜	终板膜	high	是中板膜长了一个N2型的液解受体,
483	中板膜	终板膜	high	中板膜突然对钠粒子和甲粒子就具有了通透性,
485	中板膜	终板膜	high	中板膜的N2型受体就是最典型的通道,
492	中板电位	终板电位	high	最后产生一个中板电位,
495	中板电位	终板电位	high	中板电位是动作电位吗,
516	超长期	超常期	high	超长期也好理解,
518	复计化	复极化	high	膜已经复计化的快靠近进系列位了,
525	复计化	复极化	high	所以把复计化的一个阶段,
527	膜点位	膜电位	high	但是膜点位还处于趋激化状态,
527	趋激化	去极化	high	但是膜点位还处于趋激化状态,
531	复计化	复极化	high	复计化到-60到-70这一段的时候,
533	预点位	阈电位	high	但是它的距离到预点位,
536	超长期	超常期	high	叫超长期,
539	低长期	低常期	high	正好就是低长期,
544	膜点位	膜电位	high	看膜点位,
545	预点位	阈电位	high	到预点位差距,
604	预点位	阈电位	high	你还基本动作点被产生,预点位,
608	复计化	复极化	high	那结果现在摩尔复计化幅就好,复计化幅就好,比如方,
608	复计化	复极化	high	那结果现在摩尔复计化幅就好,复计化幅就好,比如方,
609	复计化	复极化	high	比方说复计化幅到40毫伏,
621	复计化	复极化	high	但是摩尔现在只复计化到复伏40,
663	预电位	阈电位	high	预电位的本质,
672	预电位	阈电位	high	预电位的本质,
693	复机化	复极化	high	但是现在膜正在复机化,
