# 源音频：P70-生理学本科教学及考研基础课 p70 内分泌-第五节（肾上腺）.m4a
# 时长：3465s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:18] 好同学们,就像前面咱们谈过内分泌这个系统呀,东西特别杂,特别碎,特别多。
[00:06:39] 就能帮咱们理解一下,
[00:06:41] 氢化可提松这样一个词,
[00:06:43] 嗯,这样的,
[00:06:46] 所以现在尽管结构上可能是球状,
[00:06:48] 树状,网络,
[00:06:48] 你接下来看三层结构,
[00:06:50] 但是对于树状和网络带的这个功能的画风,
[00:06:54] 似乎就没越来那么明朗,
[00:06:55] 因为咱们伴随着科研技术提高,
[00:06:58] 好多知识看得越来越精准,
[00:07:00] 听过就好了,
[00:07:01] 无能物和这一组皮质激素呀,
[00:07:03] 都是固醇的衍生物,
[00:07:06] 所以也把它称之为载体激素,
[00:07:08] 嗯,这是一个基本常识,
[00:07:10] 听过去就好了,
[00:07:11] 接着往下看,
[00:07:13] 这一组激素像,
[00:07:14] 啊,
[00:07:14] 内蜂蜜一开始咱们谈,
[00:07:16] 这是变形的一组脂溶性激素,
[00:07:19] 那这样的话,
[00:07:19] 在血液运输的时候,
[00:07:21] 它就必须得有塞质蛋白,
[00:07:22] 要不它溶解不了,
[00:07:24] 所以说皮质醇与血中,
[00:07:27] 皮质内固醇结合去的蛋白叫CBG,
[00:07:29] 嗯,
[00:07:30] 就好像看起来像是中央上午区一样,
[00:07:33] 呃,
[00:07:33] 包括白蛋白与它们结合,
[00:07:35] 其中是以CBG结合为主的,
[00:07:38] 当血中皮质醇大量增多的时候,
[00:07:40] 可以出现少量优历性的皮质醇,
[00:07:43] 所以实际上,
[00:07:44] 基础就是这样,
[00:07:45] 大多数结合它少量是优异,
[00:07:47] 甲醇腺素其实也是这样的,
[00:07:49] 目前认为CBG对皮质醇的转运,
[00:07:52] 起一个储存作用,
[00:07:53] 而油里的激素对细胞和组织,
[00:07:56] 才发挥激素的一个即刻的生物学效应,
[00:07:59] 所以尽管它是结合的,
[00:08:01] 但是你要发挥作用的时候,
[00:08:02] 得首先从蛋白质上解离一下,
[00:08:04] 这样才去发挥作用,
[00:08:06] 这么个样子,
[00:08:07] 嗯,
[00:08:07] 运输,
[00:08:08] 醛固酮,
[00:08:09] 盐皮质激素,
[00:08:11] 它在血中,
[00:08:12] 这个与血中白蛋白以及CBG结合,
[00:08:14] 就很少,
[00:08:15] 主要是油里状态存在和运输的,
[00:08:17] 细胞质有它专门的一个结合蛋白,
[00:08:19] 这个大家咱们听一下,
[00:08:20] 就所谓脂溶性激素,
[00:08:21] 一定是结合之后,
[00:08:23] 具有的水溶性的特征,
[00:08:26] 它才能运输,
[00:08:27] 所以许江蛋白很大程度上,
[00:08:29] 就是一个材质蛋白的概念,
[00:08:31] 它运输各种各样质类物质,
[00:08:33] 当然还有其他作用,
[00:08:36] 第三块还有灭火,
[00:08:37] 激素的生成是一回事,
[00:08:40] 灭火是另一回事,
[00:08:41] 剩下的一些皮质激素,
[00:08:42] 代谢灭火主要场所是在肝脏,
[00:08:45] 所以肝脏的解毒作用,
[00:08:46] 转化作用,
[00:08:47] 糖益生作用,
[00:08:48] 是吧,
[00:08:49] 蛋白质合成作用,
[00:08:50] 它作用很多,
[00:08:51] 特别还有藏武家医学,
[00:08:52] 药理学的时候,
[00:08:53] 二不美,
[00:08:54] 大多数的药物,
[00:08:55] 很多药物都是在肝脏,
[00:08:57] 降进,
[00:08:58] 从外到体外的,
[00:08:59] 是这个样子,
[00:09:00] 所以它大多数的激素还是在肝脏,
[00:09:02] 灭火产生葡萄酸确酸质和硫酸质,
[00:09:06] 以及肺结核的代谢物,
[00:09:07] 所以尿液排到体外,
[00:09:10] 灭火,
[00:09:10] 在整个皮质功能这一块,
[00:09:15] 因为醛固酮咱们从胸环系统,
[00:09:18] 所谓的RAS,
[00:09:19] 肾素胸环系统,
[00:09:20] 醛固酮系统,
[00:09:21] 到特别是肾脏,
[00:09:23] 你还记得,
[00:09:23] 约达效果后半段,
[00:09:24] 有一个醛固酮敏感的纳通道,
[00:09:27] 从那个地方,
[00:09:28] 咱们很谨慎提了一个词,
[00:09:30] 说你一定要注意,
[00:09:31] 约区效果的起始和后半段,
[00:09:33] 纳的吸收形式不一样,
[00:09:36] 前半段叫纳氯的同向转运,
[00:09:38] 全称叫做塞氢敏感,
[00:09:40] 纳的同向转运体,
[00:09:41] 后半段的话就叫醛固酮敏感纳通道了,
[00:09:44] 所以后半段这一块,
[00:09:47] 纳粒子是以通道形式吸收的,
[00:09:49] 纳走了之后,
[00:09:50] 氯没有走,
[00:09:51] 留下氯的这么一个负点位,
[00:09:53] 造成小管液产生变差,
[00:09:55] 所以纳的吸收,
[00:09:57] 源源不断的给甲的分泌,
[00:09:59] 在提供驱动力,
[00:10:00] 因此提出一个词来说,
[00:10:02] 你学到这个地方,
[00:10:03] 你一定要注意,
[00:10:04] 学完肾脏生理学的醛固酮以后,
[00:10:06] 你得想明白一个事儿,
[00:10:07] 什么事儿呀,
[00:10:08] 叫做保钾利尿剂,
[00:10:11] 为何?
[00:10:11] 因为肾脏能保甲,
[00:10:12] 它是个电场的物品,
[00:10:13] 实际上本质上还是一个醛固酮敏感纳通道的物品,
[00:10:16] 好多同学学到这个地方,
[00:10:17] 又忘了醛固酮了,
[00:10:19] 为什么这样突然感慨一下,
[00:10:20] 因为这一块咱们谈到,
[00:10:22] 肾上一些皮质功能的时候,
[00:10:24] 对于醛固酮产生比较少,
[00:10:26] 前面讲过了,
[00:10:27] 所以这一节里边主要谈的是谁,
[00:10:28] 是糖皮质激素,
[00:10:30] 就刚才讲到的氢化,
[00:10:31] 氢化可提松,
[00:10:32] 氢化可提松对于三大物质代系,
[00:10:34] 对于机体的生长发育等等,
[00:10:36] 也都是有很多的非常广泛作用的,
[00:10:39] 大概很多医学生学到这一节的时候,
[00:10:42] 第一个激动的词,
[00:10:44] 在那封面第一节咱们谈了,
[00:10:45] 激素间相互作用的时候,
[00:10:47] 有个作用叫做允许作用,
[00:10:50] 糖皮质激素,
[00:10:51] 尽管它本身,
[00:10:52] 它并不去激动心血管系统,
[00:10:55] 但是没有糖皮质激素的时候,
[00:10:56] 你皮质功能低下,
[00:10:58] 病人的血压就起不来,
[00:10:59] 所以它对于儿茶酚胺,
[00:11:02] 作用心血管系统的这么一个作用,
[00:11:04] 产生一个允许,
[00:11:05] 它不干活,
[00:11:06] 但是它要不给你签个字,
[00:11:08] 你还干不了,
[00:11:09] 就这么个意思,
[00:11:10] 挺讨厌这个家伙,
[00:11:11] 这个样子的,
[00:11:12] 所以接着一段段往下看,
[00:11:14] 第一块就是对于物理代谢的作用,
[00:11:16] 包括糖,
[00:11:17] 蛋白质脂肪,
[00:11:18] 一些水盐都有作用,
[00:11:19] 里边糖,
[00:11:20] 促进肝的糖液一升,
[00:11:22] 抑制胰岛素与受体结合,
[00:11:23] 这样的话就自然把血糖升高了,
[00:11:26] 所以你看生长激素会生糖,
[00:11:27] 降糖线素会生糖,
[00:11:29] 糖皮质激素,
[00:11:29] 糖皮质激素当然生糖,
[00:11:31] 所以说我考试就逗学生玩,
[00:11:33] 和同学们,
[00:11:33] 众所周知糖皮质激素是要生糖的,
[00:11:36] 你说醛固酮生糖,
[00:11:38] 你听那名字,
[00:11:39] 醛固酮叫盐皮质激素,
[00:11:41] 那它生糖,
[00:11:42] 干嘛不给我拿好多多关系来试,
[00:11:43] 所以好多人一问就杀了,
[00:11:45] 说我没背过,
[00:11:46] 醛固酮生糖不,
[00:11:48] 你再听一下,
[00:11:48] 叫什么,
[00:11:49] 叫水盐激素,
[00:11:51] 干糖皮啥呀,
[00:11:52] 这个样子,
[00:11:53] 所以这个糖的作用还是很有意思的,
[00:11:56] 通过升高血糖,
[00:11:58] 分泌增加以后糖增高,
[00:11:59] 我们称之为内部纯性的糖尿,
[00:12:02] 就像生长激素多了以后,
[00:12:03] 咱们叫垂体性糖尿一样,
[00:12:05] 它要生糖的,
[00:12:06] 代替质促进肝胃组织代替质分解,
[00:12:10] 特别是肌肉代替质,
[00:12:11] 抑制代替质合成,
[00:12:12] 所以这样的话会造成血液中的
[00:12:14] 氨基酸水平增高,
[00:12:16] 分泌增加之后生长停滞,
[00:12:18] 它代替质是分解的,
[00:12:19] 所以这样骨质疏松,
[00:12:21] 创口难以愈合,
[00:12:23] 因此说使用大剂量的糖皮质激素呀,
[00:12:26] 对于患者,
[00:12:27] 万一需要做手术的话,
[00:12:28] 你要注意创口的难易,
[00:12:31] 包括将来学内科学的时候,
[00:12:32] 糖尿病患者做手术是很忌讳的,
[00:12:35] 糖尿病患者术前,
[00:12:37] 一定请内蜂蜜会诊,
[00:12:39] 把糖控制一个理想的水平,
[00:12:41] 那么一个糖尿病人做手术的话,
[00:12:43] 糖是不是越低越好,
[00:12:45] 读了外科总论才发现不是,
[00:12:47] 允许它高一点,
[00:12:49] 给它维持在8到10个毫摩尔左右,
[00:12:53] 这样反而安全,
[00:12:54] 所以尽管是糖尿病病人
[00:12:55] 术前需要控制糖,
[00:12:57] 但不能把糖控制太低,
[00:12:59] 术前的患者糖不是越低越好,
[00:13:01] 是稍高一点,
[00:13:02] 反而安全,
[00:13:04] 所以这样的话,
[00:13:04] 你有没有见过,
[00:13:05] 没有学过,
[00:13:06] 你就是不会,
[00:13:06] 为什么说解读失果,
[00:13:08] 就这么个词,
[00:13:09] 糖代表质,
[00:13:10] 第三块咱们刚才说脂肪,
[00:13:12] 促进脂肪的分解,
[00:13:14] 动员脂肪,
[00:13:15] 重新分布,
[00:13:16] 所以讲到这儿,
[00:13:17] 我喜欢说一句话,
[00:13:17] 说脂肪分解加强不是毛病,
[00:13:19] 脂肪的重新分布才是问题,
[00:13:23] 因为分解加强,
[00:13:24] 所以脂内的那些产物,
[00:13:26] 酮体,
[00:13:27] 生化这边咱们学过,
[00:13:28] 冰酮酸,
[00:13:29] 碧达强酸,
[00:13:29] 冰酸,
[00:13:29] 你先一酸,
[00:13:30] 三大酮体,
[00:13:31] 就会汗腊增高,
[00:13:32] 那么脂肪重新分布以后,
[00:13:34] 就是这个视野图看的非常,
[00:13:36] 这个视图几十年没有变过,
[00:13:37] 我们称之为向心肥胖,
[00:13:39] 满月脸,
[00:13:41] 水牛背,
[00:13:42] 八福,
[00:13:42] 水牛背,
[00:13:43] 另外它对水盐也是有作用的,
[00:13:46] 实际上糖尿素激素,
[00:13:48] 也有类似瘸骨酮作用,
[00:13:49] 抑制ADH的分泌,
[00:13:51] 增加GFR,
[00:13:52] 就是生肖区域过滤,
[00:13:54] 但是它的活性只有瘸骨酮,
[00:13:55] 四百分之一,
[00:13:57] 分泌减少的时候,
[00:13:58] 患者是会发生水中毒的,
[00:14:00] 所以水中毒又成了医学生一个共同的一个,
[00:14:03] 一个心痛到无法呼吸的一个词了,
[00:14:06] 它得往专门讲一下,
[00:14:08] 水中毒,
[00:14:09] 咱们老以为是什么,
[00:14:10] 是水多,
[00:14:10] 把人家进浸泡在水里把人家给泡死,
[00:14:13] 那也不是,
[00:14:14] 呦,
[00:14:14] 就来淹死了,
[00:14:15] 不是,
[00:14:16] 水中毒实际上无关乎体内水的总量多少,
[00:14:20] 本质上看什么叫水中毒,
[00:14:22] 不是体内水多了,
[00:14:23] 体内水也可能会多,
[00:14:25] 但是不是问题,
[00:14:26] 是什么问题,
[00:14:27] 是细胞内部水太多了,
[00:14:29] 细胞内,
[00:14:30] 细胞内水太多了以后,
[00:14:32] 造成细胞内部的胞质的渗透,
[00:14:33] 牙改变,
[00:14:34] 霉的活性等等发生变化,
[00:14:36] 这个引发组织细胞代谢障碍,
[00:14:40] 这个情况咱们叫水中毒,
[00:14:41] 所以你一定不能把水中毒横切,
[00:14:43] 不利,
[00:14:43] 你就听那说,
[00:14:44] 说看了看这个皮促激素功能不够,
[00:14:47] 不够,
[00:14:48] 应该没有全功能做,
[00:14:49] 应该是水源丢失了,
[00:14:51] 是怎么共毒了,
[00:14:52] 哎,
[00:14:52] 所以水源丢失,
[00:14:53] 全身总的水量少,
[00:14:55] 水量少,
[00:14:56] 你打个比方说,
[00:14:57] 低渗性脱水,
[00:14:59] 机体是脱水了,
[00:15:00] 总量不够,
[00:15:01] 但是由于这个脱水的性质是丢失盐,
[00:15:04] 比丢失水多,
[00:15:05] 那么组织也许将渗透压降低,
[00:15:07] 你想你还记得学业那一章,
[00:15:10] 晶体渗透压维持细胞内外水的平衡,
[00:15:13] 胶渗压维持血管内外水的平衡,
[00:15:16] 如果机体丢失盐,
[00:15:18] 比丢失水多的时候,
[00:15:19] 那么水就会跑到细胞内,
[00:15:21] 你体会着劲,
[00:15:23] 所以高渗脱水,
[00:15:24] 等渗脱水,
[00:15:25] 低渗脱水,
[00:15:25] 在达尔杂谋学生理学老师们一般,
[00:15:28] 不会讲那么细腻,
[00:15:30] 也没必要到大四大五学外科学再说,
[00:15:32] 所以这边才发现,
[00:15:33] 外科学上会强调,
[00:15:35] 外科学它会强调,
[00:15:37] 极性脱水,
[00:15:39] 你比如说夏天太热,
[00:15:42] 大量出汗,
[00:15:43] 或者是机体失血,
[00:15:46] 失业,
[00:15:46] 都是液体太多,
[00:15:48] 极性脱水的时候,
[00:15:49] 大多是等生或高生的,
[00:15:51] 临床特别在外科学上常得位,
[00:15:53] 这样的情况,
[00:15:54] 很容易发生慢性脱水,
[00:15:55] 机体的液体一直在流失,
[00:15:58] 包括内科学的肝硬化,
[00:16:00] 所以极性脱水大多是等生或高生的,
[00:16:03] 而慢性脱水,
[00:16:04] 大多是低生的,
[00:16:07] 所以听到这句话,
[00:16:08] 你不妨打到弹幕上,
[00:16:09] 如果有同学感兴趣,
[00:16:10] 打开外科学读一下,
[00:16:11] 外科学是有原话的,
[00:16:13] 我们没有这么一个细腻的,
[00:16:15] 或者是愿意去,
[00:16:17] 明察求好的方式掌握知识的话,
[00:16:20] 整个课听过去以后,
[00:16:22] 该录不该录都漏了,
[00:16:23] 缺留下一点莫名其妙的碎片,
[00:16:26] 所以有时候当老师的在B站,
[00:16:28] 在微博,
[00:16:28] 你还进来录会儿课吧,
[00:16:29] 有时候手机看一会儿,
[00:16:30] 回答点问题,
[00:16:31] 早就的学生问题很不靠谱,
[00:16:33] 为什么?
[00:16:34] 因为知识不系统,
[00:16:36] 对于一个系统知识没有建立之前的一个学生来说,
[00:16:40] 哪一句话都会产生纠结,
[00:16:43] 对了,
[00:16:44] 所以一定有一个初步的系统化知识以后,
[00:16:48] 再去做专业探讨,
[00:16:51] 所以刚才世界上的同学,
[00:16:52] 我还在说说,
[00:16:53] 你总得有一点积累以后,
[00:16:55] 你总不能指望一个卖白菜的大妈,
[00:16:57] 和一个医学教授,
[00:16:58] 去探讨一下有关心肌根死以后,
[00:17:00] 心肌细胞的缺血在冠状素上的机制吧,
[00:17:03] 是氧化引机吗?
[00:17:06] 是奇化酶吗?
[00:17:07] 你探讨不了,
[00:17:09] 对了,
[00:17:09] 你得有点积累,
[00:17:10] 嗯,
[00:17:11] 走错教师了,
[00:17:13] 行了,
[00:17:13] 没有恶意啊,
[00:17:14] 所以这张课件啊,
[00:17:15] 就是希望能把这个图记得一辈子不要忘,
[00:17:17] 满为了水牛背,
[00:17:19] 另外就皮下有很多的颜色发紫的紫纹,
[00:17:23] 你听到这儿,
[00:17:23] 你不用再去肚皮看,
[00:17:24] 每个人肚皮上都有这样的纹,
[00:17:26] 叫生长纹,
[00:17:27] 不管是膝关节,
[00:17:28] 啊,
[00:17:29] 髋关节周围啊,
[00:17:30] 或者是胖点的腹壁,
[00:17:32] 但注意咱们的生长纹是白色的,
[00:17:34] 另外还有妈妈生完孩子后,
[00:17:36] 腹部的那个热身纹,
[00:17:37] 它都是白色的,
[00:17:38] 又,
[00:17:39] 纹不是问题,
[00:17:40] 发紫才是毛病,
[00:17:42] 世界上主要是代表着分解以后啊,
[00:17:45] 皮下的代表质太少,
[00:17:46] 皮肤太肥薄,
[00:17:48] 把皮下一些血管,
[00:17:49] 暴露出来颜色发深了,
[00:17:51] 就是这个样子,
[00:17:52] 嗯,
[00:17:53] 下来血细胞,
[00:17:55] 为什么这块东西特别多,
[00:17:56] 特别重要,
[00:17:57] 一定要往下读,
[00:17:58] 血细胞,
[00:17:59] 糖,
[00:18:00] 糖片激素能增加或者促进骨髓造血,
[00:18:04] 所以说这个地方也没可能多听一句话,
[00:18:05] 比如说在脏的患者,
[00:18:07] 咱们是要打激素的,
[00:18:08] 到那刻就我在详细讲机制,
[00:18:10] 但你至少知道在脏病人在身上,
[00:18:12] 一些贫血不造血吧,
[00:18:13] 那么怎么办,
[00:18:14] 打激素,
[00:18:15] 甚至还可以打熊激素,
[00:18:17] 安熊,
[00:18:18] 这些熊激素人工合成的,
[00:18:20] 能抑制淋巴细胞生成和促掉了,
[00:18:23] 促使附着在血管壁的中心粒细胞进入血胸环,
[00:18:27] 促进肺脏和脾脏等的对于失散粒细胞的储存,
[00:18:30] 等等,
[00:18:31] 所以它对血液系统作用还是很大的,
[00:18:33] 如果能够抑制淋巴细胞生成和促掉网的话,
[00:18:36] 加速一个细胞的掉网,
[00:18:38] 甚至是坏死,
[00:18:39] 所以对于治疗在脏,
[00:18:41] 治疗白血病,
[00:18:42] 治疗造血系统猛乱,
[00:18:43] 包括淋巴系统猛乱,
[00:18:44] 它就有一定意义,
[00:18:46] 红细胞生成增加,
[00:18:48] 血压板生成增加,
[00:18:49] 你看在脏,
[00:18:49] 是吧,
[00:18:50] 淋巴细胞减少,
[00:18:51] 而淋巴细胞的白血病,
[00:18:53] 它就有作用,
[00:18:54] 中心粒细胞增加,
[00:18:55] 适算粒细胞减少,
[00:18:56] 这么一个作用,
[00:18:57] 胃屏障,
[00:18:58] 糖皮质激素会促进胃酸和胃蛋白胃的分泌,
[00:19:02] 抑制胃黏液分泌,
[00:19:04] 加速胃的伤皮细胞脱落,
[00:19:05] 所以这样的话会容易造成胃的黏液碳酸氢液屏障,
[00:19:10] 甚至黏膜屏障破坏,
[00:19:11] 诱发或加剧胃溃疡,
[00:19:14] 用激素去这个套热剂负重特别大,
[00:19:17] 嗯,
[00:19:17] 这是胃屏障,
[00:19:18] 胸怀系统,
[00:19:19] 刚才讲过,
[00:19:20] 也允许作用,
[00:19:21] 所以在皮质酮能低下的时候,
[00:19:24] 患者容易表现低血压,
[00:19:25] 爱滴生病,
[00:19:27] 我们那话叫爱滴生病,
[00:19:28] 现在人家这个新版的教课就叫爱滴生病,
[00:19:31] 皮质酮能抗净的叫苦心,
[00:19:34] 苦死,
[00:19:35] C-U-S-H-I-N-G,
[00:19:37] 苦心病,
[00:19:38] 苦心真,
[00:19:39] 那么皮质酮能低下的叫爱滴生病,
[00:19:41] 一会儿咱们看到,
[00:19:43] 刺白剧神经系统,
[00:19:44] 糖皮质素能提高中心维度的性分,
[00:19:47] 这一点有点与甲状腺素相似,
[00:19:50] 你突然发现,
[00:19:51] 学到这个地方,
[00:19:52] 生长激素,
[00:19:52] 甲状腺素,
[00:19:53] 糖皮质素,
[00:19:54] 对糖都是升高的,
[00:19:55] 剩下你比如说,
[00:19:57] 生长激素,
[00:19:58] 还有春心糖尿的概念,
[00:20:00] 甲状腺素你还记得不?
[00:20:01] 这个甲抗导患者,
[00:20:03] 低胆固醇血症,
[00:20:05] 甲状腺素对于正常水平,
[00:20:07] 对于胆白质合成是增加的,
[00:20:09] 病理水平是降解的,
[00:20:11] 甲状腺素的三大物质带系特点,
[00:20:13] 就是蛋白质,
[00:20:15] 糖皮质的特点,
[00:20:17] 脂肪不是分解,
[00:20:18] 也不是合成,
[00:20:19] 当然是分解加强,
[00:20:20] 这不是毛病,
[00:20:21] 毛病在于脂肪重新分布,
[00:20:24] 所以说到内风病中比较麻烦,
[00:20:26] 就是糖代表着脂肪,
[00:20:27] 咱们这一章一开始讲一句话,
[00:20:29] 看起来,
[00:20:31] 似乎是生糖的激素千千万,
[00:20:34] 降糖激素就一个,
[00:20:36] 为什么咱们一直感慨说,
[00:20:37] 似乎在体内,
[00:20:39] 降糖才是天均第一的,
[00:20:42] 生糖它就大逆不道,
[00:20:44] 你越往后面去,
[00:20:45] 这种感受就越深,
[00:20:47] 嗯,
[00:20:47] 那么糖皮的激素对食用系统的信奉性,
[00:20:50] 是能看见的,
[00:20:51] 小剂量有心快感,
[00:20:53] 大剂量就思维不能,
[00:20:54] 注意力集中不了,
[00:20:55] 烦躁失眠等等,
[00:20:57] 我讲到这个地方,
[00:20:58] 因为年轻时候,
[00:20:59] 我自己当医生以后,
[00:21:00] 没有亲自碰到过,
[00:21:02] 但我实习是碰到过爱丽生案例的,
[00:21:05] 爱丽生病,
[00:21:05] 就皮质功能低下,
[00:21:07] 这个医学内科学你不容易忘,
[00:21:09] 它是小关节,
[00:21:10] 指尖这个小关节,
[00:21:11] 举前一辈子没洗过呀,
[00:21:12] 黑乎乎的,
[00:21:14] 小孩这种不洗澡,
[00:21:14] 肚皮黑乎乎的,
[00:21:16] 色素成拙,
[00:21:17] 生殖淡漠,
[00:21:19] 血压逼,
[00:21:20] 脉搏慢,
