行号	误识	纠正为	置信度	原句
757	超长期	超常期	high	那么超长期最好理解,
760	复即化	复极化	high	不需要完全复即化作,
782	超长期	超常期	high	所以这一段就叫超长期,
810	超长期	超常期	high	超长期是,
933	封点位	锋电位	high	封点位,
934	封点位	锋电位	high	还没动就封点位,
935	封点位	锋电位	high	还没动就封点位,
964	动作点位	动作电位	high	动作点位的时程,
986	峰点位	锋电位	high	峰点位更短一点,
995	动作点位	动作电位	high	能产生几次动作点位,
1018	动作点位	动作电位	high	一秒钟最多几个动作点位,
1023	动作点位	动作电位	high	一个心肌细胞一秒钟能发生5次动作点位,
1024	动作点位	动作电位	high	而一个骨骼肌细胞一秒钟能发生250次动作点位,
1038	完全强制收缩	完全强直收缩	high	就能发生不完全强制收缩,
1047	动作点位	动作电位	high	我想让这个细胞动作点位一下,
1083	腹肌化	复极化	high	心室肌细胞东西的腹肌化过程中,
1145	心律市场	心律失常	high	属于心律市场的一种情况,
1180	逗性戒律	窦性节律	high	都叫做逗性戒律,
1203	逗性戒律	窦性节律	high	非逗性戒律,
1210	意味起搏点	异位起搏点	high	称之为意味起搏点,
1247	取据化	去极化	medium	系数一起开始自动取据化,
1248	取据化	去极化	medium	谁自动取据化快,
1249	预点位	阈电位	high	谁先到预点位了,
1251	动作点位	动作电位	high	动作点位,
1256	预点位	阈电位	high	你还没有到你的预点位,
1315	去计划	去极化	high	从最大附近也不自动去计划,
1318	斗星节律	窦性节律	high	结果斗星节律,
1348	曲级化	去极化	high	我是不是曲级化一下,
1363	曲级化	去极化	high	我自己曲级化一下,
1367	曲级化	去极化	high	再曲级化,
1416	磨电位	膜电位	high	这样就把这个方式节的磨电位啊,
1432	预点位	阈电位	high	到你的预点位复五时,
1434	预点位	阈电位	high	预点位复五时,
1441	预点位	阈电位	high	距离预点位的差距,
1450	期自动区计划	期自动去极化	high	四期自动区计划的速度和幅度,
1456	复计划	复极化	high	我复计划结束以后,
1457	预点位	阈电位	high	慢慢往我的预点位跳,
1458	预点位	阈电位	high	我到我预点位的时候,
1459	动作点位	动作电位	high	动作点位一下,
1461	预点位	阈电位	high	再慢慢往预点位走,
1464	预点位	阈电位	high	距离预点位远了,
1466	区计划	去极化	high	你自动区计划速度太慢,
1473	钠甲泵	钠钾泵	high	细胞膜上的那个钠甲泵,
1474	钠甲泵	钠钾泵	high	钠甲泵是要产生电流的,
1476	超级化	超极化	high	发生微微的超级化,
1478	预点位	阈电位	high	到它自己预点位的差距,
1509	预点位	阈电位	high	最大伏击点位和预点位差距是20毫伏,
1512	预点位	阈电位	high	最大伏击点位和预点位差距变成30毫伏了,
1521	预点位	阈电位	high	最大的伏击点位和预点位差距,
1542	解抗剂	拮抗剂	high	R1F通道的解抗剂,
1559	雨点位	阈电位	high	在雨点位置,
1564	雨点位	阈电位	high	最大负极点位和雨点位差距,
1618	动作点位	动作电位	high	具有把它的动作点位
1731	房市严格	房室延搁	high	房市严格
1747	房市严格	房室延搁	high	叫房市严格delay
1766	房市严格	房室延搁	high	第三个房市严格
1774	房市严格	房室延搁	high	这个现象叫房市严格
1834	心脚痛	心绞痛	high	我又不是心脚痛
1835	管心病	冠心病	high	又不是管心病
1851	去激化	去极化	high	去激化的速度和幅度
1860	去激化	去极化	high	零期去激化的速度和幅度
1868	去激化	去极化	high	新石基细胞是那类流去激化的
1872	去激化	去极化	high	东方基细胞是该那流去激化的
1884	去激化	去极化	high	是心肌细胞零期去激化的速度和幅度
1902	去激化	去极化	high	在这儿去激化了
1905	去激化	去极化	high	负90去激化了
1906	去激化	去极化	high	而是在这儿去激化的
1912	去激化	去极化	high	要是在三期没有结束的时候去激化了
1920	超长期	超常期	high	超长期的时候有种传导慢
1921	超长期	超常期	high	超长期说的是
1928	超长期	超常期	high	超长期你是美了
1931	超长期	超常期	high	超长期是不是在复计划没有结束的时候
1931	复计划	复极化	high	超长期是不是在复计划没有结束的时候
1948	超长期	超常期	high	你在超长期兴奋的
1994	超长期	超常期	high	超长期
2001	心脚痛	心绞痛	high	心脚痛发生的时候
2003	复肌化	复极化	high	复肌化过程中
2004	曲肌化	去极化	high	额外发生曲肌化
2019	复肌化	复极化	high	完全复肌化之前的
2024	超长期	超常期	high	就到了这个超长期
2031	趋肌化	去极化	high	趋肌化
2045	复肌化	复极化	high	是在膜没有复肌化完成之前
2064	超长期	超常期	high	超长期
2081	复肌化	复极化	high	二是不复肌化
2083	复肌化	复极化	high	三复肌化基本就结束了
2085	复肌化	复极化	high	膜越复肌化
2086	复肌化	复极化	high	膜越复肌化
2090	趋肌化	去极化	high	膜如果额外趋肌化
2097	趋肌化	去极化	high	这个额外趋肌化
2111	摩点位	膜电位	high	纵轴是摩点位
2154	动作点位	动作电位	high	那么在正常心脏的动作点位之外
2160	动作点位	动作电位	high	这个额外的动作点位
2203	反击化	反极化	high	叫反击化超射
2306	去计划	去极化	high	去计划的一个波形
2307	副计划	复极化	high	T波是心室的副计划波形
2382	防时严格	房室延搁	high	防时严格
2398	副计划	复极化	high	副计划播
2409	副计划	复极化	high	三期的副计划
2415	副计划	复极化	high	副计划开始
2417	副计划	复极化	high	整个副计划结束
