# 源音频：P52-生理学本科教学及考研基础课 p52 神经系统3.m4a
# 时长：2886s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们上节课咱们简单的留了着突触之间的传递和神经肌肉接头处这种传递的一同点
[00:02:12] 这样类似于在医学里边应该属于最知名
[00:02:15] 最根本性的那个根目路上的一些词
[00:02:18] 你要不会
[00:02:19] 你整个思考就乱套了
[00:02:21] 所以今天中午的作者地方
[00:02:23] 昨天录了一小段春节后了
[00:02:24] 今天接着入课
[00:02:25] 入课前
[00:02:26] 我打开电脑之后
[00:02:28] 在在程序在打开之前
[00:02:30] 我翻翻手机
[00:02:31] 微博上同学提了很多问题
[00:02:33] 在想这个事
[00:02:34] 大概这个根目的词掌握的还不够多
[00:02:37] 不够熟
[00:02:38] 熟练
[00:02:38] 你不刚才我看同学在微博上提出来说
[00:02:41] 哎
[00:02:41] 这个血红蛋白不同的生理情况下
[00:02:43] 释放氧的速度怎么不一样
[00:02:45] 所以实际上这里边要么是你没听课
[00:02:48] 要么听课你没听明白
[00:02:49] 这考试要考你
[00:02:51] 血红蛋白将来把氧气释放给组织细胞使用
[00:02:56] 我讲和会谨慎讲一句话
[00:02:58] 那么主动权在血液手里
[00:03:01] 还是在组织细胞手里
[00:03:03] 实际上在组织细胞
[00:03:05] 做我的清学什么都知道
[00:03:06] 这考试要考下的点是什么
[00:03:08] 说
[00:03:09] 气体扩散的根本动力在哪里
[00:03:13] 在细胞膜两侧
[00:03:14] 该种气体的分压差
[00:03:16] 不是你血液想往外释放
[00:03:19] 就释放了
[00:03:20] 有碍你也表达不出去
[00:03:21] 人家需要的时候
[00:03:22] 产生了分压差值
[00:03:24] 你才能释放出去
[00:03:26] 所以你想细胞内部越代谢
[00:03:28] 氧分压的水平越低
[00:03:30] 实际上血液内部也一样
[00:03:31] 一直在往外释放
[00:03:32] 慢慢慢慢伴随着组织细胞内部氧分压下降
[00:03:35] 那么血液中
[00:03:37] 血浆中的溶解的氧气分压
[00:03:39] 也会在氧气中
[00:03:39] 也在想象
[00:03:40] 这个分压差值是在减小的
[00:03:42] 你想快你也快不了
[00:03:44] 但这样的话题是你学医学很多年之后
[00:03:47] 非常非常熟练
[00:03:49] 为什么熟练生巧
[00:03:50] 为什么说
[00:03:53] 拳打千遍
[00:03:55] 省力自尽
[00:03:56] 一台手碰到一个东西的时候
[00:03:59] 这个东西在一瞬间传导给你的
[00:04:01] 这个物体的弹性
[00:04:03] 重量速度
[00:04:05] 惯性方向
[00:04:07] 和力量的长度
[00:04:09] 就所谓那个
[00:04:10] 逃跑的
[00:04:10] 动静有多少
[00:04:11] 比如说身体碰到一个小树干
[00:04:13] 碰到一个铁皮的电线杆子
[00:04:17] 水泥的电线管子
[00:04:19] 类似于这样
[00:04:19] 这一瞬间身体能够反应
[00:04:21] 啪就出来了
[00:04:22] 但那个东西在武术上叫听劲
[00:04:25] 这个听劲得多少次
[00:04:30] 无限次的训练之后
[00:04:32] 才能到了身体上
[00:04:34] 不在脑子里
[00:04:35] in the body
[00:04:36] not the brain
[00:04:38] in the mind
[00:04:40] not the brain
[00:04:41] 在意识而不在脑子里
[00:04:43] 就这种东西
[00:04:44] 为什么我们读到内科外科
[00:04:46] 你看刚才微博里边还回答说
[00:04:48] 一个冠心病的病人
[00:04:50] 到底能不能与CCB
[00:04:51] 是啊
[00:04:52] 他是问了一个2005年的考题
[00:04:54] 这里边给他抗血下巴治疗
[00:04:56] 是吧
[00:04:57] 华发林抗凝治疗
[00:04:58] 或者低分子干素
[00:04:59] 急性期给低分子干素
[00:05:01] 慢性期给他华发林
[00:05:03] 都是抗凝
[00:05:04] 抗凝和抗凝差别怎么那么大呢
[00:05:06] 然后β组成剂
[00:05:08] 极大的环节
[00:05:10] 心肌细胞的损伤
[00:05:11] 包括环节交感成细分等等
[00:05:13] 本身世界上可能被他组成剂的
[00:05:15] 好处对于冠心病来说
[00:05:17] 比我们能想到的还要多一点
[00:05:19] 这是不能回避的一个好处
[00:05:21] 必须得用
[00:05:21] 这里边唯独CCB不在首选
[00:05:24] 世界上980科学家写的
[00:05:25] CCB能用不能
[00:05:26] 但是一般不做首选
[00:05:28] 除非是谁
[00:05:29] 便于心绞痛
[00:05:30] 所以你只关心人家能不能用
[00:05:33] 而不关心这个题目
[00:05:34] ABCDE里边
[00:05:35] 他选不选E
[00:05:36] 这就耍流氓
[00:05:37] 能不能用
[00:05:39] 那么当前病人问你哪个最不当
[00:05:41] 就是他最不当
[00:05:42] 因为他不是首选
[00:05:43] 他是次选
[00:05:43] 所以为什么你只敢开说
[00:05:45] 只说主语
[00:05:47] 不说定语
[00:05:48] 就他们耍流氓
[00:05:50] 这么一节课
[00:05:51] 其实这个课程录的
[00:05:53] 有同学一直在问说是考研能用不
[00:05:55] 你莫非考研考的不是生理学呀
[00:05:57] 这个讲的实话实说
[00:05:59] 比本科现在纯粹大二的考试
[00:06:01] 这个课程
[00:06:03] 我讲的稍微剩了一丢丢
[00:06:05] 应该说只是一个本科学完之后
[00:06:10] 在准备系统复习医学的时候
[00:06:12] 一个很好
[00:06:13] 的这么一个应该叫做桥梁式的生理学的一个版本
[00:06:18] 我说了
[00:06:18] 开马球生理学
[00:06:19] 我能讲一百个版本
[00:06:20] 你要哪个版本
[00:06:21] 这个版本应该是介乎于本科初次学习
[00:06:26] 初次复习考研考职业一复习
[00:06:29] 这么一个系统的生理学学习过程中
[00:06:32] 好多时候好学生就是考研考四百多分
[00:06:35] 考的协和伟大的这一批学生
[00:06:37] 他从来不问人可适合不适合
[00:06:39] 他只管听课的时候有没有点长进和提高
[00:06:42] 但就有同学讲究形式
[00:06:44] 什么形式主义开始
[00:06:45] 说老师你这个课程上就写的叫本科教学
[00:06:48] 就没写考研基础课
[00:06:49] 我就不能听整课
[00:06:53] 大洞天院里扔件大衣给你写的是短袖
[00:06:56] 你冻得全身哆嗦
[00:06:57] 你也不拿上穿吗
[00:06:58] 你就那么在乎说法吗
[00:07:01] 所以我一直在想我们为什么要做知识分子
[00:07:04] 知识分子我们在乎他是不是
[00:07:06] 而不在乎他说他是不是
[00:07:10] 他还说世界上有长生不老药
[00:07:12] 还有后悔药
[00:07:13] 问题他妈你去哪买去的
[00:07:15] 不用打折
[00:07:15] 我给你加价
[00:07:16] 你给我买点
[00:07:17] 我试吃
[00:07:17] 没这事不是
[00:07:19] 所以这不是说老师你是不是生气了
[00:07:21] 实际上我生气的不是我的学生提问
[00:07:23] 是在思考作为一个老师
[00:07:26] 你有责任
[00:07:27] 你的天职就是带着学生去领略一个
[00:07:31] 更博大精深的世界
[00:07:33] 你给学生说
[00:07:35] 我的心有多大
[00:07:37] 我的世界才能有多大
[00:07:40] 那么这么一个东西
[00:07:41] 你怎么样能带着学生走
[00:07:42] 而不是说给他听
[00:07:44] 大概这是我预谋的
[00:07:45] 我要恨就恨我的语言
[00:07:47] 我的语言
[00:07:47] 我说你组织能力还不够
[00:07:50] 没法put a word to such a situation
[00:07:56] 大概是这个意思
[00:07:57] 所以你要说预谋的话是预谋自己
[00:08:00] 讲到EPSB SPSB总是很感慨
[00:08:02] 有什么感慨
[00:08:04] 在几年前我到我们第一附属院
[00:08:06] 正好到心脉科
[00:08:07] 我去那边有点事情
[00:08:08] 忘了什么事了
[00:08:09] 坐下来和心脉科的梁发育教授
[00:08:12] 这马上要退休了
[00:08:13] 说老刘你还在教业时候
[00:08:15] 对啊
[00:08:15] 当老师的讲课每天
[00:08:17] 他说我还记得我上大学时候学的
[00:08:19] 那个EPSP和IPSP
[00:08:22] 所以我一直在想一个人成长为一个心脏外科的教授
[00:08:27] 一个导师
[00:08:28] 他这一路怎么走过来的
[00:08:30] 他愣把大二时候学过的英文缩写到今天为止
[00:08:33] 他还记得
[00:08:35] 大概这叫走心
[00:08:36] 这叫在大二的时候点了个哪一把心灯吧
[00:08:40] 所以梁教授在山西知名度很高
[00:08:41] 梁教授从来都是自己打着钱给人看病
[00:08:45] 这个世界上没有一个人敢嘲笑人家
[00:08:47] 这种敬业精神
[00:08:49] 这种对人民服务的态度
[00:08:52] 我们实际上只敢想一想
[00:08:55] 我在想自己一直在给学生回答问题的时候
[00:08:59] 你偶尔会不会也有烦的时候
[00:09:01] 所以这张课就我得专门拿点时间讲一下
[00:09:06] EPSP
[00:09:07] IPSP
[00:09:09] 如果可能的话
[00:09:11] 你把这张小单
[00:09:12] 把火鸟给它弄得大一点
[00:09:15] 弄大一点
[00:09:17] 你来看一看
[00:09:18] EPSP是那家通道开放以后
[00:09:21] 拿内流时间的
[00:09:23] 那是那家通道开放以后
[00:09:23] 你明明那家通道
[00:09:24] 为什么只有那内流
[00:09:25] 所以2021年考也考你
[00:09:27] 因为在这个情况下
[00:09:28] 近几年的情况下
[00:09:30] 显然那粒子的驱动力
[00:09:31] 电化学驱动力更大一些
[00:09:34] 重新复习一个词
[00:09:36] 一个物质要完成跨模转运
[00:09:38] 不但得有通透性
[00:09:40] 它还得有驱动力
[00:09:42] 二者必须同时存在
[00:09:44] 第二个咱们复习IPSP
[00:09:46] 或者预习IPSP
[00:09:48] 这么一个超极化过程
[00:09:50] 是粒粒子内流实现的
[00:09:52] 但不关EPSP
[00:09:53] IPSP结构基础
[00:09:56] 都是一个化学门空的通道
[00:09:58] 这样的话
[00:10:00] 咱们就有点本科教学那个味道
[00:10:02] 而不再是职业技术学
[00:10:04] 蓝箱牌绩效
[00:10:06] 不再是这个样子
[00:10:07] 不是粉刺或者挖苦年代
[00:10:10] 不是
[00:10:11] 它作为一个技术工人
[00:10:12] 这能把车开得非常好
[00:10:14] 能精准的开一个大挖机
[00:10:16] 50吨的一个大挖机
[00:10:18] 能把一个鸡蛋剥了皮
[00:10:19] 还不让鸡蛋碎了
[00:10:21] 这也就够了
[00:10:22] 人家要的是
[00:10:23] 技术才能挖着针
[00:10:24] 咱们要的是挖着针
[00:10:26] 是知识
[00:10:27] 这是两码事
[00:10:29] 知识是能知道实践的
[00:10:31] 实践的过程中未必
[00:10:32] 需要必须提高知识
[00:10:35] 所以这个世界上就这样存在
[00:10:37] 两个不同的方向
[00:10:39] 物实和物虚
[00:10:40] 就像咱们包括科学人和工程人一样
[00:10:43] 但有一些专家就非常厉害
[00:10:45] 既有很好的实践经验
[00:10:48] 又有非常高深的理论修养
[00:10:49] 所以就称之为两院院士
[00:10:52] 一边前学生院士
[00:10:54] 他就是这个样子
[00:10:56] 接着往下走再继续复习
[00:10:58] 整个这个传递过程
[00:10:59] 刚才说就像神经旧极头处一样
[00:11:02] 电 化学 电
[00:11:05] 前膜去极化电的活动
[00:11:07] 引发钙离子的内流到前膜内
[00:11:09] 它作为第二性质的方式去触发前膜地质释放
[00:11:12] 地质怎么释放都会
[00:11:14] 以囊泡为单为量子式释放
[00:11:17] 然后穿过突出间隙以后
[00:11:19] 和突出后膜的相应受体结合
[00:11:21] 引发后膜的去极化呀
[00:11:23] 超极化
[00:11:24] 就是别的一些变化
[00:11:25] 你比如说突出后膜
[00:11:27] 内部发生一些生化反应
[00:11:29] 到哪个地方堵到了
[00:11:30] 到突出前因子就能堵到
[00:11:34] 所以不管它了
[00:11:35] 总体这个过程咱们说三不取
[00:11:37] 电 化学 电 三不取
[00:11:41] 那么这么一个过程
[00:11:43] 像神经旧极头处一样
[00:11:45] 必须小小的总结一下
[00:11:47] 传递过程中
[00:11:48] 突出前膜的去极化
[00:11:51] 是有发地质释放关键因素
[00:11:53] 为什么
[00:11:53] 因为只有前膜去极化
[00:11:54] 才能打开电压门口L型的盖通道
[00:11:58] 那么盖才会内流
[00:11:59] 所以盖才是地质释放的一个欧联因子
[00:12:03] 前膜去极化的过程
[00:12:04] 盖内流越多
[00:12:06] 能够释放地质的囊泡数据越多
[00:12:08] 那么将来后膜发生反应的幅度就越大
[00:12:12] 所以这个意义上咱们说它是单向的
[00:12:15] 因为只有前膜才能释放地质
[00:12:17] 只有后膜才长的受体
[00:12:19] 不长受体也白扯
[00:12:21] 单向开放的通路
[00:12:23] 后膜去极化幅度大小
[00:12:24] 去极化是不是合适
[00:12:26] 后膜决定不了
[00:12:27] 那么后膜它的去极化幅度
[00:12:30] 它的时间
[00:12:31] 它的频率
[00:12:32] 完全是被前膜的地质量
[00:12:34] 或者干脆说被前膜的那个盖决定的
[00:12:38] 后膜的命运掌握在前膜的手里
[00:12:41] 所以以至于七八年前讲了句废话
[00:12:43] 好多同学学会了
[00:12:45] 叫做做人要做细胞膜
[00:12:47] 打死不做终板膜
[00:12:50] 终板膜完全是被动
[00:12:51] 一点反抗权力都没有
[00:12:53] 就在这儿
[00:12:54] 没有反馈
[00:12:55] 单向开放
[00:12:56] 那么这么总结
[00:12:59] 接着往下看
[00:13:00] 就是咱们刚刚专门讲到所谓的EPSP
[00:13:03] IPSP
[00:13:04] 这个图
[00:13:05] 把它放到稍厚一点
[00:13:08] 中枢抑制呢
[00:13:09] 我相信在谈
[00:13:09] 这就先不啰嗦了
[00:13:11] 但是这个实验工咱们记录呀
[00:13:13] 你看一下
[00:13:13] A图
[00:13:15] 电位记录
[00:13:16] 图中记录电极插入支配骨质机
[00:13:19] 是个升级
[00:13:20] 其实以前叫α
[00:13:22] 升级为这个宝体内部
[00:13:23] 一适当强度电刺激相应的
[00:13:25] 后耕传入线位
[00:13:27] 刺激后耕
[00:13:28] 后耕是感觉传入
[00:13:29] 前耕就前脚是运动传出
[00:13:32] 那么这样的话
[00:13:33] 一适当的强度电刺激相应的后耕传入线位
[00:13:37] 在该运动升级人类
[00:13:39] 就可以入到EPSP
[00:13:40] 这哪一个升级的EPSP
[00:13:43] 如果电极插入到半瓦剂
[00:13:45] 区级运动式人类
[00:13:47] 则可以记录到IPSP
[00:13:49] 有一些记录到就是去极化
[00:13:51] 有些记录到就是超极化
[00:13:53] 就这么个小意思
[00:13:55] 所以说看起来
[00:13:56] 经过突触传递以后
[00:13:57] 在突出后摩尔山
[00:13:58] 有些是去极化
[00:14:00] 有些是超极化
[00:14:01] 有时候是去极化
[00:14:03] 有时候是超极化
[00:14:05] 所以实际上这个图
[00:14:07] 咱们不讲究更大的机制
[00:14:08] 咱们只是探讨一下
[00:14:10] 经过突触传递以后
[00:14:12] 它的结果可能是相反的
[00:14:14] 有些人在去极化
[00:14:16] 有些人在超极化
[00:14:17] 而且前面强调了一条
[00:14:20] 这个所谓的信奉性和意识性的突触传递
[00:14:23] 更多的时候和突出结构
[00:14:25] 有关
[00:14:26] 至于前模释放地质的类型有关
[00:14:29] 或者干脆
[00:14:30] 昨天还在举例子
[00:14:32] 小记得是一节黑症的地方
[00:14:33] 干脆和地质都无关
[00:14:35] 只和地质的相应受体有关
[00:14:38] 我们这样的话
[00:14:39] 在我们的思想体系中
[00:14:41] 建立一个稍微更丰富一点
[00:14:43] 丰富多彩多样性的一个理论基础
[00:14:47] 到后面咱们来用
[00:14:48] 你慢慢学一学
[00:14:50] 你会发现
[00:14:50] 你实际上学习的每一个东西
[00:14:52] 学习的每一个东西
[00:14:55] 在后期的时间中
[00:14:57] 知识结构中的用到
[00:14:59] 表达到
[00:15:00] 这个一学学习
[00:15:01] 不只学完就完
[00:15:02] 是学的每一点知识
[00:15:04] 都是明天继续学习的基石
[00:15:07] 如果你想原来那种习惯
[00:15:09] 学完一个学科
[00:15:09] 我就扔了
[00:15:10] 我再学下一
[00:15:11] 你永远学不下去
[00:15:12] 对了
[00:15:14] 除了前面看到一个
[00:15:15] 传统的突触后电位之后
[00:15:18] 还有其他一些形式
[00:15:19] 比如说慢突触后电位
[00:15:22] 在自主生经节
[00:15:23] 和大脑批评
[00:15:24] 可以记录到一些慢的一天之外
[00:15:26] 这样
[00:15:27] 它就不在这边了
[00:15:27] 它就不在这边了
[00:15:27] 它就不在这边了
[00:15:27] 它就不在这边了
[00:15:27] 它就不在这边了
[00:15:27] 它就不在这边了
[00:15:28] 它就不在这边了
[00:15:28] 它就不在这边了
[00:15:28] 它就不在这边了
[00:15:28] 它就不在这边了
[00:15:28] 它就不在这边了
[00:15:28] 是假电脑增大或降低引发的
[00:15:31] 持续时间很长
[00:15:32] 你像这个地方
[00:15:32] 画的这个慢的EPSP
[00:15:34] IPSP
[00:15:35] 大概时间长达
[00:15:37] 十分钟
[00:15:38] 数十分钟的样子
[00:15:39] 持续时间长
[00:15:41] 听过就OK了
[00:15:43] 嗯
[00:15:43] 这个视野图
[00:15:45] 视野图很简单
[00:15:46] 画了一个模式图
[00:15:48] 从突出前的生经元性分
[00:15:51] 也在周突末烧
[00:15:52] 你看
[00:15:52] 从周突始端这
[00:15:54] 动作电源产生以后
[00:15:55] 爆发出来
[00:15:56] 往前传传到
[00:15:57] 这个周突末烧
[00:15:58] 突出前末
[00:15:59] 然后它引发定制释放
[00:16:01] 后末结束
[00:16:02] 结束信息以后
[00:16:03] 那么
[00:16:04] 你能知道两个生经元之间
[00:16:06] 有很多次突出联系
[00:16:07] 突出联系
[00:16:08] 把每一个突出后的电源
[00:16:11] 总合起来
[00:16:11] 代数合
[00:16:12] 引发一个总的电活动变化以后
[00:16:15] 引发突出后生经元
[00:16:17] 发生相应的改变
[00:16:19] 信奉活力意志
[00:16:20] 这个视野图看了一下就OK了
[00:16:22] 不说它了
[00:16:23] 接着往下走
[00:16:26] 第五小条
[00:16:27] 突出后的生经元是信奉还是意志
[00:16:30] 所以像刚才说的一样
[00:16:32] 这一次学完之后
[00:16:33] 你终于有个印象
[00:16:34] 什么印象呀
[00:16:35] 两个生经元在生理情况下
[00:16:37] 不是最初咱们想象说
[00:16:39] A把一个突出给了B
[00:16:41] B就信奉活力
[00:16:43] 这不是
[00:16:43] 实际上A和B之间
[00:16:44] 或者ABCDE
[00:16:45] 这几个生经元之间
[00:16:47] 突出数量
[00:16:49] 是生经元数量的
[00:16:51] 一千到四千倍
[00:16:53] 不用问
[00:16:53] 你比如说A要把信息给了B了
[00:16:55] 可能C也把信息给了B
[00:16:56] B也把信息给了B
[00:16:57] E也把信息给了B
[00:16:58] F是吧
[00:16:59] 但都把信息给了B
[00:17:00] 这个B接收了很多生经元
[00:17:03] 很多次的突触传递
[00:17:05] 有人就让他EPSP
[00:17:07] 有人就让他
[00:17:07] 因为大家释放地址不一样吧
[00:17:09] 有人就让他IPSP
[00:17:10] 受体还不一样
[00:17:11] 最后结果这个B一个人听了一百个指挥官的命令
[00:17:16] 我他妈该按谁说的话办
[00:17:18] 咱们最后这个地方说呀
[00:17:19] 是信奉还是意志
[00:17:21] 取决于他这个细胞膜上
[00:17:23] EPSP和IPSP的代数核
[00:17:26] 就所谓的整合
[00:17:27] 整合完之后看看
[00:17:28] 你比如说
[00:17:28] 你这个让我吃饭去
[00:17:30] 那个让我喝水
[00:17:31] 那个让我睡觉
[00:17:32] 那个让我读书
[00:17:33] 那个让我听音药
[00:17:34] 我他妈那么活泼
[00:17:35] 走你们举手表决吧
[00:17:36] 你到底要我干嘛
[00:17:37] 他们举手表决
[00:17:38] 这叫整合
[00:17:39] 整合完之后
[00:17:41] 前面讲过了
[00:17:42] 那么作为B主生经元
[00:17:43] 动作电力最早产生于周图的始端
[00:17:47] 因为始端这比较细
[00:17:48] 电流密度大
[00:17:49] 所以九百复的时候
[00:17:51] 他写了一个
[00:17:51] 实际上说
[00:17:52] 包体在发出周图的歧视部分
[00:17:55] 实际上就是周图那个
[00:17:57] 就叫周秋部分
[00:17:58] 稍微粗大一点
[00:17:59] 进入周图以后
[00:18:01] 真正进到周图里面
[00:18:03] 像咱们说像欧古镜
[00:18:05] 这个地方实际上是比较细的
[00:18:07] 实际上比较细
[00:18:08] 我记得在细胞内缸讲的一个词
[00:18:11] 一个细胞信服完以后
[00:18:14] 绝对不应期
[00:18:15] 相对不应期
[00:18:16] 超常期和低常期
[00:18:18] 那么什么叫相对不应期
[00:18:20] 细胞膜在复极化过程中
[00:18:22] 早期复极化早期
[00:18:23] 有一部分通道复活了
[00:18:25] 还有一部分通道没复活
[00:18:27] 还有一部分通道没复活
[00:18:27] 单位面积上找了100个通道
[00:18:29] 平时进气垫位的时候
[00:18:30] 100个通道都是复活
[00:18:31] 都是处于被用状态的
[00:18:33] 因此复极化过程中
[00:18:34] 可能100个通道只复活了40个
[00:18:36] 但是我要开放一下
[00:18:39] 达到动物垫位需要的
[00:18:40] 那个阈电位的通道数量
[00:18:42] 我需要开放100个才够
[00:18:44] 所以这一片膜有一百个
[00:18:46] 但是只有40个复活的
[00:18:48] 因为它刺激到以后
[00:18:49] 它只能开放40个
[00:18:50] 那么就得找2.5倍面积的细胞膜
[00:18:53] 集中起来凑够100个
[00:18:56] 所以咱们讲了一句话说
[00:18:57] 密度不够
[00:18:58] 面积来凑
[00:18:59] 需要更大的一个预上刺激
[00:19:03] 然后刺激一局部电流形式
[00:19:05] 波及更大的范围
[00:19:06] 一个宝不够
[00:19:08] 一个系够不够
[00:19:09] 一个系不够
[00:19:10] 一个学院够不够
[00:19:11] 它是这样
[00:19:12] 所以其实为什么动作电流
[00:19:15] 总是发生在中途的史观
[00:19:17] 就和电流密度有关系
[00:19:19] 通道数量密度大
[00:19:20] 这样同样刺激
[00:19:22] 比如一个平方历米
[00:19:23] 你那边通道少
[00:19:24] 一个平方历米就像头发稀疏
[00:19:26] 就长了三根脑结
[00:19:27] 剪一下就完了
[00:19:28] 他的头发很茂密
[00:19:29] 是吧
[00:19:29] 理发
[00:19:30] 费代价很大
[00:19:31] 可是也没见谁头上头发少
[00:19:33] 就理发就便宜
[00:19:35] 有点歧视
[00:19:36] 头发少理发反而得贵的
[00:19:38] 我开个玩笑啊
[00:19:39] 再听一下
[00:19:40] 数量不够
[00:19:42] 实际上就密度不够
[00:19:43] 面积来凑
[00:19:45] 这是中途史的东北的一个结构基础
[00:19:50] 听过就OK了
[00:19:51] 第六条
[00:19:52] 吐出来的调解
[00:19:53] 吐出前生经地址释放
[00:19:55] 是有调解的
[00:19:56] 应该是咱们刚才最简单理解的
[00:19:58] 就是这个该
[00:19:59] 实际上你马马的
[00:20:00] 你把九版生理学
[00:20:02] 八年三版生理学的两本书啊
[00:20:05] 然后神经肌肉接头处
[00:20:08] 再加上突触传递
[00:20:10] 你把这四个部分
[00:20:11] 你看九版的
[00:20:12] 八年三版的
[00:20:14] 神经肌头和突触传递
[00:20:16] 把这四个模块的内容总结起来
[00:20:19] 就发现在这个地方
[00:20:20] 围绕这一小块东西
[00:20:22] 我们从生理学到药理学写了很多知识
[00:20:25] 前文什么
[00:20:26] 肉毒肝菌毒素呀
[00:20:29] 这个黑寡妇毒蜘蛛呀
[00:20:32] 新撕的米呀
[00:20:33] 雨的农药呀
[00:20:35] 对吧
[00:20:36] 包括生殖
[00:20:37] 还包括虎婆胆解呀
[00:20:39] 再往后面走
[00:20:40] 还有什么统建堵
[00:20:42] 还有二法营环摄毒
[00:20:44] 你想前摩的地质是不要命的释放
[00:20:47] 还是根本不释放
[00:20:49] 引发这个胆结质为可逆破获
[00:20:51] 还是不可逆
[00:20:53] 然后到后摩世音极界头处
[00:20:55] 统建堵激动剂
[00:20:57] 二法营环摄毒激动剂
[00:20:59] 孟老师
[00:21:00] 受体的拮抗剂
[00:21:01] 类似于这样
[00:21:01] 这一块知识实在特别麻烦
[00:21:04] 所以咱们讲到神经系统第二节的时候
[00:21:06] 就要开始慢慢讲地质和受体了
[00:21:08] 这也是同学们学医学
[00:21:10] 不识生理学医学过程中很难的一个点
[00:21:13] 一说受体就迷路
[00:21:16] 就老死的马尾尾
[00:21:17] 就找不见我的路了
[00:21:19] 为什么
[00:21:19] 因为这里边有很多很多细节知识
[00:21:22] 需要日常的积累
[00:21:23] 我先不啰嗦了
[00:21:25] 反正总之吐出前的神经递质释放
[00:21:27] 包括吐出红毛受体调解
[00:21:29] 受体数目
[00:21:29] 上调下调等他能调解的
[00:21:32] 那么经常调解完之后呀
[00:21:34] 第七条说就会表现为通传的一个可塑性
[00:21:38] 比如强之后增强
[00:21:40] 常识称增强
[00:21:42] 常识称压抑
[00:21:44] 一般人不叫抑制叫压抑
[00:21:47] Depress压抑
[00:21:49] 抑的话Inhabition
[00:21:50] 它实际上不一样
[00:21:51] 那么强之后增强
[00:21:53] 可以表现为比如说习惯化呀
[00:21:55] 敏感化呀
[00:21:56] 反复的训练
[00:21:57] 你知道一句老话叫
[00:21:59] 一朝被蛇
[00:22:00] 饿了有十年怕井上
[00:22:03] 敏感化了
[00:22:05] 还有你知道数十五度
[00:22:07] 每天借的多了
[00:22:07] 也就不行些了
[00:22:09] 所以这个突出的传递过程
[00:22:11] 其实在生理过程中是能发生调控或者改变的
[00:22:15] 这些词咱们听一下
[00:22:17] 到相应某一个具体案例
[00:22:18] 咱们再说
[00:22:19] 这个地方你背他意义不大
[00:22:21] 你听过就OK
[00:22:24] 那么上面整个谈的是一个经典的通传的过程
[00:22:29] 我们知道在学第二阶通传递时候
[00:22:31] 做了一个分类
[00:22:33] 通传的有两种化学突触
[00:22:35] 变突出
[00:22:36] 化学突触有两种有固定的突出前模间隙和后模的经典定向的通传的
[00:22:43] 还有这种曲张体形式
[00:22:45] 也甚至叫做非突出性化传递
[00:22:48] 非定向突传递
[00:22:51] 什么叫曲张体
[00:22:52] 这画的示意图非常好
[00:22:53] 前面咱们看到好几个示意图
[00:22:54] 你反过来再看一下
[00:22:56] 你看就像这样
