# 源音频：P56-生理学本科教学及考研基础课 p56 神经系统7-痛觉.m4a
# 时长：3651s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,上节课咱们在感觉传入这一块呀,谈了一下特异和非特异投射系统。
[00:02:14] 虚线他从这上来以后,不断的进入网络上行机动系统。
[00:02:19] 从这进来之后,从网络系统上了以后,换源。
[00:02:23] 到哪里啊?
[00:02:23] 到中央中和,B3类神经合同。
[00:02:26] 就一虚线方式,不断的分叉。
[00:02:28] 弥散性投射。
[00:02:30] 所以这样,有这个图,咱们看一下就更形象。
[00:02:33] 而且这个图还有一个合团。
[00:02:34] 咱们小才没有专门阐述。
[00:02:36] 就是背内核。
[00:02:37] 咱们总是说辅测合团。
[00:02:39] 后负荷。
[00:02:40] 是吧,后负荷就指的是辅测合团。
[00:02:42] 背测合团在上面这一窗。
[00:02:45] 这一窗,咱们圣经学小才没有给专门阐述。
[00:02:48] 你要去读神经,叫生理心理学。
[00:02:52] 神经是武学的更大的分支。
[00:02:55] 实际上属于心理学范畴的。
[00:02:56] 你去读它的话,你会发现,事实上,你这个B类合团,它不会直接投射。
[00:03:01] B类合团符合外材核,符合内材核。
[00:03:03] 它得先和B2类合团通过一些联络核,再往上上行。
[00:03:09] 它这还有一个换元的。
[00:03:11] 在这个换元之前,辅测合团和背测合团,他们先进行一些信息的交流。
[00:03:19] 各种各样的突触前抑制,突触后抑制,突触前易化,突出后移化,各种各样的。
[00:03:23] 所以实际上,在球脑内部,咱们的脚才没有阐述。
[00:03:27] 但是刚才说,心理生理学和生理心理学,这两个不同的学科,
[00:03:33] 它就会专门在这阐述一下,背测合团和辅测合团,他们之间的信息交流。
[00:03:39] 事实上,从目前已经掌握的实验室结果上看,
[00:03:43] 在将来第一类合团通过第二类,就构成特异性的,我给你反过来看一下。
[00:03:49] 特异系统这样是第一类合团和第二类细胞群,
[00:03:53] 就特异性的这样一些联络合团,共同构成特异投射系统。
[00:03:58] 那么实际上这个特异投射系统,像大脑皮层,具体的,
[00:04:03] 这一层的代表区,你不知道刚才说312区呀,4142区呀,1719区视觉的,听觉的,
[00:04:09] 视觉是1719区,不知道在哪,区在,距离在上下,听觉在,你也上你也很回,4142区。
[00:04:16] 第一体表代表区,就特意感觉的这个代表区在312区,3区1区2区,一会儿就看到了。
[00:04:23] 那么这些一二类合团,像这些具体代表区投射之前,实际上,
[00:04:29] 背测合团和辅测合团之间的经过信息交流。
[00:04:33] 这边有时候我们称之为秋脑的,掌门学说。
[00:04:37] 所以从这些事实上能反映出来,人的感觉其实是在心理层面反映的。
[00:04:42] 这是在上一章感觉奇怪咱们谈过,说我感受的是什么,你感受的不是外界事物变化,
[00:04:48] 内部的事物变化,不是,是你每接受一个信息以后,和你脑子里边,
[00:04:53] 预存的那个,就所谓你的三观,世界观,是吧,价值观,人生观,和它比,它符合不符合你的审美。
[00:05:01] 你听那句话,情人也理,
[00:05:04] 出西施,
[00:05:05] 出西施,开玩笑,出西施,
[00:05:07] 嗯,浓妆淡抹总相宜,
[00:05:09] 它如果符合你的审美,它怎么都对,
[00:05:12] 它不符合你的审美,它怎么那么都不对。
[00:05:15] 所以每个人审美不一样,这也是世界的
[00:05:18] 多样性存在的一个价值。
[00:05:20] 世界本来就不应该是一个颜色。
[00:05:23] 但是你得有一个差不太多的,你要符合人群的一个社会总的规则,你的审美和别人,你就喜欢人妖,
[00:05:31] 这玩意儿根本没法聊天,所以说我就喜欢人妖。
[00:05:34] 这也不是说不行,得到你的权去。
[00:05:37] 有一个社会通用的一个语言的方式法则。
[00:05:41] 所以一个词出来以后,保一词,贬一词,是吧。
[00:05:44] 烈士就是壮烈牺牲了。
[00:05:46] 歹徒就是被我英文的名剪击毙了。
[00:05:48] 结果你说我的烈士在中印边境冲突中被硬保的战士,
[00:05:54] 这个士兵,
[00:05:55] 英勇的把我们的战士给击毙了。
[00:05:57] 你看这个才草杂透顶。
[00:05:59] 最近这几年网上你能发现,
[00:06:01] 你要说他是没学过中文,
[00:06:03] 那肯定不是,他的中文比你学的还好。
[00:06:05] 他是中文系的硕士博士毕业,法律系的硕士博士,经理学系的经理学博士,大咖子。
[00:06:12] 他怎么不知道老一和别一,
[00:06:13] 其实他不是,
[00:06:14] 他故意混淆诗题。
[00:06:17] 那么我们的战士就叫
[00:06:19] 遗体,
[00:06:20] 敌人的那个
[00:06:21] 身体那个body,
[00:06:22] 就只能叫尸体,
[00:06:24] 死尸。
[00:06:26] 这样的词能不能用得完啊?
[00:06:28] 所以说会想说一个人的三观重要不够,这样听懂了。
[00:06:31] 你的三观在哪里,咱们现在找不到。
[00:06:33] 但至少
[00:06:34] 到邱老这儿,
[00:06:35] 他是从贝策河团下行,
[00:06:38] 和我周围感受我的视觉、听觉、触牙觉,包括痛觉、温度觉等等。
[00:06:43] 他到了一二里河团之后,他先和贝策河团
[00:06:47] 信息交流完了之后,比对,
[00:06:49] 比对出个信息来,再向批评区,
[00:06:51] 反应。所以人产生一个感觉的过程是相当复杂。
[00:06:54] 说实话,我感觉你这课讲的就
[00:06:56] 不顺眼。
[00:06:58] 或许是精进不符合你的审美。
[00:07:00] 所以作为老师,我老开玩笑,
[00:07:02] 我在网上讲课没对的是一样,
[00:07:04] 一二三六大学,
[00:07:06] 一二三六本科。
[00:07:08] 只要大多数的同学还能勉强地
[00:07:11] 把我的课接受下来,
[00:07:14] 实际上我就已经觉得
[00:07:15] 非常非常满意了。
[00:07:17] 你没有谁会
[00:07:19] 让世界上每个人都满意。
[00:07:21] 如果你试着想让每个人满意的时候,
[00:07:23] 那就谁都满意不了。
[00:07:25] 那就要讨好这个世界,
[00:07:27] 就要迎合。
[00:07:28] 你就很累。
[00:07:31] 所以讲课的时候,No tired, but Borrowed,
[00:07:34] 不是疲惫,
[00:07:35] 只是我
[00:07:36] 无趣。
[00:07:37] 我在这专门
[00:07:39] 新开一堂课,
[00:07:40] 就是拿刚才这个示意图呀,
[00:07:42] 这个给你看一下,
[00:07:43] 实际上在丘陋的地方存在着什么?
[00:07:45] 不但有辅测合同,
[00:07:47] 也有被测合同。
[00:07:48] 实际上包括我们前面这个示意图上
[00:07:50] 也能看到,
[00:07:52] 它实际上是地方咱们前面就谈,
[00:07:54] 你指这谈辅测合同,
[00:07:56] 上面这个被测合同你没有谈,
[00:07:58] 怎么回避掉了,我不知道将来第十版第十一版书
[00:08:01] 会不会在这专门把它谈一下。
[00:08:03] 这个咱们生命在已经能够找到的
[00:08:06] 教材上,
[00:08:07] 就在生理心理学这样一本教材上,就会专门谈这些小话题。
[00:08:11] 谈的不深入,
[00:08:12] 谈的依然很浅薄,
[00:08:14] 但是无论如何,这至少是咱们对于人体或者人类
[00:08:18] 产生感觉的一个初步的探讨吧。
[00:08:21] 至少给我们在这展示一扇大门。
[00:08:25] 大门里边有什么,
[00:08:27] 就需要21世纪人类去
[00:08:30] 进一步研究。但是我知道感觉的产生
[00:08:32] 不是单纯的内外环境刺激引发的,
[00:08:35] 是内外环境刺激到我的身体,
[00:08:36] 是内外环境刺激到我的身体,
[00:08:37] 和我已经存储的一些信息。
[00:08:41] 发生共鸣之后,
[00:08:42] 你产生的,你感受到的是哪一样?
[00:08:45] 是那个差值。
[00:08:46] 所以为什么在前面讲,和咱们讲过一句话,
[00:08:50] 说生理学上最不要脸的一个实验,叫三碗实验。
[00:08:54] 我就打个比方说,
[00:08:55] 拿这么三个玻璃杯一模一样,
[00:08:57] 这么一杯茶,虽然茶的温度不是太高啊,
[00:09:00] 你不是刚进场开水喝热的一杯茶,
[00:09:02] 然后你把这一杯茶
[00:09:04] 在云上一爆
[00:09:06] 凉水,
[00:09:06] 凉水,
[00:09:07] 然后拿到浓浮山泉,
[00:09:08] 变成一个温的,
[00:09:09] 一杯很热的,
[00:09:11] 一杯温的,
[00:09:12] 一杯
[00:09:13] 用自来水解那个常温,
[00:09:15] 现在这个天气就是20来度,
[00:09:17] 十几度,
[00:09:18] 室内温度20来度,
[00:09:19] 一个20度的,
[00:09:20] 一个35度的,
[00:09:21] 一个45度的,
[00:09:23] 然后你把两只手,一只手插到20度的温度里面,
[00:09:26] 一只插到45度温度,稍微点烫,
[00:09:28] 还不至于躺伤。
[00:09:29] 那么两只手,左手右手,
[00:09:32] 自己的手啊,一个放冷水,一个放烧热的水,
[00:09:35] 一分钟以后拿出来,共同放到中间,
[00:09:37] 这个温水里面,
[00:09:38] 你体会一下。
[00:09:39] 左手,
[00:09:40] 从冷水出来放到温水,感觉太热,烫手。
[00:09:43] 右手,从热水出来放到温水,感觉太凉。
[00:09:46] 都是自己的手,
[00:09:48] 都是同一杯茶。
[00:09:50] 温度差别怎么那么大,你体会这个劲儿。
[00:09:52] 你说中间这杯茶是热还是冷?
[00:09:55] 你自己试一下。
[00:09:58] 所以我们怎么敢轻易的给人说,眼界里是二品为虚呢?
[00:10:04] 你学过医美,所以我看屁咱俩人怼我说,
[00:10:07] 你读过福美?
[00:10:08] 我读的是比较少,你别吓唬我。
[00:10:10] 所以我看,
[00:10:11] 问我这句话的时候,我让你羞愧。
[00:10:13] 你听到书名还没我读过的书吗?我逗你玩头。
[00:10:17] 所以说想一想说,问别人读过书名这句话本身太没文化了。
[00:10:22] 没读过书,
[00:10:23] 我随便给你背五千首
[00:10:25] 歌曲的简谱好不好?
[00:10:27] 给你玩八十种乐器给你听听行不行?
[00:10:30] 开玩笑,有时候讲话挺开心的。
[00:10:33] 刚才
[00:10:34] 专门拿这么一段话阐述一个东西,什么东西?
[00:10:38] 我们的丘陊里边长贝草荷团,
[00:10:41] 贝草荷团,
[00:10:41] 就是我的三官将来
[00:10:43] 给自己输出的时候的一个同情。
[00:10:46] 和我的辅测荷团
[00:10:48] 传入以后,
[00:10:49] 贝草荷团是下行,
[00:10:51] 辅测荷团是上行。
[00:10:52] 他们在丘陊交汇以后,经过比对,
[00:10:55] 实际上他向大脑里输出的时候,
[00:10:57] 前面咱们说过一个词,
[00:10:59] Cody,
[00:11:00] 编码过来。
[00:11:01] 对了,我老觉得我感受是真实的。
[00:11:04] 我也没说你感受的不真实,
[00:11:06] 但你通过读生理心理学、心理生理学、精神病学这样一些课程以后,
[00:11:11] 我感受的不真实。
[00:11:11] 你还有那么自信吗?
[00:11:14] 能感觉到世界很美好就很好了。
[00:11:17] 我是想这样说。
[00:11:18] 这来读小说借来,还觉得很神性。
[00:11:22] 没有任何情绪,没有喜怒哀乐。
[00:11:24] 真的有自由吗?
[00:11:26] 是装在另一个框里吗?
[00:11:27] 我还想
[00:11:29] 把那个页面拍下来,放到微博或者B站上,
[00:11:32] 给同学们读一下。
[00:11:33] 这个书写的对人的探讨,人性的探讨。
[00:11:37] 我就不知道一个学完小说的作家,
[00:11:40] 风火同学,
[00:11:42] 他写这样一个东西,怎么会写的这么通透。
[00:11:46] 他显然读过很多书,
[00:11:48] 解锁过很多资料,
[00:11:50] 有原创性的思考过很多是深层次的问题。
[00:11:53] 作为老师,人家年龄比我至少小20岁,
[00:11:56] 我现在感慨的是,
[00:11:57] 为什么带着年轻人,我跟你们多讲课,
[00:12:00] 你们多听,
[00:12:01] 不见得在我的课里面吸收太多的影响。
[00:12:03] 但是如果通过听课,
[00:12:05] 和你原来认识一个专业课专业知识专业的概念,
[00:12:10] 有所不同的时候,能看到一个不同的
[00:12:12] 世界的时候,
[00:12:13] 我想作为一个老师,
[00:12:15] 目的就大成了。
[00:12:16] 他不是把他的人生价值,
[00:12:19] 价值观,世界观,方法论,
[00:12:21] 直接强行塞给学生,
[00:12:23] 是让学生在自己已经形成的三观的基础之上,
[00:12:27] 听老师一个三观。
[00:12:28] 这两个三观不太一样,
[00:12:30] 碰撞以后产生一个火花,
[00:12:32] 大概就是老师那个职责,
[00:12:35] 叫传道。
[00:12:36] 我想传道不是传给你一套方法,
[00:12:39] 是让老师的方法和你的方法做一个碰撞。
[00:12:42] 差异化的进步,
[00:12:46] 就像细胞膜区域化的时候,
[00:12:47] 其实不是纳内溜也不是加外溜,
[00:12:50] 是纳内溜因为正反馈的存在,
[00:12:52] 超过加外溜之后,
[00:12:54] 差值,
[00:12:55] 让细胞膜发生区域化的。
[00:12:57] 这就是提高,
[00:12:59] 这就是长进。
[00:13:00] 所以咱们把一个细胞的区域化过程
[00:13:03] 很谨慎区分为
[00:13:04] 从进气点位到阈电位这一段,
[00:13:06] 是需要外来刺激
[00:13:08] 去产生的。
[00:13:09] 看你刺激强多了,
[00:13:10] 欲下刺激,
[00:13:11] 阈刺激,
[00:13:12] 欲上刺激。
[00:13:13] 而在阈刺激之后,一旦纳内溜和加外溜产生差值以后,
[00:13:16] 差值
[00:13:18] 是一个差异性的放大过程,因为纳是正反馈的,
[00:13:21] 加正反馈不了。
[00:13:22] 这个差值越来越大,
[00:13:24] 这个所谓的再生性的内向列流
[00:13:28] 接到了细胞膜的
[00:13:30] 区域化完整。
[00:13:32] 是这个样子的。
[00:13:34] 所以我们越学习对一个自然世界,一个自然现象的理解,
[00:13:38] 就越趋向于本质化。
[00:13:39] 可能最后有一天没法走到事物本质的最尽头,
[00:13:43] 最尽头,
[00:13:44] 但至少我是在想
[00:13:46] 一个正确的方向上,
[00:13:48] 在迈进。
[00:13:49] 大概在这个意义上可以讲一句话,
[00:13:52] 走着走着,
[00:13:53] 花就开了。
[00:13:54] 我想是这样。
[00:13:55] 这段话不是废话,
[00:13:57] 是
[00:13:59] 多少年学习积累,包括给好多心理学专业讲课,
[00:14:03] 看很多心理疾病,精神疾病之后的一些
[00:14:06] 具体的感受。
[00:14:07] 其实讲课也有一个目的,
[00:14:10] 把这么多年的临床实践,教学实践,
[00:14:13] 读小说的阅历和感受
[00:14:16] 讲给同学们听。我想讲课就是老师把他的故事讲给学生听,
[00:14:21] 让学生在他的
[00:14:22] 现有的一个
[00:14:24] 生活学习环境
[00:14:26] 之外
[00:14:27] 有一个新的
[00:14:28] 这么一个
[00:14:32] 做一个比对,
[00:14:33] 不管他的。
[00:14:34] 那么第三节感觉插入这一块还有一个基本话题,
[00:14:38] 叫大脑皮层的感觉代表区。
[00:14:40] 这个内容严格意义上解剖学已经学过一次了,但好多同学
[00:14:44] 日常教学你发现他还一点都不会,所以刚才咱们讲到体表代表区312区,
[00:14:49] 他不知道在哪个区,
[00:14:51] 所以同学们也不知道,说老师哭笑,不知道是干嘛吃的。
[00:14:55] 体表代表区一个是
[00:14:57] 咱们最熟知的是第一体表,就是具体产生感觉。
[00:15:00] 我左手指,中指
[00:15:02] 被人家门夹了一下,左手拇指
[00:15:05] 被菜刀劈了一下,就类似于这样。
[00:15:07] 具体感受在312区。
[00:15:09] 导艳是第二代表区,就没有那么精准。
[00:15:12] 一会儿进去看。
[00:15:14] 绷体感觉在四区,
[00:15:16] 又是运动前区。
[00:15:18] 所以四六区,四六区,
[00:15:19] 中央前回运动前区。
[00:15:21] 这一块,
[00:15:22] 运动在
[00:15:23] 前页,
[00:15:24] 感觉在后页,中央后顾,
[00:15:25] 在这个位置。
[00:15:27] 内脏感觉区在第二代表区,导艳这块,运动的辅助区。
[00:15:31] 四区六区。
[00:15:32] 所以你发现了没有,
[00:15:33] 这个四六区啊,
[00:15:35] 既是运动代表区,
[00:15:37] 还是感觉代表区。
[00:15:39] 感觉连着运动的,我有时候讲课总说不小心
[00:15:42] 脚一下踢到这个
[00:15:44] 桌子脚上,桌子腿上,进教室的时候,
[00:15:47] 或者踢到台阶上,
[00:15:48] 恨不得一脚把台阶踩过来,
[00:15:50] 生气踹一脚,你走路不看,
[00:15:52] 你拐台阶不平。
[00:15:54] 台阶要平,那叫台阶吗?
[00:15:56] 这个呀,
[00:15:57] 不管它了啊,就这样。
[00:15:58] 这一块东西,
[00:15:59] 确实是需要感受一些东西。
[00:16:01] 然后就是,
[00:16:02] 听觉代表区刚才说过,
[00:16:03] 四一四二区,捏啥捏很困,
[00:16:05] 在这一块。
[00:16:06] 四一四二,四三四四,四五四六,
[00:16:08] 四七就这样上去了。
[00:16:09] 是这个一二三,四五六七,八九十,十一。
[00:16:13] 十二十三我怎么看不见了?
[00:16:15] 大脑皮层这是外侧面,
[00:16:17] 它还有内侧面。
[00:16:18] 对了,
[00:16:19] 然后有著名的
[00:16:20] 二十区,二十一区,二十二区,是吧,还有四十区。
[00:16:22] 这个地方,
[00:16:24] 它不但有外侧面,
[00:16:25] 大脑皮层还有内层面,这个地方没有展示内层面这个视野图。
[00:16:29] 看过就好了。
[00:16:30] 这至少背下两个区域,两个不够,背下四个区域。
[00:16:33] 第一替把代表区的三一二区,
[00:16:36] 运动区域的四六区,
[00:16:38] 听觉的四一四二区,
[00:16:40] 视觉的十七十九区。
[00:16:42] 我记得20年考研的时候,
[00:16:44] 就考了更复杂的区,
[00:16:46] 布劳卡区,
[00:16:47] 威尔尼克区,
[00:16:49] 嗯,世界上
[00:16:50] 讲课,有时候我讲的比他还要多一点。
[00:16:51] 包括这个帕帕斯环路,
[00:16:54] 帕帕斯包括勾回这个地方的
[00:16:56] 二十五区等等。
[00:16:58] 咱们会专门讲,这个地方没有详细的去阐述它。
[00:17:01] 先翻过去。
[00:17:02] 第一替表代表区就刚才说,
[00:17:05] 位置在中央后会的三一二区。
[00:17:07] 它的特点是定位明确,
[00:17:09] 感觉分析,
[00:17:10] 清晰。
[00:17:11] 而且你注意,
[00:17:13] 我们学过解剖和生理学以后,
[00:17:15] 一辈子都不会忘,
[00:17:16] 人体在皮层的这么一个分布的区域,
[00:17:20] 分布的
[00:17:20] 应该叫规律,
[00:17:22] 是倒置分布的。
[00:17:24] 头下,
[00:17:25] 脚上,但注意,
[00:17:26] 膝关键以下方向就去了
[00:17:29] 大脑皮层的内表面。
[00:17:30] 这画得很清楚。
[00:17:32] 然后这是小腿,是吧,这叫S,S的感觉很敏感。
[00:17:35] 小腿就小。
[00:17:37] 所以这地方你还发现一个问题,你看,
[00:17:38] 一个手指的代表区域就这么大。
[00:17:40] 比一个胳膊身上还大。
[00:17:42] 所以感觉越明确,越精细的地方,
[00:17:45] 皮层代表区域就越大。
[00:17:47] 而且代表区域不是固定不变的。
[00:17:50] 在世界上的
[00:17:51] 训练、学习过程中,
[00:17:53] 那么某些地方代表区域的区域,
[00:17:55] 比如说
[00:17:56] 常年打麻将的人,
[00:17:57] 他可能在这个右手
[00:17:59] 食指尖就根本就拿手一摸牌。
[00:18:01] 一碗,
[00:18:02] 一饼,
[00:18:04] 三饼,
[00:18:04] 一大堆,
[00:18:06] 张九麻子,
[00:18:07] 再飞一会儿,类似于这样。
[00:18:09] 这个代表区域是什么,有点变化的。
[00:18:10] 这个一定要学会啊,不能忘了。
[00:18:13] 所以
[00:18:14] 大脑皮层的三页区域的投射特点是
[00:18:16] 交叉投射,
[00:18:18] 迟早是要交叉,
[00:18:20] 出来混走是早晚,
[00:18:21] 返回来的。
[00:18:22] 什么时候交叉你还记得?
[00:18:23] 第二阶升级月发生的线位一定要交叉。
[00:18:27] 交叉投射,
[00:18:27] 右手的感觉去左侧皮层了,
[00:18:30] 左手的感觉去右侧皮层了。
[00:18:32] 第二个道指分布,
[00:18:33] 但是西关节以下的那种料,
[00:18:35] 还没有完。
[00:18:37] 头面部本身,
[00:18:38] 头确实是在上肢的下方,没毛病。
[00:18:41] 但是你发现,
[00:18:42] 头面部本身的
[00:18:43] 存在
[00:18:44] 又是直立的,正立的。
[00:18:46] 他本身
[00:18:47] 头是不到的,
[00:18:48] 眼还在上方,
[00:18:49] 然后鼻子,
[00:18:50] 然后就
[00:18:51] 嘴唇。嘴唇的地方代表区特别大。
[00:18:53] 所以人有两个地方感觉特别敏感,一个是嘴唇,一个是肛门。
[00:18:57] 消耗的两根管子。
[00:18:59] 这样的话,将来外科学一个病,
[00:19:01] 肛中脓肿,
[00:19:02] 那个疼呀。你要是说外科学要找一个最疼的病,
[00:19:05] 就肛中脓肿,疼得打小伙子,睡觉都得爬着。
[00:19:08] 就是有这意思。
[00:19:09] 嗯。
[00:19:10] 头面部本身是正立的,
[00:19:12] 然后精细正立,
[00:19:14] 感觉有细腻的地方,
[00:19:15] 有精细的地方,
[00:19:17] 当了皮层代表区也大,所以你发现嘴唇代表区很大。
[00:19:21] 知道吗?
[00:19:21] 还专门有上唇,
[00:19:23] 是吧,唇,
[00:19:24] 下唇,
[00:19:25] 还有齿,
[00:19:26] 吟,
[00:19:26] 下颌,
[00:19:28] 还有舌,
[00:19:29] 咽,
[00:19:29] 腹内感觉就
[00:19:31] 代表区小了整体上。
[00:19:33] 嗯,这个图,
[00:19:35] 图不一定需要背下来,
[00:19:36] 但是
[00:19:37] 三一二区,
[00:19:38] 以后不要再忘了。
[00:19:39] 想一想,作为老师问证教学,
[00:19:41] 一问第一体表代表区不知道三一二区的书,
[00:19:44] 其实老师是很失落的。
[00:19:46] 抱苦,
[00:19:48] 抱不说。
[00:19:50] 第二代表区就是中牙前回和导医
[00:19:53] 之间。
[00:19:53] 嗯,
[00:19:54] 中牙前回刚才说的世界上它更是运动前区和
[00:19:57] 这个运动服务区,四六区
[00:20:00] 在这个地方,
[00:20:01] 定位较差,
[00:20:02] 感觉分析促操主要是麻木感,
[00:20:04] 可能和痛觉有关。
[00:20:06] 那么投射特点,双侧投射,
[00:20:08] 分布正理而不倒置,
[00:20:10] 你叫它的重叠区,
[00:20:12] 它感觉没那么敏感。
[00:20:13] 所以第二代表区不用装傲背,你要背的是
[00:20:16] 第二代表区
[00:20:17] 是分布在运动皮层的。
[00:20:20] 中牙前回运动前区则四六区,
[00:20:22] 这个样子。
[00:20:24] 实际上刚才这个图呀,
[00:20:26] 在谈到大脑皮层第一代表区,三叶二区的时候,咱们谈那个投射特点。
[00:20:31] 这个地方实际上有个
[00:20:33] 有个,应该说有个要求,或者有个作业。
[00:20:37] 你顺手翻开书读一下,
[00:20:39] 运动代表区的投射特点
[00:20:41] 也是交叉投射。
[00:20:44] 交叉投射。
[00:20:45] 但是它有个细节,
[00:20:47] 有个什么细节?
[00:20:48] 头面部的上半部分
[00:20:50] 是双侧支配的。
[00:20:53] 交叉支配。
[00:20:56] 运动皮层是交叉支配的。
[00:20:57] 左侧皮层支配右侧,右侧皮层支配左侧。
[00:20:59] 但是头面部的上半部分
[00:21:01] 是双侧支配的。
[00:21:04] 所以这里边有个很细腻的知识,我在这儿展示出来给你听一下。
[00:21:08] 什么意思?你比如说
[00:21:10] 咱们知道
[00:21:11] 面神经
[00:21:12] 你要支配我的眼角呀,这个
[00:21:15] 额部的,额部的皮肤呀,皮肌
[00:21:19] 这样一些东西
[00:21:20] 它上半部分
[00:21:21] 它是两侧皮层
[00:21:23] 共同构成面神经这个上肢
[00:21:25] 去支配上半部分。
[00:21:26] 但是如果支配嘴角呀,支配舌头呀
[00:21:29] 它就是交叉支配的。
[00:21:31] 所以出了一个问题
[00:21:33] 出了个什么问题
[00:21:34] 设想一下
[00:21:35] 临床非常常见年轻人晚上睡觉不小心
[00:21:38] 开着门窗
[00:21:40] 老百姓同俗话叫
[00:21:41] 穿堂风
[00:21:43] 特别是冬春季节
[00:21:44] 打开窗户亮亮的
[00:21:45] 亮亮的家里边空气吧
[00:21:47] 结果一吹,把嘴给吹着了
[00:21:49] 很容易接到年轻人
[00:21:50] 面神经眼
[00:21:51] 我们俗称
[00:21:52] 叫面瘫
[00:21:54] 面神经眼
[00:21:55] 周围的
[00:21:56] 面神经眼症,实际上它更多的之后就是面神经
[00:21:59] 在穿梭脏的下颌骨,这个面神经过老的时候呀
[00:22:02] 无菌性的眼症水肿压迫神经
[00:22:05] 造成口眼歪血吧,年轻人很常见
[00:22:08] 而这个东西有数据学和中老年人的
[00:22:11] 脑梗
[00:22:11] 脑血管病
[00:22:13] 脑血管意外
[00:22:14] 去做比对
[00:22:15] 如果脑梗的时候,往往你比如说左侧皮层有个梗塞罩
[00:22:19] 或右侧皮层有个梗塞罩
[00:22:20] 它一般大多是单侧发病的
[00:22:23] 单侧发病的时候
[00:22:24] 我支配
[00:22:25] 头面部
[00:22:26] 上半部分肌肉的
[00:22:28] 神经是双侧支配的
[00:22:30] 所以一边发病
[00:22:31] 不会影响上半部分的肌肉
[00:22:33] 上面部的肌肉
[00:22:34] 但会影响下面部
[00:22:37] 所以这要听个细节啊,就是你把脸往起看
[00:22:40] 往上看
[00:22:41] 往上看,来往上举
[00:22:43] 就这个样子
[00:22:44] 体会一下
[00:22:45] 额纹存在的
[00:22:47] 是领内病变
[00:22:49] 往上看额纹消失的
[00:22:51] 是周围病变
[00:22:53] 因为你不管是左侧过来,右侧过来,双侧过来
[00:22:56] 神经最后会成一样
[00:22:57] 一条了
[00:22:58] 条条大度通螺嘛
[00:22:59] 如果这个地方受压的话
[00:23:01] 你不把左边一边倒在这,它会合以后
[00:23:03] 去支配上它就坏了
[00:23:05] 如果只是领内病变化,这个地方,你这条神经支配眼的时候
[00:23:09] 你只有里边一半坏了
[00:23:11] 所以不影响额纹
[00:23:13] 你细细品这句话
[00:23:15] 如果嘴歪了以后,嘴它是交叉支配的
[00:23:19] 对侧支配的
[00:23:20] 所以如果嘴角歪了,这个时候一定注意
[00:23:22] 一开始大夫嘴歪说话
[00:23:24] 嘴里边吃了个馒头
[00:23:25] 就塞了个松鼠呀,在这塞着
[00:23:27] 嘴巴怎么都是
[00:23:28] 吃的都是饭在这夹着都不知道
[00:23:31] 这是免贪免生性很常见的一个
[00:23:33] 也是最形象一个立法表现
[00:23:35] 嘴里边塞了一条东西,不知道,没感觉
[00:23:38] 没运动,嘴角歪了
[00:23:39] 一吐口水
[00:23:40] 吐不出去,一吹口水
[00:23:42] 漏气,吹不响
[00:23:43] 这个时候我就看一下,往上看
[00:23:46] 往上看有额纹的
[00:23:48] 是领内病变
[00:23:49] 做个CT圈
