# 源音频：P58-生理学本科教学及考研基础课 p58 神经系统9-牵张反射.m4a
# 时长：2422s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 嗯,好,同学们,咱们接着往下看啊。
[00:04:37] 你能不能感知到,这是可以通过学习获得的一种能力。
[00:04:42] 大概这是作为老师,最后的一点乐趣。
[00:04:46] 带着我的学生去看彼岸花开,去看更大的世界。
[00:04:51] 嗯,不管它了。
[00:04:53] 那么这样的话,咱们接着往下读第二个,脊椎对于姿势调节。
[00:04:56] 所以平时世界上脊椎对于姿势方面,老师有控制能力的。
[00:05:00] 但是他这个控制能力,在大脑皮层的脚屎锅,这个这个,脚活情况下,你看不见。
[00:05:07] 为了单纯研究一下脊椎本身的那些工作,我必须把大脑的那个干扰给它拿掉。
[00:05:12] 所以上一节讲了一个,从第五境界保留一个实验动物的呼吸中枢的完整。
[00:05:17] 从C5这儿啪,切断。
[00:05:18] 这样我让脊椎再受不到脊椎以外的其他干扰。
[00:05:21] 但是切断之后,我突然失去高低中枢的调控。
[00:05:24] 脊椎一下反应不过来,出于脊休克。
[00:05:26] 然后过一点时间吧,脊休克就恢复了。
[00:05:29] 脊休克恢复以后,脊椎重新恢复它的支配能力了。
[00:05:33] 在一个脊动物的身上,我来看一看。
[00:05:35] 我给它一些刺激。
[00:05:37] 脊髓有哪些反应。
[00:05:38] 这个叫脊髓类,姿势和理论调控。
[00:05:41] 第一个就是咱们学上的属于的屈肌反射。
[00:05:43] 这是一个保护性反射。
[00:05:45] 冬天,我的手进殿。
[00:05:47] 我蒙把手帮我垫了一下,我手缩回来。
[00:05:49] 所以说讲到这个地方的时候,我们在第二节讲神经阅类解方式。
[00:05:54] 讲到一个突出的分类。
[00:05:56] 单突出和多突出。
[00:05:58] 教材上有原话说,吸跳反射、借反射是单突出的。
[00:06:02] 记起来。
[00:06:03] 有时候我讲课,我讲一句话说,屈肌反射是单突出。
[00:06:07] 老师说他没这句话,就开始怼。
[00:06:09] 各种怼,怼的就不要不要的。
[00:06:11] 设想一下,屈肌反射快不快。
[00:06:13] 手不小心被尖尖跌了一下。
[00:06:15] 过了半个小时反过来,谁跌了我一下。
[00:06:18] 我手放了开水,我不知道出手了。
[00:06:20] 说,哎,哥们,给我来玩。
[00:06:21] 交眼,我站着吃。
[00:06:23] 不会,你一碰到伤口,自己嘣的嗦。
[00:06:26] 不然你吓一跳。
[00:06:27] 跌了一下。
[00:06:29] 出了脑袋,你才会反应。
[00:06:31] 发生在皮层反应之前。
[00:06:32] 那肯定是非常快速的。
[00:06:34] 对了,0.5个号码足够了。
[00:06:36] 所以实际上,教材没有写。
[00:06:38] 为什么说要学习,非写了你才知道呀。
[00:06:41] 所以老百姓记得妈妈小时候,
[00:06:43] 山西靖南,山西简称靖。
[00:06:46] 靖南的农村地区,妈妈都喜欢说句话说,
[00:06:49] 吃一堆,指一堆,吃一堆。
[00:06:51] 不会举一反三。
[00:06:53] 老师这个,他不是骂学生,
[00:06:55] 说,看一看。
[00:06:56] 最早时候,我们每个人都傻傻的蒙蒙。
[00:06:58] 大家开始学习,有一天,
[00:06:59] 成长了一个非常具有专业
[00:07:01] 和人文素养的医生,医者。
[00:07:04] 非常有那个范儿,很优雅,很淡定。
[00:07:07] 这样的,能力强。
[00:07:09] 他对事物能hold得住,他不慌。
[00:07:13] 所以你回头看一下,什么人脾气大?
[00:07:15] 能耐小的人脾气大,为什么?
[00:07:17] 他控制不住,他就一发火的脾气下来。
[00:07:21] 所以一直讲科开码球,人物四类。
[00:07:23] 有能耐没脾气的,这是高人,超人。
[00:07:26] 有能耐有脾气的,
[00:07:28] 千万有能耐,你也不能指责什么。
[00:07:30] 没能耐没脾气的,
[00:07:32] 知道我们也能耐,
[00:07:33] 我也没脾气,你说什么我也行。
[00:07:35] 所以说,开码球,
[00:07:36] 比如说单位的,
[00:07:37] 公共事业单位的小车司机,
[00:07:40] 也不是人家没能耐,
[00:07:42] 是看起来更多的表现的,
[00:07:44] 没能耐,也没脾气,谁指责我也干。
[00:07:47] 反正公家车,我给你跑一趟,
[00:07:48] 没啥毛病。
[00:07:49] 这个人在社会混得最风生云起,
[00:07:52] 又不害怕你篡权夺位,
[00:07:56] 又不害怕你泄露我的秘密。
[00:07:58] 最糟糕的,就是好多所谓的,
[00:08:00] 所谓的清高的知识分子,
[00:08:02] 心理天高,
[00:08:03] 玉笔至薄,
[00:08:04] 就跟那琴碗似的,
[00:08:05] 似着擅自往,
[00:08:06] 似着涓薄去往,
[00:08:08] 本事不大,
[00:08:10] 脾气不小,
[00:08:11] 阴阳一样。
[00:08:12] 我们能不能慢慢通过一辈子的修炼,
[00:08:16] 变得有很强大的一个把握事物的能力,
[00:08:20] 能hold得住,
[00:08:21] 然后表现出来很优雅,
[00:08:24] 很温和,
[00:08:27] 很平和,
[00:08:28] 很有亲和力的一面。
[00:08:31] 一边讲,一边感慨。
[00:08:34] 区别反射是要去点心,
[00:08:35] 单独反射,
[00:08:36] 说话有那么多,
[00:08:37] 没有也是这样的。
[00:08:38] 避开伤害刺激,
[00:08:39] 保护作用,
[00:08:40] 但是强调,
[00:08:41] 不属于自私反射。
[00:08:42] 角色在这写一句话说,
[00:08:44] 经常一个过强的刺激,
[00:08:46] 比如说让我左手,
[00:08:47] 我讲客楼开玩笑,
[00:08:48] 讲左手不好是讲左脚,
[00:08:49] 夏天穿个小凉拖,
[00:08:51] 光脚还是挺漂亮,
[00:08:52] 染个漂亮小指甲,
[00:08:53] 穿个小凉拖,
[00:08:54] 巴拉巴拉,
[00:08:55] 小女孩穿个小裙,
[00:08:56] 挺漂亮。
[00:08:57] 结果一边人踩了一个,
[00:08:58] 不是谁无聊,
[00:08:59] 马上喝完啤酒喝醉了,
[00:09:00] 摔水摔马路上,
[00:09:01] 自己走路又不看,
[00:09:02] 看着手机,
[00:09:03] 咚咚一脚给踩到破啤酒瓶上去了,
[00:09:05] 坑一下把脚底板扎透了,
[00:09:06] 左脚扎了一下,
[00:09:07] 这咚就说会了,
[00:09:08] 体会一下,
[00:09:09] 我要想把左脚,
[00:09:10] 从扎穿我的凉拖鞋底到啤酒瓶上,
[00:09:14] 把脚给踢起来怎么办,
[00:09:16] 你首先得把重心移到右腿,
[00:09:18] 左腿才能架,
[00:09:19] 空才能拎起来,
[00:09:20] 要不然的话,
[00:09:21] 你这个腿抬不起来,
[00:09:23] 不是死扎个上,
[00:09:24] 所以这左腿,
[00:09:25] 左脚丫子被啤酒瓶扎了一下,
[00:09:28] 右腿一蹬,
[00:09:29] 跳了起来,
[00:09:30] 这就叫对侧的升级反射,
[00:09:32] 左侧那个腿缩回来,
[00:09:34] 屈肌反射,
[00:09:35] 防止被扎第二下,
[00:09:36] 防止扎着拔不出来,
[00:09:37] 右腿蹬一下,
[00:09:38] 让这个伤害肢体远离伤害物,
[00:09:41] 这就叫屈肌反射,
[00:09:43] 对侧升级反射,
[00:09:44] 对侧升级反射显然就够复杂了,
[00:09:46] 所以在《脊丘科恢复》讲的一个说法,
[00:09:49] 脊丘科恢复的过程中,
[00:09:50] 先恢复的是屈肌反射,
[00:09:52] 后恢复的是对侧升级反射,
[00:09:54] 这个活动是不需要当到参与的,
[00:09:57] 是脊髓本身就可以完成的,
[00:09:59] 包括脊胸和脊胸恢复,
[00:10:01] 你看到排解排便,
[00:10:02] 脊髓本身就可以完成,
[00:10:03] 但是正常人那不够,
[00:10:04] 你还能有了几秒,
[00:10:05] 那也不对,
[00:10:06] 你得讲究文明礼貌,
[00:10:07] 五讲四礼三招,
[00:10:08] 我们在80年代讲,
[00:10:09] 那会儿在国家刚开放之初,
[00:10:13] 强调物质文明和精神文明,
[00:10:15] 小平同志说,
[00:10:16] 物质文明精神文明,
[00:10:17] 两手都要抓,
[00:10:18] 两手抓,
[00:10:19] 两手都要赢,
[00:10:20] 五讲四礼三热爱党,
[00:10:22] 热爱人民,
[00:10:23] 热爱祖国,
[00:10:24] 是把五讲,
[00:10:25] 讲文明加礼貌,
[00:10:26] 这个讲文明语言,
[00:10:27] 早上见来说good morning,
[00:10:28] 晚上见面说good night,
[00:10:29] 也说你好,
[00:10:30] 说早安,
[00:10:31] 说晚安,
[00:10:32] 就这样,
[00:10:33] 那个时候整个的时代还处于一个懵懂状态,
[00:10:36] 这三四十年以来,
[00:10:37] 人群的恶人素养,
[00:10:39] 人文素养是有了一个根本性的转变,
[00:10:43] 社会真的到90后之后突然变得,
[00:10:45] 你很少见过谁在排队,
[00:10:47] 不排队,
[00:10:48] 不在吵架,
[00:10:49] 这一看就没素,
[00:10:50] 一脸弄一笑,
[00:10:51] 就不好听了,
[00:10:52] 当然这个地方我还强调这20年,
[00:10:54] 说农民不在水马,
[00:10:55] 在地里耕田,
[00:10:56] 是明明生活在大都市,
[00:10:57] 那个素质出来一会儿,
[00:10:58] 人哭笑不得,
[00:10:59] 所以曾经我觉得有段时间,
[00:11:01] 北京还批评这个网野,
[00:11:02] 网野什么意思,
[00:11:03] 夏天太热,
[00:11:04] 北京两个都唱评,
[00:11:05] 那是又是潮,
[00:11:06] 又热,
[00:11:07] 湿热,
[00:11:08] 喊出不来种树,
[00:11:09] 所以讲美讲客,
[00:11:10] 种树是什么,
[00:11:11] 种树不是天气太热,
[00:11:12] 热不热不是毛病,
[00:11:14] 湿不湿才是问题,
[00:11:16] 你要是干热的话,
[00:11:17] 我通过这个汗线,
[00:11:18] 是吧,
[00:11:19] 温热发汗,
[00:11:20] 把水珠挂在体表,
[00:11:21] 小粉一吹,
[00:11:22] 或者是通过自然蒸发,
[00:11:24] 这个水经过气化的时候,
[00:11:27] 从体表带走大量热量,
[00:11:28] 它散热的,
[00:11:29] 到了三伏天是又热又湿,
[00:11:31] 这空气比我这个汗也还湿,
[00:11:34] 所以水挂了一生,
[00:11:35] 它不蒸发,
[00:11:36] 只见出汗,
[00:11:39] 不见散热,
[00:11:40] 那就叫种树,
[00:11:41] 所以好多人热的时候,
[00:11:42] 就不热,
[00:11:43] 我记得有一年,
[00:11:44] 我在北京,
[00:11:45] 是2001年前,
[00:11:46] 我读博士,
[00:11:47] 我记得都已经到国庆以后了,
[00:11:49] 我还在北京府外医院门口,
[00:11:51] 我就去买这个SBP,
[00:11:53] Sportaners,
[00:11:55] 这个自发性的高血压大叔,
[00:11:58] 还不太恩人,
[00:12:00] 自发高血压大叔,
[00:12:01] 那大叔,
[00:12:02] 我记得正好现在是贾佑和教授,
[00:12:04] 那会贾佑和医生,
[00:12:05] 贾佑和博士,
[00:12:06] 在他门口填一家,
[00:12:07] 就叫什么餐馆,
[00:12:08] 现在还有北京的,
[00:12:09] 挺时髦的一个连锁饭店,
[00:12:12] 盘子给的挺实惠,
[00:12:13] 就叫铁人家,
[00:12:14] 就叫铁人家吧,
[00:12:15] 在府外医院门口,
[00:12:16] 吃点饭出来热的,
[00:12:17] 我的妈呀,
[00:12:18] 那都已经过了国庆了,
[00:12:19] 那北京大街站的地方,
[00:12:20] 都有50度,
[00:12:21] 是热的,
[00:12:22] 好多人那会就受不了,
[00:12:23] 就光膀子,
[00:12:24] 所以北京人称为膀爷,
[00:12:26] 说膀爷不文明,
[00:12:27] 那会学的武将四面三转,
[00:12:29] 还得出门,
[00:12:30] 好歹穿个二五金,
[00:12:31] 和大蓝袖,
[00:12:32] 什么的,
[00:12:33] 小膝盖,
[00:12:34] 小铁絮,
[00:12:35] 不好看,
[00:12:36] 不文明,
[00:12:37] 现在人家文明了,
[00:12:38] 见好说啤酒瓶的也少了,
[00:12:39] 所以对残生机反射体会的也少了,
[00:12:41] 讲一下,
[00:12:42] 去一会儿对残生机反射,
[00:12:43] 哎,
[00:12:44] 怎么讲啥去了,
[00:12:45] 前面看着的,
[00:12:47] 拍鸟拍鞭,
[00:12:48] 拍鸟拍鞭不是毛病,
[00:12:49] 随意的拍鸟拍鞭才是问题,
[00:12:51] 所以脊休克恢复以后,
[00:12:53] 恢复的是,
[00:12:54] 脊髓本身旁观有尿,
[00:12:55] 我就拍,
[00:12:56] 你不像脊休克的时候,
[00:12:58] 有尿我也不拍,
[00:12:59] 所以张力新一尿,
[00:13:00] 咱们刚才专门讲,
[00:13:01] 张力新一尿,
[00:13:02] 这个样子,
[00:13:03] 缝尿储留是没有缝尿,
[00:13:06] 没有这个拍鸟排便反射,
[00:13:08] 最后憋的尿也实在受不了,
[00:13:10] 尿也造成的膀胱部的压力,
[00:13:12] 超过括约剂的承受极限值,
[00:13:14] 是强行冲出去的,
[00:13:16] 大坝,
[00:13:17] 这个破亏了,
[00:13:18] 溃堤了,
[00:13:19] 那叫张力新一尿,
[00:13:21] 所以说,
[00:13:22] 缝尿储留是机制,
[00:13:24] 就没有反射是机制,
[00:13:26] 没有拍鸟排便反射,
[00:13:27] 那么张力一尿是表现,
[00:13:30] 缝尿储留是没有反射,
[00:13:33] 但是,
[00:13:34] 大小边失禁时有反射,
[00:13:35] 不属脾层随意控制,
[00:13:37] 那么从这往下,
[00:13:38] 咱们在脊髓这边往下讲的时候,
[00:13:40] 都是讲脊髓本身,
[00:13:41] 没有大脑脾层控制,
[00:13:42] 脊髓那些活动,
[00:13:43] 发现没有大脑了,
[00:13:45] 你刺激一下肢体,
[00:13:46] 它依然会受受,
[00:13:47] 像刚才说,
[00:13:48] 像这个脊髓的节间反射,
[00:13:50] 好几个脊髓段,
[00:13:52] 能产生一个搔爬反射,
[00:13:54] 拿个小蛤蟆,
[00:13:55] 把脑袋解了,
[00:13:56] 给它挂那,
[00:13:57] 因为脑袋了,
[00:13:58] 挂那以后,
[00:13:59] 给它肚皮上贴个小细盐酸,
[00:14:01] 细硫酸的小绿脂,
[00:14:02] 它似乎脾颈还往下扒了,
[00:14:04] 脚踩血了,
[00:14:05] 那是一个脊髓的完成不了,
[00:14:07] 较复杂的,
[00:14:08] 需要几个阶段联合实现,
[00:14:11] 这都属于脊髓本身的一些反射,
[00:14:13] 把大脑去掉以后,
[00:14:15] 再下来就是咱们整个生理学,
[00:14:18] 乃至整个生理学这门学科里的,
[00:14:21] 最核心的知识之一,
[00:14:23] Stretch Reflex,
[00:14:26] 就是五个肌的牵张反射,
[00:14:28] 到这儿我们不得不听一下,
[00:14:30] 世界上有关牵张反射这四个字,
[00:14:32] 生理学上讲了两次,
[00:14:34] 依次是肺的牵张反射,
[00:14:36] 也叫黑波二式反射,
[00:14:38] 分为肺扩和肺缩反射,
[00:14:40] 吸气过程抑制吸气,
[00:14:42] 呼气过程抑制呼气,
[00:14:44] 及时的终止那个吸气呼气活动,
[00:14:46] 把呼吸能保持在一定的频率,
[00:14:48] 一定幅度内,
[00:14:50] 这个反射我们前面讲了很多次,
[00:14:51] 为什么?
[00:14:52] 因为肺的牵张反射的传入神经,
[00:14:54] 是弥宙,
[00:14:55] 我们第一次看到弥宙不但能传出,
[00:14:57] 弥宙还能传入,
[00:14:59] 到了消化系统里面,
[00:15:00] 就不再奇怪了,
[00:15:01] 第二个就是这儿,
[00:15:02] 著名的骨骼肌牵张反射,
[00:15:04] 生理情况下,
[00:15:05] 骨骼肌一次给它施加一个外力,
[00:15:06] 牵拉的时候,
[00:15:07] 到外力牵拉,
[00:15:08] 骨骼肌会发生一个反射性回缩,
[00:15:10] 回缩不是毛病,
[00:15:12] 反射才是问题,
[00:15:14] 而且特别好玩,
[00:15:15] 咱们大学备完之后,
[00:15:16] 都知道答案,
[00:15:17] 这个骨骼牵张反射,
[00:15:18] 感受器和效应其实同一块肌肉,
[00:15:21] 你拉谁谁收缩,
[00:15:22] 你不拉哪个人,
[00:15:23] 你拉左手右手收缩,
[00:15:24] 你吓得哆嗦,
[00:15:25] 不算数,
[00:15:26] 所以实际上一个人不需要大脑皮层控制,
[00:15:29] 脊髓这还能存在,
[00:15:31] 不是脊休克的,
[00:15:32] 其实你只要一拉肌肉,
[00:15:34] 它就反而会缩,
[00:15:35] 在这个意义上,
[00:15:36] 我讲的比较啰嗦,
[00:15:37] 我记得有一年,
[00:15:38] 有一年网上评价这个医学生和医学教育,
[00:15:42] 北大有一个副教授晚上突发急诊,
[00:15:45] 突发急诊住到北大人民了,
[00:15:46] 住北大人民北大八年制的,
[00:15:48] 八年制是5加3,
[00:15:50] 他是本硕博联读,
[00:15:51] 有一批实习生在医院里,
[00:15:53] 我们都到博士阶段了,
[00:15:54] 八年制了,
[00:15:55] 博士博士就当他自己的老师,
[00:15:57] 然后在医院实行紧急的抢救过程中,
[00:16:01] 没有抢救过,
[00:16:02] 老太太应该是很急性心梗,
[00:16:03] 我记得是,
[00:16:04] 就当她不幸离世了,
[00:16:05] 这个事情就过去,
[00:16:06] 医疗上很正常有医学的过程,
[00:16:09] 不是试过医学过程,
[00:16:10] 讲究过程,
[00:16:11] 但是网上开始喷,
[00:16:12] 说是老太太死了以后,
[00:16:14] 家属发现肋骨短了两根,
[00:16:16] 设想一下,
[00:16:18] 别说他脑袋还活着,
[00:16:20] 脊髓这要还活着,
[00:16:21] 我给他做心水复苏ABC,
[00:16:24] 心水复苏的时候,
[00:16:27] 我只要一压他,
[00:16:28] 他内间肌受到一个外力牵拉,
[00:16:30] 就要反正回缩了,
[00:16:31] 他有个自我保护,
[00:16:32] 就后面一情况下,
[00:16:33] 他也会自我保护,
[00:16:34] 也会自我保护,
[00:16:35] 所以实际上,
[00:16:36] 我们要是不给他压到一定深度,
[00:16:39] 是达不到心水复苏的一个需要的,
[00:16:41] 外科学上还能强调这个事,
[00:16:43] 心水复苏术,
[00:16:44] 那么我要达到这个深度的话,
[00:16:46] 那么肋骨就在我的外力下会有一个变形,
[00:16:49] 那么内间内肌内间肌就会受牵拉,
[00:16:52] 它就会本能的回缩,
[00:16:53] 起一个保护作用,
[00:16:55] 如果一个医学生给他的老师做心水复苏按压的时候,
[00:16:59] 心血血液一按,
[00:17:00] 能把肋骨按断好几个,
[00:17:02] 只有一种可能,
[00:17:03] 脊髓连反射都没有了,
[00:17:05] 其实人走了,
[00:17:07] 说人已经走了,
[00:17:08] 为什么还心肺复苏,
[00:17:10] 这是医学一个人文的慈善的表现,
[00:17:13] 一个大货人抬进来之后,
[00:17:15] 三分钟之后,
[00:17:16] 你搞人家家属说人走了,
[00:17:17] 他接受不了,
[00:17:18] 所以我们一般都是知道,
[00:17:20] 您知道人已经走了,
[00:17:21] 一方面外面有主治,
[00:17:22] 或者主任跟家属在聊天,
[00:17:24] 说这个病个必要,
[00:17:25] 你们做好准备,
[00:17:26] 并没有无疑瞎的,
[00:17:27] 你们有什么打算,
[00:17:28] 将来你是准备就地火化,
[00:17:30] 还是说有什么回老家的想法,
[00:17:33] 实际上就是没花找花,
[00:17:34] 换冲一下患上悲痛的心情和份子,
[00:17:37] 里边是人已经走了,
[00:17:39] 还在按压,
[00:17:40] 所以实际上真正在临床急救的时候,
[00:17:42] 大多数是有经验的医生护士在操作,
[00:17:45] 如果患到实习生的按压的时候,
[00:17:47] 我还记得我在1月1987年时期,
[00:17:49] 一个老太太吃了CCB,
[00:17:52] 消本地病,
[00:17:53] 吃了两瓶之后,
[00:17:54] 抢救了,
[00:17:55] 61岁老太太,
[00:17:56] 1987年的时候,
[00:17:59] 一个在职的职工,
[00:18:00] 他的报销比例是很大的一保,
[00:18:03] 应该没有意料的费用压力,
[00:18:05] 一个城市的市民,
[00:18:06] 我不清楚,
[00:18:07] 为什么有一个冠心病,
[00:18:09] 就会吃那么多消本地品,
[00:18:11] 不清楚,
[00:18:12] 他走了,
[00:18:13] 我记得很清楚,
[00:18:14] 我刚一压,
[00:18:15] 手底下人感觉累,
[00:18:16] 我端了一个,
[00:18:17] 当时我的实际上是郭天春老师,
[00:18:18] 我特别,
[00:18:19] 我讲课的时候郭老师骂我,
[00:18:20] 我把胸道里的一道威武弄不明白,
[00:18:22] 还不如被小的小护士,
[00:18:23] 小姑娘,
[00:18:24] 助产师,
[00:18:25] 我说你不是我学生,
[00:18:26] 你出去,
[00:18:27] 你跟我出去,
[00:18:28] 我妈倒下屁股干净,
[00:18:29] 郭老师是个大红脸,
[00:18:30] 大胃口挺帅气的,
[00:18:32] 脸皮肤红着,
[00:18:34] 偏红一点,
[00:18:35] 郭老师,
[00:18:36] 多少年没见过郭老师,
[00:18:37] 八几岁岁老人,
[00:18:38] 所以还记得骂我,
[00:18:39] 别人你一压可疼一下,
[00:18:41] 人家郭老师知道,
[00:18:42] 肋骨断了,
[00:18:43] 就说继续,
[00:18:44] 人已经走了,
[00:18:45] 没有牵张反射,
[00:18:46] 我这会跟你讲明白了,
[00:18:48] 所以这个网上攀人,
[00:18:49] 有时候你和外行讲一个话,
[00:18:51] 你都没上台,
[00:18:52] 这台干都听不懂你一个外行,
[00:18:54] 所以他后面讲一句话说,
[00:18:55] 我们不试着去和猪讲道理,
[00:18:57] 为什么,
[00:18:58] 因为它是猪呗,
[00:19:02] 受前拉肌肉,
[00:19:03] 会发生反射性回缩,
[00:19:05] 这是脊髓本身控制的,
[00:19:07] 这个现象叫骨骼牵张反射,
[00:19:10] 外在表现上分为两种,
[00:19:11] 间感射和肌紧张,
[00:19:13] 所以我讲到这儿,
[00:19:14] 必须说句话,
[00:19:15] 82的时候,
[00:19:16] 我们学校,
[00:19:17] 一个大学给学生们期末考试出题,
[00:19:19] 但是现在是国家抽题了,
[00:19:21] 偶尔出题,
[00:19:22] 偶尔自己出自己命题,
[00:19:23] 我们经常出一种提醒,
[00:19:25] 叫是非判断题,
[00:19:26] 我就记得,
[00:19:27] 给我学生哥在这儿,
[00:19:28] 有个古人老中人说,
[00:19:29] 我说别出了,
[00:19:30] 这种事出吧,
[00:19:31] 还是出一半,
[00:19:32] 还是传统出题吧,
[00:19:33] 有个题目这样说,
[00:19:34] 同学们,
[00:19:35] 这个间反射,
[00:19:36] 是腱器官诱发的,
[00:19:38] 对不对,
[00:19:39] 那当然不对,
[00:19:40] 腱器官是骨骼肌的张力感受器,
[00:19:43] 牵张反射感受器是肌缩,
[00:19:45] 腱器官诱发的反射,
[00:19:47] 叫牵张反射,
[00:19:49] 肌缩性缝之后,
[00:19:50] 诱发两个不同的反射表现,
[00:19:52] 间反射和肌紧张,
[00:19:53] 所以到这儿一定要背回它,
[00:19:55] 间反射和肌紧张,
[00:19:56] 感受器都这么急缩,
[00:19:57] 腱器官诱发那玩意叫反,
[00:19:59] 牵张反射,
[00:20:00] 明天考一次,
[00:20:01] 把学生考过一次,
[00:20:02] 自己不长点心,
[00:20:03] 我就在想,
[00:20:04] 有时候想想这个题目,
[00:20:05] 错一分不影响你及格,
[00:20:07] 讲它的原因是,
[00:20:08] 觉得特别好玩,
[00:20:09] 就是拿来逗小朋友玩,
[00:20:11] 一逗一个准,
[00:20:12] 哎呀,
[00:20:13] 我不知道你们要当老师以后,
[00:20:14] 有没有这份心态,
[00:20:15] 作为老师是没有恶意的,
[00:20:17] 有时候考一考,
[00:20:18] 一个学生对于,
[00:20:19] 说腱器官当然是,
[00:20:20] 间反射,
[00:20:21] 腱器官要反射,
[00:20:22] 不是,
[00:20:23] 不是,
[00:20:24] 间反射最厉害的案例,
[00:20:25] 医学上都知道,
[00:20:26] 那个典型的单头头反射,
[00:20:27] 就是那么的,
[00:20:28] 心跳反射,
[00:20:29] 最典型,
[00:20:30] 拿个小锤子敲一敲,
[00:20:31] 我老师说玻璃盖,
[00:20:33] 冰鼓,
[00:20:34] 冰鼓是人体最大一块子鼓,
[00:20:36] 是让你整卡的视力图啊,
[00:20:37] 这个骨刺头基建,
[00:20:39] 绕过膝关节,
[00:20:40] 中指在,
[00:20:41] 主要中指在,
[00:20:42] 颈骨上端,
[00:20:43] 颈骨错拢上,
[00:20:45] 所以你这个腿,
[00:20:46] 弯伸弯伸,
