行号	误识	纠正为	置信度	原句
237	曲级化	去极化	high	随着摩尔的曲级化,
273	去激化	去极化	high	越去激化,
441	内向正流	内向整流	high	因为IQ1内向正流了,
442	内向正流	内向整流	high	IQ1的内向正流,
488	平台继	平台期	medium	平台继续解说了,
510	风点位	锋电位	high	东京的风点位,
511	曲级化	去极化	high	曲级化和复级化,
511	复级化	复极化	high	曲级化和复级化,
512	风点位	锋电位	high	这风点位的一段,
528	平台系	平台期	medium	在平台系的时候,
541	平台系	平台期	medium	我们叫做平台系,
548	趋极化	去极化	high	越趋极化,
556	趋极化	去极化	high	这个图上为什么趋极化开始的,
557	趋极化	去极化	high	傅九成毫幅开始趋极化,
605	电压前	电压钳	high	我拿一个电压前置技术,
674	生物点	生物电	high	我们在细胞生物点第二章的时候,
679	超几化	超极化	high	超几化,
687	去几化	去极化	high	摩去几化,
758	腹肌化	复极化	high	导致3期这个腹肌化就会加快,
862	摩天位	膜电位	medium	一个就是看见的摩天位,
863	摩天位	膜电位	medium	摩天位变化,
963	复机化	复极化	high	快速复机晚期复机化的,
969	复机化	复极化	high	摸就开始重新进入复机化,
975	复机化	复极化	high	它在摸复机化到复60毫米左右之后,
1005	后超继化	后超极化	high	又叫做后超继化,
1007	后超继化	后超极化	high	这个后超继化,
1008	夫计划	复极化	high	摩托夫计划结束了,
1011	超长期	超常期	high	正因为有一段超长期的时期,
1012	超长期	超常期	high	超长期,
1013	预点位	阈电位	high	它距离预点位,
1014	预点位	阈电位	high	比平时的近期列位距离预点位更远一点,
1017	低长期	低常期	high	称之为低长期,
1020	超长期	超常期	high	它就没有超长期,
1025	超长期	超常期	high	你说的一般细胞的超长期,
1026	超长期	超常期	high	复极化的超长期正后列位,
1054	平台系	平台期	medium	是在平台系统内流的,
1150	超长期	超常期	high	超长期,
1151	低长期	低常期	high	低长期,
1155	低长期	低常期	high	是没有低长期的,
1163	区计划	去极化	high	心室肌细胞07区计划,
1167	区计划	去极化	high	一个07区计划,
1169	区计划	去极化	high	再看窦房节细胞这个07区计划,
1172	区计划	去极化	high	心室肌是从-90毫伏开始区计划的,
1176	区计划	去极化	high	开始区计划,
1183	区计划	去极化	high	心室肌细胞区计划的幅度,
1185	区计划	去极化	high	窦房节细胞区计划的幅度,
1190	动作点位	动作电位	high	动作点位的形状都差的很多,
1209	摩天位	膜电位	medium	它的摩天位很稳定,
1217	摩天位	膜电位	medium	的时候摩天位绝对是最大的这一刻,
1260	复集化	复极化	high	它每次复集化一结束,
1271	感同道	慢通道	medium	L型DM红感同道,
1343	复旗化	复极化	medium	三期复旗化的后半程,
1350	内向正流	内向整流	high	它内向正流着,
1361	复旗化	复极化	medium	开始复旗化,
1364	复旗化	复极化	medium	摩依复旗化到-60毫米左右,
1377	复旗化	复极化	medium	这一段复旗化怎么实现,
1393	复旗化	复极化	medium	甲外流让摩基进一步复旗化,
1394	复旗化	复极化	medium	一复旗化,
1411	复旗化	复极化	medium	三七复旗化的后半程,
1418	复旗化	复极化	medium	所以三七复旗化,
1433	复旗化	复极化	medium	它复旗化到什么水平,
1434	复旗化	复极化	medium	就复旗化不动了,
1437	复旗化	复极化	medium	因为引发它复旗化的RK,
1444	期自动区计划	期自动去极化	high	第四期自动区计划,
1447	期自动区计划	期自动去极化	high	东方阶细胞四期自动区计划,
1467	区计划	去极化	high	零期区计划的盖通道是L型的,
1468	期自动区计划	期自动去极化	high	四期自动区计划的盖通道是T型的,
1474	预点位	阈电位	high	它的预点位,
1477	型盖通道	型钙通道	high	L型盖通道预点位在-40毫伏,
1477	预点位	阈电位	high	L型盖通道预点位在-40毫伏,
1481	区计划	去极化	high	所以一开始自动区计划的时候,
1487	区计划	去极化	high	豆方结细胞四期的自动区计划,
1489	预点位	阈电位	high	自动就到预点位去了,
1502	区计划	去极化	high	它就不能自动区计划了,
1504	区计划	去极化	high	自动区计划影响不太大,
1508	区计划	去极化	high	自动区计划速度会减慢,
1509	预点位	阈电位	high	豆方结细胞就迟迟不能到达预点位,
1512	解抗剂	拮抗剂	high	临床上就有人使用IF这个通道解抗剂,
1526	区计划	去极化	high	豆方结细胞自动区计划的速度越快,
1527	预点位	阈电位	high	它更快到预点位,
1531	区计划	去极化	high	自动区计划速度快的时候,
1533	区计划	去极化	high	自动区计划速度慢一点,
1535	区计划	去极化	high	那么自动区计划既有衰减的外向电流,
1545	结抗肌	拮抗剂	high	F通道结抗肌,
1595	街头前膜	接头前膜	high	街头前膜有钙,
1691	摩电位	膜电位	high	它在摩电位幅积化到幅70毫米左右开始开放,
1691	幅积化	复极化	high	它在摩电位幅积化到幅70毫米左右开始开放,
1699	超级化	超极化	high	越超级化的时候,
1805	自理细胞	自律细胞	medium	普恒也细胞也是自理细胞,
1824	动作点位	动作电位	high	普恒也细胞的动作点位,
1837	浮激化	复极化	high	它是越浮激化,
1859	动作点位	动作电位	high	动作点位,
