# 源音频：P25-生理学本科教学及考研基础课 p25 呼吸-第一节（肺通气的动力）.m4a
# 时长：2998s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:01] 同学们大家好,我是生理教育室的刘东宝老师,非常高兴能够在课堂上和同学们见面。
[00:04:10] 整个这个呼吸过程从生理学角度看过去,它怎么实现的?
[00:04:14] 咱们说有下来这么几个环节,第一个是所谓的,我们叫外呼吸,这是第一个基本概念。
[00:04:21] 外呼吸应该包含两个细节,一个叫肺通气,一个叫肺的换气。
[00:04:27] 大概多年之后,咱们想起呼吸运动,呼吸生理学这一章的话,可能肺通气和肺换气,我们印象会很深。
[00:04:34] 所以什么叫肺通气啊?
[00:04:36] 就是肺泡的气体和外界大气进行交换的过程。
[00:04:41] 气体怎么样通过鼻腔,通过各级气道。
[00:04:44] 然后再从肺泡内再出去,这个过程叫通气。
[00:04:49] 那么气体进肺泡干嘛去了?
[00:04:52] 进入肺泡的气体,咬合有形时,输送过来的静脉血,从全身流回来的静脉血,去进行气体交换。
[00:05:01] 把静脉血变成富含氧气的动脉血,另外顺手,顺便就把它携带的二氧化碳再排到体外去。
[00:05:09] 所以实际上就是一个所谓的肺的换气过程。
[00:05:13] 血液的氧合。
[00:05:15] 交换完之后的血液变成了富含氧气的动脉血。
[00:05:20] 那么解剖血讲过,经过肺的静脉,回到左心房,再到左心室,上一张血过了左心室,体胸环,把血液打到全身去,供给器官和组织细胞的使用。
[00:05:33] 到体胸环。
[00:05:35] 所以这二个过程。
[00:05:36] 那么肺换气的结构基础,咱们在组织胚胎血学过,叫气血屏障。
[00:05:41] 所以说,组胚血上总喜欢叫屏障,气血屏障。
[00:05:45] 血尿屏障。
[00:05:46] 血脑屏障。
[00:05:49] 这样一些胃黏膜屏障。
[00:05:51] 黏液碳酸氢黏屏障。
[00:05:54] 组胚总喜欢叫屏障,生理学总喜欢叫膜。
[00:05:58] 所以组胚血学过的气血屏障,生理学就是叫呼吸膜。
[00:06:01] 后面咱们要专门探讨。
[00:06:03] 肺泡的气体和静脉血液的气体,就通过呼吸膜来进行交换。
[00:06:09] 这一步叫换气。
[00:06:10] 交换之后动脉血。
[00:06:12] 那么氧气,主要是氧气。
[00:06:16] 然后体胸环,血液胸环,把它运送到沙渝章血河的微胸环。
[00:06:21] 你还记得微胸环三条通路。
[00:06:23] 迂回通路,直解通路,动静脉短路。
[00:06:26] 这边主要是在迂回通路,交换的这个地方。
[00:06:29] 进行交换和组织细胞。
[00:06:32] 所以血液最后和组织细胞之间经过组织液,还一次气体交换。
[00:06:37] 气体交换完了之后进入组织细胞内部。
[00:06:39] 组织细胞内部的这样一个细胞的氧化代谢,
[00:06:43] 清肯代谢过程。
[00:06:44] 我们在这一般把它称之为内呼吸。
[00:06:47] 所以你这样看到的话,有人把它理解为呼吸的过程三步。
[00:06:52] 外呼吸,气体运输和内呼吸。
[00:06:55] 你也可以理解为通气,换气,运输和内呼吸。
[00:07:00] 就是脑子里面对于整个组织细胞和外界气体直接交换这个过程,
[00:07:05] 有个大体的印象,它有几步来实现的。
[00:07:08] 这是一个基本概念问题。
[00:07:10] 一开始我们第一次接触生理学,这些概念要背。
[00:07:13] 说老师我大概理解了。
[00:07:14] 理解一下,不可以。
[00:07:16] 作为老师得说句话,背的越死,用起来越灵活。
[00:07:21] 我们现在学生理学还简单,你将来学诊断学,学内外科学,
[00:07:25] 你发现你如果现在基本概念背的不准确,不精准,
[00:07:29] 有点磨着两颗,那么到了更复杂知识的时候,
[00:07:32] 你根本就没法把控。
[00:07:34] out of control,整个是失控的,这个样子。
[00:07:37] 要背准确能背,全背下。
[00:07:40] 甚至有时候说句话说,为什么我要背,我管他为什么,
[00:07:43] 背了再说呗,这个样子。
[00:07:46] 刚才这点内容应该叫做
[00:07:48] 呼吸生理学的概述部分,一个小的总论。
[00:07:52] 这张内容咱们刚才说一轨四节话题,
[00:07:55] 第一节叫肺的通气,通气原理。
[00:07:58] 那么气体从外界怎么进出肺泡呢?
[00:08:01] 这样一个过程叫通气。
[00:08:03] 通过什么实现呢?
[00:08:04] 无外乎气体要进出,无外乎两个内容,
[00:08:09] 通气的动力和通气的阻力。
[00:08:12] 所以说我想咱们学一篇内容之前,
[00:08:15] 脑子里边对于这样,
[00:08:16] 一片东西,它的总的知识结构,
[00:08:18] 你得有个大体的了解,
[00:08:20] 不能稀里糊涂往前背,
[00:08:21] 背完之后背的是什么,不知道。
[00:08:23] 你就做好准备,这张内容学两个话题,
[00:08:26] 一个叫通气的动力,
[00:08:27] 一个叫通气的阻力。
[00:08:30] 那么这个通气通过谁实现?
[00:08:31] 通过气道,通过气道实现的。
[00:08:34] 所以世界上你研究通气啊,
[00:08:36] 你首先得看一下整个通气它的结构基础。
[00:08:40] 虚论里边你还记得咱们讲一句话,
[00:08:41] 虚论说结构是功能的基础。
[00:08:45] 老百姓讲,
[00:08:46] 人体是千一发,
[00:08:47] 耳洞全身。
[00:08:49] 咱们生理学上也讲,
[00:08:50] 由局部到整体,
[00:08:52] 从结构到功能,这个样子。
[00:08:55] 那么通气的基本结构包括各级呼吸道,
[00:08:58] 包括肺脏,胸阔,呼吸机,
[00:09:01] 以及一个密闭潜在的负压的胸膜腔,
[00:09:05] 这么几个结构。
[00:09:06] 这个比较简单,解剖学也学过,
[00:09:08] 听下去就好了。
[00:09:09] 那么呼吸道构成怎么样?
[00:09:11] 因为所谓的上下呼吸道,
[00:09:12] 解剖学这么讲过,
[00:09:13] 但是有时候这个工作生活中,
[00:09:15] 它通过这个,
[00:09:16] 这个工作生活中,
[00:09:16] 聊天啊,
[00:09:16] 什么都说是毕业了,
[00:09:18] 因为上下呼吸道分不清楚,
[00:09:20] 消化道有上下消化道,
[00:09:22] 我问你还有印象吗?
[00:09:22] 解剖学上,
[00:09:23] 怎么取舍忍耐,
[00:09:24] 干涉而谈忍耐,
[00:09:26] 实际上呼吸道也有上下呼吸道,
[00:09:29] 鼻咽喉属于上呼吸道,
[00:09:32] 那么上下呼吸道从解剖学上看,
[00:09:34] 曲风在哪里?
[00:09:34] 在环甲膜。
[00:09:36] 甲状环转,
[00:09:37] 然后五指间,
[00:09:38] 所谓的生猛裂,
[00:09:39] 生猛裂以上,
[00:09:40] 我们称之为上呼吸道,
[00:09:41] 生猛裂以下,
[00:09:42] 称之为下呼吸道,
[00:09:44] 你拿手摸一下脖子的话,
[00:09:45] 特别难生,
[00:09:46] 你这有喉结,
[00:09:47] 甲状软骨,
[00:09:48] 下方是环状软骨,
[00:09:51] 你仔细体会一下,
[00:09:52] 这两个软骨之间,
[00:09:53] 有一个菱形的,
[00:09:54] 叫做缺损,
[00:09:55] 环甲膜,
[00:09:56] 所以加拿大临床医学,
[00:09:57] 有时候讲课给同学们说,
[00:09:59] 在临床外科学上,
[00:10:00] 甚至有人在野外,
[00:10:02] 在不在医院,
[00:10:03] 在户外或者在餐厅,
[00:10:05] 在卧室,
[00:10:06] 遇到一个人窒息的时候,
[00:10:09] 突然出不来气,
[00:10:10] 拿一个毛衣针,
[00:10:11] 拿一个中性笔的笔杆,
[00:10:13] 这个地方应该很薄,
[00:10:14] 华甲膜,
[00:10:15] 啪,
[00:10:16] 把它捅开,
[00:10:16] 把笔芯一抽,
[00:10:18] 所谓的简化的气管切开,
[00:10:20] 其实叫呼吸膜的穿刺,
[00:10:22] 华甲膜穿刺,
[00:10:25] 穿刺完之后,
[00:10:26] 九人一命,
[00:10:27] 这咱们这一章内容都会解答谈到,
[00:10:29] 更详细内容到内外课再说,
[00:10:31] 这样听一下,
[00:10:32] 我为什么讲这个华甲膜呀,
[00:10:34] 这是上下呼吸道的分解线,
[00:10:38] 下呼吸道里边有气管,
[00:10:40] 有各级支气管,
[00:10:41] 在肺里的各级分支,
[00:10:42] 有几十几支多,
[00:10:44] 嗯,
[00:10:45] 一直分支下去以后,
[00:10:47] 到了中膜吸支气管,
[00:10:49] 到呼吸吸支气管,
[00:10:50] 然后肺泡管,
[00:10:51] 肺泡囊,
[00:10:52] 肺泡,
[00:10:52] 到肺泡去了,
[00:10:54] 胸阔,
[00:10:56] 咱们知道节剖血血过,
[00:10:57] 就是这个整个的前方是胸骨,
[00:10:59] 后方是胸椎,
[00:11:01] 中间通过肋骨,
[00:11:02] 它连通起来,
[00:11:03] 下马黑肋宫,
[00:11:04] 这个结构上面在辅助了很多的内间肌,
[00:11:06] 还有皮肤呀,
[00:11:07] 及前颈膜等等,
[00:11:08] 这样一个结构,
[00:11:09] 这个结构,
[00:11:10] 胸阔和肺脏直接在解剖圈,
[00:11:12] 并没长在一起,
[00:11:14] 所以咱们第一次学生理学要注意,
[00:11:16] 胸阔和肺脏,
[00:11:17] 它的活动在人体的生理活动是联动的,
[00:11:20] 就胸阔动肺就动,
[00:11:22] 它俩一起动,
[00:11:23] 但是它俩并没有长在一起,
[00:11:25] 它不是一个结构上联通的,
[00:11:27] 怎么联通的一会会看到,
[00:11:28] 就像拔火罐一样,
[00:11:30] 你脑补一下,
[00:11:31] 咱们起码见过,
[00:11:32] 说感冒发烧了以后,
[00:11:33] 这个老家里老人说,
[00:11:34] 哎,
[00:11:35] 找个外头皮,
[00:11:35] 哎,
[00:11:36] 拿个东西烧一烧,
[00:11:37] 然后背上卡一扣,
[00:11:38] 吸住,
[00:11:39] 吸个大馒头出来,
[00:11:40] 吸个包,
[00:11:41] 对了,
[00:11:41] 实际上,
[00:11:42] 胸壁是通过一个腹压吸引方式吸着肺脏,
[00:11:47] 它并不是两人长在一起,
[00:11:49] 它是吸着,
[00:11:50] 既紧密连接,
[00:11:52] 又相对的可以互相运动,
[00:11:54] 它没有长一起去,
[00:11:55] 长在一起的那叫病,
[00:11:57] 加上在内科学要学,
[00:11:58] 叫胸膜年年增厚,
[00:12:00] 两人粘一起,
[00:12:01] 粘住了不会动,
[00:12:02] 咱们这个人的胸膜是会动的,
[00:12:06] 腹压功能性的连接,
[00:12:08] 所以这个胸阔意义是很大的,
[00:12:10] 胸阔和肺脏之间通过胸膜腔,
[00:12:14] 密闭一个胸膜腔,
[00:12:15] 以功能态的方式把肺脏和胸阔的运动连在了一起,
[00:12:20] 哦,
[00:12:20] 连,
[00:12:21] 功能性的,
[00:12:22] 先听下来,
[00:12:23] 不过一会下面就谈到了,
[00:12:25] 接着往下读,
[00:12:26] 呼吸道,
[00:12:27] 你要不仔细学生理学就是一个管道老师,
[00:12:29] 它其实不是,
[00:12:30] 就像血管不是解的一根管道,
[00:12:32] 你学完胸怀中,
[00:12:33] 你发现血管它这内皮细胞是相当重要的,
[00:12:36] 对了,
[00:12:37] 刚才说EDCF,
[00:12:38] 1.2F,
[00:12:39] 1.HF,
[00:12:40] 各种各样的内风力功能,
[00:12:41] 呼吸道一样,
[00:12:42] 呼吸道除了是一根管道气体进出肺的通道以外,
[00:12:47] 呼吸道对于咱们呼吸的空气有加温,
[00:12:51] 加湿,
[00:12:52] 过滤,
[00:12:53] 清洁,
[00:12:54] 以及引发防御反射,
[00:12:56] 包括咳嗽,
[00:12:56] 喷嚏反射等等,
[00:12:57] 所以它作用非常强大,
[00:12:59] 你生活中体会一下,
[00:13:01] 大冬天气热好高嘛,
[00:13:02] 咱们要强身健体,
[00:13:04] 锻炼身体,
[00:13:05] 保卫祖国是吧,
[00:13:06] 好好学习,
[00:13:06] 争当一个好医生,
[00:13:07] 大冬天起来正好鼻子不太通,
[00:13:10] 出去操场上跑个800米,
[00:13:12] 跑步的时候,
[00:13:13] 有人张开嘴,
[00:13:14] 用嘴呼吸,
[00:13:15] 气体没有经过鼻腔的加温加湿,
[00:13:18] 起直接通过嘴往里边吸,
[00:13:20] 就发现肺里边都冰的,
[00:13:22] 凉死死的难受,
[00:13:23] 甚至冷空气刺激的,
[00:13:26] 流鼻涕流眼泪,
[00:13:27] 就有过敏,
[00:13:28] 是的,
[00:13:29] 有这种体会,
[00:13:30] 一旦通过鼻子呼吸的话,
[00:13:31] 就没有这个问题了,
[00:13:32] 所以气体进了鼻腔以后,
[00:13:34] 鼻涅膜的血液非常丰富,
[00:13:36] 所以通过这个,
[00:13:38] 气体在鼻腔涅膜里边,
[00:13:40] 和这个咱们的毛血管,
[00:13:42] 血液进行,
[00:13:43] 这应该说进行对接,
[00:13:45] 然后顺手给你点水分,
[00:13:47] 取下来有点水,
[00:13:49] 然后给你点温度,
[00:13:50] 另外还鼻腔还有一些纤毛,
[00:13:52] 一些鼻毛,
[00:13:53] 再做一些灰尘,
[00:13:54] 什么所谓的雾霾,
[00:13:56] 2.5,
[00:13:56] PM2.5,
[00:13:57] 做的不知道太小了,
[00:13:58] 咱们的人体细胞膜都挡不住PM2.5,
[00:14:01] 但挡个PM10是可以的,
[00:14:03] 还PM80比如说,
[00:14:05] 就能挡住,
[00:14:06] 所以这要体会一下,
[00:14:08] 如果有很多空气里边不解雾,
[00:14:11] 灰尘很大,
[00:14:12] 你发现兔兔痰的都是黑色的,
[00:14:15] 它这个咸毛,
[00:14:16] 包括鼻毛灯这些结构,
[00:14:17] 就顺手在通过鼻腔里边,
[00:14:19] 一些捏一捏鼻涕,
[00:14:20] 捏一捏,
[00:14:21] 捏厚厚的,
[00:14:22] 就把空气里边一些灰尘杂质,
[00:14:24] 就粘那儿去了,
[00:14:25] 然后一鼻涕一痰的形式,
[00:14:27] 再排到体外,
[00:14:28] 不用想象,
[00:14:29] 一个人气到里边,
[00:14:30] 如果咸毛功能不够的话,
[00:14:32] 比如一个老曼芝,
[00:14:34] 那她肺脏就要受害了,
[00:14:36] 没有人给你清洁,
[00:14:37] 就把这个脏空气直接吸入肺泡里,
[00:14:39] 这样听下来,
[00:14:40] 气道并不是简单的一根管道,
[00:14:44] 听过就好了,
[00:14:46] OK了,
[00:14:47] 把它翻过去,
[00:14:48] 嗯,
[00:14:49] 这张课件,
[00:14:50] 咱们详细反映一下,
[00:14:51] 整个的隔离气道,
[00:14:52] 和肺泡这个结构关系,
[00:14:55] 你看从气管,
[00:14:56] 第二级就是支气管,
[00:14:57] 你左肺的右肺的是吧,
[00:14:59] 这个叫第一级,
[00:15:04] 第二级的支气管,
[00:15:05] 再往下走,
[00:15:06] 有肺脏的肺液,
[00:15:09] 肺液,
[00:15:10] 肺端,
[00:15:11] 哎,
[00:15:12] 四级,五级,六级,七级,八级,
[00:15:13] 再往下走,
[00:15:14] 你看气管,
[00:15:15] 系着气管,
[00:15:16] 导致十六级,
[00:15:17] 再往下分,
[00:15:18] 分到三十二级,
[00:15:19] 一直到老,
[00:15:20] 刚才说过说,
[00:15:21] 中末的系直气管,
[00:15:22] 这是传导的通路,
[00:15:25] 传导,
[00:15:27] 再往下走,
[00:15:28] 你发现,
[00:15:29] 就成了呼吸缺了,
[00:15:30] 什么叫呼吸缺啊,
[00:15:31] 实际上,
[00:15:32] 刚才咱们讲通气,
[00:15:34] 换气,
[00:15:35] 运输,
[00:15:36] 包括内呼吸,
[00:15:37] 那么我们的肺脏,
[00:15:39] 和肌脏,
[00:15:40] 静脉穴,
[00:15:41] 什么时候开始交换气体,
[00:15:42] 从严格意义上,
[00:15:43] 并不是在肺泡才开始,
[00:15:45] 从哪开始呢,
[00:15:46] 从呼吸性的,
[00:15:47] 系直气管,
[00:15:48] 所以说,
[00:15:49] 给同学们开玩笑说,
[00:15:50] 要不是从这开始的,
[00:15:52] 你干嘛把它叫呼吸性,
[00:15:54] 系直气管,
[00:15:55] 哪个管子不是呼吸的,
[00:15:56] 所以起这个名字是有道理的,
[00:15:58] 咱们的管道到哪就结束了,
[00:16:00] 作为一个管道,
[00:16:01] 到中末系直管结束了,
[00:16:03] 那么气体进入呼吸直管以后,
[00:16:05] 这个地方就可以,
[00:16:06] 通过所谓的呼吸膜,
[00:16:08] 实际上它本身就作为呼吸膜了,
[00:16:10] 就可以和静脉穴进行交换,
[00:16:12] 呼吸系直气管,
[00:16:14] 肺泡管,
[00:16:15] 肺泡囊,
[00:16:17] 到最后小的这个突起,
[00:16:18] 就叫肺泡,
[00:16:20] 所以肺泡是肺环气的主要场所,
[00:16:22] 每个呼吸系直气管,
[00:16:24] 及其所属的肺泡管,
[00:16:26] 肺泡囊,肺泡,
[00:16:27] 构成一个呼吸单位,
[00:16:30] 在病理解剖圈上,
[00:16:31] 叫一个肺的小液,
[00:16:33] 小液,
[00:16:34] 所以将来,
[00:16:35] 大概有同学不用将来,
[00:16:37] 现在也听说我老年人有个麻烦,
[00:16:39] 叫肺气准备,
[00:16:40] 在临床上,
[00:16:42] 一个肺气准备,
[00:16:43] 一个老曼芝的患者,
[00:16:45] 主要哪个地方出问题,
[00:16:46] 咱们说,
[00:16:47] 主要是这个呼吸性的系直气管扩张了,
[00:16:50] 所以下学期学病理解剖,
[00:16:52] 学习注意,
[00:16:53] 我们在病理学上,
[00:16:54] 就把这个呼吸的系直气管扩张,
[00:16:56] 称之为小液中央型的肺气准备,
[00:17:00] 是临床,
[00:17:01] 老曼芝,
[00:17:02] 肺气准备的最常见类型,
[00:17:04] 最常见的,
[00:17:05] 几乎咱们说老年肺气准备,
[00:17:07] 就是小液中央型的,
[00:17:08] 那小液中央在哪里,
[00:17:09] 就在呼吸系直气管,
[00:17:11] 所以如果可能的话,
[00:17:12] 你有精力多抓点知识,
[00:17:14] 你就不易,
[00:17:15] 实际上肺脏换气,
[00:17:17] 不是在肺泡才开始,
[00:17:19] 从哪开始的,
[00:17:20] 呼吸性的系直气管,
[00:17:22] 能多听多听一点,
[00:17:23] 有觉得它麻烦,
[00:17:24] 不听也可以,
[00:17:25] 直接翻篇,
[00:17:26] 把它翻过去,
[00:17:27] 嗯,
[00:17:29] 刚才简单谈了一下气道的结构,
[00:17:31] 详细的一些结构,
[00:17:33] 以及气道并不是单纯一个管道,
[00:17:37] 它有对气体进行加温,
[00:17:39] 加湿,
[00:17:40] 清洁,
[00:17:41] 过滤,
[00:17:42] 免疫,
[00:17:43] 防御,
[00:17:44] 这样一些活动,
[00:17:45] 一些功能,
[00:17:46] 对了,
[00:17:47] 接下来咱们就谈这一节的具体话题,
[00:17:49] 有关通气的原理,
[00:17:51] 那么气体怎么进出肺泡的,
[00:17:53] 像刚才描述,
[00:17:54] 两块东西,
[00:17:55] 一块叫通气的动力,
[00:17:57] 一块叫通气的阻力,
[00:18:00] 咱们分开,
[00:18:01] 先看动力,
[00:18:02] 肺通气,
[00:18:03] 像刚才描述过呀,
[00:18:04] 就是肺脏呀,
[00:18:06] 是啊,
[00:18:07] 也有个意义上肺泡,
[00:18:08] 与外界环境结合,
[00:18:09] 一个气体叫做肺脏,
[00:18:10] 交换过程,
[00:18:11] 那么换句话说,
[00:18:12] 肺通气,
[00:18:13] 就是我想看一看,
[00:18:14] 气体怎么进到肺泡里边,
[00:18:15] 又怎么出去的,
[00:18:17] 所以在讲它内容之前,
[00:18:18] 你能想象一下,
[00:18:19] 我坐在教室,
[00:18:20] 坐在宿舍,
[00:18:21] 是吧,
[00:18:22] 坐在自己的书房,
[00:18:23] 坐在仔细室学习,
[00:18:24] 我在这坐着不动,
[00:18:26] 空气,
[00:18:27] 大气压力是稳定的,
[00:18:28] 那不难想象,
[00:18:29] 气体要想进到我的肺泡内部,
[00:18:31] 不用问,
[00:18:32] 一定是肺泡内部,
[00:18:34] 某种方式,
[00:18:35] 让肺泡内部压力下降,
[00:18:37] 把气抽到肺泡内,
[00:18:40] 那么气体如果想从肺泡出去,
[00:18:42] 那肯定得肺泡内部压力比大气压高点,
[00:18:45] 把气再推出去,
[00:18:46] 它只能是这样的,
[00:18:49] 是让你往下堵,
[00:18:50] 它就是这样的,
[00:18:51] 咱们先看通气的动力,
[00:18:52] 动力从名称上,
[00:18:54] 我们给两个名字,
[00:18:55] 直接动力,
[00:18:56] 和原动力,
[00:18:57] 咱们慢慢从,
[00:18:58] 慢慢从高中进入大学之后,
[00:19:00] 脑子里边堕了很多专业的数目,
[00:19:03] 到了生理学以后,
[00:19:04] 你想直接呀,
[00:19:05] 间接呀,
[00:19:06] 原动力呀,
[00:19:07] 直接动力,
[00:19:08] 这个概念越来越多了,
[00:19:10] 上一章内容就讲,
[00:19:11] 胸胯系统,
[00:19:12] 你还记不记得,
[00:19:13] 心脏最后能够把血泵出去,
[00:19:15] 那么动力来自于哪里,
[00:19:17] 心室肌的收缩,
[00:19:19] 那么左心室为例,
[00:19:21] 左心室能够从肺脏,
[00:19:23] 从左心房把血给充饮回来,
[00:19:26] 回流回来,
[00:19:27] 我不知道学完上一章你有印象吗,
[00:19:29] 是心房把血推到心室的,
[00:19:31] 还是心室把血抽回来的,
[00:19:33] 你稍稍有点尝试就发现,
[00:19:35] 心脏在回流的时候,
[00:19:37] 不是心房把血推回去的,
[00:19:39] 而是心室把血抽回去的,
[00:19:41] 所以生理学上强调,
[00:19:43] 心房仅仅是一个初级泵,
[00:19:46] 换句话说,
[00:19:47] 心脏能够泵血,
[00:19:48] 血液能够回流,
[00:19:50] 原动力都来自于心室,
[00:19:53] 心室肌的收缩,
[00:19:54] 是泵血的原动力,
[00:19:56] 心室肌舒张,
[00:19:57] 是回流的原动力,
[00:19:59] 所以从那开始慢慢有了一个什么呀,
[00:20:01] 原动力,
[00:20:02] 直接动力的概念,
[00:20:03] 设想一下,
[00:20:04] 左心房血液能获得左心室,
[00:20:07] 直接动力是谁,
[00:20:08] 是左心房和左心室之间的,
[00:20:10] 理论,
[00:20:11] 压力差值,
[00:20:12] 哎,
[00:20:13] 你把上一章内容复习完之后,
[00:20:14] 到这一章你再一看,
[00:20:15] 你发现,
[00:20:16] 这个原动力呀,
[00:20:17] 直接动力这些概念是什么意思,
[00:20:19] 咱们现在读什么叫直接动力,
[00:20:21] 你想,
[00:20:22] 气体能够进入肺膀内部,
[00:20:23] 不用问,
[00:20:24] 肯定是大气压,
[00:20:25] 比肺膀内压高,
[00:20:27] 那么在管道内部,
[00:20:29] 液体也好,
[00:20:30] 气体也好,
[00:20:31] 能够流动的话,
[00:20:32] 直接动力来自于管道两端的压力差值,
[00:20:37] 我们好的同学在大一学完之后没有太操心,
[00:20:40] 我们好的同学在大一学完之后没有太操心,
[00:20:41] 一用物理学,
[00:20:42] 你还记得,
[00:20:43] 有个名字叫博斯叶定律,
[00:20:44] 就讲这个话题,
[00:20:45] 设想咱们打一座生物,
[00:20:47] 生物学科的实验,
[00:20:49] 现在应该是还开这个实验,
[00:20:51] 拿个小动物,
[00:20:52] 小兔子过来,
[00:20:53] 给它二维静脉注射20毫升空气,
[00:20:55] 兔子就死了,
[00:20:56] 空气栓塞,
[00:20:57] 空气栓塞,
[00:20:58] 为什么,
[00:20:59] 这是物理学原理,
[00:21:00] 你一旦把气体打到静脉,
[00:21:02] 血管以后,
[00:21:03] 在管道内部,
[00:21:05] 一个大的气泡,
[00:21:07] 一个栓子,
[00:21:09] 它的两端是没有压力,
[00:21:11] 是有压力,
[00:21:12] 是有压力,
[00:21:13] 没有压力插,
[00:21:15] 血液就没有力量去流,
[00:21:17] 血流就终止了,
[00:21:18] 空气栓塞,
[00:21:21] 就因为这个东西,
[00:21:22] 要死人的,
[00:21:23] 以至于老百姓吓得说,
[00:21:25] 大夫,
[00:21:26] 我这个液体都输完了,
[00:21:27] 你不给我发光,
[00:21:28] 一会我就栓塞了,
[00:21:29] 栓了都栓不了,
[00:21:30] 咱们学完上一章,
[00:21:31] 你都知道,
[00:21:32] 静脉感冒了,
[00:21:33] 静脉,
[00:21:34] 手背上扎个小静脉,
[00:21:35] 输个液体,
[00:21:36] 这个气体进不去,
[00:21:37] 不敢去,
[00:21:38] 一液体都进不去,
[00:21:39] 你发现了没有,
[00:21:40] 你感冒打针输液的时候,
