# 源音频：P06-生理学本科教学及考研基础课 p06 细胞电1.m4a
# 时长：5671s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好,同学们,咱们上节课在这儿简单看了几个有关静息电位的概念,
[00:09:37] 摩外纳度是摩内的12、3倍,
[00:09:39] 浓度差怎么来的,
[00:09:41] 咱们知道,
[00:09:41] 这是纳甲盆主动转移的结果,
[00:09:44] 这是第一个,
[00:09:44] 第二个,
[00:09:45] 说安静情况下,
[00:09:47] 细胞膜呀,
[00:09:48] 对于离子存在一定的通透性,
[00:09:52] 这个课件是八年制的第二版,
[00:09:56] 教材是红,
[00:09:57] 莫威教授我的二道,
[00:09:58] 我硕士博士界的二道,
[00:10:00] 莫威老师,
[00:10:01] 他做的课件,
[00:10:02] 教材就他写的,
[00:10:04] 这两本就是他写的,
[00:10:05] 所以实际上这个地方写完之后,
[00:10:07] 他讲课者会加一个词,
[00:10:10] 这地方我也必须得加上,
[00:10:11] 第二句话应该怎么说更合适,
[00:10:13] 更恰当,
[00:10:14] 叫,
[00:10:15] 抹对不同的离子存在选择性通透,
[00:10:21] 就是所谓的差异性通透,
[00:10:23] 所以慢慢你把这一块东西一听课一读书你发现了,
[00:10:26] 安静情况下,
[00:10:27] 大多数细胞呀,
[00:10:28] 对甲通透,
[00:10:30] 对纳不通透,
[00:10:31] 所以老百姓说话说看人下菜,
[00:10:34] 甲就能留过,
[00:10:35] 纳就不能留过,
[00:10:37] 说我招谁惹谁了,
[00:10:38] 实际上你这会儿已经听过点课,
[00:10:40] 你知道了,
[00:10:41] 为什么甲能通过,
[00:10:42] 纳不能通过,
[00:10:43] 甲通过的时候,
[00:10:44] 有甲离子的通道,
[00:10:46] 教材这儿专门写了,
[00:10:47] 甲漏通道,
[00:10:48] 又叫漏甲通道,
[00:10:50] 非门空甲通道,
[00:10:52] 所以抹就不当甲,
[00:10:53] 但是纳要进去,
[00:10:55] 我们在这一章内容第一节,
[00:10:58] 物质狂魔转运刚学了一下,
[00:11:00] 纳甲钙氯都是带电荷的无机盐离子,
[00:11:05] 小分子的水溶性物质,
[00:11:07] 这些物质如果顺着电化学式狂魔转运,
[00:11:10] 都是通道一化扩散的,
[00:11:12] 所以我们甚至恶狠狠的说,
[00:11:14] 离子是一种物质,
[00:11:14] 离子通道专为电活动而生,
[00:11:17] 这个话是没有任何问题的,
[00:11:19] 纳离子要内流,
[00:11:20] 甲离子外流有甲漏通道,
[00:11:22] 纳离子内流得靠谁内流啊?
[00:11:23] 咱们一读书发现,
[00:11:24] 这儿存在着电压门空的纳通道,
[00:11:28] 细胞物在安静的情况下,
[00:11:30] 纳为什么不能内流?
[00:11:32] 纳是有浓度差的,
[00:11:33] 之所以不能内流,
[00:11:34] 因为抹上跟纳有关的电压门空的通道就没有开放,
[00:11:40] 一会儿要专门学习了,
[00:11:41] 出于什么状态?
[00:11:43] 静息状态,
[00:11:44] 所以我们在这一节,
[00:11:44] 又叫被动状态,
[00:11:46] 它是这个样子,
[00:11:47] 所以甲能流动,
[00:11:49] 纳不能流动,
[00:11:50] 尽管都有浓度差,
[00:11:52] 但是甲军能流纳就不能流,
[00:11:53] 因此这儿重新再复习一下,
[00:11:56] 一个物质向南辰狂魔转运,
[00:11:58] 必须同时满足两个条件,
[00:12:01] 驱动力和通透性,
[00:12:04] 甲离子是既有浓度差驱动力,
[00:12:06] 又有甲军通道通透性,
[00:12:08] 甲军能外流,
[00:12:09] 纳离子只有十二三个浓度差,
[00:12:11] 就没有通道的开放,
[00:12:13] 所以只有驱动力,
[00:12:14] 就没有通透性,
[00:12:15] 那么纳就不内流,
[00:12:17] 是这样,
[00:12:18] 这个内容先听一下,
[00:12:20] 哪怕不明白,
[00:12:21] 你先听完咱们往下看,
[00:12:22] 就是以后你再读到这种电活动有关的,
[00:12:26] 或者说就不要说电,
[00:12:27] 我脑子刚才还反应一下,
[00:12:29] 无基盐离子,
[00:12:30] 无基盐的离子,
[00:12:31] 纳甲概率,
[00:12:32] 它顺着浓度差、
[00:12:33] 电位差去转移的时候,
[00:12:35] 都需要有个小通道,
[00:12:36] 通道就是为这个无基盐离子流动,
[00:12:39] 而专门来生成的天生物材必使用,
[00:12:44] 那么这样,
[00:12:44] 我们往下读,
[00:12:45] 假定膜只对甲具有通透性,
[00:12:48] 那么这会是个什么样子?
[00:12:51] 不说纳吧,
[00:12:52] 只说甲,
[00:12:53] 我假定一下,
[00:12:53] 我总能假定,
[00:12:54] 假定阿里巴巴是我的,
[00:12:56] 就是假定就好办了,
[00:12:58] 那么再往下看,
[00:12:59] A图,
[00:13:02] 按示意图描述,
[00:13:03] 细胞膜内随的甲的自动浓度,
[00:13:05] 是140毫毛每升,
[00:13:07] 膜外的甲,
[00:13:08] 这是没写,
[00:13:09] 没写,
[00:13:09] 同学们应该有个常识性的知识,
[00:13:13] 作为人体,
[00:13:14] 人体,
[00:13:15] 人类,
[00:13:16] 我们的血甲,
[00:13:17] 胰脏浓度,
[00:13:18] 是3.5到5.5毫毛每升,
[00:13:21] 差不多就是4个多一点,
[00:13:22] 所以这样,
[00:13:23] 有时候我在这讲课,
[00:13:24] 还开个玩笑说,
[00:13:25] 如果膜外是4个,
[00:13:27] 膜内是140,
[00:13:28] 那么世界上膜内甲浓度是膜外的30多倍,
[00:13:31] 你40倍的话,
[00:13:32] 4次160,
[00:13:33] 它只有140,
[00:13:34] 3次120,
[00:13:35] 所以差不多35倍左右,
[00:13:36] 就这个样子,
[00:13:37] 32,
[00:13:38] 3倍,
[00:13:38] 3次4,
[00:13:39] 5倍,
[00:13:39] 说老师说了,
[00:13:40] 不是说30倍啊,
[00:13:41] 哎呀,
[00:13:41] 28倍到35倍左右,
[00:13:43] 也真是38倍,
[00:13:44] 你还说他犯错误了,
[00:13:45] 也不至于,
[00:13:46] 动态平衡,
[00:13:48] 反正是膜内甲浓度比膜外高,
[00:13:50] 这是第一个,
[00:13:50] 第二个,
[00:13:51] 膜二上刚才说,
[00:13:53] 有一些甲漏,
[00:13:54] 也叫漏甲通道,
[00:13:56] 它不会关闭,
[00:13:56] 一直开放着,
[00:13:58] 那么这样就解答了,
[00:13:59] 现在我们假定膜对甲通透,
[00:14:02] 而且膜只对甲通透,
[00:14:04] 膜内外两侧又有甲浓度差,
[00:14:06] 那肯定甲离子呀,
[00:14:08] 就顺着浓度差,
[00:14:09] 从膜内向膜外流动,
[00:14:11] 这是没有问题的,
[00:14:13] 顺浓度差,
[00:14:15] 按照通道这个方式,
[00:14:17] 弥化Corsair,
[00:14:18] 甲就出去了,
[00:14:20] 甲本身带正电荷,
[00:14:21] 一出去,
[00:14:22] 膜外就有正电荷了,
[00:14:24] 那么原本甲没出去,
[00:14:26] 你看膜两侧进小桥的,
[00:14:28] 所以咱们在上一节和专门讲,
[00:14:30] 实际上所谓的进气电位呀,
[00:14:32] 是紧贴着细胞膜外表面,
[00:14:34] 和内表面,
[00:14:35] 各有一层电荷,
[00:14:37] 那么这一层电荷,
[00:14:38] 一个纳米厚度电荷之外,
[00:14:40] 膜内是领电位的,
[00:14:43] 膜外也是领电位,
[00:14:44] 如果你万一忘了,
[00:14:46] 可得我反回来给你看一下,
[00:14:47] 哪一个呀,
[00:14:48] 就这个,
[00:14:49] 实际上膜内膜外是没有电位的,
[00:14:52] 那么现在进气电位怎么来的,
[00:14:54] 咱们刚才看这个甲定膜对,
[00:14:56] 甲得就通透,
[00:14:57] 我把壳角反回来给你看一下,
[00:14:59] 如果这样的话,
[00:15:00] 膜内原本是等电位的,
[00:15:03] 结果一个正电荷甲得就跑到外面去了,
[00:15:05] 相对膜内就留下一个负电荷,
[00:15:07] 甲得是越往外走,
[00:15:09] 往外流的越多,
[00:15:11] 膜外出去正电荷就越多,
[00:15:14] 那么反过来正负是相等的,
[00:15:16] 正的走了负的没走,
[00:15:17] 膜内留下负电荷就越多,
[00:15:19] 所以读到这儿,
[00:15:20] 同学们一定会起疑,
[00:15:22] 正电荷走到负电荷跟着走就完了,
[00:15:23] 不老师,
[00:15:24] 同性相持性相吸走呀,
[00:15:26] 走不了,
[00:15:27] 为什么,
[00:15:27] 脚踩边专门有个表格,
[00:15:30] 在哪,
[00:15:30] 我给大家先看,
[00:15:31] 这个表格是在这个地方,
[00:15:34] 你看这个哺乳动物,
[00:15:35] 它的骨骼基,
[00:15:37] 离子浓度,
[00:15:38] 钠钾率,
[00:15:38] 有机负离子,
[00:15:39] 从这地方读,
[00:15:40] 细胞外液里边,
[00:15:41] 咱们先看钾,
[00:15:42] 外液里边钾是4,
[00:15:43] 哎,
[00:15:44] 胖酱里边钾是155,
[00:15:48] 竖着往下看,
[00:15:51] 哺乳动物骨骼基,
[00:15:53] 胞质,
[00:15:54] 看有机负离子,
[00:15:55] 膜外没有,
[00:15:57] 膜内是155,
[00:15:59] 膜内,
[00:16:01] 钾和有机负离子,
[00:16:03] 正好数量是相等的,
[00:16:06] 我们在这地方严格的听了一句话,
[00:16:08] 膜内正电荷是钾,
[00:16:10] 负电荷是有机负离子,
[00:16:12] 膜外不一样,
[00:16:14] 膜外正电荷是钠,
[00:16:15] 但是你看氯,
[00:16:17] 钠是145,
[00:16:18] 氯就不是145,
[00:16:20] 氯只有120,
[00:16:21] 它差20多个,
[00:16:22] 这还是一个博物的五国计,
[00:16:24] 在实验室中,
[00:16:25] 咱们这样来观察,
[00:16:27] 实际上加上到诊断学和病生学就会注意,
[00:16:30] 人的血绿能度没有120,
[00:16:32] 是102左右,
[00:16:35] 钠在140左右,
[00:16:37] 氯只有102,
[00:16:38] 实际上哪颗氯在膜外,
[00:16:40] 正字电荷差40个,
[00:16:42] 那么怎么办,
[00:16:43] 我一说开玩笑,
[00:16:44] 氯粒子不够,
[00:16:45] 碳酸氢羹来凑,
[00:16:46] 这本书刚开始学,
[00:16:48] 咱们还不注意,
[00:16:48] 你记住,
[00:16:49] 一到病生学,
[00:16:50] 诊断学,
[00:16:51] 内科学,
[00:16:52] 外科学,
[00:16:52] 我们一说,
[00:16:53] 我们完全可以说,
[00:16:54] 那是一本升级版的生理学,
[00:16:57] 所以讲生理学,
[00:16:57] 你都说诺贝尔奖,
[00:16:59] 现在就刚刚把发诺贝尔奖,
[00:17:01] 新个年度的,
[00:17:02] 诺贝尔医学奖的全称,
[00:17:04] 叫诺贝尔生理学,
[00:17:05] 火尼学奖,
[00:17:06] 实际上你往后面学习,
[00:17:08] 发现别的学科不过是生理学派生的,
[00:17:11] 先不要动它了,
[00:17:12] 你能发现膜外的钠和氯并不相等,
[00:17:15] 先搁着加了别的学科再说,
[00:17:17] 但膜内的钾和有机氟粒子可是相等的,
[00:17:21] 它俩相等正负解合,
[00:17:22] 抵消了,
[00:17:23] 膜内是零电位,
[00:17:24] 现在凭空的,
[00:17:26] 平白无辜的,
[00:17:27] 钾跑出去一个,
[00:17:28] 钾出去一个,
[00:17:29] 膜内就留下一个带负电和有机氟粒子,
[00:17:32] 所以进气电位怎么来的呀?
[00:17:33] 你这样体会,
[00:17:34] 进气电位是外中内附的,
[00:17:36] 外面那个正的就是跑出去的钾,
[00:17:38] 膜内那个附的就是没有跑出去的有机氟粒子,
[00:17:41] 大分子物质,
[00:17:42] 没法自由出细胞膜,
[00:17:46] 钾能出去,
[00:17:48] 有机氟粒子出不去,
[00:17:50] 是这样,
[00:17:51] 这样带来一个麻烦,
[00:17:52] 你接着往下看这个C图,
[00:17:54] 钾越往外跑,
[00:17:56] 膜内负电和越多,
[00:17:57] 留下的呗,
[00:17:58] 膜外正电和就越多,
[00:17:59] 物理学上基本原则,
[00:18:00] 基本原理,
[00:18:02] 同行相斥,
[00:18:04] 异行相吸,
[00:18:05] 体会,
[00:18:06] 钾粒子越往外流,
[00:18:08] 那么能用的力量驱动粒子怎么样?
[00:18:11] 越往外走,
[00:18:12] 膜上面的电场力就越大,
[00:18:15] 电场力是外中内附的,
[00:18:17] 那么钾又带正电和,
[00:18:18] 同行相斥,
[00:18:19] 钾越往外走,
[00:18:22] 钾的遭遇到的电场阻力,
[00:18:26] 就越大,
[00:18:27] 对钾粒子外流而言,
[00:18:29] 电场是阻力,
[00:18:30] 浓度差是动力,
[00:18:32] 一旦电场力大到,
[00:18:34] 把浓度差抵消掉的时候,
[00:18:36] 钾就流不动了,
[00:18:37] 那么这个时候,
[00:18:39] 拿来能抵消掉钾粒子浓度差的,
[00:18:42] 这个电场力,
[00:18:43] 这个电位大小,
[00:18:45] 我们很谨慎给了一个名字,
[00:18:47] 叫做钾粒子的平衡电位,
[00:18:50] 所以著名的平衡电位流差,
[00:18:53] 就这样来的,
[00:18:54] 但注意,
[00:18:55] 这个平衡电位流差,
[00:18:56] 怎么来的,
[00:18:58] 咱们在一开始看的时候,
[00:18:59] 你看这句话,
[00:19:00] 是假定摸指对甲通透,
[00:19:03] 你要注意,
[00:19:05] 因为这个平衡电位,
[00:19:07] 是在假定摸指对甲通透的背景下,
[00:19:10] 产生这么一电位,
[00:19:12] 或者说,
[00:19:12] 我们预计它产生这么个电位,
[00:19:14] 因此,
[00:19:15] 讲课的时候,
[00:19:16] 我很谨慎说,
[00:19:16] 同学们体会一下,
[00:19:18] 钾粒子的平衡电位,
[00:19:20] 注意,
[00:19:20] 我个人讲课,
[00:19:21] 更愿意把它叫做理想制,
[00:19:24] 理想,
[00:19:24] 理想是摸指对甲通透,
[00:19:27] 实际上,
[00:19:27] 让摸长得能按你的想法来,
[00:19:29] 它不能,
[00:19:29] 它在这个背景下,
[00:19:31] 或多或少,
[00:19:32] 它对那也有点通透性,
[00:19:34] 那么实际上,
[00:19:35] 你在这推测的这个平衡电位,
[00:19:38] 和你实验使用电压表量到的平衡电位,
[00:19:41] 是有点小差距的,
[00:19:43] 那么你推测这个电位,
[00:19:45] 是假定摸指对甲通透,
[00:19:47] 你用电压表量到的那个实际的进气电位,
[00:19:50] 是什么,
[00:19:51] 是摸出了对甲通透以后,
[00:19:53] 对别的粒子也通透那个实际的情况,
[00:19:56] 所以体会,
[00:19:57] 实际值的进气电位和理想值的平衡电位,
[00:20:01] 那个差距谁造成的,
[00:20:04] 是摸出了甲通透以外,
[00:20:06] 对钠粒子也具有通透性,
[00:20:09] 那个差距造成的,
[00:20:12] 在背景的平衡电位基础之上,
[00:20:16] 摸除对甲通透以外,
[00:20:18] 对钠也通透,
[00:20:20] 那么它对钠的通透性越大,
[00:20:22] 理想值和实际值之间,
[00:20:25] 差距就越大,
[00:20:27] 你说,
[00:20:28] 老开玩笑说,
[00:20:29] 理想很丰满,
[00:20:30] 现实很骨感,
[00:20:32] 如果你听可第一遍听不懂,
[00:20:34] 你一定要体会,
[00:20:35] 在这个地方,
[00:20:36] 我们刻意的引入一个词,
[00:20:37] 理想值和实际值,
[00:20:40] 理想值的意思是,
[00:20:43] 假定摸指对甲通透,
[00:20:44] 实际值是摸不但对甲通透,
[00:20:47] 也对钠通透一点,
[00:20:49] 那么对甲和钠都通透的时候,
[00:20:52] 那个电位,
[00:20:53] 实际的情况,
[00:20:54] 叫进气电位,
[00:20:56] 我们假定摸指对甲通透,
[00:20:58] 指对甲通透,
[00:20:59] 那么这个理想电位,
[00:21:01] 我们称之为平衡电位,
[00:21:03] 所以这一节课,
[00:21:04] 这个地方,
[00:21:05] 是将来咱们电视力学继续往前学习的一个基石,
[00:21:09] 这不能动,
[00:21:09] 这是一个第二个第九版书,
[00:21:12] 齐吉顺老师在写的时候,
[00:21:14] 温度很高,
[00:21:15] 很暖,
[00:21:16] 有什么很暖啊,
[00:21:17] 原来脚踩还没有强调,
[00:21:18] 咱们老以为学生应该知道,
[00:21:20] 其实原来卧北老师在备课,
[00:21:23] 在别的脚踩还专门强调,
[00:21:25] 咱们五年制的书没有强调,
[00:21:27] 这看一下啊,
[00:21:27] 同学们,
[00:21:28] 甲粒子也在浓度差往外流,
[00:21:30] 最后为什么不流了,
[00:21:32] 因为甲的外流被电场里给挡住,
[00:21:35] 流不动了,
[00:21:36] 设想一下,
[00:21:37] 电场挡住甲的时候,
[00:21:39] 在实验室中观察,
[00:21:41] 甲粒子没有往外流之前,
[00:21:43] 摸两次浓度差是30倍,
[00:21:46] 甲慢慢往外流,
[00:21:48] 摸就慢慢变成外正内负了,
[00:21:49] 哎,
[00:21:50] 原来电场越大,
[00:21:51] 挡住不让甲外流了,
[00:21:52] 那么在形成平衡电位,
[00:21:54] 形成平衡电位以后,
[00:21:57] 电场,
[00:21:57] 电场,
[00:21:58] 电场已经存在了,
[00:21:59] 甲也不流动了,
[00:22:00] 这个时候,
[00:22:01] 摸两次甲粒子浓度差怎么样,
[00:22:05] 注意,
[00:22:05] 学电轰动的初期要注意,
[00:22:08] 甲粒子外流形成进气电位,
[00:22:11] 和不外流进气电位,
[00:22:12] 其实呀,
[00:22:13] 形成电位前后,
[00:22:15] 摸两次的浓度差并没有变化,
[00:22:20] 浓度差没变化,
[00:22:22] 原来摸内摸外之间的浓度差30倍,
[00:22:25] 形成进气电位以后依然是30倍,
[00:22:27] 为什么?
[00:22:28] 因为就在这第九半数期了,
[00:22:30] 软板越来越强,
[00:22:31] 客通用停不了,
[00:22:32] 这一半写上之后终于好多了,
[00:22:34] 因为实际上要形成进气电位,
[00:22:37] 所需要的那粒子的数量,
[00:22:40] 甲粒子的数量是相当少,
[00:22:42] 就是那几个甲外流形成进气电位,
[00:22:44] 它根本波动不到,
[00:22:46] 影响不到浓度差,
[00:22:49] 外流很少甲就足够了,
[00:22:51] 第二个也想说,
[00:22:52] 电场力还是相当的大,
[00:22:55] 对了,
[00:22:56] 甲粒子外流之前和外流形成进气电位之后,
[00:22:59] 浓度差并没有变化,
[00:23:01] 所以这一二十年以来,
[00:23:03] 原来在网上我们有录过这个本科教学课,
[00:23:07] 这么多年一直给考研同学讲课,
[00:23:09] 就一直讲一句话,
[00:23:10] 你记下来,
[00:23:11] 电活动过程中变化的是电场力,
[00:23:15] 不变的是浓度差,
[00:23:17] 就是这句话,
[00:23:19] 好在第九半生命教材七句说,
[00:23:21] 老师把这句话写到书里边去了,
[00:23:23] 所以同学们不争论了,
[00:23:24] 这零几年记得讲课的时候,
[00:23:26] 好多人就说,
[00:23:27] 你说你没这样写,
[00:23:28] 你瞎跟人说,
[00:23:29] 所以要不说,
[00:23:30] 人就是这样,
[00:23:31] 我们不是记不住,
[00:23:34] 是选择性的不相信,
[00:23:37] 先不管它了,
[00:23:38] 平衡电位,
[00:23:39] 感觉听懂了啊,
