# 源音频：P59-生理学本科教学及考研基础课 p59 神经系统10-去大脑僵直.m4a
# 时长：3600s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,咱们上节课谈了一下一个简单的概念,叫古国机械量感受。
[00:03:46] 现在是生理情况下,我前拉肌肉的时候,肌肉卡一缩短,比平时还短呢,我这两个拇指之间这个肌缩的感受装置,它是松弛的。
[00:03:56] 所以为了保持肌肉在较短的情况下,不管是肌肉长,它是绷紧的,还是肌肉短,它也是绷紧,我怎么办?
[00:04:03] 对,
[00:04:03] 你都想了个招,什么招呀?
[00:04:06] 在你刺激杆嘛的时候,缩内肌这样收缩,中间是动点,往两边去缩,不变肌缩长度,别感受装置长度,这是一个。
[00:04:18] 而在正常生理的情况下,前拉骨骼肌,前拉反射的时候,是两个拇指距离不变,绷紧,我这两个食指往回缩,你发现问题了没有?
[00:04:30] 主动刺激杆嘛,还是你前拉肌肉之后,你想,是我刺激杆嘛。
[00:04:35] 让肌缩兴风的,还是我拉肌肉,前拉反射之后,让肌缩兴风的,是两个不同的情况。
[00:04:45] 你一拉肌肉,肌肉一缩短,肌缩变得松弛了,为了不让它在短的时候松弛,我就在那两个拇指距离不变,不变肌肉短了,我怎么办?
[00:04:55] 哎,我两头往回缩,短肌缩,不断感受光致,长装置,不长肌缩,意思听懂了没有?
[00:05:06] 不管谁听到这句话,一定挡在弹幕上,我不使掐的弹幕节奏,这不会赚钱,打不打弹幕,B站也不给我钱,我这免费课,我是说给你听懂它,这叫科学本身,你体会一下。
[00:05:17] 刺激杆嘛,肌肉长度没有变,感受光致长度变了,怎么变的?
[00:05:25] 他往两头说说,我前拉肌肉的时候,一拉它,肌肉啪就往回缩,不可见反射肌肉,肌肉就短了,可短了以后,我这感受光致不能变得松弛。
[00:05:34] 哎?
[00:05:36] 在前拉反射的时候,肌缩短了,感受光致不短,那怎么能让肌缩短,让感受光致不短?
[00:05:42] 两个拇指不要别距离,让旁边肌肉往回缩,两边的肌肉作为动点往回走的时候,只短肌缩,不断感受光致。
[00:05:56] 让两边不要动,让两个拇指往回缩,是不长肌缩,只长感受光致。
[00:06:04] 把这两句话打在弹幕上,给后来这个提高。
[00:06:08] 所以前拉反射,它确实难。
[00:06:10] 有时候说,学什么学生理学,实际上学了好几年了,再一往实际上什么都不会。
[00:06:16] 因为实际上好多孩子呀,在大二、大三、甚至大四、大五的时候,没有成长了一个百岁年龄成长,作为一个知识分子进入专业领域的那么一个心态。
[00:06:27] 医学不识,师兄师姐都说了,背背书说啥题,背背表格就完了,怎么像你这样讲的,你背背口诀是吧?
[00:06:34] 试试一根猪肝,三长一长我学短,三长一短我学短。
[00:06:37] 所以三长一短,我学短。
[00:06:38] 我学短,三长一长,我学长。
[00:06:40] 这句话,那你怎么这么磨叽?
[00:06:42] 你发现,你打开书读,发现你什么也不会。
[00:06:44] 这儿提供讲了个细节啊。
[00:06:46] 我怎么能在肌肉长度变短的时候,让肌缩依然保持一定的紧张度。
[00:06:53] 它只有绷紧的时候,它才有敏感性。
[00:06:55] 如果松弛了,你拉肌肉,它就对,没拉直,它就不反应。
[00:06:58] 我得让肌肉在稍短或超长的时候,肌缩的信奉性、敏感性都是保持不变的。
[00:07:06] 那我就得让肌缩。
[00:07:08] 百岁的时候,肌缩,肌缩,肌缩。
[00:07:08] 所以缩外肌长度改变的时候,发生相应调节,调两头。
[00:07:13] 我就没有拉肌肉,我还想让肌缩信奉一下。
[00:07:16] 哎,我就刺激伽马生理院,让肌肉从中间往两头收缩。
[00:07:23] 变感受状质,不变肌缩长度。
[00:07:27] 变肌缩长度,不变感受状质。
[00:07:31] 这就叫前两段式的plus版。
[00:07:34] 再说一遍,背的是标配,背的是plus,按着pro。
[00:07:38] 所以同学说,老师,我听你可那么认真,
[00:07:40] 所以同学说,老师,我听你可那么认真,
[00:07:40] 这考研怎么我考完这个风水稀里哗啦的。
[00:07:44] 就像去年在读小说《借奶》的时候,作者写一句话。
[00:07:48] 我以为原来是,读过不见得读会,读会不见得读透。
[00:07:55] 我拿这个具体案例,正好这儿比较难,我把语速放慢。
[00:07:58] 你听懂它,你还倍速。
[00:08:01] 慢,0.5倍速,你能听懂都是高手。
[00:08:04] 我一说想一想,说老师,是不是你智商比我高?
[00:08:06] 不是,是你做专业课时间久了。
[00:08:09] 老师和学生,
[00:08:10] 看一个知识的角度不一样。
[00:08:13] 在你还不会一个学科之前,不妨听老师讲一讲,
[00:08:17] 哪个地方才是关键。
[00:08:18] 这个地方注意啊,
[00:08:20] 变肌肉长度,不变肌素的敏感性,
[00:08:24] 和不变肌肉长度,变肌素的敏感性,
[00:08:27] 才是我们真正业绩前两个字的敏感所在。
[00:08:31] 剩下内容不讲,你也回这儿写了一个
[00:08:34] 《阿尔法支配缩外肌,伽马支配缩内肌》,
[00:08:36] 你再往下读,发现缩内肌有分两类,
[00:08:38] 核代和类二线,
[00:08:39] 因为这你一读书就明白啊,
[00:08:41] 它长得就不太一样。
[00:08:42] 核代和类二线的话,
[00:08:44] 它长得细而长,是吧?
[00:08:45] 它这个细胞核啊,
[00:08:47] 主要分布在这个整个的缩内肌的中央部分。
[00:08:51] 核代和类二线的话,细而短。
[00:08:53] 核、核、细胞核主要散在于整个线围。
[00:08:57] 而且组成的神经线围类型也不一样。
[00:09:00] 传入线围的话,在这地方整个串了行呢。
[00:09:02] 嗯,串行,应该是,
[00:09:04] 这儿走的是这个A类线围,是吧?
[00:09:07] 那里上一A类,一A类线围和二类线围走的不太一样。
[00:09:12] 这是神经线围,我回头把这个表格,
[00:09:13] 这表格正是我改了一下壳下,
[00:09:15] 这表格的好玩给传,都没关系啊,没关系。
[00:09:19] 另外就是伽马神经元在支配核代和核类的时候,
[00:09:22] 线围样子不一样。
[00:09:23] 支配核代线围的时候,
[00:09:25] 它这个线围样子是一个板状线围,
[00:09:27] 这画了个示意图。
[00:09:28] 支配核类线围的时候是个VAR状,
[00:09:30] 这个字应该读VAR。
[00:09:32] 我们小时候,那会儿你们现在也唱这首歌,
[00:09:35] 我们小时候听的那首歌曲叫《兔头饭的葡萄熟了》,
[00:09:38] 那是天津的灌木村大姐,
[00:09:40] 中国著名的女中英歌唱家,
[00:09:43] 她就唱《长城的万儿》,
[00:09:45] 怎么怎么样?
[00:09:45] 到了刀郎先生,
[00:09:47] 你们听大概在听这个歌曲的时候,
[00:09:48] 刀郎先生唱了,
[00:09:50] 他唱的时候害怕引起奇异,
[00:09:52] 他的歌词唱,没唱万儿,
[00:09:54] 他唱的是《长城的腾儿》。
[00:09:56] 所以听完这个歌,
[00:09:58] 你要感兴趣的话,
[00:09:58] 或者没听过,
[00:09:59] 或者听过,
[00:10:00] 我都建议在这个地方,
[00:10:01] 我真是电脑上没法给你放,
[00:10:02] 我应该把这首歌曲,
[00:10:04] 两个不同大部分放出来,
[00:10:05] 你听一听,
[00:10:06] 《长城的万儿》,
[00:10:07] 所以种一颗西瓜籽下去,
[00:10:09] 在春天,
[00:10:10] 最后慢慢到了夏天之后,
[00:10:11] 就长成一个长的万儿,
[00:10:13] 上面结几颗瓜,
[00:10:15] 一个万儿上面那么细,
[00:10:16] 一根小腕子,
[00:10:17] 上面长四五个瓜,
[00:10:18] 都长不大,
[00:10:18] 所以一般瓜农呀,
[00:10:20] 就把这个万儿顶端的瓜就掐掉了,
[00:10:22] 留下最早那个瓜长大,
[00:10:24] 把那个瓜卖了,
[00:10:26] 或者等那个瓜摘了以后,
[00:10:28] 它还有第二个瓜,
[00:10:29] 我再留下来,
[00:10:29] 一查一查的,
[00:10:31] 到了秋天的时候,
[00:10:32] 瓜都不行了,
[00:10:33] 就把根儿拔了,
[00:10:34] 嗯,
[00:10:35] 西瓜是这样,
[00:10:36] 西瓜呢,
[00:10:36] 叫西瓜万儿,
[00:10:39] 不叫西瓜坦儿,
[00:10:40] 也不叫万儿,
[00:10:41] 说非得我叫万儿,
[00:10:42] 叫蟹尾,
[00:10:43] 因为这事炒价,
[00:10:44] 实在不值得,
[00:10:45] 所以我讲到这个地方,
[00:10:46] 总是比较啰嗦,
[00:10:46] 听一下,
[00:10:47] 说这个我没背下,
[00:10:48] 我说背不下,
[00:10:49] 无所谓,
[00:10:49] 这个无所谓,
[00:10:51] 所以这张这个示意图上是两个东西,
[00:10:53] 你再听一下,
[00:10:54] 同学能够纠结,
[00:10:56] 作为积缩这一个长度感受光致,
[00:10:59] 它上面找了两类蟹尾,
[00:11:01] 一类是传入的,
[00:11:02] 传入蟹尾干嘛,
[00:11:03] 你看一类和二类蟹尾,
[00:11:04] 这都写了一类,
[00:11:05] 一类和二类不同,
[00:11:06] 何在何在蟹尾,
[00:11:08] 一类蟹尾,
[00:11:09] 二类蟹尾,
[00:11:11] 都是长在千丈反射的反射弧上,
[00:11:14] 传入蟹尾在这说的是五个级千丈反射反射弧的传入部分,
[00:11:19] 感受器是积缩,
[00:11:21] 传入蟹尾是一类和二类,
[00:11:22] 这是作为感受光致存的传入蟹尾,
[00:11:25] 同时你看,
[00:11:27] 积缩既是千丈反射的感受器,
[00:11:30] 又是伽马神经元的效应器,
[00:11:32] 那么伽马神经元,
[00:11:34] 它怎么样支配孙内基的,
[00:11:35] 它是通过板状和腕状蟹尾,
[00:11:39] 这要化腕状在荷带上,
[00:11:41] 板状在荷袋上,
[00:11:44] 嗯,
[00:11:44] 这属于一类,
[00:11:46] 贝塔里的传出蟹尾,
[00:11:47] 听过去吧,
[00:11:48] 这地方蟹尾类型为人强调贝,
[00:11:50] 这地方你纠结的是,
[00:11:51] 一谈到积缩和骨骼肌这个千丈反射时候,
[00:11:54] 全是两个两个,
[00:11:55] 千丈反射有两种,
[00:11:56] 借反射和积颈章,
[00:11:58] 想要积缩性,
[00:11:59] 我有两个办法,
[00:12:00] 拉肌肉或自己伽马,
[00:12:02] 伽马神经元性,
[00:12:03] 积缩发生变化时候,
[00:12:04] 变积缩长度,
[00:12:05] 不变感受光之长度,
[00:12:08] 变感受光之长度,
[00:12:09] 不变积缩长度,
[00:12:10] 这都什么东西,
[00:12:11] 所以你这东西都理顺了以后,
[00:12:13] 咱们就有机会往下读了,
[00:12:16] 体会这节课,
[00:12:17] 咱们一开始回头课程上线的时候,
[00:12:19] 给它起名字叫去大脑僵持,
[00:12:21] 我们再重新读这个内容,
[00:12:23] 目的就不在千丈反射,
[00:12:24] 是通过千丈反射这个细节的知识理解,
[00:12:27] 去理解一下著名的医学现象,
[00:12:30] 去大脑僵持,
[00:12:32] 一叫解割,
[00:12:32] 解割反章是个什么东西,
[00:12:34] what the fuck,
[00:12:35] 什么鬼,
[00:12:36] 这个样子,
[00:12:37] 这个图咱们接着说千丈反射,
[00:12:39] 这是千丈反射一个完整的反射过程,
[00:12:42] 你先牵拉肌肉,
[00:12:43] 积缩性缝,
[00:12:44] 积缩性缝以后,
[00:12:45] 通过一类纤维,
[00:12:46] 脊椎后脚传入之后,
[00:12:48] 直接传到脊椎前脚,
[00:12:49] 再发出,
[00:12:50] 通过二发神经元发出传出纤维,
[00:12:52] 到这才发现你每天背那个神经肌肉接头,
[00:12:55] 神经肌肉就在这,
[00:12:56] 这就是神经肌肉,
[00:12:57] 这个小鸡爪,
[00:12:58] 凤爪,
[00:12:59] 这就是神经肌肉接头,
[00:13:00] 对了,
[00:13:01] 是来自于脊椎前脚,
[00:13:02] 二发神经元,
[00:13:04] 释放胆碱和中板膜上的N2C受力结合,
[00:13:07] 然后把神经细胞的系统性,
[00:13:10] 跨膜信号转导给骨骼肌细胞,
[00:13:12] 产生中板电位,
[00:13:13] 进而演变为骨骼肌细胞的膜电位,
[00:13:16] 再通过所谓的信封和收缩偶连的过程,
[00:13:20] 引发骨骼肌细胞内部变垢,
[00:13:22] 也叫拔丝儿效应,
[00:13:24] 该在释放、
[00:13:25] 触发、
[00:13:26] 促进基次化性,
[00:13:27] 前面学过的每一句话在这就兑现了,
[00:13:30] 所以为什么一直讲一句话说,
[00:13:32] 出来混,
[00:13:33] 早晚要还的,
[00:13:34] 嗯,
[00:13:35] 这儿你发现了,
[00:13:36] 发现什么?
[00:13:36] 发现你前拉肌肉时候,
[00:13:39] 背前拉肌肉和将来收缩的肌肉是同一块肌肉,
[00:13:43] 对吧?
[00:13:43] 除了这个肌肉之后,
[00:13:44] 你要完成一个关节活动,
[00:13:46] 不但有些统计,
[00:13:47] 想把这个关节之后关节一下缩回来,
[00:13:49] 这块肌肉,
[00:13:50] 这块肌肉也得收缩,
[00:13:51] 多块肌肉收缩,
[00:13:52] 所以在前脚一块就发出好几条线,
[00:13:55] 为了支配好几块肌肉,
[00:13:57] 另外在关节的后方,
[00:13:58] 肘关节肘后,
[00:14:00] 还有一块结抗肌,
[00:14:01] 具体说就是前面是公二头,
[00:14:03] 后面是公三头,
[00:14:06] 将来在学到骨骼的时候,
[00:14:07] 对公二公三头,
[00:14:09] 我们也去更新,
[00:14:10] 比如公二头肌是第六境界支配的C6,
[00:14:14] 公三头肌在肘后就是C7,
[00:14:16] 明明在解剖学上看公三头肌伸肘的这个关节,
[00:14:20] 肌肉,
[00:14:20] 公三头肌,
[00:14:20] 公三头肌是C7支配的,
[00:14:22] 但是临床观察发现,
[00:14:24] 一个外伤的话,
[00:14:25] 这只是损伤C7了,
[00:14:26] 它并不会发生伸肘障碍,
[00:14:29] 它只会发生伸肘无力,
[00:14:31] 就是伸肘的活动力量一点变小,
[00:14:34] 但还不至于伸不开,
[00:14:36] 所以这要伸不开的,
[00:14:37] 就不是C7的事儿,
[00:14:38] 是上臂冲的事儿,
[00:14:39] C56起,
[00:14:41] 换句话说,
[00:14:41] C56,
[00:14:43] 所以我们在学生理学,
[00:14:44] 如果生理学这儿,
[00:14:45] 我已经在讲标配和plus版了,
[00:14:47] 你注意,
[00:14:48] 到内外科学的时候,
[00:14:49] 它又是生理学,
[00:14:50] plus版本的plus版还不够,
[00:14:53] 内科学就应该属于生理学,
[00:14:55] plus版里边的pro,
[00:14:57] and plus pro,
[00:15:00] 升级之后再升级,
[00:15:03] 所以生理学,
[00:15:04] 药理学,
[00:15:05] 病生学,
[00:15:05] 诊断学,
[00:15:06] 内科学,
[00:15:06] 外科学,
[00:15:07] 你慢慢往下学,
[00:15:07] 你会发现,
[00:15:08] 一门课比一门课要求的智力更高,
[00:15:12] 病理更高,
[00:15:14] 知识的重叠度高,
[00:15:15] 就是一层码着一层,
[00:15:16] 一层码着一层,
[00:15:17] 你读的每一句话背后,
[00:15:19] 你发现差了很多层意思,
[00:15:20] 所以我讲课到了内科,
[00:15:22] 学就要讲,
[00:15:22] 左心衰和左心衰可不一样,
[00:15:24] 右心衰和右心衰可不一样,
[00:15:26] 对了,
[00:15:26] 肺炎学和肺炎学可不一样,
[00:15:28] 高心脈的心衰和二小的心衰都是肺炎学,
[00:15:31] 但是治疗方法完全不一样,
[00:15:33] 一个扩张静脉,
[00:15:34] 一个扩张动脉,
[00:15:35] 一个改变前复合,
[00:15:36] 一个改变后复合,
[00:15:37] 你要不这样学就乱套了,
[00:15:39] 因为这个意思,
[00:15:40] 讲课久了,
[00:15:41] 给同学们讲一句话,
[00:15:43] 只说主语,
[00:15:44] 不说定语,
[00:15:45] 就他们耍流氓,
[00:15:46] 你不能说左心衰怎么治,
[00:15:48] 你得说二小左心衰怎么治,
[00:15:50] 心梗左心衰怎么治,
[00:15:52] 心脚痛,
[00:15:53] 心肌炎左心衰怎么治,
[00:15:54] 阔心肺左心衰怎么治,
[00:15:55] 高血压左心衰怎么治,
[00:15:57] 这才可以,
[00:15:58] 这才叫医生,
[00:16:00] 这个可不是跟人吵架,
[00:16:01] 所以这样内容你和老百姓去讲,
[00:16:03] 你根本没法讲,
[00:16:04] 都是个左心衰,
[00:16:05] 你看你毛病大难,
[00:16:05] 你这这么废话,
[00:16:06] 你这个一只智智风子,
[00:16:07] 人家别人说你咬木胶子,
[00:16:08] 你真他妈咬木胶子,
[00:16:10] 错了,
[00:16:10] 死的不是这么死的,
[00:16:12] 对了,
[00:16:13] 学到那课就突然明白我讲什么了,
[00:16:15] 所以今天下午刚才我还看微博,
[00:16:17] B站还有同学说老师,
[00:16:18] 你这课怎么两个有考业课还有本科教学,
[00:16:21] 对了,
[00:16:21] 本科教学也不是大二的这个后半年直接开始,
[00:16:25] 也有同学开始提前预习,
[00:16:26] 大一同学准备学生,
[00:16:28] 你觉得听这个课预习可以的,
[00:16:29] 没问题,
[00:16:30] 我没讲的更难,
[00:16:31] 我更多的还是基本上就是讲内外课的内容,
[00:16:34] 也是基于对生理学一个概念更深入理解,
[00:16:38] 是从理解生理学角度去适当穿插了一点点内外课,
[00:16:42] 对吧,
[00:16:43] 没有打开内外课,
[00:16:44] 你不知道内外课什么样子,
[00:16:45] 这是我在录内科学的课程,
[00:16:48] 不管它了,
[00:16:48] 反正讲这种本科教学的课程呀,
[00:16:51] 总是老师会讲的丰蒙别类的各种各样的案例会比较多,
[00:16:56] 因为你不听的话,
[00:16:57] 你不知道这种学课在干嘛,
[00:16:59] 所以世界上这段话,
[00:17:01] 就从今天晚上开始录课这段话,
[00:17:03] 都是给上一节课切断反射在进一步打基础,
[00:17:06] 一定努力从标配的基本的谷歌切断反射反射壶,
[00:17:11] 几岁后脚几岁前脚,
[00:17:12] 叫阿法神经元是吧,
[00:17:14] 然后再加一个伽马神经元,
[00:17:16] 所以上节课讲的一句话,
[00:17:17] 说你体会一下,
[00:17:18] 切拉肌肉直接引发切断反射直接作用,
[00:17:21] 切拉把肌肉长度改变,
[00:17:23] 激索直接兴奋了,
[00:17:24] 现在如果咱们也没有切拉肌肉,
[00:17:26] 我只是刺激伽马神经元的话,
[00:17:28] 你看,
[00:17:28] 伽马神经元并不能直接作用激索的长度,
[00:17:31] 不能,
[00:17:31] 伽马神经元兴奋之后,
[00:17:33] 通过什么板状、
[00:17:33] 矛罩线位先让缩内肌收缩,
[00:17:38] 再拉动激索的长度感受,
[00:17:41] 防止敏感,
[00:17:42] 所以上节课专门讲一句话,
[00:17:44] 刺激伽马神经元引发的激索兴奋是间接的,
[00:17:48] 切拉肌肉引发激索兴奋是直接的,
[00:17:51] 这个地方最核心的两个字,
[00:17:53] 这个key word的关键词就是直接和间接,
[00:17:56] 体会,
[00:17:57] 脑补一下,
[00:17:58] 我要刺激伽马神经元让肌肉能受缩不能,
[00:18:01] 它是什么过程,
[00:18:02] 伽马神经元兴奋,
[00:18:03] 板状、
[00:18:03] 矛罩线位、
[00:18:04] 宋内肌、
[00:18:05] 卡、
[00:18:05] 收缩,
[00:18:05] 这个时候激索兴奋,
[00:18:07] 一类二类线位传入到中枢,
[00:18:10] 前脚按法神经元传出到消音器,
[00:18:12] 在完整的一个反射弧基础之上,
[00:18:16] 感触器传入线位,
[00:18:18] 中枢传出线位,
[00:18:19] 消音器12345,
[00:18:21] 基础上加什么去了,
[00:18:22] 我没有拉肌肉,
[00:18:24] 我是刺激伽马,
[00:18:25] 这个屏幕正好不能触摸,
[00:18:27] 能触摸到这写出来,
[00:18:28] 伽马兴奋通过板状或矛罩线位,
[00:18:31] 刺激孙内肌往两头收缩,
[00:18:33] 收缩之后激索再兴奋,
[00:18:34] 你看,
[00:18:35] 拉肌肉是激索兴奋开始的,
[00:18:37] 刺激伽马激索没有开始兴奋,
[00:18:40] 伽马兴奋,
[00:18:41] 放电,
[00:18:42] 孙内肌收缩,
[00:18:43] 激索再兴奋,
[00:18:45] 没毛病吧,
[00:18:46] 拿这个视频头说话,
[00:18:47] 刺激伽马神经元让肌肉通过前脚反射收缩一下,
[00:18:52] 就比拉肌肉让肌肉前脚反射收缩一下,
[00:18:55] 路更长一点,
[00:18:57] 伽马传出线位,
[00:18:58] 孙内肌激索,
[00:19:00] 而那个是激索,
[00:19:03] 刺激伽马引发出来的前脚反射这种肌肉收缩,
[00:19:08] 又比前脚反射本身,
[00:19:09] 又比前脚反射本身,
[00:19:09] 路径更长一点,
[00:19:11] 并没有伽马传出线位,
[00:19:13] 孙内肌才得激索,
[00:19:14] 第四步才得激索,
[00:19:16] 所以体会一句话,
[00:19:17] 刺激伽马是完全可以通过前脚反射这个反射弧,
[00:19:21] 让肌肉收缩一下的,
[00:19:22] 但是刺激伽马让肌肉发生收缩,
[00:19:25] 要比前脚反射多几步,
[00:19:28] 所以刺激伽马引发的肌肉就是伽马环路,
[00:19:32] 我们在这给它命名一个名字,
[00:19:34] 叫延长的前脚反射,
[00:19:38] 延长的前脚反射,
[00:19:39] 你能把这个词在这听下,
[00:19:44] 这节课我这会就可以不录下课了,
[00:19:46] 这个词如果没有听到,
[00:19:47] 前面听的一切却不清明,
[00:19:49] 所以说想一想说,
[00:19:51] 说我听过你那课咱还不会做题,
[00:19:52] 你总以为你听懂课了,
[00:19:55] 不是吗?
[00:19:56] 伽马环路,
[00:19:58] 今天等于是专门又重新讲一节课,
[00:20:00] 上节课就没有讲完,
[00:20:01] 因为上节课给我讲了一个标配的谷歌前脚反射,
[00:20:04] 见法真是紧张,
[00:20:05] 这节课专门讲了一个,
[00:20:06] 为什么它说伽马环路是一个延长的前脚反射,
[00:20:10] 弹幕上讨论上写出来,
[00:20:14] 还有同学刚才我还说,
[00:20:15] 老师讲的这个整体怎么和别的机构的题目答案不一样,
[00:20:19] 你猜,
[00:20:20] 伽马环路是一个延长的前脚反射,
[00:20:29] 下面这还有一小块东西可以解说了,
[00:20:31] 就是所谓的反前脚反射,
[00:20:33] 它是介绍谁了?
[00:20:34] 建器官,
[00:20:36] 所以上节课就讲过了,
[00:20:37] 肌缩是长在肌腹里边和正常的机械MV是并列关系的,
[00:20:41] 建器官长在肌肉两头是串联关系,
[00:20:43] 肌缩感受肌肉长度,
[00:20:45] 建器官感受肌肉长度,
[00:20:46] 肌肉的张力,
[00:20:47] 肌塑的敏感性,
[00:20:49] 鱼翼之地轻轻一拉起兴奋了,
[00:20:51] 建器官需要很强的强度,
[00:20:53] 所以一直讲,
[00:20:53] 可无副词的讲,
[00:20:55] 我们年轻人吃完饭之后出去跑步打球等等,
[00:20:57] 在运动锻炼之前一定要做一点准备活动,
[00:21:01] 让身体预热,
[00:21:02] 问同学们预热在预热谁?
[00:21:04] 打预热建器官,
[00:21:05] 为什么预热建器官?
[00:21:06] 它预制比较高,
[00:21:08] 不容易兴奋,
[00:21:09] 那么建器官预热的一个好处是什么?
[00:21:11] 读一下,
[00:21:12] 引子反前脚反射,
[00:21:13] 反,
[00:21:14] inverse,
[00:21:15] stretch,
[00:21:16] reflect,
[00:21:16] reflex,
[00:21:17] reflex,
[00:21:18] 在前脚反射的过程中,
[00:21:20] 当前拉肌肉的力量达到一定强度的时候,
[00:21:24] 一定程度的时候,
[00:21:25] 肌肉收缩会突然停止,
[00:21:27] 转为肌肉疏张,
[00:21:28] 一个过强的肌肉收缩过程中,
[00:21:30] 肌肉突然就不收缩了,
[00:21:32] 减弱了,
[00:21:33] 这种肌肉受到强烈前拉时,
[00:21:36] 所发生突然的一个疏张反应,
[00:21:38] 称之为反前脚反射,
[00:21:40] 意义何在?
[00:21:42] 避免肌肉过强,
[00:21:43] 过强的收缩,
[00:21:44] 把自己从骨骼肌,
[00:21:46] 把这骨骼肌从骨骼,
[00:21:47] 你比如说进骨出笼了呀,
[00:21:49] 是吧,
[00:21:49] 这个红骨,
[00:21:50] 肱骨这个都出笼了,
[00:21:52] 绕骨,
[00:21:52] 吃骨等等,
[00:21:53] 防止肌肉的过强收缩,
[00:21:55] 把自己从骨骼肌,
[00:21:57] 把从骨骼肌这个辅助点上,
[00:21:59] 从骨骼的辅助点上,
[00:22:01] 给撕下来,
[00:22:02] 一旦读过内外科学,
[00:22:05] 特别是外科学的骨科就明白,
[00:22:07] 一个年轻人打篮球摸篮堡,
[00:22:09] 是吧,
[00:22:09] 投篮跳起来跑三步,
[00:22:11] 投篮啊,
[00:22:12] 跑篮动作,
[00:22:13] 动作过强的时候,
[00:22:15] 甚至一种是可能会把冰骨横着给拉断,
[00:22:19] 骤然归导,
[00:22:21] 一种是猛的跳起来投篮,
[00:22:22] 会把骨丝头肌,
[00:22:24] 从他的卡切上级骨头骨盘上面,
[00:22:27] 卡给撕下一块的,
[00:22:28] 那个骨折就是骨科学排名第一的间接暴击,
[00:22:33] 肌肉输出力量太大,
[00:22:35] 不小心把骨头给撕下一块的,
[00:22:37] 带着这个辅助点就撕下来,
[00:22:41] 所以世界上前段反射对人体是很困难的,
[00:22:43] 非常重要的,
