# 源音频：P31-生理学本科教学及考研基础课 p31 呼吸-第四节（呼吸运动的调节）.m4a
# 时长：1957s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:01] 好同学们,这下咱们就接下来看一下呼吸这一章的第四节,有关呼吸运动的调节。
[00:06:25] 地耳机和辐射的胃耳机
[00:06:27] 有大量的呼吸神经元组成
[00:06:29] 这不神经元非常多
[00:06:30] 而且是约分组的
[00:06:32] 你看有吸气有呼气
[00:06:34] 还有跨视向神经元
[00:06:36] 吸呼呼气还有两种
[00:06:38] 一种是在吸转呼的时候放电
[00:06:40] 一种是在呼转吸的时候放电
[00:06:42] 一种是它放电以后开始吸气
[00:06:44] 一种是放电以后开始呼气
[00:06:46] 听过就好了
[00:06:47] 下面有分别
[00:06:48] 刚才说分为背侧和辐射组
[00:06:50] 背侧组主要是在哪里
[00:06:52] 在这个孤树核的辐外侧部
[00:06:54] 它要传入一些位有EA类
[00:06:56] 也有这个Ebeta类的
[00:06:57] E-Av的Ebeta类的
[00:06:59] 这里边一个是交叉
[00:07:00] 叫它投射
[00:07:02] 它支配的是格基的运动神经元
[00:07:05] 一个是Ebeta类的接受E-Av
[00:07:08] 这A-Av应该叫E-Av
[00:07:09] 和肺的前章感受去传入
[00:07:12] 这里边咱们读一下
[00:07:14] 读一下就好了
[00:07:15] 这在大纲这边也是一个了解的范畴
[00:07:19] 没人要去掌握
[00:07:20] 掌握的意义不大
[00:07:20] 因为现在为止
[00:07:21] 整个的呼吸中枢呼吸结率怎么形成
[00:07:24] 咱们没搞明白
[00:07:25] 现在能看到的这点为数不多的
[00:07:27] 很可怜的一点小结论
[00:07:29] 所以这一块平时讲课的时候
[00:07:30] 读读就算了
[00:07:31] 你们不是不想讲
[00:07:32] 是讲不明白
[00:07:33] 对了
[00:07:34] 下面另外一组是辐测组
[00:07:35] 包括密尽讯一核
[00:07:37] 是吧
[00:07:37] 包括后一核
[00:07:38] 还有包心格复合体
[00:07:41] 有Gamma和Delta组的
[00:07:44] 这么一组神经纤维
[00:07:46] 它接受的是同侧的咽喉部呼吸的
[00:07:50] 辅助肌或者支配
[00:07:51] 另外还交叉内肩的内外肌和腹肌的
[00:07:56] 运动神经元
[00:07:56] 它是来调节和感受呼吸机的
[00:08:00] 隔肌液内外肌
[00:08:02] 这个听过去完了
[00:08:02] 没有意义
[00:08:03] 我翻过去
[00:08:04] 嗯
[00:08:05] 接着往下走
[00:08:06] 还有高位脑
[00:08:07] 除了延随基本的呼吸结率
[00:08:09] 这个位置咱们能定下来之后
[00:08:11] 咱们能知道
[00:08:12] 实际上呼吸特别有意思
[00:08:13] 在细胞内脏
[00:08:14] 你还记得细胞内脏这样讲的
[00:08:16] 说真正体的肌肉有两种
[00:08:18] 一种叫随意肌
[00:08:20] 一种叫非随意肌
[00:08:22] 所以内脏内供你要学得细的话
[00:08:23] 你会发现
[00:08:24] 呼吸肌隔肌内肌肌非常好
[00:08:26] 隔肌内肌肌既是随意的
[00:08:29] 又是非随意的
[00:08:30] 那么非随意这一块
[00:08:32] 是延随这个地方
[00:08:34] 放电并且支配的
[00:08:35] 随意这一块是大脑皮层
[00:08:37] 是高位脑
[00:08:38] 呼吸运动除了接受脑壳和延随这一段
[00:08:42] 中枢的影响之外
[00:08:44] 它接受脑壳以上的大脑皮层
[00:08:47] 边缘系统
[00:08:48] 小球脑等等
[00:08:49] 大脑皮层通过皮层脊髓术和皮层脑干术
[00:08:53] 控制低位脑干
[00:08:54] 呼吸时间运动
[00:08:55] 以保证其他重要的呼吸相关
[00:08:58] 比如说KGKTV
[00:09:00] 好久不见
[00:09:00] 是吧
[00:09:01] 不见不散
[00:09:02] 能和我很长时间不换气
[00:09:04] 这是随意的
[00:09:05] 呼吸无需意识控制
[00:09:08] 能自动节律性的进行
[00:09:11] 这叫做自主式呼吸
[00:09:13] 晚上睡着了
[00:09:14] 喝醉了
[00:09:14] 稀里糊涂的
[00:09:15] 也没有谁喝醉喝的
[00:09:17] 喝的可能把家门钥匙给找不着了
[00:09:19] 喝的把拖鞋给掉了找不见了
[00:09:21] 但没有谁喝醉喝的忘记呼吸给憋死了
[00:09:24] 没有
[00:09:25] 所以人是自主式呼吸的
[00:09:27] 这是低位脑干
[00:09:28] 就脑壳和延随来控制的
[00:09:31] 另外咱们刚才说它又是随意的
[00:09:33] 接受意识控制
[00:09:34] 称之为随意呼吸
[00:09:35] 这是大脑皮层控制
[00:09:37] 随意呼吸控制
[00:09:38] 但这临床咱们说一种很糟糕的事
[00:09:41] 就正好外伤车祸
[00:09:43] 把延随基本中枢给破坏掉了
[00:09:45] 那么一个人之所以还维持呼吸是大脑皮层
[00:09:49] 把呼吸变成随意式的呼吸
[00:09:52] 我知道我要不呼吸
[00:09:53] 我变得难受
[00:09:54] 我就提醒我呼吸
[00:09:56] 设想一下
[00:09:56] 这个延随脑干损伤的患者
[00:09:59] 一旦昏迷了
[00:10:01] 没有意识
[00:10:02] 就忘记呼吸了
[00:10:03] 几乎憋死
[00:10:04] 所以呼吸这个地方会谈到
[00:10:07] 在细胞内障
[00:10:09] 咱们也会谈到
[00:10:10] 这种患者入院
[00:10:11] 你要注意
[00:10:11] 低位脑干损伤患者入院
[00:10:13] 第一个事干嘛
[00:10:14] 气管切开
[00:10:15] 正牙通气
[00:10:16] 上人工呼吸机
[00:10:17] 防止患者昏迷以后
[00:10:19] 忘记呼吸
[00:10:20] 把自己给憋死
[00:10:22] 这样你也发现了正牙通气
[00:10:24] 呼吸机的使用
[00:10:25] 在临床上挽救了无数的患者生命
[00:10:28] 因为在那个情况下
[00:10:30] 患者没有自主式呼吸
[00:10:32] 这有什么
[00:10:32] 这就是随意呼吸了
[00:10:34] 听过就好了
[00:10:35] 听过就好了
[00:10:36] 所以这写的一句话说
[00:10:37] 临床可以见到
[00:10:38] 自主呼吸和随意呼吸分离的现象
[00:10:42] 这一般就常见于
[00:10:43] 低位脑干损伤
[00:10:44] 脑袋伤患者
[00:10:45] 对了
[00:10:46] 往下走
[00:10:48] 尽管节律
[00:10:49] 他们全也就明白
[00:10:51] 但是教材试着
[00:10:52] 小学同学们强调点东西
[00:10:54] 呼吸节律的产生机制上面完全阐明
[00:10:57] 目前主要两个解释
[00:10:58] 一个解释是起步细胞
[00:10:59] 就刚才说
[00:11:00] 像豆方结皮细胞自动虚极化
[00:11:02] 一种是神约的
[00:11:03] 网络学说
[00:11:04] 这这不画了很多示意
[00:11:05] 涂发一起
[00:11:06] 写的没事
[00:11:06] 看看就行了
[00:11:07] 咽水是吧
[00:11:08] 吸气中枢
[00:11:09] 呼气中枢
[00:11:10] 刚才看吸呼呼吸的一些
[00:11:12] 这个跨视像神经元
[00:11:14] 对吧
[00:11:14] 往上走脑桥
[00:11:15] 刚才说呼吸调节中枢
[00:11:16] 还有长吸中枢等等
[00:11:19] 这么一个调整
[00:11:20] 然后往下传
[00:11:21] 传给吸气神经元
[00:11:23] 积水的
[00:11:24] 引发隔肌收缩
[00:11:25] 吸气
[00:11:26] 然后肺再扩张以后
[00:11:27] 与刺激肺上面的一些切断两受器
[00:11:30] 通过铭子神经回传
[00:11:31] 再到吸气切断中枢
[00:11:34] 一般是这样的
[00:11:34] 把吸气切断了
[00:11:35] 这一会咱们都能看到
[00:11:36] 所以这个内容听一下
[00:11:37] 听懂听没听懂
[00:11:39] 准备老师也不在乎
[00:11:40] 听听就完了
[00:11:41] 本身就是糊涂事
[00:11:42] 对了
[00:11:44] 那么在这一节有关呼吸节律形成
[00:11:48] 讲了半天等于是废话
[00:11:49] 这样不明白
[00:11:50] 但是有关呼气的反射性调节
[00:11:53] 咱们目前临床使用的范围很广
[00:11:55] 很重要
[00:11:56] 也也觉得比较头彻
[00:11:58] 所以第4节呼吸动调节
[00:12:00] 你看题目讲调节
[00:12:02] 就没有说呼吸节律产生
[00:12:04] 因为节制产生
[00:12:04] 不明朗
[00:12:05] 不是不重要
[00:12:06] 是没有搞明白
[00:12:07] 那么搞明白的咱们还读
[00:12:09] 就是有关它的调节
[00:12:11] 第一个是化学感受
[00:12:13] 随着化学感受反射
[00:12:14] 这个内容咱们一直说
[00:12:15] 这个内容世界上最早不是在呼吸
[00:12:17] 这一点
[00:12:18] 血在哪血在在循环
[00:12:20] 你还记得不心血管系统有三大反射
[00:12:24] 斗宫反射
[00:12:25] 叫解压反射
[00:12:26] 然后叫净动脉体主动体化学感受
[00:12:28] 也叫生压反射
[00:12:29] 还有第三个心肺容量感受反射
[00:12:32] 所以循环系统去到净动脉体
[00:12:34] 主动脉体
[00:12:36] 就是咱们呼吸要学的
[00:12:37] 所谓的外周的化学感受器
[00:12:40] 就这一组
[00:12:42] 因此刚才谈了个名字
[00:12:44] 外周化学感受器
[00:12:45] 到这咱们得强调一下
[00:12:46] 人体有非常重要的中枢和外周
[00:12:50] 两组不同的化学感受器
[00:12:53] 呼吸这一章的第4节
[00:12:55] 有一个极其重要和核心的知识
[00:12:57] 就是你一定要分别清楚
[00:12:59] 人体有中枢和外周
[00:13:01] 两组不同的化学感受器
[00:13:03] 所谓的外周
[00:13:04] 所谓的外周
[00:13:04] 所谓的外周
[00:13:04] 外周化学感受器
[00:13:05] 就是咱们说的谁
[00:13:06] 净动脉体和主动脉体
[00:13:09] 一个感受器
[00:13:09] 慢慢你往后学到感官系统
[00:13:11] 你就发现了
[00:13:12] 一个感受器
[00:13:13] 首先我们关心的是感受器的适宜刺激
[00:13:16] 人体哪些因素改变
[00:13:18] 会影响感受器
[00:13:19] 这地方写了一下
[00:13:20] 动脉血氧分压下降
[00:13:22] 动脉血的二氧化碳分压增高
[00:13:24] 以及动脉血液容许降重
[00:13:26] 清理次浓度增加
[00:13:28] 此外
[00:13:28] 胸胯血量减少
[00:13:30] 也可以兴奋
[00:13:31] 但显然作为一个化学感受器
[00:13:33] 它更敏感的是
[00:13:34] 动脉氧分压
[00:13:36] 动脉血二氧化碳分压
[00:13:38] 和清理次浓度
[00:13:39] 咱们要强调
[00:13:41] 他感受的是分压
[00:13:42] 不是氧气二氧化碳的浓度
[00:13:45] 含量等等
[00:13:47] 而是什么分压
[00:13:49] 所以教材在这
[00:13:49] 这应该是在170、171、2
[00:13:52] 这个样子
[00:13:52] 教材专门写了一句话
[00:13:55] 哪一句话
[00:13:56] 说贫血病人
[00:13:58] 呼吸的兴奋
[00:14:00] 并不明显
[00:14:01] 在第三节气体运输上一节
[00:14:04] 氧气运输
[00:14:05] 咱们要看
[00:14:05] 我们专门谈的话题
[00:14:07] 叫血氧容量
[00:14:09] 血氧含量
[00:14:11] 动脉血氧饱和度
[00:14:13] 而在第三节放到这
[00:14:14] 咱们再听一个词
[00:14:15] 氧分压
[00:14:19] 在气体运输这一节里边
[00:14:21] 分压这要用到了
[00:14:22] 动脉血氧分压
[00:14:23] 二氧化碳分压
[00:14:24] 氢浓度等等
[00:14:25] 这些内容要用到了
[00:14:26] 体会一下
[00:14:27] 在这个内容里边
[00:14:29] 氧分压二氧化碳分压
[00:14:31] 分压两个字什么意思
[00:14:33] 不信你用红笔专门备注一下
[00:14:35] 分压
[00:14:36] 特质
[00:14:37] 血液中溶解的
[00:14:39] 哪一部分氧
[00:14:42] 哪怕我们学的内容还不太多
[00:14:43] 但是你学过血液那一章
[00:14:45] 你大概能明白什么叫贫血
[00:14:46] 贫血就是各种各样原因
[00:14:48] 造成我们血液中
[00:14:50] 血红代白含量不足了
[00:14:51] 你看第三节咱们看
[00:14:53] 正常人按照每分省100毫升动脉血
[00:14:56] 15克血红代白计算
[00:14:57] 如果一个人过来一查
[00:14:59] 他只有8克血红代白
[00:15:01] 我们把它叫做贫血
[00:15:02] 贫血患者血红代白少了
[00:15:05] 一分子血红代白结合四分子氧气
[00:15:07] 所以按照15克算
[00:15:08] 100毫升血液中动脉血应该结合
[00:15:11] 20.1毫升氧气
[00:15:12] 现在你只有8克了
[00:15:13] 你结合一半多一点
[00:15:15] 就是10毫升左右了
[00:15:16] 你比正常人的氧气的容量含量就减少
[00:15:20] 但是分压特质血液中
[00:15:23] 溶解的那一部分氧气
[00:15:25] 设想一下贫血了
[00:15:26] 只是血红代白少
[00:15:28] 那么他的血液结合氧的能力减退了
[00:15:31] 但是它并不影响氧气的溶解
[00:15:34] 所以你体会贫血病人
[00:15:36] 氧容量
[00:15:37] 氧含量减少
[00:15:40] 但是动脉血氧的分压并不下降
[00:15:45] 为什么在这才开始强调
[00:15:46] 咱们说了
[00:15:47] 化学感受器及动脉体主动动体感受什么
[00:15:49] 感受不是氧气的含量浓度
[00:15:51] 而是氧气的分压
[00:15:52] 所以你体会
[00:15:53] 尽管贫血病人机体缺氧
[00:15:56] 动脉血氧容量含量减少
[00:15:58] 但是由于它不影响氧气的溶解
[00:16:00] 所以动脉血氧的分压是正常的
[00:16:03] 分压正常就不刺激化学感受器
[00:16:06] 因此教材应该是
[00:16:07] 在171-2写了一句话
[00:16:09] 说贫血的病人呼吸的兴奋现象
[00:16:12] 并不明显
[00:16:14] 这句话去强调
[00:16:16] 化学感受器感受的是氧气的分压
[00:16:18] 就是溶解的那一点
[00:16:20] 而不是氧气的含量结合
[00:16:22] 不是它感受溶解的
[00:16:25] 这个非常重要
[00:16:26] 所以不能怪我啰嗦
[00:16:27] 不太想明白
[00:16:29] 另外这个解动脉体主动脉体
[00:16:31] 因为所在的位置不同
[00:16:32] 主动脉体长在主动脉宫上
[00:16:34] 所以这样的话更侧重于
[00:16:36] 循环的
[00:16:37] 调节
[00:16:38] 几个外体长在颈内颈外动脉的分质
[00:16:42] 血管集结这个地方
[00:16:43] 所以它更多感受的是外周的
[00:16:45] 跟呼吸有关的血液中氧气的分压
[00:16:47] 这些概念
[00:16:48] 所以说几个动脉体更侧重于呼吸调节
[00:16:52] 而主动脉体更侧重于循环调节
[00:16:55] 你会到循环中再体会一下
[00:16:57] 刺激这两个感受器兴奋以后
[00:16:59] 人体感受生涯
[00:17:00] 循环系统叫生涯反射
[00:17:04] 所以这两个感受器不但能够调节呼吸
[00:17:07] 能调节循环
[00:17:10] 是这样的
[00:17:13] 实际上教材在外周化学感受器
[00:17:15] 我不可再反回来
[00:17:16] 再讲一点
[00:17:17] 这个地方写了很大的一段话
[00:17:19] 你仔细读一下
[00:17:20] 说为什么养蜂鸦
[00:17:22] 按照它蜂鸦气的浓度改变之后
[00:17:24] 外周感受器兴奋
[00:17:25] 教材给了很细致的说法
[00:17:26] 说这个时候
[00:17:27] 颈内脉体主动脉体这些感受器的细胞
[00:17:30] 代谢水平会发生变化
[00:17:33] 造成细胞内部的气内子浓度改变
[00:17:36] 第二个教材特别强调
[00:17:38] 我指出了同学
[00:17:38] 我们翻书看一下
[00:17:40] 颈内脉体主动脉体这两个小结构
[00:17:42] 它的血液流动的量
[00:17:45] 按照每克重量来计算一下
[00:17:49] 一克颈内脉体
[00:17:50] 一克主动脉体
[00:17:51] 它的血液流量
[00:17:52] 居然比脑组织的血液流量
[00:17:54] 还多个数百倍
[00:17:56] 可见这是咱们已经知道的
[00:17:59] 颈内脉体和主动脉体
[00:18:00] 是人体的血液流量
[00:18:02] 最大的组织和结构
[00:18:04] 血液量大
[00:18:05] 而且出口口之间
[00:18:07] 没有动脉眼的分压差
[00:18:08] 它只是感受
[00:18:09] 一下
[00:18:09] 它并不消耗氧
[00:18:11] 它是个监测设备
[00:18:13] 所以这个地方你要去读
[00:18:15] 我谨慎建议我的学生
[00:18:17] 打开教材
[00:18:18] 把外国化解研书期逐字的
[00:18:21] 读一遍
[00:18:22] 这儿蕴藏了很多新的信息
[00:18:24] 可能的情况下
[00:18:26] 尽量读的细一点
[00:18:27] 多称点知识
[00:18:29] 哪怕你不知道为什么要读它
[00:18:30] 你千万得到读一读很重要
[00:18:33] 给将来学习打一个良好的基础
[00:18:36] 不读书是不可以的
[00:18:38] 对了
[00:18:39] 接下来
[00:18:40] 咱们看第二组化学感受器
[00:18:41] 就是所谓的中复化学感受器
[00:18:43] 这主要位于盐水的腹外侧的前表区
[00:18:46] 所谓的盐水化学感受器
[00:18:49] 它的有效刺激是一刺激是什么
[00:18:51] 是脑体液及局部组织液中的氢离子
[00:18:56] 所以刚才我还不让你口头描述
[00:18:58] 你打开书看一下
[00:19:00] 在血液中动脉眼分压
[00:19:03] 二氧化碳分压发生改变的时候
[00:19:04] 会改变解动外体主动外体的
[00:19:06] 特别是解动外体
[00:19:08] 细胞内部的代谢水平
[00:19:09] 细胞内的氢离子浓度发生变化
[00:19:13] 这个地方读盐水你发现感受的是什么
[00:19:15] 是脑体液或局部组织液的氢
[00:19:18] 我们能不能这样说一句话
[00:19:20] 中复化学感受器感受的是感受
[00:19:23] 起细胞膜外的氢
[00:19:25] 外周的化学感受器
[00:19:27] 解读问题不问题
[00:19:28] 感受的是感受起细胞膜内的氢
[00:19:33] 这句话是成立的
[00:19:35] 第二个体会一下
[00:19:36] 脑体液的氢哪来的
[00:19:38] 从这儿看
[00:19:39] 结果咱们仔细
[00:19:40] 看发泄是来自于血液中二氧化碳
[00:19:43] 又回到细胞内让你体会
[00:19:44] 二氧化碳作为气体分子
[00:19:47] 它怎么进脑机液的
[00:19:48] 单纯扩散
[00:19:49] 这藏着个东西
[00:19:51] 血脑屏障
[00:19:53] 所以考试要考我们
[00:19:55] 一个人发生代谢性酸中毒
[00:19:57] 血浆中氢离子浓度增加了
[00:20:00] 问血浆氢浓度增加
[00:20:02] p值减小
[00:20:04] 能刺激盐水化学感受器吗
[00:20:06] 答案不能
[00:20:07] 因为氢离子不能穿过
[00:20:09] 血脑屏障
[00:20:10] 感受器感受的是脑机液的氢
[00:20:14] 血液不能氢入进不来
[00:20:16] 怎么办
[00:20:16] 那就需要脑机液自己产生点氢
[00:20:19] 所以教材这写的很明白
[00:20:21] 教材说
[00:20:22] 脑机液中含有为数不多的碳酸钙酶
[00:20:26] 这样二氧化碳加了单纯扩散
[00:20:28] 进入脑机液以后
[00:20:30] 在碳酸钙酶作用下
[00:20:31] 再进一步生成氢
[00:20:34] 进而刺激中枢二氧化碳收气
[00:20:36] 所以你看
[00:20:37] 外科化学感受器感受的二氧化碳
[00:20:38] 风氧氧氧是直接就感受到了
[00:20:41] 中枢感受器
[00:20:42] 需二氧化碳扩散进来以后
[00:20:44] 碳酸钙酶再生成氢
[00:20:45] 它的两步反应
[00:20:47] 比较一下看
[00:20:48] 中枢的化学感受器
[00:20:50] 比外周的化学感受器
[00:20:52] 潜伏期就长
[00:20:53] 起效慢
[00:20:58] 但是接着往下读
[00:21:00] 壮强
[00:21:02] 中枢感受器的作用
[00:21:03] 能达到刺激呼吸腺风的总的效应
[00:21:06] 70% 80%以上
[00:21:08] 你别看它起效慢
[00:21:10] 它壮强
[00:21:11] 但还有第三个
[00:21:13] 可见这没有写教材给你写
[00:21:15] 如果长时间二氧化碳风氧增高
[00:21:18] 一直通过脑结的性刺激中枢感受器
[00:21:20] 时间久了
[00:21:21] 这感受器容易发生适应
[00:21:24] 温水煮蛤蟆
[00:21:26] 每天在我耳朵边说
[00:21:27] 宣泄宣泄
[00:21:27] 时间久了
[00:21:28] 我充耳不闻
[00:21:30] 叫适应现象
[00:21:31] 所以这一定拿笔记下来
[00:21:33] 中枢和外周
[00:21:35] 两组感受器比较一下
[00:21:37] 中枢的化学感受器有三大特点
[00:21:39] 一定记下来一辈子用
[00:21:41] 记下来一辈子用
[00:21:43] 哪三个特点
[00:21:44] 作用强
[00:21:46] 起效慢
[00:21:48] 易适应
[00:21:50] 所以临床碰到一个长期的二氧化碳储留
[00:21:53] 二氧化碳风压增高的患者
[00:21:55] 他这个时候的呼吸兴奋
[00:21:57] 中枢感受器已经适应了
[00:21:58] 不再起作用
[00:21:59] 不放电了
[00:22:00] 实际上是通过低氧这个现象
[00:22:03] 刺激外周的解脱脉体
