# 源音频：P22-生理学本科教学及考研基础课 p22 血管生理2.m4a
# 时长：3142s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:09] 好,同学们,承诺给大家很详细的讲一下本课的生理学教学的这么一个内容吧。
[00:03:30] 你想血管会好吗?
[00:03:31] 所以咱们想讲什么呀?
[00:03:32] 在这里学到,
[00:03:33] 体循环重营呀,
[00:03:35] 血管内部血容量越大,
[00:03:37] 把血管憋得越粗,
[00:03:38] 血压就越高。
[00:03:40] 所以这一节课咱们讲动脉血压影响因素,
[00:03:42] 能不能在学他之前听一句话?
[00:03:45] 一个人体内不管什么原因,
[00:03:47] 血容量太大的时候,血压就高。
[00:03:49] 高血压,在内科学上讲,
[00:03:51] 高血压是容量,
[00:03:53] 容量依赖的。
[00:03:55] 所以治疗高血压很简单,
[00:03:58] 利尿。
[00:03:59] 把血容量减少,
[00:04:00] 设想,血容量少到猛克林戒指的时候,
[00:04:03] 将来病理生理学内科,
[00:04:05] 大学就会发现,
[00:04:06] 这就叫失血性休克。
[00:04:08] 所以血容量大小,
[00:04:09] 和血管容积的比例,这个体循环重营呀,
[00:04:12] 是血压形成的前提
[00:04:14] 和基础条件。
[00:04:16] 要有心脏的收缩,
[00:04:18] 提供能量,
[00:04:19] 要有外周阻力存在,
[00:04:21] 丰沛收缩期留多少,收缩期留多少,
[00:04:23] 把血管憋粗。
[00:04:25] 但是前提是血管内部水还得有血,
[00:04:27] 没有血你谁去憋。
[00:04:29] 所以这样一些因素。
[00:04:30] 再加上外边的弹性,
[00:04:32] 这个外周阻力挡着,血不让走,把血管撑开。
[00:04:35] 如果血管是跟不朽管广,
[00:04:37] 撑不开。
[00:04:38] 所以你血管必须有弹性,
[00:04:40] 就体怀重营呀。
[00:04:41] 这样上一节和咱们非常啰嗦,
[00:04:43] 但是是比较详细的形象的
[00:04:45] 阐述一下动脉血压怎么形成的。
[00:04:48] 那么这一节和咱们接着往下讲动脉血压,
[00:04:50] 有过它影响因素,
[00:04:52] 就像刚才很谨慎举例子一样,
[00:04:54] 肾炎的水肿呀,生病的水肿呀,
[00:04:57] 高血压病人容纳依赖,
[00:04:58] 这些词你在大二时候无不接触的深层次。
[00:05:01] 所以好多医学生在大二时候没睡醒,
[00:05:03] 还在做宫果梦。
[00:05:05] 我说生理学是吧,生理生化必有一挂,期末考试几个就完了。
[00:05:09] 可是你这个学期学的生理和生化
[00:05:12] 下学期在药理学和病理学就要用了。
[00:05:15] 医学特别讨厌,医学它这个接力塞,
[00:05:18] 大一大二,大四大四,大五,一一二一三,拨一拨二拨三拨四拨五拨六拨七,拨八拨九,
[00:05:23] 到没有博士以上,
[00:05:25] 九年博士不毕业滚蛋,
[00:05:26] 就开除了。
[00:05:27] 博士最少可以读九年。
[00:05:29] 这样你每一年读的书
[00:05:31] 都是在前一年读书的基础之上。
[00:05:33] 上学期学完之后全部背下来,
[00:05:36] 这个学期开始。
[00:05:37] 如果你上期学完你还给老师了,这个学期从零开始,
[00:05:40] 你就学不下去。
[00:05:41] 所以什么给同学们讲说,老师我学到大三书怎么这么困难?
[00:05:45] 因为你以为大一大二毕业了,没有那个知识。
[00:05:48] 大一大二背的每一句话
[00:05:51] 是大三的时候打开病理学、药理学、病生学,
[00:05:54] 它的那把钥匙,
[00:05:56] 你把钥匙给扔了,你又上一层楼怎么能开锁载啊?
[00:05:59] 所以为什么说医学这条贼船上来之后很困难?
[00:06:03] 学习是一个
[00:06:04] 一辈子的事。
[00:06:05] 别的专业咱们不好好,其实所有人一辈子都得学习。
[00:06:08] 但是至少对医学上来说,
[00:06:10] 学习
[00:06:11] 是一辈子的事。
[00:06:12] 今天在这个地方,我今天晚上录的课,这是双十一,
[00:06:16] 我没有上网淘宝,
[00:06:17] 我这是录课了,闲一闲,给同学们录点课,逗小朋友玩吧。
[00:06:21] 这些课程内容记得,在你退休的时候,你不是忘了,
[00:06:25] 而是掌握的更精准了。
[00:06:27] 你有更多的患者,男的女的,老的少的,什么抢救活的,没有抢救活的,家属哭闹的,
[00:06:33] 家属
[00:06:34] 送锦旗,说要收灰唇滑拓,再试这些东西,
[00:06:38] 哎呀,当代滑拓,
[00:06:39] 类似于这样,
[00:06:40] 这都是这辈子拿来用的。
[00:06:42] 这个内容太重要了。
[00:06:44] 有时候想一想说,这个地方要不是说句骂人的话,不足以感慨,
[00:06:48] 不足以表达我们的情绪。
[00:06:50] 动脉血压的影响因素,
[00:06:51] 太多了。
[00:06:53] 这样说就对了。
[00:06:54] 那么动脉血压有几个影响因素,
[00:06:56] 这我提前讲,
[00:06:57] 刚才数了一下,
[00:06:58] 动脉血压形成有四个因素。
[00:07:00] 你看,心脏,
[00:07:02] 心石基的收缩,
[00:07:04] 脉搓阻力,
[00:07:05] 动脉管制的弹性
[00:07:07] 和体循环的重力压
[00:07:08] 是四个。
[00:07:09] 而动脉血压的调节,影响因素有五个。
[00:07:12] 第二条叫心律,
[00:07:15] 心律,
[00:07:16] MHR大写的,
[00:07:18] 多了一条。
[00:07:19] 所以这谨慎听一句话,哪怕听不懂的听一下。
[00:07:22] 这里面你发现,
[00:07:24] 动脉血压形成的四个因素,
[00:07:25] 是脖包和心律的。
[00:07:27] 所以动脉血压形成的四个因素。
[00:07:29] 动脉血压影响因素,
[00:07:31] 影响是五个,多了个心律。
[00:07:33] 心律不参与血压,
[00:07:35] 形成。
[00:07:36] 但心律显然会调节
[00:07:38] 血压的高低。
[00:07:40] 我们应该是在这个学期去学一句话,将来到外科学去用。
[00:07:44] 设想一下,
[00:07:44] 临床上一个外科病人休克是很常见的。
[00:07:47] 那么病人休不休克,外科学几乎
[00:07:50] 祖宗级的第一句话就说,
[00:07:54] 休克,
[00:07:56] 这个病人怎么了?
[00:07:58] 血压
[00:07:59] 并不是衡量休克与否的
[00:08:02] 良好之争。
[00:08:04] 要看病人休克不休克,
[00:08:05] 比血压更敏感的,
[00:08:06] 不是血压,
[00:08:08] 是脉搏。
[00:08:09] 所以你仅剩读内外科就发现,一个人没有别的特别原因,心率超过130次。
[00:08:14] 我就考虑别人血压有问题。
[00:08:17] 所以血压在发生变化之前,
[00:08:19] 首先变成心率,
[00:08:21] 之后变成脉搏压。
[00:08:23] 所以咱们上节课专门看动脉血压1,健康青年人为例。然后我去听见学长老师,我血压180,
[00:08:29] 我血压170,
[00:08:31] 那个学长讲
[00:08:32] 170
[00:08:33] 输出压110,输占压70。
[00:08:35] 170
[00:08:36] 叫离压,
[00:08:37] 170,
[00:08:38] 120,叫正常血压。
[00:08:40] 所以老师我俩就是130,
[00:08:41] 恭喜你,
[00:08:43] 在正常范围内部,
[00:08:44] 稍微偏高一点。
[00:08:45] 139正常,
[00:08:46] 到140,
[00:08:47] 就叫高血压了。
[00:08:49] 他很苛刻。
[00:08:50] 输占压到89,正常是比较高。
[00:08:52] 达到90就叫高血压。
[00:08:54] 90,100,
[00:08:55] 110,
[00:08:57] 140,160,180。
[00:08:59] 轻重重,
[00:09:00] 三级高血压。
[00:09:01] 所以咱们在学到血压这地方,你码码码看有多重要。在临床医学上,每天都是血压血压血压血压。
[00:09:06] 但是
[00:09:07] 我这听了一句话,在血压变化之前,人先变的不是血压,
[00:09:11] 是心率。
[00:09:12] 咱们几乎是开玩笑说血压不够,
[00:09:15] 心率太凑。
[00:09:16] 一个人不会莫名其妙的心率太快。
[00:09:21] 在临床医学,
[00:09:22] 但是一个人说老师我做噩梦了,心率快。
[00:09:24] 跟他别乱,咱们到神经系统再说。
[00:09:26] 那是另一回事,
[00:09:27] 这时候不能吵架。
[00:09:28] 所以你慢慢慢慢体会老师的
[00:09:31] 用心良苦的每个词,我总是这样说同学们。
[00:09:34] 只说主语,
[00:09:35] 不说定语,
[00:09:36] 就他妈耍流氓。
[00:09:38] 你说的心率快是哪个心率快?
[00:09:40] 是下的?
[00:09:41] 是失血性休克?
[00:09:44] 是
[00:09:47] 其他比如说神经关等症?
[00:09:50] 是加肛?
[00:09:51] 他原因很多。
[00:09:52] 对了,
[00:09:53] 心率很有意思,
[00:09:54] 一会儿往下学。
[00:09:55] 这样的话等于是动脉血压因素是五个因素以下,
[00:09:59] 博出量
[00:10:00] 就心肌的收缩力。
[00:10:01] 博出量,
[00:10:02] 第二个,多了一个心率。
[00:10:04] 第三个,外周阻力。
[00:10:05] 第四个,动脉管理弹性。
[00:10:07] 也叫做
[00:10:09] 弹性除气。
[00:10:11] 第五个,
[00:10:12] 体胸而出力。
[00:10:13] 所以再重复一次,
[00:10:15] 心率
[00:10:16] 并不参与动脉血压的形成,
[00:10:18] 但心率
[00:10:19] 会调节
[00:10:21] 动脉血压的高低。
[00:10:22] 那么一给我下看五条,先看第一条,
[00:10:25] 博出量。
[00:10:26] 所以动脉血压这儿大二的时候要苛刻一点,要严格一点。
[00:10:30] 严格这个词不足以表达,
[00:10:31] 就叫苛刻。
[00:10:32] 动脉血压咱们上节课讲过了,
[00:10:34] 它是三个指标构成的,
[00:10:36] 收缩压,
[00:10:36] 舒展压
[00:10:37] 和脉压。
[00:10:39] 收缩压,舒展压,脉压。
[00:10:42] 所以刚才说外科学上,
[00:10:44] 一个患者休克没休克,
[00:10:45] 第一个看的不是血压,血压反应的比较晚一点。
[00:10:48] 首先是心率变化。
[00:10:49] 如果心率变化基础之上,病人实际上含有一个就是脉压改变。
[00:10:53] 脉搏压不够,
[00:10:54] 不够20毫米给估计。
[00:10:56] 里边90、80毫米,这是有问题的。
[00:10:58] 110、100,咱们是117、120、180。
[00:11:01] 脉压
[00:11:02] 也很敏感。
[00:11:04] 所以说谈到动脉血压影响因素的时候,我们这个切入点在哪里?
[00:11:07] 体会一下。
[00:11:08] 不是背一下动脉血压高低,不是。
[00:11:11] 你要背的内容从第一条开始就看。
[00:11:14] 是,
[00:11:14] 血压发生变化的时候,
[00:11:16] 变的是收缩压,
[00:11:17] 是舒张压,
[00:11:19] 还是两人都变?
[00:11:20] 那么他俩人变完之后,
[00:11:21] 脉压怎么变?你看第一条博初量,直接被结论。
[00:11:24] 博初量增加的时候,一个人都动脉血压。
[00:11:27] 这是生理学,正常人。
[00:11:28] 正常人在心脏博初量增加,心脏
[00:11:31] 蹦的血比平时多。
[00:11:32] 那么他的血压怎么变化?
[00:11:34] 主要变的是收缩压。
[00:11:36] 舒张压也变。你看这画了个小箭头,细一点。
[00:11:39] 细一点意思是和上面收缩压比起来,
[00:11:41] 舒张压变化少。
[00:11:42] 也可以不变,但一半不可能不变。
[00:11:45] 活的或少会变一点。
[00:11:47] 那么我们就关心什么?关心脉压。
[00:11:49] 在博初量增加的时候,
[00:11:51] 以收缩压身高为主,
[00:11:53] 脉压增大。
[00:11:55] 好的同学没有老师好好带,同学们也不操心。
[00:11:58] 说是博初量怎么样?血压高老师。
[00:12:00] 所以我讲课也开玩笑。
[00:12:01] 你说的高是什么哪个高?
[00:12:03] 不是血压高,是收缩压高。
[00:12:06] 脉压大。对了,不到这一步,对了个半辣子工程。
[00:12:09] 你还不如不背。
[00:12:10] 你猜对猜错了。
[00:12:12] 要背,就背准。
[00:12:13] 宁可苛刻一点,
[00:12:15] 不敢大概其音。
[00:12:17] 所以为什么好多同学到大三大四以后,慢慢学到临床学科,
[00:12:20] 整个一塌糊涂,就我开玩笑说,
[00:12:23] 学的是一坨屎。
[00:12:24] 为什么呀?
[00:12:24] 他每个词都感觉理科生差不多得了。
[00:12:28] 错了,医学在某些时候
[00:12:30] 是相当苛刻的。
[00:12:32] 刚才我就说了,如果我的臂啊,舒张压是89毫米股,
[00:12:35] 这么少血压。
[00:12:36] 如果是90毫米股,就叫高血压,差一个。
[00:12:39] 兴致就变了。
[00:12:40] 一个病人是不是糖尿病啊?
[00:12:42] 给他标准的吃剂。
[00:12:43] 75克糖,
[00:12:44] 吃完之后,一小时两小时三十四小时
[00:12:46] 测血糖。
[00:12:47] 餐后两个小时,
[00:12:49] 他的糖如果达到
[00:12:50] 11.1毫米每升,
[00:12:52] 定糖尿病。
[00:12:54] 当然我一次给你定,可能今天你是累了,或者打麻将,是吧,晚上打游戏,
[00:12:58] 你身体疲劳,那不算数。
[00:13:00] 我换个医院,
[00:13:01] 两次
[00:13:02] 你的OGTT,
[00:13:03] 两小时餐后糖,
[00:13:04] 都超过11.1,
[00:13:05] 那你就是糖尿病。
[00:13:07] 至于原因咱们再说,所以好多人,
[00:13:10] 我们在临床实践发现好多人
[00:13:11] 二十多岁一查糖尿病,
[00:13:13] 觉得不可相信,
[00:13:14] 二十多岁糖尿病,你瞎说吧你。
[00:13:17] 一直发生
[00:13:18] 酸中毒,死了人的,
[00:13:20] 不少见,
[00:13:20] 让他给药,他死活不想用。
[00:13:23] 所以咱们学生理学还简单,学到内科学你发现,
[00:13:26] 女生糖尿病确实是性糖尿病,
[00:13:28] 也很重,也打了一支一道数,一年没事。
[00:13:32] 我是不是治了一下就好了。
[00:13:34] 这个在医学上给了个名字,
[00:13:36] 叫Hannemans
[00:13:38] 叫蜜月期。
[00:13:40] 早期发现糖尿病的时候,可能给了一针药,
[00:13:43] 就能好多人。
[00:13:44] 好一两年,
[00:13:44] 一年多,八九个月,十来个月。
[00:13:47] 但是在发作的时候,
[00:13:48] 你就离不开一道数。
[00:13:50] 蜜月期,
[00:13:52] 有可能是人体接触这么一个外源以后呀,
[00:13:55] 他进行了一个剧烈的调整,
[00:13:58] 他一段时间内不稳定了。
[00:14:00] 所以说要不想一想,
[00:14:01] 我们对临床一些疾病的慢性管理是很重要的。
[00:14:05] 说老师你讲话怎么这么啰嗦呀,
[00:14:06] 我得啰嗦点,
[00:14:07] 我得让你听懂它,
[00:14:08] 不是血压高或者低。
[00:14:10] 我们是专业人士,
[00:14:12] 我们得关心
[00:14:13] 是说缩压高了,
[00:14:14] 还是舒张压高了,
[00:14:16] 他人查指怎么样。
[00:14:17] 所以第一条博出压大的时候,
[00:14:19] 背的主要是谁呀,
[00:14:19] 收缩压,
[00:14:21] 蚂蚁压这么大。
[00:14:22] 舒张压怎么就背好不大。
[00:14:24] 所以回到咱们这一节,
[00:14:26] 血管生理学,
[00:14:27] 一开始了,
[00:14:28] 你再背一下博苏液定律,
[00:14:30] 管道内部的液体流动,
[00:14:32] 力量在哪里,
[00:14:34] 管道两端的压力查指。
[00:14:36] 动脉血压的时候,
[00:14:38] 脉组组里没有什么变化,
[00:14:39] 血管弹性也没什么变化,
[00:14:41] 血容量也没有什么变化,
[00:14:43] 心脏博出量增加了,
[00:14:44] 一想一想,
[00:14:46] 是把血从心脏里面全部泵出来,
[00:14:49] 心室出来,
[00:14:50] 都到主动脉里面,
[00:14:51] 就像咱们说同学们,咱们明天早上搞一个
[00:14:53] 成练,咱们要锻炼,咱们一个系同学300人,
[00:14:57] 集中起来到操场,
[00:14:58] 喊报到,点名,点完之后咱们开始跑步。
[00:15:01] 他不是,是我进了操场自己就开始跑了。
[00:15:04] 什么意思呀?
[00:15:05] 心脏一边给主动脉泵血,
[00:15:07] 血一边往外流动,
[00:15:10] 博出来增加,博出来它是心脏博血,
[00:15:12] 泵血速度很快,你还记得心脏的
[00:15:15] 正常是心率75次心往下,
[00:15:18] 心室的收缩一共需要0.3秒,
[00:15:20] 实际上快速摄血系就是
[00:15:22] 0.05秒,0.1秒,这是0.1秒左右。
[00:15:26] 你等人收缩去0.05,
[00:15:28] 快速摄血0.1,
[00:15:30] 减慢摄血0.15,加起来0.3,差不多这个样子,
[00:15:32] 0.1秒,啪一下就完成了。
[00:15:34] 所以博出来增加的时候,
[00:15:36] 单这时间内
[00:15:38] 进入骨头脉根部的血容量
[00:15:40] 就会增加,
[00:15:41] 血管蹦蹦跌下就被憋搓了,
[00:15:43] 蹦就搓了,
[00:15:45] 这一瞬间你快速往下拉它,
[00:15:47] 它压力是骤然升高的,
[00:15:49] 所以体会一下,
[00:15:50] 博出来大的时候,
[00:15:52] 在某一个时间点上,某一刻,
[00:15:54] 某一个瞬间,
[00:15:56] 主动脉根部与血管变得平手要粗,
[00:15:58] 那么它和外部血管之间的
[00:16:00] 压力差值
[00:16:02] 就会增大。
[00:16:03] 伴随博出来增加,
[00:16:04] 压力差值增大,
[00:16:06] 血流速度
[00:16:08] 就加快了。
[00:16:09] 博出来增加的时候,增加收缩压很明白,
[00:16:12] 它把血管变得更粗,
[00:16:14] 回弹力更大,压力更大,
[00:16:15] 舒张还为什么变好不大呢?
[00:16:17] 由于收缩期的时候,
[00:16:19] 主动脉压力更高,
[00:16:21] 导致主动脉和外周血管之间
[00:16:24] 压力差值增大,
[00:16:25] 收缩期的压力差值大了以后,
[00:16:28] 血流速度快,
[00:16:29] 哗一下流走了。
[00:16:30] 这等它进入舒张期的时候,
[00:16:32] 增加的内部博出量
[00:16:35] 在收缩期大多数就走了,
[00:16:37] 所以在舒张期的时候流下来血,
[00:16:39] 和平时差不太多,
[00:16:41] 因此舒张还变好不大。
[00:16:43] 要注意,
[00:16:44] 舒张还变好不大,
[00:16:44] 要注意,
[00:16:45] 舒张还变好不大的原因是
[00:16:46] 增加的博出量
[00:16:48] 在收缩期
[00:16:49] 伴随压力差值增大,
[00:16:51] 走了,
[00:16:52] 就没问题了。
[00:16:53] 所以刚才为什么咱们讲影响因素之前先讲一条,
[00:16:57] 也就是血压不看血压,看血管,
[00:16:59] 血管粗,血压就高,
[00:17:01] 就是给你看这东西的,
[00:17:03] 直接动物体,
[00:17:04] 管道两段压力差值,
[00:17:06] 这第一条博出量。
[00:17:07] 第二条心律,
[00:17:09] 心律刚才说,
[00:17:10] 它只
[00:17:11] 调解动脉血压,
[00:17:13] 它不参与血压形成,
[00:17:14] 这么调解,
[00:17:15] 所以在心脏的机械活动这回终于懂了,
[00:17:19] 75次心律情况下,
[00:17:20] 以心室为例,
[00:17:22] 收缩0.3秒,
[00:17:23] 舒张0.5秒,
[00:17:24] 加上心房的舒张跟一起,
[00:17:26] 给了个词,
[00:17:27] 全心舒张期,
[00:17:28] 你还记得,
[00:17:29] 0.4秒,
[00:17:30] 你一提起那边,
[00:17:31] 心房拿走了,
[00:17:32] 这一共两人在一起共同舒张是0.4秒,
[00:17:34] 全心舒张。
[00:17:35] 那么心率快的时候,
[00:17:37] 变谁?
[00:17:38] 那一节咱们专门讲一下,
[00:17:39] 心率变化的时候,
[00:17:41] 咱们在课件上给数据了,
[00:17:43] 你还记得,
[00:17:44] 变的是舒张期,
[00:17:45] 而不是收缩期。
[00:17:47] 如果别的因素都不改变,
[00:17:49] 仅仅是心率变了,
[00:17:50] 心头周期加快了,
[00:17:52] 舒张期缩短了,
[00:17:53] 血液含山河越来越速度往外流,
[00:17:55] 哗流。
[00:17:56] 平时比如说能往外流一秒,
[00:17:58] 现在半秒,给你半秒时间,流不走拉倒。
[00:18:01] 那么由于时间缩短,
[00:18:02] 血液来不及流走,
[00:18:05] 心脏第二次都要蹦血了,
[00:18:07] 上一次血还没有流走,
[00:18:09] 那么这个时候,
[00:18:10] 在舒张期末的时候,
[00:18:13] 肚洞内部残血量增加,
[00:18:15] 血液,
[00:18:16] 血没有来得及流走,
[00:18:17] 血管更粗,
[00:18:18] 被憋得更粗,
[00:18:20] 回答你越大。
[00:18:21] 所以下一次蹦血来临之前,
[00:18:24] 血液的
[00:18:25] 容量在主动脉里面比平时多,
[00:18:29] 这个时候的压力比平时高。
[00:18:31] 那么在第二次蹦血之前残留那个血液,憋着血管,
[00:18:35] 那个压力叫什么?
[00:18:36] 叫舒张压呗。
[00:18:38] 对吧?
[00:18:39] 收缩期的时候,血
[00:18:40] 快速进入主动脉根部,让血管憋得最粗的那一刻,
[00:18:44] 叫收缩压。
[00:18:45] 所以你最简单的
[00:18:46] 理解动脉血压这样理解,
[00:18:48] 行动周期过程中,
[00:18:49] 动脉血压最高的分支
[00:18:51] 叫收缩压,
[00:18:52] 动脉血压最低的分支
[00:18:54] 叫舒张压。
[00:18:56] 那么动脉血压什么时候最低?
[00:18:58] 大。
[00:18:58] 血管内部当前
[00:19:00] 血容量最少的时候,
[00:19:02] 血容量什么时候最少?
[00:19:03] 只要心脏没有给我第二次蹦血,
[00:19:06] 我的血就忽忽悠悠的往外流呀,流呀,流呀,流。
[00:19:09] 那么到什么时候开始第二次蹦血呀?
[00:19:12] 在下一个行动周期的
[00:19:14] 快速摄血。
[00:19:15] 因此,
[00:19:16] 从苛刻的意义上讲,
[00:19:18] 舒张压什么时候发生的?
[00:19:20] 发生在
[00:19:20] 下一个行动周期的
[00:19:22] 等容
[00:19:23] 收缩期
[00:19:26] 末。
[00:19:30] 所以心率憋的时候,主要是
[00:19:33] 舒张期末
[00:19:34] 残余在中动脉内部的血容量比平时多,
[00:19:37] 舒张压高。
[00:19:39] 收缩压不要紧,为什么?
[00:19:40] 你残余血量多是吧?
[00:19:42] 那么心脏第二次蹦血的时候,
[00:19:43] 在更粗的血管基础之上,
[00:19:45] 通过一收缩,
[00:19:46] 把血管憋得更粗,
[00:19:47] 还是跟上一条一样,
[00:19:49] 压力差之一致。
[00:19:50] 所以,
[00:19:51] 收缩期流速加快,
[00:19:52] 走了,
[00:19:53] 影响舒张压了。
[00:19:56] 所以在脖子上增加的时候,
[00:19:58] 收缩期的流量大,
[00:20:00] 导致舒张期残余血量不多。
[00:20:02] 那么在心率变化的时候,
[00:20:04] 使舒张期残余血量多,
[00:20:06] 导致收缩期流速加快了以后,
[00:20:08] 影响谁去了?
[00:20:09] 舒张压,
[00:20:10] 收缩压,
[00:20:11] 它是一边升高一边流走,
[00:20:13] 它不后把血管憋得很粗的时候,
[00:20:15] 再往外流,
[00:20:16] 是一边憋粗,
[00:20:18] 一边流,血压也升,
[00:20:19] 血流速度也升。
[00:20:20] 所以说有一部分血压升高的成分,
[00:20:24] 被流速加快给带长掉了。
[00:20:27] 收缩压升不升?也升一点,
[00:20:29] 一点不升也不可能。
[00:20:31] 吸的加快的时候,收缩压也会升,
[00:20:33] 但显然收缩压升高的,
[00:20:34] 没有舒张压升高的那么多。
[00:20:37] 你发现问题了没有?
[00:20:38] 麦芽减小。
[00:20:39] 所以在这一段话之前,你还得给咱们讲,
[00:20:43] 外科学上后来给别人休克不休克,第一条看心率,
[00:20:46] 第二条看麦芽,
[00:20:47] 第三条才看血压。
[00:20:49] 看到麦芽了吗?
[00:20:50] 麦芽,
[00:20:50] 她行。
[00:20:51] 所以咱们在答案的时候,只考虑理论上,
[00:20:54] 薄数量多,薄数量少,数算压高,数算压低。
[00:20:56] 一旦你要往里边带几个词,
[00:20:59] 如果这不是答案同学听课,是考验同学听课,
[00:21:02] 你就能找到案例,比如说
[00:21:03] 心包肌液病,心脏受压。
[00:21:05] 那么受压之后心脏回流量不够,
[00:21:07] 咱们心脏刚学完,
[00:21:08] 回流量
[00:21:09] 就是舒张膜气溶解,
[00:21:10] 叫心脏容量负荷。
[00:21:12] 又记得,
[00:21:13] 容量负荷越大,
[00:21:14] 心脏薄数量越多,
[00:21:15] 叫异常的自身调节。
[00:21:17] 到这就可以听个案例了,
[00:21:19] 心包肌液患者由于心脏受压回流量减少,
[00:21:23] 薄数量减少,
[00:21:24] 所以心包肌液的患者
[00:21:28] 收缩压下降为主,薄数量少。
[00:21:32] 薄数量少了以后,
[00:21:33] 每分输出量
[00:21:36] 等于薄数量升心率。
[00:21:37] 心包肌液病人每一次收缩的时候薄数量都少。
[00:21:40] 那么为了满足输出量需要,
[00:21:42] 体会一下,
[00:21:43] 心包肌液自带
[00:21:46] 窦血心动过速,
[00:21:48] 心率加快。
[00:21:48] 为什么?
[00:21:49] 叫薄数量。
[00:21:50] 薄数量不够,
[00:21:51] 心率来凑。
[00:21:53] 所以最后心包肌液病人收缩压下降,
[00:21:56] 舒展压升高,
[00:21:57] 埋压减小。
[00:21:59] 你们没有见过临床案,没有见过考试的题目,
[00:22:02] 国家考试题目,和同学们,
[00:22:03] 一个患者是吧,
[00:22:08] 一个心包肌液患者拍个胸片,
[00:22:11] 显示心包一个烧瓶一样的心包,
[00:22:13] 阴阴,
[00:22:14] 心包肌液,
[00:22:15] 量血压,血压是95到85毫米公众,
[00:22:18] 咱们依赖就是180、170,
