# 源音频：P55-生理学本科教学及考研基础课 p55 神经系统6-感觉传入.m4a
# 时长：2857s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:09] 好同学们,刚才咱们学了一下中数据的突出后意志,包括传入测试意志和回反式意志。
[00:12:18] 突出后的这个神经元
[00:12:20] 发生趋地化化超级化
[00:12:21] 而突出前意志不是
[00:12:23] 突出前意志
[00:12:25] C这并没有什么表现
[00:12:26] 是A发生了
[00:12:28] 发生改变
[00:12:30] 因为A的变化
[00:12:32] 引发了C的变化
[00:12:34] 能不能这样换个话说
[00:12:36] 突出后意志
[00:12:37] 如果C是在突出后意志那个地方的话
[00:12:39] 就是C本身发生IPSP了
[00:12:42] 那么突出前意志
[00:12:44] EPSP和IPSP不是发生在C
[00:12:48] 而是因为B
[00:12:50] 造成A的EPSP和IPSP了
[00:12:54] 当然这个地方我是借了个词啊
[00:12:56] 不一定EPSP
[00:12:57] 这样这个地方发生的具体说具体啊
[00:12:59] 就叫做是一个趋地化
[00:13:01] 这还是GABA-A
[00:13:02] 就在GABA-A上
[00:13:03] GABA-B不是
[00:13:04] 所以到这个地方再往下区分
[00:13:06] 这才发现为什么要区分GABA-ABC
[00:13:08] 它就那样长的
[00:13:09] 以A和B为例
[00:13:10] C和A是一样的
[00:13:12] A改变的是GABA-A受体
[00:13:16] 说全面别太生气
[00:13:18] GABA-A受体改变的是A神经元细胞膜的
[00:13:22] 趋地化过程
[00:13:24] 实际上是发生EPSP
[00:13:25] 它提前发生趋地化了
[00:13:28] 那么GABA-B受体是让A这个神经元细胞膜的趋地化过程
[00:13:30] 复极化的事项发生改变了
[00:13:34] 所以GABA-A改变的是趋地化
[00:13:37] GABA-B改变的是复极化
[00:13:39] 不管趋地化复极化
[00:13:41] 就这视频中一看很清楚
[00:13:42] 要么是复极化太快了
[00:13:45] 复极化太快了
[00:13:47] 要么是趋地化因为提前已经发生一个微微的趋地化
[00:13:50] 那么在它正式趋地化的时候
[00:13:52] 它就在更高的水平上趋地化了
[00:13:54] 就得争相了
[00:13:55] 就这样打比方
[00:13:57] 一个人是从一路走到十路
[00:13:59] 一个人是坐电梯坐到八路以后
[00:14:00] 只从八路走到十路
[00:14:01] 那么一个人走到十路
[00:14:04] 走得很累
[00:14:06] 消耗时间就很多
[00:14:07] 人家先坐电梯到八路
[00:14:09] 八路再往十路走
[00:14:11] 稍微转两圈就到了
[00:14:12] 所以GABA-A是引发
[00:14:15] GABA-A受体引发的是A神经元
[00:14:18] 它的趋地化事项缩短
[00:14:21] GABA-B因为是上路是走上来
[00:14:24] GABA-B的话是下路坐电梯了
[00:14:26] 你是走着下路坐电梯光到底了
[00:14:28] 快一点
[00:14:30] 但是你不管是趋地化时节短
[00:14:33] 还是复极化
[00:14:33] 还是复极化时节短
[00:14:34] 总体上经过B释放伽纳基丁酸
[00:14:38] 对A产生的影响以后
[00:14:40] 那么这个A的神经元
[00:14:43] 将来在正式动作点位的时候
[00:14:45] 动作点位时程就短了
[00:14:48] 这就回到咱们细胞内场去了
[00:14:49] 时程短了以后
[00:14:52] 你知道
[00:14:52] 突出前方为什么要趋地化
[00:14:54] 目的是为了到了
[00:14:56] 摩天位负40毫伏的时候
[00:14:58] 能打开电压门口的L型改通道
[00:15:01] 那么这改变自的内置的量
[00:15:03] 是决定将来前方的
[00:15:04] 前方地质释放
[00:15:05] 拿跑数的一个欧联因子
[00:15:08] 所以你改变内流是需要时间的
[00:15:11] 因为B对A做了一些工作
[00:15:13] 导致A的动作得时程缩短
[00:15:15] 时通化的很清楚
[00:15:17] 以至于将来改的内流量
[00:15:20] 就从这个示意图上
[00:15:21] 从实现的一个正常释放量
[00:15:23] 到了虚线
[00:15:24] 这个释放量明显就减少了
[00:15:27] 那么改内流越少
[00:15:29] 地质释放的量就越少
[00:15:30] 将来在突出后
[00:15:32] 这个突出后指的就是
[00:15:33] 就是NUSA了
[00:15:34] 这个地方我是电脑不能复活的话
[00:15:38] 我给你画个图
[00:15:39] C
[00:15:40] 这个EPSP是发生在C上
[00:15:42] 你发现正常的C上的EPSP幅度是这么大
[00:15:45] B对A
[00:15:48] 羊毛处在狗身上以后
[00:15:50] 猪死了
[00:15:51] 猪的这个EPSP的幅度减小
[00:15:56] 这样应该基本上听不懂
[00:15:59] 听不懂你反而再听两遍
[00:16:00] 那么这我要做一个区别了
[00:16:03] 突出后抑制是直接改变的
[00:16:05] 突出后抑制
[00:16:06] 是直接改变突出后模
[00:16:08] 产生APSP
[00:16:08] 突出后模性风性变化
[00:16:10] 突出前抑制是A和C这突出传递过程中
[00:16:15] C并没有受到B这个抑制升级液的直接作用
[00:16:18] B是作用到A
[00:16:19] 借到了杀人
[00:16:21] B的目的是要抑制C的
[00:16:23] 但是没有和C上的作用
[00:16:24] C不高兴
[00:16:25] 它作用到A
[00:16:26] 怂恿A发生点改变
[00:16:28] 让C的活动幅度起不来
[00:16:30] 所以体会一下
[00:16:31] 突出后抑制是直接改变突出后模性风性
[00:16:34] 达到抑制效应
[00:16:35] 但是它超级化了
[00:16:36] 性质性降低
[00:16:37] 那么突出前抑制并没有改变C升级液的性风性
[00:16:42] 只是让C升级液性风的幅度变小一点
[00:16:47] 一个是性质的性质变化
[00:16:49] 一个是幅度变化
[00:16:51] 我敢不敢借个词儿过来用一下
[00:16:53] 突出后抑制是定性的
[00:16:55] 改变性质突出前抑制是定量的
[00:16:58] 谁要听得懂
[00:17:00] 威尔拉帕米同学最听话了
[00:17:02] 小微同学
[00:17:03] 威尔拉帕米
[00:17:04] 你要听见以后你胡思在弹幕上把这句话写下来
[00:17:07] 打到弹幕上
[00:17:08] 突出后抑制是定性的
[00:17:10] 是改变性质
[00:17:11] 突出前抑制是改变曲化的幅度
[00:17:15] 是定量的
[00:17:16] 一个定性一个定量
[00:17:18] 或者一个变性一个变量
[00:17:21] 这样应该就准确了
[00:17:24] 在中处抑制这有点小尾巴呀
[00:17:26] 我把它分开
[00:17:27] 你把突出后抑制在上一节课学完之后
[00:17:29] 突出前抑制这一节课再学
[00:17:31] 分开之后有一个分离的间断的一个时间
[00:17:36] 这样更利于咱们掌握
[00:17:38] 这样我觉得
[00:17:39] 我个人觉得
[00:17:40] 算是讲明白了
[00:17:41] 羊毛出在猪身上狗死了
[00:17:45] 这些经济学家
[00:17:47] 就是拿这种事情来忽悠老百姓
[00:17:49] 开口闭口给我讲科学
[00:17:52] 你说的科学
[00:17:53] 就想起来他们做实验
[00:17:55] 刚才给B站上微博上
[00:17:57] 我转了一个董家宁的同学
[00:17:59] 甘地董家宁的一个视频
[00:18:01] 有人做科研
[00:18:02] 给两座小老鼠一组打酒精
[00:18:04] 一组打茅台
[00:18:06] 证明打茅台的死于肝癌的少
[00:18:09] 我是想问哪个酸子每天不喝酒喝酒精的
[00:18:12] 就喝劣质白酒也是甲醛多
[00:18:14] 也不是酒精多
[00:18:15] 直接买瓶一用酒精
[00:18:16] 兑点水就喝了
[00:18:18] 这个事业的参照系找的真好
[00:18:22] 你找不找在医院里边
[00:18:24] 临终关怀科里边
[00:18:25] 中毒内科
[00:18:26] 肝癌晚期病人
[00:18:27] 喝茅台不太是好
[00:18:29] 为什么咱们科学上设两个对照
[00:18:32] 一个是处理对照
[00:18:34] 处理一组
[00:18:35] 都给他喝点什么
[00:18:36] A组小老鼠性别不拘
[00:18:38] 体重是180到220克
[00:18:39] 这个威斯塔大鼠
[00:18:41] A组给他喝茅台
[00:18:43] 时间成一样
[00:18:45] 讲详细
[00:18:46] B组给他喝一用酒精
[00:18:48] 这是对照组
[00:18:53] 还有空白对照组
[00:18:55] 什么也不给他喝
[00:18:56] 或者给他喝等量的
[00:18:59] 纯金属
[00:19:00] 浓浮山泉有点甜
[00:19:01] 来看看喝水和喝酒有区别没有
[00:19:04] 再看看喝酒
[00:19:05] 喝茅台酒名牌酒
[00:19:07] 喝无水酒精
[00:19:09] 他的肝癌发生和以后有区别没有
[00:19:12] 没有区别
[00:19:13] 你什么做两个参照系
[00:19:15] 我害怕我们的设计者本身
[00:19:18] 内心不clear很dirty
[00:19:24] 正式的科研论文中
[00:19:25] 一定是设两个参照系
[00:19:28] 空白对照和对照组
[00:19:32] 你懂的我就不解释了
[00:19:34] 你开口闭口拿着科学的大包
[00:19:37] 给人讲你说话不科学怎么
[00:19:39] 你的科学有那么多科学
[00:19:42] what the fuck
[00:19:45] 在这个阳光下有多少罪恶
[00:19:47] 加以科学的理论
[00:19:48] 而老百姓不懂
[00:19:49] 老百姓宁可行这种事情
[00:19:51] 跟一个学医几十年的人讲医学理论
[00:19:54] 那范卓海一坐
[00:19:55] 老刘我跟你讲讲医学
[00:19:56] 讲个屁呀
[00:19:58] 说你怎么那么不要脸
[00:20:00] 你那么骄傲的
[00:20:01] 你就不能谦虚点听人说呀
[00:20:03] 我听你个鬼呀
[00:20:04] 我听
[00:20:05] 你又说你跟我讲讲你做生意的事
[00:20:06] 说你这老刘真对对对
[00:20:08] 生意不感兴趣
[00:20:09] 跟你讲讲做生意怎么讲
[00:20:10] 这或许是我的一个弱项
[00:20:12] 你讲我很听听
[00:20:13] 你跟我讲医学你是逗逼的吗
[00:20:15] 我还在跟你谦虚
[00:20:17] 我就有点不要脸了
[00:20:20] 跟你不谦虚是照顾你情绪
[00:20:22] 怕太伤着你
[00:20:23] 一个人可能露出情绪来
[00:20:27] 一猫身也是没谁了
[00:20:30] 老百姓们多惨呀
[00:20:33] 幸亏现在有观视频
[00:20:34] 这样一批有良知的知识分子
[00:20:36] 特别我欣赏于大刀先生
[00:20:39] 大刀先生经常读一本书
[00:20:41] 毛教员说
[00:20:43] 实践路
[00:20:44] 矛盾路
[00:20:46] 我们的生活经验不是天下掉下来的
[00:20:49] 是来自于社会事实
[00:20:51] 实践
[00:20:52] 生产实践
[00:20:53] 社会斗争
[00:20:55] 这个实践的过程
[00:20:57] 实践论
[00:20:58] 矛盾有主次
[00:21:01] 极缓
[00:21:02] 人类内部矛盾
[00:21:04] 敌我矛盾之分
[00:21:07] 透出后意志
[00:21:09] 是改变性质的
[00:21:10] 透出前意志
[00:21:11] 是改变伎俩的
[00:21:13] 你再拿这种方式去品一个学问
[00:21:16] 不是说生理学家你要做生理学专家
[00:21:18] 不是
[00:21:19] 通过学生理学这么一个
[00:21:21] 不能让我发财的一个基础医学学科
[00:21:24] 拿这样一个更深层次
[00:21:26] 更睿智
[00:21:27] 更理性化
[00:21:28] 更逻辑
[00:21:29] 更整密性的一个思维模式
[00:21:31] 再去判断一个社会现象
[00:21:33] 一个广告内容
[00:21:35] 一个所谓的科学论文
[00:21:38] 那我就有机会比别人看得更明白
[00:21:43] 仅此而已
[00:21:44] 学会判断
[00:21:45] 仅此而已
[00:21:46] 没有别的意思
[00:21:47] 所以你非要把学习理解为就是能拿几分
[00:21:51] 这个题考不考
[00:21:52] 把学习俩字都糟蹋了
[00:21:55] 我们有一万次机会超越别人的
[00:21:59] 我们把自己
[00:22:01] 举着门外
[00:22:03] 所以我不知道这会儿你能听到那句话不
[00:22:05] 这一辈子
[00:22:06] 能限制你的
[00:22:08] 只有你自己
[00:22:10] 如果中枢意志
[00:22:11] 咱们讲了两个方式
[00:22:12] 中枢意化就不特别啰嗦了
[00:22:14] 经过一突出传递以后
[00:22:15] 让后模发生一撇子品
[00:22:17] 就中枢意化了
[00:22:18] 这个样子
[00:22:19] 包括突出前意化也是一样
[00:22:21] 在一突出前意志同样的结构基础之上
[00:22:23] 到达高通A3
[00:22:24] 到达高通A3
[00:22:25] A升级者周图的时候
[00:22:26] A比重队员的时程延长
[00:22:28] 你的时程长
[00:22:29] 概念流量就会多
[00:22:32] 那么释放的地址囊泡就多
[00:22:34] 你还记得西方那一章的
[00:22:36] V纵板定位和纵板定位
[00:22:38] 一个囊泡地址可以诱发
[00:22:40] 中板发生0.4个号幅的曲级化的一个幅度
[00:22:43] 你要两个囊泡0.8
[00:22:44] 10个囊泡就4
[00:22:45] 100个囊泡就40
[00:22:46] 它是这样
[00:22:47] 这样把它和概连系起来
[00:22:49] 借到一个神经肌肉接头
[00:22:52] 和一个突出之间
[00:22:53] 传递的
[00:22:54] 偶连因子是前膜的概念
[00:22:57] 中板膜并没有这种选择权
[00:23:01] 只能完全被动的来承受
[00:23:03] 所以我们再强调一次
[00:23:05] 做人要做细胞膜
[00:23:07] 打死不做中板膜
[00:23:09] 一个可信奉细胞的细胞膜
[00:23:12] 和一个中板膜的区别在于
[00:23:13] 一个可信奉细胞
[00:23:15] 能够成动机点位
[00:23:16] 能够燃烧
[00:23:17] 有燃点
[00:23:19] 原因是膜上长着电压门空的磷子通道
[00:23:22] 通常理解为钠通道
[00:23:24] 那么一个中板膜
[00:23:25] 一个中板膜
[00:23:26] 一个突出后膜
[00:23:27] 一个感受器的细胞膜
[00:23:29] 为什么你不用传动点位
[00:23:31] 因为这个膜上没有长电压门空
[00:23:34] 而一般长的是化学门空
[00:23:37] 你比如咱们在这边看到的
[00:23:39] 什么肝氨酸受体粒粒子的孔通道呀
[00:23:41] 什么肝脉基丁酸的
[00:23:42] 这样的一些东西
[00:23:44] 所以借着这个方式
[00:23:45] 咱们打开一个更深层次的专业大门
[00:23:48] 所谓灯膛入室
[00:23:50] 刚才读进来
[00:23:51] 我在B站和微博上转的那一段话
[00:23:54] 是我那手机拍了一下
[00:23:55] 当然不当
[00:23:56] 这个不太好
[00:23:58] 也不至于不可饶恕
[00:24:03] 那段话再往下读
[00:24:05] 作者杰成平安的嘴说了句话
[00:24:09] 说我真正要从一个门外喊
[00:24:11] 一个雷门
[00:24:12] 要进入一个专业领域
[00:24:13] 要灯膛入室的时候
[00:24:15] 门口是要往往扎了一个我
[00:24:17] 因为人家扎的高度比我高
[00:24:19] 高一个门口
[00:24:20] 所以人总是从外行进入内行的门上
[00:24:24] 会遇到障碍
[00:24:28] 而且不过
[00:24:29] 如果问那个障碍刚刚好
[00:24:31] 超过当前你的证别和判断能力
[00:24:34] 我们其实每一次学习提高的时候
[00:24:37] 战士的敌人不是别人
[00:24:39] 是我们自己
[00:24:40] 所以世界上我拍的那个页面
[00:24:42] 再往下读
[00:24:43] 它就是在具体谈一个人在学习过程中
[00:24:46] 在修行过程中
[00:24:47] 如何战胜所谓的心魔的
[00:24:50] 哎呀
[00:24:51] 他说这个嘎巴AX嘎巴B不一样
[00:24:53] 他骗我他读书了没有
[00:24:55] 杨茂初在猪市上怎么狗能死了
[00:24:58] 他骗我的吧
[00:25:00] 我就没带管
[00:25:01] 我就得替他还贷啊
[00:25:03] 哈哈
[00:25:04] 这么说
[00:25:05] 好了
[00:25:07] 无论如何
[00:25:08] 神经系统的第二节有关突出生理
[00:25:12] 咱们就讲这么多
[00:25:13] 实际上你知道神经系统是三块内部
[00:25:16] 一块是感觉传入
[00:25:18] 一块是运动传出
[00:25:19] 一块就是中枢内部的各种信息的归纳
[00:25:23] 接受这个演绎是吧
[00:25:25] 推理判断输出
[00:25:27] 这样一个中枢内的过程
[00:25:29] 所以第二节其实谈的是反射护的中枢内部的中枢反射中枢的问题
[00:25:34] 那么第三节谈感觉传入
[00:25:36] 第四节谈运动传出
