# 源音频：P15-生理学本科教学及考研基础课 p15 血液生理终章-血液凝固和血型.m4a
# 时长：4774s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,上节课实际上咱们是谈了两个小话题,血小板的生理和生理性止血。
[00:08:22] 他可能会引发心脏发生切血,
[00:08:26] 偷切的切。
[00:08:28] 一个心交通病人心肌有一段,比如说切酱汁
[00:08:32] 有点缺血,
[00:08:32] 结果吃个爬生病,把吃上以后是缺血区域更缺血。
[00:08:37] 不缺血区域把血给投走了,所以叫切血。
[00:08:40] 这个内容讲到这儿了,有同学这个学习学完药理了,我多讲一遍给你听一下啊。
[00:08:44] 不行把这句话写在弹幕上。
[00:08:46] 止阔灌脉,
[00:08:48] 灌上动脉。
[00:08:49] 止阔灌脉,
[00:08:51] 不阔交通支,
[00:08:53] 就是抓流氓。
[00:08:56] 硝酸甘油,为什么它却能够有一个比较好的消除
[00:09:01] 心肌这个切血性的这么一个功能呢?
[00:09:03] 它实际上可能的
[00:09:04] 不是灌脉,你打开药理学自己读,
[00:09:06] 是灌装动脉之间的那些交通支,
[00:09:09] 能扩张交通支的,那么扩灌以后
[00:09:11] 就能改善心肌缺血。
[00:09:13] 如果只扩张灌脉的这些组织,
[00:09:15] 不扩张交通支的话,是越扩灌脉死得越快。
[00:09:20] 扩了灌脉之后,你想不缺血的去心肌细胞代谢水平往生。
[00:09:23] 理学生理学在这背,灌脉循环和其他的
[00:09:27] 什么肾脏循环脑循环,肺循环这些器官循环,
[00:09:30] 都是自身调解的。
[00:09:31] 哪个地方代谢水平高,哪个地方代谢微产物多,
[00:09:35] 代谢微产物多,灌脉就扩张。
[00:09:37] 结果你吃个扩灌脉药以后,把血供上去,不缺血区域把他跳得更来劲儿,
[00:09:41] 他越跳,他越代谢微产物,
[00:09:43] 他就越扩张。
[00:09:44] 那么缺血区域工作不了,工作不了,你把血管闭着,闭嘴来,
[00:09:48] cross your big mouth,
[00:09:49] 闭嘴。
[00:09:50] 闭着嘴,他不敢动。
[00:09:51] 那么不缺血区域灌脉才扩张,
[00:09:53] 再给了药以后更扩张。
[00:09:54] 结果越扩张,血管半径越大,半径大阻力越小,血只流到不缺血的区域。
[00:10:01] 你让缺血区域情何以堪?
[00:10:03] 所以再说一遍啊,
[00:10:04] 只扩灌脉,
[00:10:06] 不扩交通支,
[00:10:08] 就tm耍流氓。
[00:10:10] 就必然引发心脏的窃血,
[00:10:13] 偷窃的
[00:10:14] 窃。
[00:10:15] 大二小,
[00:10:18] 小朋友,大二的小朋友可以不关心这句话,但一旦你学过药理学以后,再往上走,你这句话背下来。
[00:10:24] 对了,
[00:10:25] 这道关心病时刻很敏感的话,
[00:10:27] 要不想一想说,这讲课也是,
[00:10:30] 说你讲生理学讲那么多干嘛?
[00:10:32] 如果我们通过学一本生理学,
[00:10:34] 能把更多的医学知识填补起来,
[00:10:36] 那我干嘛巴拉巴拉爆那么多书,你不嫌麻烦啊?
[00:10:39] 搁这不动了啊!
[00:10:40] 整个的
[00:10:42] 血液这一章,一看就这个名字写起来,一个词,叫正反馈。
[00:10:45] 直到咱们读到,
[00:10:47] 直到咱们读到后面呀,
[00:10:50] 三英子
[00:10:51] 和七英子这个小复合物,就外面你学这个启动,这个复合物,
[00:10:55] 它下一步可以直接结合生理学。
[00:10:57] 而这个三和七的复合物激活使的
[00:11:01] 这么一个过程,
[00:11:03] 会和TFPI
[00:11:05] 组织图形来源的抗凝物质
[00:11:07] 发生复反馈。
[00:11:10] TFPI
[00:11:12] 针对
[00:11:13] 外延性凝血
[00:11:14] 而生。
[00:11:15] 外延性凝血谁?
[00:11:16] 三和七。
[00:11:17] 它不作用三和七,
[00:11:18] 它作用三和七的产物,
[00:11:20] 激活的十英子。
[00:11:22] 它只管十英子多不多的给你灭了,
[00:11:24] 你三和七怎么搞的我不管。
[00:11:26] 这叫捉贼,
[00:11:27] 捉脏。
[00:11:28] 是吧,看你拿把小改对,
[00:11:29] 去超市门口吧,知道你要偷东西,不抓你,别个夜端的菜脚等着。
[00:11:33] 你什么时候从超市拿来两包花子出来了,
[00:11:35] 就得把你弄倒,花子还在你口袋里你往哪跑,
[00:11:38] 就解雇一下。对了,
[00:11:39] 这叫捉贼,捉脏。
[00:11:41] 我说个词不合适啊,
[00:11:43] 钓鱼之法,
[00:11:44] 钓鱼之法。
[00:11:45] 我专门讲这十超市的人的家宝,
[00:11:47] 肚子疼,我上个厕所去啊,半个小时就回来了,
[00:11:50] 我给你把小手让你投,开玩笑。
[00:11:52] 这样听下来,
[00:11:54] 三和七
[00:11:55] 这个途径激活的十英子
[00:11:57] 在体内
[00:11:59] 被FPI
[00:12:01] 给复返亏抑制的。
[00:12:03] 所以说外围性淋雪啊,
[00:12:05] 在正常的血管内部
[00:12:06] 它没法
[00:12:07] 产生很大的气候。
[00:12:09] 它被人监控着。对了,
[00:12:10] 被谁?被PFPI
[00:12:12] 复返亏了。
[00:12:13] 除此之外,咱们一般看到的都是正反馈。
[00:12:16] 所以学习的正反馈很重要。
[00:12:18] 再往下走就更重要了,为师祖K的参与下,
[00:12:20] 二七九十。
[00:12:23] 哎呀,要不当老师想想,心疼我的学生。
[00:12:26] 你说我们如果生理学这本书,别的学科章节学的不太理想,
[00:12:30] 就算了。
[00:12:31] 一问为师祖K一代育成,啊?
[00:12:35] 他们说家长,我说刘老师,我这个孩子要考研,
[00:12:38] 孩子基础怎么样?
[00:12:39] 能说实话不?
[00:12:41] 是不是零基础?你太看得起他了。
[00:12:45] 地下是三层啊,
[00:12:47] 地下吃苦。
[00:12:49] 你能达到标准的本科教学的结果,你何至于考不上研?
[00:12:55] 我们可考上协和这批孩子之间,
[00:12:57] 从一楼开始算起,差的是八层,但实际上你差十一层为啥?
[00:13:01] 你不在一楼,你想什么呢?你还在地下这儿哭啊?
[00:13:04] 对了,就不但没有把大学东西学会,把高中培养的那点习惯在大学看韩剧也给刷没了。
[00:13:11] 所以实际上,有时候当老师带着学生,包括大学同学一样,你先把他带成一个像大学生的样子,
[00:13:18] 再讲大学的课。
[00:13:21] 老师你讲课,咋不说私密的?
[00:13:23] 我还得吃酸菜是吗?
[00:13:25] 泡菜私密的。
[00:13:28] 二、七、九、十。
[00:13:30] 在前面讲过好几次了,到这我再讲一次,所以体会一下同学们。
[00:13:34] 慢性移解严,止防泄。
[00:13:37] 止溶性变成索引。
[00:13:38] 慢性移解严,出血是因为
[00:13:41] 维生素K,
[00:13:42] 在肠道,胃肠道吸收不够。
[00:13:45] 到消化系统多讲一条,
[00:13:47] 肠道里面是有
[00:13:48] 就粪便中是有很多的细菌的。
[00:13:51] 你打开消化生理学读一下,教材员的话应该说
[00:13:54] 粪便的肝中,
[00:13:55] 肝丝的肝。
[00:13:57] 肝丝分离,
[00:13:58] 肝子
[00:13:59] 肝臊的肝。
[00:14:01] 把一坨粪便一坨香,放了红干香,红干说老师臭的吧,臭风机,臭走。
[00:14:06] 你发现粪便里面很多是水。
[00:14:08] 对了,
[00:14:09] 红干以后剩下的那个材质,
[00:14:11] 那个材质,
[00:14:12] 里面大约30%到40%是细菌的实体。
[00:14:16] 人和菌在肠道是共存的。
[00:14:19] 寄生菌,
[00:14:20] 里面有双气肝菌,
[00:14:22] 包括将来内核穴还会被引入的比如脆弱的泥肝菌,
[00:14:25] 肠道各种肝菌,
[00:14:26] 这些肝菌生理学要考悟,
[00:14:27] 能干什么?
[00:14:29] 通过吃粪便里面的残渣,
[00:14:32] 在人体肠道里面
[00:14:34] 合成人体必需的
[00:14:35] B组维生素
[00:14:37] 和维生素K。
[00:14:37] 所以一个正常性的肝菌,
[00:14:39] 吃的人是很少发生维生素K缺乏的。
[00:14:42] 一个人缺乏维生素K的话,十有八九的家伙
[00:14:44] 脂肪消化血受障碍。
[00:14:46] 这才发现为什么强调
[00:14:47] 乙液是最重要的消化液,因为离开它之后,满血液泻液
[00:14:51] 会发生脂肪血,会有出血。
[00:14:53] 这比较简单,
[00:14:55] 出血因为不能吸收维生素K,
[00:14:57] 能打点维生素K就交症了。
[00:14:59] 但是如果病人肝硬化了,
[00:15:01] 你发现代班质
[00:15:02] 都是在肝脏合成的。
[00:15:03] 一个肝硬化患者,
[00:15:05] 我就给你维生素K,你也白扯,为什么?
[00:15:09] 不是没有合成原料,
[00:15:11] 慢性一线炎出血是没有原料,
[00:15:14] 肝硬化别人出血
[00:15:16] 是没有合成蛋白质的能力下降。
[00:15:20] 所以一线炎化的出血打维生素K就好使,
[00:15:23] 肝硬化打的也白扯。
[00:15:25] 这就叫做内核血伤。
[00:15:27] 维生素K
[00:15:28] 可以和
[00:15:29] 不可以
[00:15:30] 纠正的
[00:15:31] 出血倾向。
[00:15:32] 这句话一定
[00:15:33] 谁辛苦一下,维大发明同学比较手快,
[00:15:36] 打到弹幕上得了,
[00:15:37] 小微同学
[00:15:38] 给你布置个作业,
[00:15:39] 在这边
[00:15:39] 评一下内核血伤,
[00:15:40] 维生素K可以纠正和不可以纠正的
[00:15:44] 出血倾向。
[00:15:45] 慢性一线炎,维生素K可以纠正。
[00:15:49] 脂肪气,
[00:15:50] 维生素K吸收不够,肝硬化别人,
[00:15:53] 给他什么,他也合成不了。
[00:15:55] 你要数比数,浓缩的
[00:15:57] 这个
[00:15:58] 乙血英子
[00:15:59] 乘分血
[00:16:00] 是这样。
[00:16:01] 这是著名的维生素K的二期九试。
[00:16:04] 我记得去年是不是在微博上我看到同学们发照片
[00:16:07] 湖北医药学院
[00:16:10] 是不是在你们老校
[00:16:11] 同学们在门口打着横幅
[00:16:13] 说母校和学生的关系
[00:16:16] 你是维生素K,我们就是二期九试
[00:16:19] 其实我看到那个横幅的时候,我心里边挺感动的,学生和
[00:16:22] 师生之间,母校和学生之间有一种
[00:16:25] 修起相关的一种
[00:16:28] 类似的感情。
[00:16:29] 同学们大学五年要毕业离校了,应该是去年湖北医药学院
[00:16:33] 同学们打着横幅
[00:16:35] 你们是要听见这个课的话,你可以看了
[00:16:37] 是,应该是你们闲女学员
[00:16:39] 是不是在闲女,应该是闲女吗?
[00:16:41] 我想想,贤女
[00:16:44] 恩师不是恩师
[00:16:46] 想不起来,你们是谁都是分校
[00:16:48] 谁都我去我
[00:16:49] 应该是就是母校
[00:16:52] 母校你是维生素K
[00:16:54] 我们就是二期九试,二期九试的合成
[00:16:56] 是依赖维生素K
[00:16:58] 想想,不愧是医学生的毕业
[00:17:01] 感言啊
[00:17:02] 再下来第六条,第六条这个就更重要了
[00:17:05] 因子八
[00:17:07] 五
[00:17:07] 三
[00:17:08] 是
[00:17:09] 免疫系统中
[00:17:10] 重要的三大辅度因子,打开说读
[00:17:12] 一下
[00:17:13] 就把数上三因子这说
[00:17:15] 三
[00:17:16] 可以把
[00:17:16] 七因子,活化的七因子
[00:17:18] 激活10的速度增加
[00:17:21] 一千倍,两千倍,我觉得一千倍的样子
[00:17:24] 那么八因子
[00:17:25] 能够让内液体凝血途径
[00:17:27] 速度增加20万倍
[00:17:29] 五因子对于激活凝血酶原
[00:17:32] 可以增加一万倍
[00:17:33] 我记得早期背的时候,20万倍,一万倍
[00:17:36] 两千倍,后面现在好像教授教的是一千倍
[00:17:38] 这倒无所谓,反正是这样
[00:17:40] 就是缺乏这三,特别缺乏八因子
[00:17:42] 一想,凝血速度慢了20万倍,那你说这个20万倍咋背回来
[00:17:46] 20万
[00:17:47] 万呀
[00:17:48] 比我年轻都高好几倍
[00:17:51] 五因子
[00:17:52] 这是一万倍左右
[00:17:53] 三因子也至少是一千两千倍的样子
[00:17:56] 所以这三个东西我们称之为凝血的
[00:17:58] 辅因子
[00:17:59] 缺乏这几个东西以后
[00:18:01] 出血
[00:18:03] 就发生了
[00:18:03] 特别这里边是谁
[00:18:05] 是八因子
[00:18:06] 所以它甲型血友病
[00:18:07] 八
[00:18:08] 经
[00:18:09] 十一
[00:18:10] 甲一病
[00:18:11] 但十一因子咱们九百生理学比率
[00:18:13] 有一个注解,十一因子这样缺乏以后呀
[00:18:15] 按照病理生理学
[00:18:16] 生理学上说
[00:18:17] 凝血会有点麻烦
[00:18:19] 但是按照病理生理学的说法你会翻一下教材
[00:18:22] 说大概和正常人比较
[00:18:24] 凝血速度会慢个三四倍的样子
[00:18:27] 你想缺乏八的话慢20万倍
[00:18:28] 就没法凝血,缺乏十一因子
[00:18:30] 你就慢个三四倍的样子
[00:18:31] 这样的话慢一点
[00:18:33] 但也不至于有很大的
[00:18:35] 致命的出血风险
[00:18:37] 所以十一因子缺乏是会出血
[00:18:39] 但是临床的危害的意义不大
[00:18:42] 因此
[00:18:43] 就把书给了个说法
[00:18:44] 现在一般在说血友病
[00:18:46] 就是
[00:18:46] 甲型和乙型
[00:18:47] A型和B型
[00:18:48] 缺乏八因子和缺乏九因子
[00:18:51] 叫他这专门给了个说法
[00:18:53] 回头读一下书把他搞明白
[00:18:56] 与其说是在学习凝血过程
[00:18:59] 其实不如说是在学习
[00:19:01] 凝血因子
[00:19:02] 三因子
[00:19:04] 四因子
[00:19:05] 二期就是
[00:19:06] 八五三
[00:19:07] 五因子
[00:19:08] 这样的话剩下就比较简单了
[00:19:11] 三和七的
[00:19:12] 特别是
[00:19:13] 三因子
[00:19:14] 血管破裂之后
[00:19:16] 存在于血管内皮下的这个三因子
[00:19:18] 就像一个
[00:19:19] 铁锚一样
[00:19:20] 它的存在
[00:19:21] 去激活气
[00:19:22] 刚才说了
[00:19:23] 形成三合体的复合物
[00:19:25] 这个复合物
[00:19:26] 在共同去激活十因子
[00:19:28] 这条途径我们叫外围性血统
[00:19:29] 为什么叫外围性的
[00:19:31] 因为三因子长在血管外面
[00:19:33] 对了血浆外面
[00:19:34] 是这样
[00:19:35] 应该说内皮下血浆外面
[00:19:37] 比血管外面准确
[00:19:40] 十二因子是接触带负电荷的义务表面
[00:19:43] 前面强调过
[00:19:44] 为什么叫表面激活
[00:19:46] surface
[00:19:47] suffice
[00:19:48] 就是因为它只要和一个负电荷
[00:19:50] 比如说陶瓷碎片呀
[00:19:52] 毛发玻璃毛皮呀
[00:19:54] 是吧
[00:19:54] 塑料呀
[00:19:55] 它接触
[00:19:56] 所以你把血放在塑料湿管呀
[00:19:58] 洗干净的玻璃湿管都会凝血
[00:20:00] 前往激活这个例子
[00:20:02] 那么它激活之后再通过什么高通吉太元呀
[00:20:05] 这样一些
[00:20:06] 这样一些过程
[00:20:08] 整个都是一个正反馈的过程
[00:20:09] 激活十二因子
[00:20:11] 高通吉太元
[00:20:12] 激活十一
[00:20:13] 十一活化之后,十二和十二之间还有一个正反馈
[00:20:16] 刚才我说八九十一,十因子缺乏
[00:20:18] 凝血速度会慢一点
[00:20:19] 不至于很慢
[00:20:21] 十二十因子缺乏之后
[00:20:22] 人也能发生凝血
[00:20:24] 说诶
[00:20:24] 这啥情况
[00:20:26] 这内心不是完成不了,所以到这你发现
[00:20:29] 不管十二因子启动
[00:20:30] 还是三和七因子启动
[00:20:32] 最后共同汇合在
[00:20:35] 十因子
[00:20:37] 所以到这听一下为什么凝血过程
[00:20:40] 或者凝血途径是两条途径
[00:20:42] 因为
[00:20:43] 十因子可以有两个
[00:20:44] 办法激活它
[00:20:46] 一个是三和七来激活它
[00:20:48] 一个是十二因子激活它
[00:20:50] 十二因子激活十因子
[00:20:51] 叫内外性途径
[00:20:53] 三和七的途径激活十因子
[00:20:55] 叫外外性途径
[00:20:56] 两个途径
[00:20:58] 对了
[00:20:59] 这两个途径分别叫做内外性和外外性
[00:21:02] 而在生理性化这条线
[00:21:03] 回头一会儿给你改一下这条线呀
[00:21:05] 这做成白色卡绢弧框,一会儿把它改成黑色
[00:21:08] 实际上你能发现生理性化下
[00:21:11] 到底是这个十因子比十一启动的
[00:21:13] 教材很明确写着
[00:21:14] 是比三和七
[00:21:14] 三和七的复合物
[00:21:16] 三和七复合物并没有直接去激活
[00:21:18] 你也激活不了
[00:21:19] 因为刚才说过
[00:21:20] 这个三和七的复合物激活时这一步
[00:21:22] 你必须在这标注一下
[00:21:24] 或者拿个图片给我打个弹幕上
[00:21:25] 这一步就被谁
[00:21:26] 教材后面
[00:21:27] 抗击系统就把TFPI
[00:21:30] 把它给复返窥住了
[00:21:31] 它发挥不了作用
[00:21:33] 那么三和七就逃避掉这个TFPI
[00:21:36] 横着过去
[00:21:37] 这条线是要摆的,一会儿改成黑的,你看见了
[00:21:40] 改成黑的
[00:21:41] 那么它就可以
[00:21:42] 不用激活时
[00:21:43] 而是
[00:21:44] 取先就活
[00:21:45] 先激活9
[00:21:47] 在8因子20万倍的作用下
[00:21:48] 再去激活时
[00:21:50] 生理学上
[00:21:51] 把从三和七复合物激活,拐弯激活9
[00:21:54] 再激活使这么一个拐弯的路径
[00:21:57] 就成为著名的
[00:21:58] 阶段
[00:21:59] 内原性途径
[00:22:01] 我们也非常准确亲切的说
[00:22:04] 您学怎么实现的生理情况下
[00:22:06] 答案
[00:22:07] 外原性启动
[00:22:09] 内原性完成
[00:22:11] 这也解释一下人缺乏12和10因子的手臂的
[00:22:14] 手臂的能力
[00:22:14] 在病理生理学上
[00:22:15] 为什么您学只有三四倍的一个速度减慢
[00:22:18] 而不至于几十万倍
[00:22:19] 因为实际上
[00:22:21] 咱们发现
[00:22:22] 在正常的生理情况下
[00:22:24] 要完成您学实现生理性知学过程
[00:22:26] 不需要12因子
[00:22:28] 参与
[00:22:28] 三和七
[00:22:29] 拐弯激活9
[00:22:30] 之后就走下去了
[00:22:31] 那么12因子实际上
[00:22:33] 差不多像在一个旁观者
[00:22:35] 在偷偷窥评
[00:22:36] 观察着您学的过程
[00:22:39] 可是为什么他也有了三四倍
[00:22:41] 所以病理生理学给了个解释
[00:22:43] 说看起来生理情况下
[00:22:45] 这个9或者10呀
[00:22:47] 和12因子也应该存在某种意义的正反馈
[00:22:50] 只是正反馈
[00:22:51] 对于正常的您学
[00:22:53] 它的作用没有你想象的那么大
[00:22:55] 那么这样我找12因子是不是没有用了
[00:22:57] 有用
[00:22:58] 在哪个地方发挥了
[00:23:00] 你往后面读
[00:23:00] 在先容系统
[00:23:03] 它可以激活先容系统
[00:23:04] 它只是生理情况下作用不太大
[00:23:06] 所以一旦在体外循环
[00:23:08] 我们的血液通过人工心肺肌
[00:23:10] 需要接触什么硅胶管呀玻璃管的时候
[00:23:13] 12因子
[00:23:14] 去启动的纤维蛋白溶解系统
[00:23:17] 就显得很重要了
[00:23:19] 生理情况下纤维蛋白溶解系统主要是
[00:23:20] TPA
[00:23:21] UPA
[00:23:22] 发挥作用的
