# 源音频：P65-生理学本科教学及考研基础课 p65 内分泌-第一节.m4a
# 时长：2127s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,咱们这样拿一个整段时间来看一下生理学最后的一部分,内分泌。
[00:05:51] 然后还有甲状腺,甲状膀腺,胰岛,
[00:05:56] 另外还有肾上腺,特别肾上腺皮质,
[00:05:59] 以及性腺,男性女性不一样。
[00:06:02] 所以现在认为机体的许多器官组织内部,
[00:06:06] 都是具有内蜂蜜功能的,
[00:06:08] 因此现在还有
[00:06:08] 胃肠内蜂蜜,
[00:06:10] 咱们到消化系统会学APUD,
[00:06:13] 这个之外一些内蜂蜜功能,
[00:06:15] 心脏内蜂蜜,AMCBMP,
[00:06:17] 心脑胎脑脑胎胎,
[00:06:18] 心房心室肌细胞合成释放的激素,
[00:06:21] 肾脏内蜂蜜,
[00:06:22] 肾脏局部的一个比如RAS系统呀,
[00:06:24] 这样一些东西,
[00:06:24] 包括它能够合成和释放EPO,
[00:06:27] 促进去保湿酸素,
[00:06:28] 这样,
[00:06:29] 包括125二强剂的维生素D3,
[00:06:32] 嗯,
[00:06:33] 此外还有神经的内蜂蜜,
[00:06:35] 这一章就学到了,
[00:06:39] 这个释放核能够合成缩工素,
[00:06:42] 合成抗利尿激素,
[00:06:43] 神经细胞也具有内蜂蜜功能,
[00:06:46] 嗯,
[00:06:46] 你要再往下走的话,
[00:06:47] 你比如说血管内皮,
[00:06:49] 什么内皮素呀,
[00:06:50] EDCF,
[00:06:51] EDRF,
[00:06:53] EDHF,
[00:06:54] 所以血管内皮不仅仅是一个内称,
[00:06:57] 也具有非常强大内蜂蜜功能,
[00:06:59] 我们越学学发现人体呀,
[00:07:01] 就是个内蜂蜜的集体,
[00:07:03] 到处在合成蜂蜜激素,
[00:07:05] 嗯,
[00:07:05] 那么激素是什么,
[00:07:07] 按照传统的概念来讲,
[00:07:08] 激素是内蜂蜜腺体或散载的内蜂蜜细胞所分泌一种高效能的生物活性物质,
[00:07:15] 按照传统意义上理解,
[00:07:17] 经过血液循环,
[00:07:18] 到达基体远处发挥作用,
[00:07:21] 但是这二三十年发现,
[00:07:22] 实际上有一些激素从来没有经过血液循环,
[00:07:25] 通过组织液搏散,
[00:07:27] 就发挥作用,
[00:07:27] 甚至干脆,
[00:07:28] 都不需要组织液,
[00:07:30] 它从细胞膜内释放出来以后,
[00:07:33] 直接在局部就被释放它的细胞,
[00:07:35] 这和膜核受体结合,
[00:07:38] 因此这张课条要讲一下,
[00:07:40] 按照激素的分泌和作用的方式不一样,
[00:07:43] 有哪些类型呢?
[00:07:45] 根据激素作用的距离远近,
[00:07:47] 把它分为远距分泌,
[00:07:49] 旁分泌,
[00:07:50] 自分泌,
[00:07:51] 刚才我简单讲了一下,
[00:07:52] 激素的受体本身就是合成激素的细胞,
[00:07:56] 所以谁合成,
[00:07:57] 谁享受,
[00:07:58] 自作自受,
[00:07:58] 自分泌,
[00:07:59] 嗯,
[00:08:00] 旁分泌是非常明确的,
[00:08:01] 比如下丘脑、
[00:08:02] 肾脏,
[00:08:03] 这些旁分泌的完整的内分泌的体系,
[00:08:06] 约聚分泌是最经典的,
[00:08:08] 激素分泌出现后,
[00:08:09] 经过血液循环,
[00:08:10] 所以到消化系统要谈,
[00:08:12] 咱们比较熟悉的醋胃液素,
[00:08:15] 也就是胃蜜素,
[00:08:16] 听起来好像是胃头部G细胞合成好以后,
[00:08:19] 作用于这个胃体的B细胞,
[00:08:22] 去与分泌盐酸胃酸去了,
[00:08:25] 好像距离挺近,
[00:08:26] 就在旁边,
[00:08:27] 但实际上它是一个经典的血循环激素,
[00:08:30] 有人干涉的血激素,
[00:08:32] 嗯,
[00:08:32] 所以这就是几个概念,
[00:08:33] 原具分泌经过血液运输,
[00:08:36] 是远距离的把细胞把组织,
[00:08:38] 而发挥作用,
[00:08:39] 远距分泌,
[00:08:40] 旁分泌不经过血液运输,
[00:08:42] 分泌出现后,
[00:08:43] 经经经过组织液搏散,
[00:08:44] 在局部发挥作用,
[00:08:46] 另外就是自分泌了,
[00:08:47] 内分泌细胞所分泌的激素在局部扩散以后,
[00:08:50] 用返回作用自身的方式,
[00:08:52] 这么作用给自己的,
[00:08:53] 你才发现,
[00:08:54] 激素要作用得有一个结构,
[00:08:56] 叫受体,
[00:08:57] 谁有受体,
[00:08:58] 谁来享受这个激素的作用,
[00:09:03] 就自分泌,
[00:09:04] 再往下往还有腔分泌,
[00:09:06] 你本来你比如说学到消化系统,
[00:09:10] 说我是用外分泌和内分泌,
[00:09:11] 内分泌的时候,
[00:09:13] 生物活性物理经过血液循环,
[00:09:15] 加了运输以后,
[00:09:16] 和相应受体发挥作用,
[00:09:18] 外分泌指的是胃肠一些酶类,
[00:09:21] 消化酶,
[00:09:22] 胃蛋白胃元,
[00:09:23] 胰蛋白胃元,
[00:09:23] 合成好了以后,
[00:09:24] 直接通过分泌效果,
[00:09:26] 就进入胃腔肠腔了,
[00:09:28] 分泌到体腔里,
[00:09:29] 就叫外分泌,
[00:09:30] 但是后面咱们发现,
[00:09:32] 实际上有一些胃肠激素,
[00:09:33] 是以这种挺腔分泌方式,
[00:09:36] 直接分泌出来发挥作用,
[00:09:37] 但它本身又是激素,
[00:09:39] 它还不是一个酶,
[00:09:40] 所以那种情况称之为腔分泌,
[00:09:42] 远距分泌,
[00:09:43] 旁分泌,
[00:09:44] 自分泌,
[00:09:45] 神经分泌,
[00:09:46] 腔分泌,
[00:09:47] 这样一些概念,
[00:09:48] 激素分类一直是内分泌的一个比较经典的,
[00:09:55] 只是为什么呀?
[00:09:56] 因为咱们从细胞内障就开始慢慢讲,
[00:09:58] 这个激素你将来会发现,
[00:10:00] 有水溶性的,
[00:10:01] 有脂溶性的,
[00:10:02] 有小分子,
[00:10:02] 有大分子,
[00:10:03] 所以学到激素必然要学激素的作用机制,
[00:10:06] 如果激素本身水溶性的话,
[00:10:08] 它穿不过细胞膜,
[00:10:09] 它穿不过去的话,
[00:10:10] 只能在膜里边找个代言人,
[00:10:13] 那膜上面得有人替它传达一下信息,
[00:10:16] 膜表面受体,
[00:10:18] 所以水溶性激素的话,
[00:10:19] 将来怎么发挥作用?
[00:10:20] 只能是和受体结合以后,
[00:10:22] 在细胞内障第二阶需要跨膜信号转导,
[00:10:25] 把这个信息怎么样跨过细胞膜,
[00:10:26] 扔不进去,
[00:10:27] 把话带到就好了,
[00:10:29] 黄军让我给你带句话,
[00:10:31] 这样的话就需要细胞内部一个传话人,
[00:10:34] 我们称之为第二性式,
[00:10:36] 所以水溶性激素的作用方式就是第二性式学说,
[00:10:39] 如果一个脂溶性激素的话,
[00:10:41] 就是基因表达学说,
[00:10:43] 基因直接进入细胞核内,
[00:10:45] 去调供一个DNA RNA的合成,
[00:10:48] 这样来划分的,
[00:10:49] 所以这样对应的第二性式学说对应的激素就是水溶性激素,
[00:10:54] 基因表达学说对应的激素就是脂溶性激素,
[00:10:57] 因此这样一个概念你拿出来,
[00:10:59] 和激素分类,
[00:11:00] 咱们去学,
[00:11:01] 去研究一下,
[00:11:02] 就发现挺有意思,
[00:11:03] 按照传统的激素分类,
[00:11:05] 在八瓣以前,
[00:11:06] 划分是分为这个含氮激素,
[00:11:09] 类固醇,
[00:11:10] 就载体类激素,
[00:11:11] 这样一些划分,
[00:11:13] 按照咱们从八瓣,
[00:11:14] 我觉得是九瓣属上,
[00:11:15] 划分是别人性的,
[00:11:16] 所以这个课件我一直保留没有删它,
[00:11:18] 就是你知道原来你要万一读到一些资料,
[00:11:21] 是啊,
[00:11:21] 就得划分,
[00:11:22] 你听说过,
[00:11:23] 嗯,
[00:11:23] 比如说钛类和蛋白类激素属于含氮激素,
[00:11:26] 另外就暗类,
[00:11:27] 暗类现在咱们就把它放到后面重新看,
[00:11:30] 就是来自老阳酸来源的这样的,
[00:11:32] 固醇类固醇的就是质类激素,
[00:11:35] 这是传统的分类,
[00:11:36] 嗯,
[00:11:37] 传统的,
[00:11:39] 包括你看暗类激素,
[00:11:40] 包括肾肠腺素,
[00:11:41] 去胰肠腺素,
[00:11:42] 小胰肠腺素,
[00:11:42] 褪黑素等等,
[00:11:43] 钛类和蛋白类的,
[00:11:44] 有下胸的特级钛,
[00:11:46] 有神经出体激素,
[00:11:47] 泻肌激素,
[00:11:48] 胶钙属于内长激素,
[00:11:50] 所以APUD这概念说的就是它,
[00:11:53] 嗯,
[00:11:54] 就是它,
[00:11:54] 那么固醇类固醇的这一组质类激素,
[00:11:58] 主要就是那些皮质激素和性腺激素,
[00:12:00] 皮质醇,
[00:12:01] 全固醇,
[00:12:02] 刺激素,
[00:12:03] 孕激素,
[00:12:03] 褫剂素等等,
[00:12:04] 这里边还有为什么说固醇和类固醇,
[00:12:07] 世界上,
[00:12:08] 大固醇的野生物,
[00:12:09] 就一二树,
[00:12:10] 二强就为生第三,
[00:12:11] 这个事就把它称之为固醇类,
[00:12:13] 就不是类固醇,
[00:12:14] 因为教材给个说法说,
[00:12:16] 它的B环能够开放,
[00:12:18] 一个四环的化合物里边,
[00:12:19] ABCD,
[00:12:20] B环开放,
[00:12:24] B环填成固醇,
[00:12:27] 这张课奠就是咱们从八摆数开始,
[00:12:30] 八摆九摆教材这种新的划分,
[00:12:33] 刚才也看过了,
[00:12:34] 第一类就是氨类激素,
[00:12:36] 多维氨基酸的野生物,
[00:12:38] 里边来自氨酸的二大分氨类,
[00:12:40] 胜上线,
[00:12:41] 虚产胜上线叶素,
[00:12:42] 这都属于一类水维性激素,
[00:12:44] 所以你学细胞内脏第二阶,
[00:12:46] 包括学循环系统,
[00:12:48] 脚感神经帛烧试法去甲生以后,
[00:12:50] 如何对心理细胞发挥作用?
[00:12:52] 结合经过一个GS蛋白激活AC
[00:12:55] 显感传化含铭
[00:12:57] 激活心肌细胞内部产生第二性是CMP
[00:13:00] CMP再激活蛋白基面A
[00:13:02] 再让心肌细胞帮盖通的蛋白发生流传化
[00:13:06] A不怕就是基蛋白欧联的
[00:13:08] CMP的第二性是
[00:13:10] 所以这是一类第二性是方式保护作用的技术
[00:13:13] 另外还有一组含碘的乱算数号物
[00:13:17] 就是著名的甲状腺素
[00:13:19] 从甲状腺素蛋白上裂解下来
[00:13:21] 实际上它都是来自于老氨酸的
[00:13:23] 但是明明来自老氨酸的基础一般都是水溶性的
[00:13:27] 壳子里边甲状腺素是个例外的
[00:13:30] 脂溶性很高
[00:13:31] 所以如果脂溶性很高的话
[00:13:33] 它穿过细胞膜很容易
[00:13:35] 但是溶解到血液中就很难
[00:13:37] 这样的话就必须血液里边一些蛋白质
[00:13:40] 叫做一些结合蛋白
[00:13:41] 把它结合以后
[00:13:43] 给它一个水溶性的一个特征
[00:13:45] 叫载质蛋白
[00:13:46] 我们血液中找载质蛋白干嘛
[00:13:48] 就是把蛋白质拿过来
[00:13:51] 喝一个
[00:13:51] 这个质类物质结合以后
[00:13:53] 让质类物质具有水溶性
[00:13:55] 就起一个小船的作用
[00:13:57] 这样运输到相关的部位之后
[00:14:00] 再和核内受体结合
[00:14:01] 发挥精英感的学说
[00:14:03] 所以这张课件是个很敏感的话题
[00:14:07] 医学生就要学过生理学
[00:14:08] 学过内分
[00:14:09] 你知道甲状腺素如何发挥作用的
[00:14:12] 是生理学一个永恒的考验
[00:14:14] 一来就考它
[00:14:15] 一来就考它
[00:14:15] 老氨酸来源的基础都是水溶性基础
[00:14:18] 这是背景
[00:14:19] 但老师说凡事都有例外
[00:14:21] 那么老氨酸来源的基础
[00:14:22] 虽然也有没有脂溶性的有呀
[00:14:23] 甲状腺素有是
[00:14:24] 就这么个意思
[00:14:25] 来自于老氨酸的
[00:14:27] 黑来自于色氨酸的褪黑素
[00:14:29] 听过就好了
[00:14:30] 啰嗦了
[00:14:31] 第二大类像传统分类也是
[00:14:34] 多态类和蛋白类
[00:14:35] 下丘脑子
[00:14:36] 垂体的甲状腺
[00:14:37] 胰岛的
[00:14:38] 所以实际上咱们知道
[00:14:39] 胰岛素是一个完整的蛋白质
[00:14:41] 有两个链
[00:14:42] 既然在体内发挥作用的时候
[00:14:44] 它还会从C膜的脱离一下类型
[00:14:48] 叫C态
[00:14:49] 有胰岛素和胰岛素C态的概念
[00:14:51] 连还胃肠激素
[00:14:52] 都是一些态类物质
[00:14:54] 什么钾钙素基因相关态呀
[00:14:56] 血火活性常态呀
[00:14:58] 这样一些东西
[00:14:59] 这都属于水溶性的大分子物质
[00:15:01] 所以这它没法抓过细胞膜
[00:15:03] 只能是第二性式方式发挥作用
[00:15:06] 刚才这个老氨酸来源的是水溶性的
[00:15:09] 多态和蛋白类的也是水溶性的
[00:15:11] 嗯
[00:15:11] 刚才讲到一些阻力外
[00:15:13] 再往下走就是脂类激素
[00:15:15] 脂质为原料
[00:15:17] 稀有是合成激素
[00:15:18] 这些脂质来源
[00:15:20] 教材给的说法
[00:15:21] 一般都是
[00:15:21] 细胞膜结构本身
[00:15:22] 包括咱们在细胞内障也讲过PIP2
[00:15:26] 二氧酸的一些基础
[00:15:28] 它是要去细胞膜本身
[00:15:29] 将这个东西在PLC作用下进行
[00:15:32] 将其生成什么IP3和DG
[00:15:35] 变成第二性式
[00:15:36] 你能发现这个膜不仅仅是个屏障作用
[00:15:38] 膜的组成成分
[00:15:40] 经常在细胞内部的信号转导呀
[00:15:44] 它的生物活性发生改变
[00:15:47] 这膜的组分原料还能发挥这个作用
[00:15:50] 所以这部分脂粒物质
[00:15:51] 就是这样的
[00:15:52] 就这样
[00:15:53] 第一大会就类固醇激素
[00:15:55] 共同切的就是胆固醇
[00:15:57] 所以叫做类固醇激素
[00:15:59] 这主要指的是上线皮质激素和性性激素
[00:16:02] 嗯
[00:16:04] 刚才还说
[00:16:05] 刺外还包括着胆钙化醇
[00:16:06] 就变成第三
[00:16:08] 因为那个壁花能打开
[00:16:10] 它不叫类固醇
[00:16:11] 叫固醇激素
[00:16:12] 主要是皮肤
[00:16:13] 肝脏和肾脏等器官联合作用而制
[00:16:16] 所以体内在一个胆固醇和绿胶情况下
[00:16:19] 子体是可以合成一二收二相为成第三的
[00:16:22] 如果一旦不管什么原因吧
[00:16:24] 就是你才合成不够的话
[00:16:26] 还可以通过口服维生素第二
[00:16:29] 这样的
[00:16:29] 它也同样在体内能具有促进改吸收的作用
[00:16:33] 所以生成天然生成的是第三
[00:16:36] 吃药吃的是第二
[00:16:38] 你没事拿手机百度一下
[00:16:40] 这个第二口服的维生素第二也很多
[00:16:43] 再早一点
[00:16:43] 第第三也是有这个原料拿来做肌肉注射的
[00:16:48] 打第三
[00:16:49] 现在一般都变成口服了
[00:16:50] 口服第二
[00:16:52] 就同样
[00:16:53] 具有第三的是五血效应
[00:16:55] 所以我再说一遍
[00:16:56] 人体生成的是第三
[00:16:58] 吃药吃的是第二
[00:17:00] 第二到体内还能转成第三
[00:17:02] 是这样的
[00:17:03] 它两个原材料不一样
[00:17:04] 这是一类固醇类固醇激素
[00:17:06] 脂类的
[00:17:07] 第二类脂类激素还有二十碗酸
[00:17:10] 化生四细酸转化二类
[00:17:11] 包括切类线索类的PGS
[00:17:13] 就CERS系列
[00:17:15] 还有血栓素系列
[00:17:16] 就是TX
[00:17:17] 你在学业内还学过TXAL
[00:17:20] 血栓的AL
[00:17:21] 就这样一组东西
[00:17:22] 另外还有白酸
[00:17:23] 白酸C
[00:17:24] 白酸C这一组
[00:17:25] 这都属于这类
[00:17:26] 脂类激素
[00:17:27] 脂类激素的话
[00:17:27] 这一堆不用忘了
[00:17:28] 怎么发挥作用的
[00:17:30] 基因表达学说
[00:17:31] 就这么个意思
[00:17:32] 嗯
[00:17:35] 这张课件也是内丰利益
[00:17:37] 这个内容非常重要的一个话题
[00:17:40] 叫做激素作用的一般特征
[00:17:43] 像感觉器官内
[00:17:44] 让咱们讲到感受器的四大特征
[00:17:47] 什么适于刺激
[00:17:48] 幻能作用编码
[00:17:50] 作用适应现象
[00:17:51] 其实激素也是
[00:17:53] 激素作用与其说一般特征
[00:17:55] 不如直接解单背给数字
[00:17:56] 叫激素的四大特征
[00:17:58] 第一个信息传递
[00:18:00] 它只是一个信实
[00:18:03] 有别人说
[00:18:03] 哎
[00:18:03] 我花钱在网上买了个东西
[00:18:05] 顺分给我送过来
[00:18:06] 顺分只负责把这包裹送到客户手里
[00:18:09] 顺分不能帮人家把包裹里边吃的给人吃了
[00:18:11] 什么意思呀
[00:18:12] 激素只负责送一份信
[00:18:15] 它不能源于创新的发动
[00:18:18] 原来那地方有个活动
[00:18:19] 接受信息后增强或减弱了
[00:18:21] 这可以
[00:18:21] 不能激素过来说
[00:18:22] 同志们我们来新习为调高速公路
[00:18:24] 那不行
[00:18:25] 对
[00:18:26] 它就是电视台
[00:18:27] 说今天下午市委书记说了
[00:18:28] 明年我们要新习为调铁路啊
[00:18:30] 它不能说自己
[00:18:31] 同志们我们这个电视台决定
[00:18:33] 咱们明年自己集资修一条铁路
[00:18:35] 那就不给抓了
[00:18:36] 它只有传信息的作用
[00:18:39] 它没有发动一个活动作用
[00:18:41] 这个特征叫信息传递
[00:18:43] 嗯
[00:18:44] 信息传递
[00:18:45] 所以只是把信息传给把细胞
[00:18:47] 条件其固有因有的生理生化
[00:18:49] 它不能无中生有
[00:18:51] 因此激素就是咱们说的第一信实
[00:18:53] 第二个特征
[00:18:55] 是
[00:18:55] �是相对特异性
[00:18:57] 刚才专门说过激素必须和相关的受体结合
[00:19:00] 所以同一个激素与受体类型不一样
[00:19:02] 作用也完全可以不一样
[00:19:04] 这个内容不光是激素
[00:19:06] 咱们在神经系统上一章学完
[00:19:07] 你发现这个双色黑子代表的多巴胺
[00:19:10] 通过第一型受体去激动
[00:19:12] 直接通路
[00:19:13] 通过第二型受体就意志界界通路
[00:19:16] 哎
[00:19:16] 跟受体有关系
[00:19:17] 因为和受体的特异性结合
[00:19:19] 在细胞内障也学过
[00:19:21] 载体化扩散
[00:19:22] 特异结合
[00:19:23] 竞争性意志
[00:19:24] 饱和
[00:19:25] 现象这些内容大概你还记得
[00:19:27] 第三个特点就是激素的高效能
[00:19:29] 生物放大作用
[00:19:30] 激素在体内浓度很低一般都是在
[00:19:33] 钠克甚至匹克
[00:19:34] 匹克就是克德夫12次放
[00:19:36] 每分升100毫升
[00:19:38] 这个激别这个浓度是很低很低的
[00:19:41] 但是与受体结合以后呀
[00:19:42] 在细胞内部发生一系列酶素的放大
[00:19:45] 激素的作用一步就放大成
[00:19:48] 几百万倍或者是越来越多
[00:19:50] 比如小球脑0.1个微克的
[00:19:52] CRH
[00:19:52] 促使人皮质激素
[00:19:54] 释放激素
[00:19:56] 就好像CTC释放一个微克
[00:19:58] 另一个变成一微克ACTH
[00:19:59] 一微克直接自己皮质就能合成
[00:20:01] 并且分为40微克的糖皮质激素
[00:20:04] 一下就放大了400倍
[00:20:05] 这叫激素的高效能
[00:20:08] 生物放大作用
[00:20:09] 信息传递相对特异
[00:20:11] 高效放大
[00:20:12] 第四个不用问就是相互作用
[00:20:14] 激素的相互作用
[00:20:16] 协同作用
[00:20:17] 里边生糖这张学法就发现
[00:20:19] 咱们一开始就喜欢讲句话
[00:20:21] 生糖激素千千万
[00:20:23] 降糖激素
[00:20:24] 就一个一道数
[00:20:26] 似乎生糖就是大你不到的
[00:20:28] 降糖就是天清地一的
[00:20:31] 所以这个内容在这一章都专门阐述它
[00:20:34] 你先听一下结论
[00:20:35] 昨天我看毕章就同学说
[00:20:36] 老师你是不是口胡了
[00:20:38] 你说这个胆囊爷得一定胆结实
[00:20:40] 胆结实一定不胆囊爷
[00:20:41] 哎
[00:20:42] 我这一听就小朋友
[00:20:43] 你是不是大二的
[00:20:43] 说我大三老师
[00:20:44] 对了
[00:20:45] 一听就学过
[00:20:45] 学完外科学就发现
[00:20:47] 胆囊爷的外号就叫胆实性胆囊爷
[00:20:50] 为什么胆囊爷一定胆实
[00:20:52] 可是林方上我跟别人一提解
[00:20:54] 一百个人里边查出八十个胆囊结实
[00:20:56] 因为一辈子也没难受
[00:20:57] 这是事实
[00:20:59] 不难受的胆囊结实叫什么
[00:21:02] 叫静止性胆囊结实
[00:21:04] 哎
[00:21:05] 所以说长胆结实的人
[00:21:06] 很少发生胆囊爷
[00:21:08] 但是只要胆囊爷来不用我们
[00:21:10] 肯定是结实造成的
[00:21:11] 这就叫做胆囊爷得一定胆结实
[00:21:14] 胆结实的一定不胆囊爷
[00:21:16] 我们从大一大
[00:21:18] 大四大四往上走
[00:21:19] 越来越丰富
[00:21:21] 越来越丰富
[00:21:21] 越来越丰富
[00:21:24] 你不能说
[00:21:25] 讲到这个结论不符合你的审美
[00:21:27] 你就出了
[00:21:28] 但是我肯定口胡啊
[00:21:29] 有时候同学在B站后面说
[00:21:31] 老师哪个地方是口胡了
[00:21:32] 你要讲到这个激素一会儿长一会儿多少
[00:21:34] 所有外极算了
[00:21:35] 你就说不小心
[00:21:36] 脑子这样明白
[00:21:37] 说的时候嘴给秃了
[00:21:38] 这个我理解
[00:21:39] 但是这个地方相互作用
[00:21:41] 我就讲一句话
[00:21:41] 再说一次
[00:21:42] 升糖激素千千万
[00:21:44] 降糖激素就一个
[00:21:46] 为什么给人说升糖是打你不到的
[00:21:50] 降糖就铁金比一
[00:21:52] 因为你发现
[00:21:53] 不管是谁
[00:21:54] 直接或直接
[00:21:55] 只要把糖往其一升高
[00:21:56] 一道数蜂蜜变还增加
[00:21:58] 你敢升
[00:21:59] 我就敢灭你
[00:22:00] 不允许你升起来
[00:22:01] 所以这个意义上讲
[00:22:03] 只要是糖升出来
[00:22:04] 一道数不管意味什么
[00:22:05] 起来就给你扑到了
[00:22:07] 就像城管似的
[00:22:08] 不能摆摊
[00:22:09] 搬回去
[00:22:09] 他是这样
[00:22:10] 所以好像是能大逆不道
[00:22:12] 但是一道数出来没事了
[00:22:13] 降糖的时候
[00:22:14] 大家都静悄悄的降吧
[00:22:15] 好像降糖就没人管
[00:22:17] 为什么没人管
[00:22:18] 铁金比一的就应该降
[00:22:20] 就不应该升
