# 源音频：P68-生理学本科教学及考研基础课 p68 内分泌-第三节（甲状腺的调节）.m4a
# 时长：2340s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:11] 好,同学们,上一课咱们看了一下甲醛血素的合成、储存、运输以及甲醛血素的功能。
[00:02:38] 反正是我自己原创的,它不像说你从国外进口一辆宝马车,你给国家关税,你要上税,你要是从韩国直接小船划船划过来一辆宝马车,或者是德国直接划过来比较远,这样的话你会偷税漏税,对国家的税收和国家的国土安全也构成威胁了,这个也是犯法的。
[00:03:01] 像我这个事儿,我就从来不觉得,我开个玩笑说,我就一直觉得,你的课各网上都没人到的话,那说明什么问题?
[00:03:09] 是你版权保护的好,还是你的课你花钱都没人给你到?
[00:03:15] 所以名人是道歉的,我从来不害怕盗版,盗吧,盗到更健康,熬夜,从来就这种概念,因为你盗不到,只要你不把我的课程内容给我重新编排,你别给我瞎剪辑,
[00:03:27] 你能让我把我的一个作为老师,作为一个多年的义务工作者,这么一个整体的思路传输给我的学生,
[00:03:35] 他们不去背书,也不去减速,安安心心的该暂停暂停,
[00:03:39] 该记笔记记笔记,记完之后该整理整理,能真的通过这么一个形式吧,网课的形式,能把医学知识传播出去,让更多老百姓们获益,它何尝不是一件好事?
[00:03:53] 上一次录课的时候,那个晚上,我就没有读这段话,这次你竟然给我吞了,你不想让我讲是吧?
[00:04:00] 这个软件,我就多讲一点,这个软体不让我讲,我讲点硬体,硬钱,行了,不管它了。
[00:04:07] 总之,我要感慨。
[00:04:09] 你们也记得,哪怕将来有一天你年龄大了,从事医学工作,成院士嘛,成博导,你把整个生理学这么一个Baseology,这么一本基础的医学课程都给忘完了,但三个字你不能忘,不反馈。
[00:04:23] 或者说,世界上你想忘也忘不了,因为到那边科学才发现咱们今天那种哪来用的。
[00:04:29] 刚才进来做这录课之前,我还有学生微博上,我看是文方医学小朋友吧,说老师,我在临床解了一个患者,患者做了肾脏半磨换瓣以后,半磨手术以后,
[00:04:39] 他没有吃,没有坚持吃这个华发磷啊,没有吃这个绿比格磷啊,别人脑梗了。
[00:04:45] 我说为什么?为什么?我的课程没讲吗?
[00:04:50] 血小板的ADP的释放和血小板聚集之间是正反馈的。
[00:04:55] 给他吃个绿比格磷,我们传统意义上叫血小板ADP射体解抗剂,就能够有效的阻断血小板这个聚集和释放的正反馈。
[00:05:05] 但是你知道正反馈是一经发生,什么也来不及抢救他。
[00:05:10] 要说阿斯菲林可以即刻服用,因为这家伙是激情犯罪,灵机一动才犯错误的。
[00:05:16] 而ADP的聚集和释放之间是虚荣一酒。
[00:05:21] 血小板内部就储存着很多的所谓内院性的直聚集ADP。
[00:05:25] 你要发现血小板开始通过ADP这么一个途径聚集的时候,其实你就来不及了。
[00:05:31] 所以我们一定能够预判这个患者将来会发生聚集和释放,那我天天给他吃绿比格磷。
[00:05:38] 现在揪办内科学校,
[00:05:40] 我们就把绿比格磷这么一组药物,我们给他叫做P2Y12这么一组药。
[00:05:49] 因为实际上我们发现在血小板聚集释放这么一条路径上有更多的亚型存在。
[00:05:55] 坏句话说,临床事件你会发现,不是每个人吃绿比格磷都能起效,需要吃别的格磷。
[00:06:01] 现在格磷成了一个系列了,一个系列的药物。
[00:06:04] 但是我们生理学是定性不定量的。
[00:06:08] 这门可不是药理学,不是发毛。
[00:06:10] 是非自熬的。
[00:06:12] 那么这样的话,在里边我们讲的这个原理就够用了。
[00:06:15] 所以阿斯匹林可以发病的时候即刻服用。
[00:06:18] 你比如说一个心梗发作入院,救护车哇啦哇啦哇啦给拉着小白车拉着来,
[00:06:25] 来了以后入院先给他用300毫克阿斯匹林的负荷量。
[00:06:29] 他是管用的,在学医生理学也讲。
[00:06:32] 但绿比格磷一定是预判到将来患者会发生栓子形成,给他预防。
[00:06:38] 那我怎么知道病人将来长栓子?
[00:06:41] 因为他换了个机械包,牛性包,生物包,金属包。
[00:06:45] 你换完之后,这里边他有问题。
[00:06:47] 血液将来进入你这个新的斑膜的局部的时候,
[00:06:49] 将来还有手术创伤,斑痕的存在。
[00:06:52] 内膜就不光滑。
[00:06:53] 就有一些焦月痰的纤维等等,
[00:06:55] 死点核的一些皮面暴露。
[00:06:57] 反影子表达等等,将来他血压把他要聚集。
[00:07:01] 所以你做完手术以后,将来肯定是血压把他要聚集的。
[00:07:04] 那就从做完手术以后,让病人坚决服用绿比格磷。
[00:07:08] 吃半年也好,一年也好,一辈子也好。
[00:07:10] 反正总之把他吃上,这个玻璃杯吃上就完了。
[00:07:13] 这就是咱们开这门课的目的。
[00:07:16] 所以有时候作为老师没有恶意啊,
[00:07:18] 就我的学生有没有耐心去听课?
[00:07:20] 你想医学是一个整体系统性的思考,
[00:07:23] 有没有耐心去听课?
[00:07:25] 又冷不丁老蹦出各种各样奇奇怪怪的想法来。
[00:07:28] 很正常,我们的想法之所以奇奇怪怪,
[00:07:32] 各种各样的stranger,
[00:07:33] 很奇怪,原因是我们知识不系统。
[00:07:37] 我们满意了,
[00:07:38] 因为自己原本以为自己掌握的很高大上,
[00:07:41] 其实不是,你掌握了一点信息,
[00:07:43] information,那个根本不能叫知识,
[00:07:46] 不叫knowledge,
[00:07:47] knowledge是一个系统的逻辑的,
[00:07:50] 整合的,非常精炼有效,
[00:07:53] 看起来非常简单,
[00:07:55] 但是又从来不缺失任何细节,
[00:07:58] 不是对我获取的一句话的一个搜集者,
[00:08:03] 而是对我获取的所有信息量的一个管理,
[00:08:06] 整理,逻辑提高,
[00:08:09] 是管理信息的能力,
[00:08:11] 这叫知识分子,
[00:08:12] 要不然的话你充其量,
[00:08:14] 叫做酷管员,
[00:08:15] 所以为什么你感慨一下,
[00:08:17] 穿白大褂的很多,
[00:08:18] 免疫很少。
[00:08:20] 我都在临床工作10年了,
[00:08:21] 老师,临床工作10年了,
[00:08:24] 郭德纲先生说话,
[00:08:26] 蒙威老大爷在医院上班30年了,
[00:08:29] 他就是博导吗?
[00:08:31] 谁告你时间长短,
[00:08:32] 一定和水平高低成正比,
[00:08:35] 自古英雄出少年这句话,
[00:08:37] 你让他亲和一看,
[00:08:39] 不是老师不给你面子,
[00:08:40] 我要给你面子,
[00:08:41] 社会他们不给你面子,
[00:08:44] 踏踏实实的,
[00:08:45] 一个人录课的好处是,
[00:08:47] 你能够自由的去想想,
[00:08:49] 去发挥,
[00:08:50] 你尽管面对的是冷冰冰的一个电脑屏幕,
[00:08:53] 但是你知道背后有一张一张,
[00:08:55] 对医学渴望的热切盼望的笑脸,
[00:08:59] 所以实际上我对录课这个形式,
[00:09:03] 是非常充满激情的,
[00:09:04] 你们有没有发现,
[00:09:05] 一个人对着屏幕,
[00:09:06] 一个人坐在自己的书房里边,
[00:09:08] 小狗在门口蹲着,
[00:09:09] 我一会儿下课,
[00:09:10] 在门口蹲着一会儿就走一走,
[00:09:11] 那天他走,
[00:09:13] 等着我下课,
[00:09:14] 但是偶尔还是会情绪激动,
[00:09:18] 抑制不住,
[00:09:19] can't,
[00:09:20] have been doing something,
[00:09:22] 嗯,
[00:09:22] 我录课挺好,
[00:09:23] 我得继续坚持下去,
[00:09:25] 今天晚上还想给你们再直播一下整段学,
[00:09:27] 打开教材,
[00:09:28] 你不是说我讲课跳跃吗,
[00:09:29] 我打开给你读教材不跳跃吧,
[00:09:31] 轻,
[00:09:32] 我带着你读教材的时候,
[00:09:33] 你确定你听懂了吗,
[00:09:36] 学习谈何容易啊,
[00:09:39] 嗯,
[00:09:40] 贾德贤不管他呢,
[00:09:41] 贾德贤这张图,
[00:09:42] 应该说就叫图表了吧,
[00:09:45] 大概描述点,
[00:09:46] 假装线功能整个调节的一个总体情况,
[00:09:48] 文字部分写了三块,
[00:09:50] 一二三,
[00:09:50] 第一个就是著名的,
[00:09:51] 咱们刚才讲的这个八线轴,
[00:09:53] 这个自动调节复返会,
[00:09:54] 它是个闭合毁录,
[00:09:56] 从下丘脑到线垂体,
[00:09:57] 就是T2H到TSH,
[00:09:59] 再到假装线,
[00:10:00] 你这回知道了,
[00:10:01] T4,
[00:10:02] 你就叫假装线速,
[00:10:04] 假装线速,
[00:10:05] 但是它是以T3形式来发出作用的,
[00:10:08] 嗯,
[00:10:09] 那么这样一个最最经典的,
[00:10:11] 生理学排名第一的复返会的一条路径,
[00:10:13] 之后假装线还具有它以很多的自身调节,
[00:10:16] 以及假装线接受神经啊,
[00:10:19] 激素等等的外来影响,
[00:10:21] 你比如说,
[00:10:22] 咱们都知道,
[00:10:22] 任何意义上看不去,
[00:10:24] 交感神经和假装线的功能密切联系在一起,
[00:10:27] 按照九百数的话,
[00:10:28] 这里边是让你把假装线的血泡细胞上,
[00:10:31] 不但具有交感神经,
[00:10:33] 去甲肾效果的αβ受体,
[00:10:35] 也具有密子神经M受体,
[00:10:37] 所以说密子和交感,
[00:10:39] 想调控心脏,
[00:10:40] 调控气道融化基纳,
[00:10:41] 也调控着假装线功能,
[00:10:43] 也是咱们一直讲的,
[00:10:44] 临床上遇到假抗患者,
[00:10:47] 实际上我们仅仅给他服用,
[00:10:49] 被他受体组织剂,
[00:10:50] 我们通常用的更多的是普南洛尔,
[00:10:53] 心内科医生也用的话,
[00:10:54] 因为前面讲过,
[00:10:55] 假抗的病人容易反发,
[00:10:57] 防性早薄呀,
[00:10:58] 防颤这样一些麻烦,
[00:10:59] 心内科专业医生好像貌似有的学生更多在临床医学工作,
[00:11:04] 他们更喜欢使用中酒脂酸美托洛尔,
[00:11:06] 就是贝塔勒克,
[00:11:07] 但是内蜂蜜医生,
[00:11:08] 包括我个人,
[00:11:09] 一直还是更喜欢使用普南洛尔,
[00:11:12] 一个更传统,
[00:11:13] 非学子性的贝塔组织剂,
[00:11:15] 当然没有这句话精华就好,
[00:11:17] 没有这句话笑话,
[00:11:18] 这个是精明的,
[00:11:20] 因为实际上我们不是特别好说明,
[00:11:23] 贝塔一贝塔二受体,
[00:11:24] 将来你选择不选择,
[00:11:26] 因为做硕士博士系,
[00:11:27] 特别博士期间,
[00:11:29] 我的课题是做心脉网受体免疫的,
[00:11:31] 你能发现,
[00:11:32] 实际上一个长期慢性的心功能障碍,
[00:11:34] 心衰患者呀,
[00:11:36] 他的心肌细胞膜上,
[00:11:37] 阿尔法受体,
[00:11:38] 贝塔受体,
[00:11:39] 特别是贝塔一,
[00:11:40] 心肌细胞膜也有少了贝塔二受体,
[00:11:43] 我们发现心衰病人时间久了以后,
[00:11:45] 健康情况下,
[00:11:46] 心肌细胞膜和贝塔一受体,
[00:11:49] 表达为主,
[00:11:50] 贝塔二受体密度要低一点,
[00:11:53] 但是心衰病人,
[00:11:55] 贝塔一受体的含量,
[00:11:56] 就是总量,
[00:11:57] 它会下调,
[00:11:59] 功能会低下,
[00:12:00] 功能也会下降,
[00:12:01] 而贝塔二受体反过来,
[00:12:03] 会上扬,
[00:12:04] 所以世界上你单纯的去抑制贝塔一受体,
[00:12:07] 会不会加重一个临床病理生理,
[00:12:09] 过程,
[00:12:09] 我们没有很直接的临床的证据来证明,
[00:12:13] 但是你能看到这里边如果不是大二小朋友,
[00:12:16] 如果大五小朋友学过内科学习菌肺,
[00:12:19] 世界上到了扩大性心肌病的时候,
[00:12:22] 病人是只长潜伏和不长博出量,
[00:12:25] 我想这样一个临床事实能给你暗示一些线索吧,
[00:12:30] 为什么我们要玩命的学习,
[00:12:32] 就是我已经能满足本科毕业需要,
[00:12:34] 已经能考过职业,
[00:12:35] 已经能当医生了,
[00:12:36] 为什么还要学习,
[00:12:38] 大一精诚,
[00:12:39] 精诚,
[00:12:39] 精诚,
[00:12:39] 精诚,
[00:12:40] 精诚,
[00:12:40] 精精,
[00:12:40] 精精,
[00:12:41] 就是我们同样的一个科室工作,
[00:12:43] 对一个心脏病的处理,
[00:12:44] 一个用药的选择差异,
[00:12:46] 对于病人远期,
[00:12:47] 我们不但是让病人活下来,
[00:12:50] 我们更大目的是让病人活得更好,
[00:12:52] 如果能工作最好,
[00:12:53] 不能工作,
[00:12:53] 最好生活自理,
[00:12:54] 不要再浪费一个人的资源,
[00:12:56] 家里边就这么几口,
[00:12:57] 这个family,
[00:12:58] 三四个人,
[00:12:59] 个人上班下班,
[00:13:00] 个人工作,
[00:13:01] 你不工作就罢了,
[00:13:04] 你还拖着着别人不能工作,
[00:13:05] 这个家庭,
[00:13:07] 怎么没开理呢,
[00:13:08] 怎么办,
[00:13:10] 所以世界上医学,
[00:13:11] 的背后看是极其慈善和伟大的
[00:13:13] 我不是给自己脸上贴金
[00:13:15] 我们每个人这么辛苦的去学习
[00:13:17] 我一直在这儿
[00:13:18] 所以我讲到这个地方专门感慨一下
[00:13:20] 就是一旦碰到一个甲状腺功能
[00:13:22] 抗净的患者
[00:13:23] 我知道他的处量那么大
[00:13:26] 给他使用抗甲状腺药物
[00:13:29] ATD
[00:13:30] 甲醛米作也好
[00:13:31] 没法直接
[00:13:35] 马上取消
[00:13:36] 那么这个期间症状怎么办
[00:13:38] 被他说得做直接
[00:13:39] 这个样子
[00:13:40] 所以实际上拿这个地方来阐述一下
[00:13:43] 甲状腺也是接受外来的神经
[00:13:46] 包括一些激素调控的
[00:13:48] 这边也写了肾脏激素
[00:13:49] 皮脂醇等等通过TRH
[00:13:51] 下胸脑水平上
[00:13:53] 也会去激动整个的把线肿
[00:13:55] 你看刺激素也是这个样子
[00:13:57] 但是应激包括
[00:13:59] 特别是应激刺激通过下胸脑
[00:14:01] 通过肾脏益素
[00:14:02] 它就会一直甲状腺肿
[00:14:04] 所以前面咱们或者前面没有讲
[00:14:06] 我忘了被吞了
[00:14:07] 这次重新讲一下
[00:14:08] 你能发现
[00:14:09] 在内功力这一样
[00:14:10] 非常重要的应激反应
[00:14:13] stress reaction
[00:14:15] 应激反应
[00:14:16] 激动的激和甲状腺肿
[00:14:21] 实际上是相互解抗的
[00:14:23] 这是临床上遇到甲康危险的患者
[00:14:26] 咱们可以给他
[00:14:27] 适应激素冲击的方法
[00:14:30] 打几辆激素冲击
[00:14:31] 给他一下打几百毫克氢化可提松
[00:14:33] 来改善或者抢救
[00:14:36] 甲康危险的患者
[00:14:38] 这个理论来源
[00:14:39] 这里边有同学考研同学来听着
[00:14:42] 我们国家这几十年没有在考
[00:14:44] 但是2001 2002年
[00:14:46] 我记得考过一次
[00:14:47] 说应激反应
[00:14:49] 咱们学会内功力
[00:14:50] 后面我已经讲到了
[00:14:51] 叫做肾上腺皮质功能
[00:14:52] 应激反应是以ACTH为中心
[00:14:55] 作为一个肾上腺皮质轴的一个启动
[00:14:59] 增加机体的抵抗力
[00:15:01] 但是有个麻烦会降低免疫力
[00:15:03] 那么这么一个皮质轴为中心的情况下
[00:15:05] 包括前面咱们在垂体讲过
[00:15:07] 肾脏激素呀
[00:15:08] 泌乳素呀
[00:15:09] 这里边包括很多很多激素
[00:15:11] 以高血糖素呀
[00:15:12] 等等它都会升高
[00:15:13] 那么那年考试说
[00:15:14] 同学们应激反应过程中
[00:15:17] 甲状腺素水平高还是低
[00:15:18] 这里能看到
[00:15:19] 应激反应会抑制甲状腺轴
[00:15:22] 这是刚才说
[00:15:24] 抢救甲康温像的一个激素冲击
[00:15:27] 治疗方案的理论依据
[00:15:30] 所以这个我特别讲清楚
[00:15:32] 以后就不要再纠结了
[00:15:34] 亲自看到了
[00:15:35] 这样我把这个课题翻过去
[00:15:38] 刚才说三大块
[00:15:39] 第一块是八线轴
[00:15:41] 第二块甲状腺
[00:15:41] 第三块是外来调解
[00:15:43] 先看这个轴就很简单了
[00:15:45] 加了五副次了
[00:15:46] 从上往下下丘脑
[00:15:47] 是吧
[00:15:47] TH到TH对TSH的甲状腺
[00:15:49] 由上往下促进
[00:15:51] 而由下往上复返为一致
[00:15:53] 所以在这儿
[00:15:54] 作为大二的学生
[00:15:55] 标准化的本科教学
[00:15:56] 就知道了
[00:15:57] 甲状腺变成了T3T4高
[00:15:58] 那么必然它的TSH包括TH
[00:16:01] 会降低
[00:16:02] 所以临床上咱们给它测甲供五相
[00:16:04] 我们有时候都不看
[00:16:05] T3T4高不高
[00:16:06] 设想一下
[00:16:07] 甲供五相结果出来以后
[00:16:09] 这里的TSH就叫
[00:16:11] 促甲状腺素
[00:16:12] 临床目前用的
[00:16:14] 试剂盒用的是
[00:16:15] 高分辨率的
[00:16:16] 就高敏感度的TSH
[00:16:17] STSH
[00:16:18] 查得就更清楚了
[00:16:20] 所以试剂上
[00:16:21] 甲供五相的单子上
[00:16:22] 只要看到TSH低的
[00:16:23] 直接定义甲康
[00:16:24] TS是高的
[00:16:25] 直接定义甲减
[00:16:27] 这个很简单
[00:16:28] 那么同学就提问
[00:16:30] 有时候说老师
[00:16:30] 我也一月查
[00:16:32] 查了一下我的TSH低
[00:16:33] 但T3T4正常
[00:16:34] 那也是有问题
[00:16:36] TSH低的病人
[00:16:38] 一般T3T4高
[00:16:39] 是甲康
[00:16:40] TSH低了
[00:16:41] 但T3T4正常
[00:16:42] 那么
[00:16:43] 那也是甲康
[00:16:44] 我就不高啊老师
[00:16:45] 甲康就不高
[00:16:46] 对了
[00:16:47] 所以临床叫做
[00:16:48] 亚临床甲康
[00:16:49] 按照欧美国家标准的话
[00:16:51] 这种单纯TSH低的患者
[00:16:53] 应该也是同一组治疗的
[00:16:54] 咱们国内一般
[00:16:55] 还是采用的
[00:16:56] 比较保守
[00:16:57] 东方人比较温柔
[00:16:58] 比较保守
[00:16:59] 咱们就叫做亚临床甲康
[00:17:01] 更多的是临床观察
[00:17:02] 没有别的问题
[00:17:03] 就不干嘛管它了
[00:17:04] 如果确实有心理快
[00:17:06] 是不是大便淌血
[00:17:07] 情绪激动
[00:17:08] 这样一些症状
[00:17:09] 包括
[00:17:10] 喜凉怕热
[00:17:13] 有用药的
[00:17:14] 所以甲康有两种
[00:17:15] 甲康和亚临床甲康
[00:17:17] 这么个样子
[00:17:19] 这个八线轴
[00:17:19] 所以八线轴
[00:17:21] 在内外科学用的非常多
[00:17:23] 生理学上觉得
[00:17:23] 就是个概念
[00:17:24] 就是个复返会
[00:17:25] 其实不是
[00:17:26] 设想一下
[00:17:26] 一直读到内外科学以后
[00:17:29] 我们才发现
[00:17:30] 即使甲状腺有一些细胞
[00:17:32] 已经恶变了
[00:17:33] 叫甲状腺癌
[00:17:34] 包括垂体一些细胞恶变
[00:17:38] 垂体瘤
[00:17:39] 瘤细胞
[00:17:41] 肿瘤细胞
[00:17:43] pumar cell
[00:17:43] 这个东西
[00:17:45] 在
[00:17:45] 病理情况下
[00:17:47] 实际上依然
[00:17:48] 很多的时候
[00:17:50] 会接受着八线轴调控
[00:17:52] 设想一下
[00:17:53] 八线轴能调控甲状腺
[00:17:55] 那么八线轴能调控甲状腺癌
[00:17:57] 能
[00:17:58] 为什么讲这个东西
[00:18:00] 现在如果病人是个甲状腺癌
[00:18:02] 术后
[00:18:03] 把甲状腺癌给他切掉了
[00:18:04] 需要不需要
[00:18:06] 给他补充甲状腺素
[00:18:08] 咱们谈到八线轴
[00:18:09] 这是个核心
[00:18:10] 同学们听到
[00:18:11] 打的弹幕是
[00:18:11] 那么甲状腺手术以后
[00:18:13] 需要不需要
[00:18:13] 剥开这个腺素
[00:18:14] 甲状腺癌怎么切
[00:18:15] 我们叫进全切
[00:18:17] 就近乎
[00:18:17] 哈的
[00:18:18] 差不多
[00:18:19] 就全切掉了
[00:18:21] 进全切或全切
[00:18:23] 这要看下来
[00:18:24] 这个
[00:18:24] 种块的
[00:18:25] 直径大小
[00:18:26] 一个厘米以下的
[00:18:27] 进全切
[00:18:28] 一个厘米以上的
[00:18:28] 或者四个厘米以上
[00:18:29] 就全切了
[00:18:30] 那么一到四个厘米之间
[00:18:32] 这个直径
[00:18:32] 我们
[00:18:33] 拙情
[00:18:34] 也可能进全切
[00:18:35] 也可能全切
[00:18:35] 但是无论如何
[00:18:37] 你做完手
[00:18:37] 哪怕就进全切也罢
[00:18:38] 你切完之后
[00:18:39] 甲状腺几乎没有保留
[00:18:41] 设想一下
[00:18:42] 甲状腺癌的手术以后
[00:18:43] 为什么必须给它服用
[00:18:45] 甲状腺癌
[00:18:45] 甲状腺素片
[00:18:46] 另一方面的是
[00:18:47] 左旋甲状腺素
[00:18:48] 有甲乐
[00:18:48] 这个要有甲乐
[00:18:50] 那为什么要用它
[00:18:51] 因为我要不用
[00:18:52] 体内里面有甲状腺素来
[00:18:53] 它需要生理需求
[00:18:55] 对了
[00:18:55] 所以甲状腺癌的术后
[00:18:57] 服用甲状腺素片的原因是
[00:18:59] 它有生理需求的
[00:19:01] 你没有甲状腺素
[00:19:01] 人怎么活
[00:19:02] 那么戴小针
[00:19:02] 它不是
[00:19:03] 它叫我瞎说的
[00:19:04] 小说戴小针
[00:19:05] 办了以后就精神美丽
[00:19:06] 就加减呗
[00:19:07] 它还是不干活
[00:19:09] 所以它得维持基本甲状腺功能
[00:19:11] 那么好
[00:19:12] 外大学开始考我
[00:19:15] 甲状腺素的时候
[00:19:16] 给它补一个正常剂量
[00:19:18] 较大剂量
[00:19:19] 还是较小剂量
[00:19:20] 那好
[00:19:21] 那就用到甲状腺轴了
[00:19:23] 我知道
[00:19:23] 从下往上复返亏的
[00:19:25] 给它补的剂量越大
[00:19:26] 它对于泻脆的TSH
[00:19:28] 对于下胸脑TH
[00:19:30] 一直做的就更强
[00:19:31] 收回来不要动
[00:19:32] 刚才我谈了一下
[00:19:34] 甲状腺癌的癌细胞
[00:19:36] 对把蟹肉还敏感不
[00:19:37] 大
[00:19:37] 还敏感
[00:19:38] 好
[00:19:39] 重新提问
[00:19:40] 给它服用
[00:19:41] 有甲乐
[00:19:41] 正常剂量
[00:19:43] 小剂量
[00:19:44] 较大剂量
[00:19:45] 有哪个
[00:19:45] 用
[00:19:46] 较大剂量
[00:19:47] 因为到它能成熟的
[00:19:49] 最大剂量
[00:19:49] 就临界甲肛为止
[00:19:51] 为什么
[00:19:51] 越大的剂量
[00:19:52] 复返回作用越强
[00:19:54] TSH就越少
[00:19:55] TSH越少
[00:19:57] 那么它作为激素的营养作用
[00:19:59] 促进甲状腺癌
[00:20:01] 细胞
[00:20:02] 生长
[00:20:03] 和发育的能力
[00:20:04] 就越弱
[00:20:05] 我不知道你听懂了
[00:20:08] 没有听
[00:20:08] 听懂了打的弹幕是
[00:20:09] 甲状腺癌术后
[00:20:11] 要补甲状腺素的时候
[00:20:12] 要补大剂量
[00:20:13] 而不能补正常剂量
[00:20:15] 或小剂量
[00:20:15] 因为通过
[00:20:16] 人为的
[00:20:17] 因缘性的一个
[00:20:18] 临界甲抗导方式
[00:20:19] 减少体内TSH
[00:20:21] TSH少了以后
[00:20:23] 对甲状腺组织的
[00:20:24] 生长发育作用
[00:20:25] 就弱了
[00:20:26] 甲状腺癌的复发
[00:20:28] 就慢了
[00:20:30] 这就叫复返亏
[00:20:31] 就这样来用的
[00:20:33] 为什么说
[00:20:35] 咱们学每一个知识
[00:20:36] 你不能跳跃
[00:20:37] 没听过到外科学
[00:20:39] 你还不会吧
[00:20:40] 莫非非要学到外科学
[00:20:41] 哭了以后
[00:20:42] 再回来听基础课吗
[00:20:43] 所以说
[00:20:45] 想一想
[00:20:45] 这门可能怎么用
[00:20:47] 我有时候开玩笑
[00:20:47] 我能给你
[00:20:48] 讲80个版本
[00:20:49] 你想要哪个版本
[00:20:51] 我同学要考研
[00:20:52] 老师课够你用不
[00:20:53] 你连这都不会
[00:20:54] 你还考什么研
[00:20:55] 行啦
[00:20:56] 不管他啦
[00:20:57] 这就是所谓的
[00:20:58] 把线轴
[00:20:59] 我们举了一个例子
[00:21:00] 甲状腺癌术后
[00:21:01] 甲状腺素的
[00:21:02] 补充剂量问题
[00:21:03] 听懂了
[00:21:04] 复返过就结束了
[00:21:05] 就结束了
[00:21:07] 所以下面这文字
[00:21:08] 写了很多
[00:21:08] 有关调控的问题
[00:21:09] 是吧
[00:21:10] 生长益素
[00:21:10] 糖皮质激素
[00:21:11] 就刚才讲
[00:21:12] 应激反应和甲状腺轴的
[00:21:14] 一个相互健康作用
[00:21:15] 生长益素
[00:21:20] 反应
[00:21:21] 这个样子
[00:21:21] 所以世界上孕妇
[00:21:22] 咱们前面讲过
[00:21:23] 孕妇遇到甲抗的时候
[00:21:24] 要她补充
[00:21:25] 这个要来治疗
[00:21:27] 治疗给她
[00:21:28] 这个ATD
[00:21:29] 那么剂量要偏小
[00:21:31] 让孕妇的甲状腺素水平
[00:21:33] 达到正常
[00:21:34] 孕成的
[00:21:36] 这个剂量就好
[00:21:37] 而不是达到正常的水平
[00:21:39] 因为孕妇的甲状腺素水平
[00:21:41] 比正常人高
[00:21:42] 所以正因为如此
[00:21:43] 虽然是过程中
[00:21:44] 一旦内风雨
[00:21:45] 出血不冷冰
[00:21:46] 孕妇容易和平
[00:21:48] 甲抗
[00:21:48] 孕生期甲抗
[00:21:50] 那么这个时候
[00:21:51] 到内科就专门强调
[00:21:52] 该怎么治
[00:21:53] 该怎么治
[00:21:55] 原来一直强调PTO
[00:21:56] 现在后面强调说P1期
[00:21:58] 孕成的前三个月
[00:22:00] PTO用丙基
[00:22:01] 后六个月就还用甲基了
[00:22:03] 实际上
[00:22:03] 实际上这边有很大
[00:22:05] 很大的一些问题
[00:22:06] 我们这都先不纠结了
[00:22:07] 先不探讨了
[00:22:08] 总之
[00:22:09] 孕生期是个非常特殊的事情
[00:22:12] 孕生期的甲抗
[00:22:13] 孕生期的糖尿病
[00:22:14] 孕生期的高血压
[00:22:17] 所以有一些孕妇
[00:22:18] 在怀孕之前
[00:22:19] 身体非常健康
