# 源音频：P17-生理学本科教学及考研基础课 p17 循环-心肌电1.m4a
# 时长：2157s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:09] 好同学们,咱们下来就是正式进入心肌电的正题。
[00:02:58] 说实话,我们得按照逻辑,按照程序来做,按照程序做心电图,做灌麦造影。
[00:03:04] 现在再做个彩钞,不信再拍个片子,做个脑CT,做个刺孔症,等你把这床做完,老大爷早死了八回了。
[00:03:11] 我们一定是瞬间做出判断,一边治疗抢救,一边完善咱们的事业世界的结果。
[00:03:17] 我们经常是结论发生在证据来临之前,这个就叫临床思维。
[00:03:24] 所以谁要把医生按照法律程序,说你接诊以后,应该护士怎么样给他办住业手续,应该怎么样交费,一套套按照程序。
[00:03:33] 你记住,谁要把医学矿到这个矿子里,谁就死定了。
[00:03:37] 医学是原创的,难度非常大。
[00:03:39] 那么我们这样一个非常,
[00:03:41] 高能量的,前方高能,
[00:03:44] 谨慎入内,这样一个高能量的一个思考方式怎么建立,就是日常的学习工作,
[00:03:49] 积累过程中,不断的提纯提纯提纯,
[00:03:52] 升华升华升华,
[00:03:54] 萃取萃取萃取,
[00:03:56] 达到一个非人类的形状。
[00:03:59] 其实医生的智商是极其高的。
[00:04:02] 在这儿我们也可讲一句话,聪明就是骂人。
[00:04:05] 我们至少应该说这个人,
[00:04:08] 很智慧,
[00:04:10] 再高明的,很睿智,
[00:04:12] 再高明的,很深邃。
[00:04:14] 医学大家。
[00:04:15] 我想,大家这个词,应该就是给医生写的。
[00:04:18] 你也知道,中国传统文化中,只有老师和医生,
[00:04:22] 能被老百姓们尊称为先生。
[00:04:24] 除此之外,你见谁还有,五千年中国文化。
[00:04:27] 就是现时代,人们把有钱人叫先生。
[00:04:29] 有钱人,我就老看到在美国,
[00:04:32] 英国,在这老牌的资本主义国家里面,有钱人,
[00:04:35] 叫Gentleman吗?
[00:04:37] 叫Pumpkin,大南瓜。
[00:04:40] 你看英文阅读,你是不是这样读的?
[00:04:42] 英国,美国那么不厌谍资本主义国家,
[00:04:44] 都不敢把资本家叫先生。
[00:04:47] 不敢叫Gentleman。
[00:04:50] 人家那个贵族才叫Gentleman。
[00:04:53] 中国的先生,就是贵族的意思。
[00:04:57] 所以,学习不容易。
[00:04:58] 不管他哪,我得讲点废话,要不然你不知道在惨什么。
[00:05:01] 那么,新始终细胞,形成近期里的主要电流,
[00:05:06] 就不再是细胞内脏血的,甲醺酮胀了。
[00:05:09] 这要注意,这叫RK1。
[00:05:11] 我们叫做内向正流的甲电流。
[00:05:15] RK1。
[00:05:16] 是不是?
[00:05:17] RK1。
[00:05:17] 不。
[00:05:18] 这也是我的导师一直很严格给我讲。
[00:05:21] 赵如玉教授跟我说,你要么读读英文,要么读读中文。
[00:05:25] 你要读英文,你好好查查词典。
[00:05:26] 所以我语术读英文,不靠谱。
[00:05:28] 我瞎给人读,我老爱妈。
[00:05:30] 网上甚至还有人喷。
[00:05:32] 但是总体上发音还是勉强说得过去。
[00:05:34] 所以这个叫RK1。
[00:05:36] 要不你就叫中文,叫内向正流甲酮胀。
[00:05:38] 你不要整的中英文,中西合璧,不像话,不像专业课。
[00:05:43] 对了,RK1。
[00:05:44] 不再甲流了。
[00:05:46] 这个应该是,
[00:05:48] 在咱们九版教材的第九十八页,你翻开书看,就是八页下方。
[00:05:51] 说,星是机器,把机器列为星成。
[00:05:54] 不再是甲流通道,而是RK1。
[00:05:56] RK1,一个通道就具有两个特性。
[00:05:59] 一个叫门控特性,另一个叫离子选择性。
[00:06:02] 现在翻开书看一下。
[00:06:04] RK1,什么门控特性?
[00:06:06] 一看,两下我得苟延。
[00:06:08] 居然也是非门控的。
[00:06:10] 因为这内向正流,内向正流,一说电流,
[00:06:12] 同学们会想当然的认为,
[00:06:14] 电压门控吧老师,你亲自翻开书看是不是?
[00:06:17] 不是。
[00:06:19] 是非门控。
[00:06:20] 所以我们很自信的讲了一句话,
[00:06:22] 你在教材上见过进气电流,星层的电流的时候,
[00:06:26] 不管是传统的甲流通道,还是星是机器把RK1,
[00:06:29] 都是什么?
[00:06:30] 都是非门控的。
[00:06:31] 九十八页。
[00:06:35] 但是,你把这一篇内容再往下读。
[00:06:37] 尽管RK1它是非门控的,
[00:06:40] 可是它的开放水平高低,开放程度的大小,
[00:06:44] 是要接受摩天位的影响的。
[00:06:47] 我们在这儿,不信你动笔记一下。
[00:06:49] 在这儿,我们很谨慎讲,
[00:06:50] 摩天位就是电压。
[00:06:53] 电压不参与RK1的开放,
[00:06:57] 但是电压会调节RK1开放程度的大小。
[00:07:03] 所以我给它起了个名字,
[00:07:05] 这调节,不参与,一定把这句话用红笔记到书上。
[00:07:12] 今年如果你没有用,你记着,
[00:07:14] 两年之内你跑不了,你非用它不行。
[00:07:17] 所以我们如果不给未来学习打一个基础,
[00:07:19] 就稀里糊涂把书这么背下,
[00:07:20] 现在糊涂一直想,
[00:07:21] 老师我们都在医科大学里,
[00:07:23] 是吧,一本的院校学生,都在学习,
[00:07:25] 为什么二十年之后,有人称为民营医老,
[00:07:28] 而我还是个佣医,就来自于这些地方。
[00:07:31] 真的,如果你想的那热爱医学的话,
[00:07:34] 那就抓住每一个细节,
[00:07:36] 抓住每一个想上攀登的台阶。
[00:07:39] 我稀奇的讲,你稀奇的学。
[00:07:41] 对了,RK1并不是你想将它电压门控制,
[00:07:45] 而是非门控制。
[00:07:46] 尽管电压不会控制RK1开放不完毕,
[00:07:51] 它不需要,它就非门控制,
[00:07:53] 但是摩电位电压会调节RK1开放大小。
[00:07:58] 当然,新的记忆电位还有其他电流,
[00:08:01] 比如说习光膜的血脏通透,
[00:08:02] 还有点钠,是吧,
[00:08:03] 另外是那些钠泵做的,都参与一些。
[00:08:06] 这些东西你注意,它只是参与一些。
[00:08:08] 机器电位形成主要就是谁?RK1。
[00:08:10] 这地方不用纠结,就被一个RK1拿了。
[00:08:13] 有时候给我学生一直说,
[00:08:14] 老师我背完之后有啥稀里糊涂的。
[00:08:16] 一直说,不是我背的太少,
[00:08:18] 恰恰是我背的太多,
[00:08:20] 我稀里糊涂的,弄不清楚谁是主要的。
[00:08:23] 我们在早期学习的时候,非常精练,就是它。
[00:08:26] 所以讲内外科,我讲个原则,
[00:08:28] 一句话讲的每个病,
[00:08:29] 你给我一扯这个追跌趴突出那么多,
[00:08:31] 那么临床检查怎么查?
[00:08:33] 直腿抬高试验,直腿抬高加强试验,
[00:08:35] 别的不背了,再背就乱了。
[00:08:37] 那别人进来你先掰着腿看一下,
[00:08:39] 是就是,不是就不是。
[00:08:40] 你别这么扯一大堆废话,
[00:08:42] 学习最忌讳,摸着两个。
[00:08:45] 所以日常跟我的学生聊天,
[00:08:47] 原来是在办公室,现在比较忙,比较忙。
[00:08:50] 教室门口跟学生说聊,
[00:08:52] 大二小朋友,
[00:08:53] 大二小朋友到现在也不行了,开始乱了。
[00:08:55] 老师,也许吧,大概吧,或许吧,perhaps, maybe,
[00:08:59] maybe, 也没的。
[00:09:03] 是就是,不是,yes or no, it's a problem,ok?
[00:09:06] 解完了。
[00:09:07] 是或者不是,to be or not to be, it's a problem,
[00:09:09] 这是阿斯比亚先生的话。
[00:09:11] 是或者不是,这才是个问题。
[00:09:14] 不要把自己搞到血脏障碍综合症。
[00:09:17] 信息要准确。
[00:09:20] 再听一下,尽管电压不控制RK1的开放与关闭,
[00:09:26] 但是电压能调节RK1的开放大小。
[00:09:30] 我们很谨慎给个结论,
[00:09:33] 生理学上有这么一组问题,
[00:09:35] 叫做只调节,不参与。
[00:09:39] 慢慢往后学,我会讲很多案例。
[00:09:42] 新时机是一个。
[00:09:43] 接着往下走,进系列列RK1。
[00:09:46] 往下走,新时机希望动作的Action Potential。
[00:09:49] 与谷歌集合神经系列,
[00:09:51] 神经细胞是明显不同的。
[00:09:53] 主要特点在哪里?
[00:09:55] 在于去极化和复极化的过程,不对称。
[00:09:58] 这有个大概的示意图。
[00:10:00] 你想神经细胞,你还得分列位和后列位。
[00:10:03] 谷歌集细胞也是这样,分列位和后列位。
[00:10:05] 新时机细胞和其他细胞的动作列位,
[00:10:07] 最大区别就是复极化的过程,
[00:10:09] 比较复杂,时间长,
[00:10:11] 和去极化的生殖,复极化的降殖。
[00:10:15] 最大的问题,外观上,完全不对称。
[00:10:18] 差在哪里?
[00:10:19] 差在第二期。
[00:10:20] 第二期。
[00:10:21] 这个时期,现在我们知道了,
[00:10:23] 叫平台期。
[00:10:25] 南方的老师写教材的时候,
[00:10:27] 叫做平。
[00:10:28] 写的一个土,土地的土字,
[00:10:30] 一个水平的平。
[00:10:32] 平,就是比较高的一个平台。
[00:10:34] 在重庆四川,
[00:10:36] 西南地区喜欢叫平。
[00:10:37] 到陕西地方,喜欢叫云。
[00:10:39] 你听过一部小说和电视剧电影,
[00:10:41] 白鹿云。
[00:10:43] 云。
[00:10:45] 南方叫平。
[00:10:49] 我们教材要叫平台期。
[00:10:51] 这就是中文的一个
[00:10:53] 魅力所在。
[00:10:55] 这个形状看完之后,就让他走。
[00:10:57] 我们来看看他怎么形成的。
[00:10:59] 第一小块,动机叠位第一块,去极化。
[00:11:04] 去极化我们给了个名字。
[00:11:06] 这儿,课件正好动了,就这小块。
[00:11:08] 反过来吧,看这个图比较好一点。
[00:11:11] 零期,去极化。
[00:11:13] 我们第一次从这儿接触新式机细胞动机叠位,
[00:11:16] 也得听了一下。
[00:11:17] 动机叠位,新式机细胞,是五个时期构成的。
[00:11:20] 说了是四个,错。
[00:11:22] 零期算数,去极化。
[00:11:24] 零,一二三四。
[00:11:26] 真正的把这个数字装在脑子里,
[00:11:29] 因为将来啊,我们这个零一二三四用的地方很多。
[00:11:32] 所以我一说给同学们讲,那一课就会讲到,
[00:11:35] 你想这个肝硬化,别人比较动,会昏迷,
[00:11:37] 干系脑病,极化时期啊,
[00:11:39] 零一二三四,五个期。
[00:11:41] 像他肺脏,还有节节病。
[00:11:43] 极化时期啊,零一二三四,五个期。
[00:11:45] 乳腺癌,还有T0到T4,
[00:11:47] 零一二三四,五个期。
[00:11:49] 所以,慢慢慢慢你发现在医学上,
[00:11:51] 好到好到这个时阶段啊,
[00:11:53] 特别好玩。
[00:11:54] 这个是巧合了。
[00:11:56] 我们倒不是说人为设置的,不是。
[00:11:58] 它实际上是巧合。
[00:12:00] 我瞎说你瞎听啊,
[00:12:01] 这儿听那个数字,
[00:12:02] 零,一二三四,按背景,五个时期。
[00:12:05] 那么,零期叫趋极化。
[00:12:07] 一期叫快速复即的早期。
[00:12:11] 快速复即早期,一会儿一个一个分开学。
[00:12:13] 二期刚才说叫平台期,也叫平,叫圆。
[00:12:16] 三期叫快速复即的晚期。
[00:12:18] 四期,就基本恢复到近期点位了。
[00:12:21] 所以,动作点位是零一二三四,五个期构成的。
[00:12:24] 这么五个期里边,咱们一个一个学。
[00:12:26] 刚才先看第一期了,趋极化,零期趋极化。
[00:12:30] 零期趋极化怎么实现的?
[00:12:31] Departure Releasing,趋极化过程。
[00:12:34] 在适宜的适当的外来刺激作用下,
[00:12:36] 星矢机细胞发生兴奋,就快速趋极化。
[00:12:40] 那么,模内点位就从近期式的-90毫伏,
[00:12:43] 迅速上升到-30毫伏左右。
[00:12:46] 而形成动作点位的深支,就是这个零期趋极化。
[00:12:50] 从-90毫伏,一下步到-30。
[00:12:52] 这样的话,趋极化的幅度,
[00:12:54] 一般是个毫伏之多。
[00:12:56] 你还记得我刚才讲的一句话,
[00:12:58] 星矢机和豆方结细胞比例下,
[00:13:00] 星矢机细胞趋极化的幅度大,
[00:13:02] 开解幅度一百多毫伏。
[00:13:04] 另外看,很陡直。
[00:13:05] 陡直怎么了?
[00:13:06] 你还记得,细胞电活动过。
[00:13:08] 在电活动过程中,
[00:13:10] 如果不做特别说明的话,
[00:13:12] 我们都把横轴,作为时间轴,
[00:13:15] 代为用毫秒,设想一下。
[00:13:17] 像前面讲过,这个线条越陡直,
[00:13:20] 像这个就很陡,一下就上来了。
[00:13:22] 表明,
[00:13:23] 在代位的时间轴,
[00:13:24] 在单位时间内,
[00:13:26] 变位变好的幅度很大。
[00:13:28] 所以这个线条是陡直的,
[00:13:30] 还是倾斜的,
[00:13:31] 它反映的是什么呀?
[00:13:33] 是电活动的速度。
[00:13:35] 和豆方结这种慢反应细胞比起来,
[00:13:38] 星矢机细胞属于快反应细胞,
[00:13:41] 是纳纽流趋极化的,
[00:13:42] 快纳通道,纳纽流很快,
[00:13:45] 又快,幅度又大。
[00:13:47] 所以将来它产生冲动以后,
[00:13:49] 像别的细胞,
[00:13:50] 像自己细胞,
[00:13:51] 或其他地方,
[00:13:52] 传导的速度就很快。
[00:13:53] 他现在那一句话,
[00:13:54] 快反应的细胞,
[00:13:56] 居然,
[00:13:57] 传导速度也快。
[00:14:02] 时间短,大概一两个毫秒,
[00:14:03] 幅度大,120毫幅,
[00:14:05] 速度快,
[00:14:06] Vmax最大的速度可以达到每秒200-300幅,
[00:14:10] 速度非常快,一下就完成了。
[00:14:12] 冲动。
[00:14:13] 要学过细胞电那一块,
[00:14:15] 这个掌握的程度上看的话,
[00:14:17] 为什么它速度就这么快,
[00:14:18] 你还记得不?
[00:14:19] 因为,
[00:14:20] 细胞模式的去计划过程,
[00:14:22] 是纳纽流,
[00:14:23] 越内流,
[00:14:24] 电压门口纳通道要开放,
[00:14:25] 越内流就越内流,
[00:14:27] 内流,
[00:14:28] 通道开放,
[00:14:29] 开放,
[00:14:30] 更内流,
[00:14:31] 内流更开放,
[00:14:32] 一个典型的正反馈,
[00:14:33] 所以速度很快。
[00:14:34] 嗯。
[00:14:35] 那么绝对性是进细胞零细胞计划的纳通道,
[00:14:40] 它有哪些特征呢?
[00:14:41] 快。
[00:14:42] 激活开放的速度和失活关闭的速度都很快,
[00:14:44] 时间短。
[00:14:45] 第二个,
[00:14:46] 预点位水平,
[00:14:47] 你还记得,
[00:14:48] 在细胞内障咱们掌握的,
[00:14:49] 预点位一般咱们认为,
[00:14:51] 比进细类绝对只小10-20个毫幅,
[00:14:55] 大多数我们在读教材过程中,
[00:14:57] 把预点位自然就认可为小20毫幅了,
[00:15:00] 所以如果进细类-90,
[00:15:02] 那么预点位-70,
[00:15:03] 你像神经细胞,
[00:15:04] 进细类-70,
[00:15:05] 那么预点位就是-50毫幅,
[00:15:07] 这个样子。
[00:15:08] 第三条,
[00:15:09] 合同读数TTX,
[00:15:11] 可以阻断。
[00:15:12] 在我印象中第七版的五年教材上,
[00:15:17] 朱大年老师在写这一篇书写了一句话说,
[00:15:20] 心室筋细胞对合同读数,
[00:15:23] 就TTX,
[00:15:24] 不敏感,
[00:15:25] 把好多学生吊过来,
[00:15:26] 就坑了去了,
[00:15:27] 好多老师还过来,
[00:15:28] 专门说这个事。
[00:15:29] 实际上这边有个问题,
[00:15:30] 合同读数是纳通导学的一种阻断剂,
[00:15:33] 但是合同读数对人体的不同细胞膜敏感性是不太一样的,
[00:15:37] 应该说细胞膜对合同读数不太一样,
[00:15:40] 这个敏感性不太一样,
[00:15:41] 神经细胞的敏感性最高,
[00:15:43] 心肌细胞稍微差一点,
[00:15:45] 有人专门做过这样一个阐述,
[00:15:47] 大概心肌细胞对于合同读数的敏感性,
[00:15:50] 只有神经细胞的十分之一左右。
[00:15:52] 就这样说,
[00:15:53] 如果吃一口饭,
[00:15:54] 神经就中毒了,
[00:15:55] 吃十口,
[00:15:56] 心肌才中毒。
[00:15:57] 他是这个意思。
[00:15:58] 并不是不敏感,
[00:16:00] 是和神经细胞比起来,
[00:16:02] 敏感性稍稍低一点。
[00:16:03] 听过就好,
[00:16:04] 这些听下来,
[00:16:05] 第一次学习讲的再多,
[00:16:07] 你也背不下我。
[00:16:08] 你先背的第一条是,
[00:16:09] 新式机器宝临期训计化,
[00:16:11] 是快纳通道开放,
[00:16:13] 纳内流实现的,
[00:16:14] 可以被合同读数阻断,
[00:16:16] 就OK了。
[00:16:17] 嗯,
[00:16:20] 附计划一来这玩下雪。
[00:16:21] 附计划咱们刚才说,
[00:16:24] 第一个时段,
[00:16:25] 就是所谓的快速附计早期,
[00:16:27] 一期。
[00:16:28] 这个占用时间大概是,
[00:16:30] 占用的时间在10个毫秒左右。
[00:16:33] 一般咱们就把零期计划,
[00:16:35] 和一期附计划这一小块,
[00:16:37] 叫做传统意义上的风电位了。
[00:16:39] 嗯,
[00:16:40] 那么这个,
[00:16:41] 快速附计划的早期怎么实现的,
[00:16:44] 是一个一过性的外向的,
[00:16:46] 假电流,
[00:16:47] 叫transcent outward。
[00:16:49] 看着,
[00:16:50] 看着它这个是什么?
[00:16:51] 是一个假外流。
[00:16:53] 所以说,
[00:16:54] 写个英文单词,
[00:16:55] transcent outward,
[00:16:56] plusum,
[00:16:57] p-o-t-a-s-i-u-m,
[00:16:58] plusum是假粒子,
[00:16:59] 英文单词,
[00:17:00] transcent outward,
[00:17:01] plusum current。
[00:17:04] 所以把它简称IPO,
[00:17:07] 好多人喜欢都to,
[00:17:08] to是不合适的。
[00:17:09] 你再看,
[00:17:10] transcent outward,
[00:17:12] 它是一过性的外向,
[00:17:15] 一过性外向,
[00:17:16] 所以P-O,
[00:17:18] yes,
[00:17:19] 这应该都做TO。
[00:17:20] IPO通道,
[00:17:21] 在区区化到-40毫米左右,
[00:17:23] 实际上它就被激活了,
[00:17:24] 被激活了。
[00:17:25] 到了这个区区化结束的时候,
[00:17:27] 它的开放很充分,
[00:17:28] 这个-40毫米和谁正好对应了,
[00:17:30] 和零期区区化的时候,
[00:17:32] 这个概通道开放也在-40,
[00:17:34] 所以实际上回头看一下,
[00:17:35] 零期区区化除了传统的纳内流之外,
[00:17:39] 还有很多别的通道在参与,
[00:17:41] 有IPO呀,
[00:17:42] 有概呀,
[00:17:43] 甚至还有T型概通道参与,
[00:17:44] 它很复杂,
[00:17:45] 但现在我们学那么多没有用,
[00:17:47] 不先学那么多,
[00:17:48] 先搁这儿。
[00:17:49] 嗯,
[00:17:50] 就是零期区区化,
[00:17:51] 就是纳内流,
[00:17:52] 一期复集化,
[00:17:53] 就是假外流,
[00:17:54] 但是,
[00:17:55] 假外流得有通道借到它一化扩散往外流,
[00:17:58] 那么在一期复集化,
[00:17:59] 假怎么外流呢?
[00:18:00] IPO。
[00:18:01] 如果在细胞内障的生物链里边,
[00:18:05] 我们只谈了一下纳和假,
[00:18:06] 我们根本就没有专门去关注通道的话,
[00:18:09] 注意,
[00:18:10] 新基细胞电风筒的学习,
[00:18:12] 最大要点在于,
[00:18:13] 一定注意,
[00:18:14] 假通道和假通道,
[00:18:16] 差别可就大了去了。
[00:18:18] 对了,
[00:18:19] 都是个假通道,
[00:18:20] 差别怎么那么大呢?
[00:18:21] 你打开书读一下,
[00:18:23] 在新房积细胞,
[00:18:24] 模儿上和新石积细胞比一下,
[00:18:27] 它有较多量的ACH,
[00:18:30] 叫单解敏感假通道,
[00:18:32] 你翻开书看有没有,
[00:18:33] 新房积细胞动电的时程稍微短一点,
[00:18:36] 具有更多的IKACH,
[00:18:40] 所以每一个基因细胞,
[00:18:42] 它的假通道的亚细,
[00:18:44] 数量,
[00:18:45] 分类都不太一样,
[00:18:46] 因此每个细胞都有各自的电生理学特征,
[00:18:50] 你想,
[00:18:51] 心脏从我出生之前,
[00:18:52] 胎儿时期啪哒啪哒开始跳,
[00:18:54] 中白绿,
[00:18:55] 一分钟一百四到一百六十次,
[00:18:57] 出生以后,
[00:18:59] 等它,
[00:19:00] 等它,
[00:19:02] 这个我一下跳了一辈子,
[00:19:03] 它得多复杂啊你去想,
[00:19:05] 它非常复杂,
[00:19:06] 先听一下,
[00:19:07] ITO,
[00:19:08] 我翻,
[00:19:09] 假粒子是ITO的主要粒子,
[00:19:13] 这没有问题,
[00:19:14] 开放时间大概五到十个号了,
[00:19:15] 过了,
[00:19:16] 这个不背了,
[00:19:17] 也不用背它什么时候开放,
[00:19:18] 能知道一系的期末考试,
[00:19:20] 能知道一系的快速复育早期,
[00:19:22] 是通过ITO这个小通道假代理,
[00:19:24] 就非常OK了,
[00:19:25] 过了,
[00:19:26] 翻过去,
[00:19:28] 往下走第二十期,
[00:19:29] 就是咱们说的谁啊,
[00:19:30] 平台期,
[00:19:31] 只要我们这个学期学过就明白,
[00:19:33] 这期末考试是百分之百得考你一下,
[00:19:35] 新式基因细胞和谷歌基因细胞,
[00:19:37] 神经细胞最大的动变的特点,
[00:19:39] 就是它在二期的时候,
[00:19:41] 很长时间,
[00:19:42] 一百到一百五十毫米的时间范围内部,
[00:19:45] 磨的电位就没怎么变化,
[00:19:47] 持续保持在零毫米左右,
[00:19:49] 把这么长一个时期称之为平台期,
[00:19:52] 这是心经细胞电活动的最大特点,
[00:19:54] 自己不可能不考你,
[00:19:56] 它变成你怎么来的,
[00:19:58] 持续一百到一百五十,
[00:19:59] 一百五十毫秒,
[00:20:00] 是新式基因细胞动变为区别的主要特征,
[00:20:03] 那么有初期有随后有结果,
[00:20:05] 初期是细胞膜上内向电流和外向电流相对比较平衡的过程,
[00:20:12] 然后再往后面延续的过程中,
[00:20:14] 慢慢的内向电流减弱了,
[00:20:16] 外向电流增强了,
[00:20:17] 最后结果是出现随着时间推移而逐渐增强的微弱的一个外向电流,
[00:20:24] 磨实际上电位是微微在变化的,
[00:20:27] 只是变化的幅度很小,
[00:20:29] 看起来像在一个二楼平台上没有洞一样,
[00:20:32] 我们给它个名字,
[00:20:33] 平台期,
[00:20:34] 那不用问,
[00:20:35] 平台期的时候,
[00:20:36] 外观上看摸电位为什么变化,
[00:20:39] 你要在细胞摸测一下有电流没有大,
[00:20:42] 有电流但是没有电位变化,
[00:20:44] 那电流一直在流,
[00:20:45] 怎么电位就不变,
[00:20:46] 那不用问,
[00:20:47] 那只是内向和外向电流相互平衡了,
[00:20:51] 内流多少,
[00:20:53] 我就外流多少,
[00:20:54] 咱们平衡一下,
[00:20:56] 那么谁和谁在平衡的往下走,
[00:20:58] 我们经过进一步研究,
[00:21:01] 我们经过进一步研究,
[00:21:02] 我们发现平台期的时候,
[00:21:03] 指最平台,
[00:21:04] 内向电流是钙粒子来实现的,
[00:21:08] 哪个钙,
[00:21:09] 咱们学这么久了还记得,
[00:21:10] 一说钙就相信一个名字了,
[00:21:12] 电压门口的钙通道,
[00:21:14] 电压门口都有两种,
[00:21:15] T型钙通道,
[00:21:16] L型钙通道,
[00:21:17] 你还记不记得咱们在学到细胞内障第四节的时候,
[00:21:21] 前膜有钙,
[00:21:22] 基膜,
[00:21:23] 基管膜还有钙,
[00:21:24] 是吧,
[00:21:25] 这个纵管里边中齿还有钙,
[00:21:28] 吸移丝还有基钙蛋白,
[00:21:30] 一提显这个钙我觉得好大,
[00:21:31] 到处都是钙,
[00:21:32] 这个地方其实一样,
[00:21:33] 在平台期的钙内流,
[00:21:36] 是通过L型的电压门口钙通道实现的,
[00:21:40] 电线的闷钙通道,
[00:21:41] 内流闷,
[00:21:42] 预定为大概伏四十毫伏,
[00:21:44] 阻断器可以通过门,
[00:21:45] 通过其他各种钙阻阻,
[00:21:48] 比如说给了个名字,
[00:21:49] 威拉帕姆指数,
[00:21:50] 你不用背它,
[00:21:51] 要是学这边得专门学,
[00:21:53] 我们叫菲尔钦比丁,
[00:21:54] 钙级钢机,
[00:21:55] 将来再说这不背了,
[00:21:56] 就知道,
[00:21:57] 为什么这道是钙内流的,
[00:21:58] 因为这些通道能被钙阻断器阻断,
[00:22:03] 那么平台期的时候,
[00:22:05] 之所以摩电力变好不大,
[00:22:07] 但电流有很多,
[00:22:08] 原因是内向和外向电流互相平衡了,
[00:22:11] 这要再讲,
[00:22:12] 内向电流是谁呀,
[00:22:13] 是钙,
[00:22:14] 钙内流,
[00:22:15] 你还记得学完细胞电一句话不,
[00:22:17] 内向电流让摩发生去几化,
[00:22:20] 你看咱们这个视频,
[00:22:21] 基电浮90,
[00:22:23] 起效率正30几数,
[00:22:24] 脑补一下,
[00:22:25] 这个地方如果发生钙内流的话,
[00:22:28] 钙内流会让这个线条往上翘,
[00:22:31] 还是往下拐,
[00:22:32] 对吧,
[00:22:34] 钙的内流会让摩发去几化,
[00:22:36] 你看这个图上,
[00:22:37] 线条往上走是去几化,
[00:22:39] 线条往下来是浮几化,
[00:22:42] 平台期,
[00:22:43] 之所以一直迟迟的没有往下掉,
[00:22:45] 是钙内流坚持的结果,
[00:22:48] 钙内流多的话,
[00:22:49] 这个线条会往上翘,
[00:22:52] 钙内流如果少的话,
[00:22:53] 线条会往下垂,
[00:22:55] 是这意思吧,
[00:22:56] 这一定要暂停,
[00:22:57] 脑补一下这个小画面,
[00:22:59] 钙内流让摩发去几化,
[00:23:01] 去几化,
[00:23:02] 会让线条往上飘,
[00:23:03] 钙外流会让摩发去几化,
[00:23:04] 附几化的话,
[00:23:05] 越附几化快,
[00:23:06] 线条越往下垂,
[00:23:08] 往上飘是钙内流,
[00:23:10] 往下垂,
[00:23:11] 万下电流,
[00:23:12] 到了新级电,
[00:23:13] 突然难度大了,
[00:23:14] 你想这样瞎听,
[00:23:15] 被简单,
[00:23:16] 连续几化,
[00:23:17] 钙内流,
[00:23:18] 一期附几化,
