# 源音频：P24-生理学本科教学及考研基础课 p24 循环-调节.m4a
# 时长：5777s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,这样咱们就接下来安心的读一下心血管活动调节。
[00:02:18] 那么你想,这个是一通话的主动脉宫,脊椎脉动,这是压力感受反射。
[00:02:23] 咱们慢慢这样学习了。
[00:02:25] 它这个感受压力变化以后,就是以弥走神经感传入。
[00:02:29] 你看主动脉宫这。
[00:02:30] 脊椎脉动是一什么?
[00:02:31] 是一舌验神经,所以这是传入这一框。
[00:02:34] 传入的地方还叫弥走,但传出你看,再给了个名字,叫副交感。
[00:02:39] 这是第一个意思。
[00:02:40] 第二个意思,再仔细看一下。
[00:02:42] 这个交感神经从盐水或者脊髓这,这主要是中枢是从盐水发出的。
[00:02:47] 发出以后呀,在新交感神经,你看这个地方,在追旁,有个神经结。
[00:02:53] 在这儿,你看交换一次,画了个突出连接,交换一次神经元。
[00:02:57] 实际上是这就是咱们解剖学学的。
[00:02:59] 这一段,就叫做交感的结结。
[00:03:02] 这一段叫做结后线位。
[00:03:04] 再看弥走,就副交感。
[00:03:06] 从弥走神经一核被核发出线位之后,你看一个脑的豆磅结旁边,在星宝内部,在腔经脉这儿,诶,这儿画了个突出的示意图。
[00:03:15] 在这儿才交换神经,也变成结后线位。
[00:03:17] 所以你能相信解剖还记得,弥走和交感比一下。
[00:03:21] 交感神经,结前线位短,结后线位长,支配区域广泛。
[00:03:27] 弥走神经呀,你看都是结前线位,在这儿。
[00:03:29] 这一段是结后线位,很短。
[00:03:31] 所以弥走是结前线位长,结后线位短,支配区域比较小。
[00:03:37] 再看这一段更有意思。
[00:03:38] 支配肾上线,特别肾上线位随质的,这个交感神经看都是蓝色的,都是结前线位。
[00:03:45] 所以它实际上,这个肾上线位随质呀,在体内是个例外。
[00:03:50] 明明在解剖和肾脉圈上强调,植物神经都是结后线位支配器官的,但反是都有例外。
[00:03:58] 人体的肾上线位随质,是直接结后线位。
[00:04:01] 接受交感,结前线位支配。
[00:04:05] 大二十五咱们年龄还小,听很多专业课,觉得就很累。
[00:04:08] 找他啥嘛呀,到大四大五学过要理病神诊断以后,再来听这只,好亲切呀。
[00:04:15] 对了,体会一下,人体的肾上线位随质,随质,是相当例外的。
[00:04:22] 它直接接受我们的交感神经,结前线位支配。
[00:04:26] 而别人都是接受结后线位支配。
[00:04:29] 这样的话,这张图片其实很重要。
[00:04:32] 我们至少知道,内脏活动是十五神经支配,十五神经弥走交感,弥走还有一个外号,叫副交感。
[00:04:39] 弥走神经是个缓和神经,传入线位就叫弥走,传出线位就叫副交感。
[00:04:45] 有接前有接后,交感神经支配区域广泛,为什么?
[00:04:48] 接后线位长,接前线位短,弥走神经正好反过来。
[00:04:52] 有这样一个大概概念之后,你才有这种叫基础或前提。
[00:04:58] 设想这张图片,是咱们研究心切果活动神经调节的。
[00:05:02] 结果基础,是前提。
[00:05:04] 没有这么一个概念,你这个医学就学不下去了。
[00:05:07] 嗯,我先往下翻。
[00:05:10] 那么,神经调节在学论界要强调,唯一的方式,就是反射。
[00:05:16] 反射的话,你就有反射火呀。
[00:05:18] 虽然反射火是什么结构,显然这一节要大家学一下。
[00:05:21] 那么人体为什么要进行心切果活动调节?
[00:05:25] 调节为了适应气体需要,比如说,你要跑步,和你晚上睡觉,那血压不一样。
[00:05:30] 我的血压怎么样,相对更稳定一点。
[00:05:32] 另外,我要跑步的时候,我需要一个方式,就是,我需要一个方式。
[00:05:32] 另外,我要跑步的时候,我的骨骼骨骼要收缩,所以就需要更多血液供一个骨骼肌。
[00:05:39] 那么,坐着不动的时候,我刚刚吃饱饭,山西一句老话,山西人说,饱含饿肌理。
[00:05:45] 吃饱之后,来呀,来呀,困,那些,我后面会讲课。
[00:05:48] 我就老闭着眼儿,有点犯困,犯困这个课不讲吧,同学们也讲不出来,也不行。
[00:05:53] 讲吧,讲哟哟呀,闭着眼儿讲吧。
[00:05:55] 吃饱饭为啥犯困?
[00:05:58] 因为这更多血液去育肠道,帮助消化吸收去了。
[00:06:01] 我的骨骼鸡呀,皮肤呀,甚至包括大脑,供血量相对就会少一点点,都去忙着消化吸收去了。
[00:06:09] 跑步的时候,就需要把血拿出来,给骨骼鸡,给心和脑。
[00:06:13] 所以我们从安静时候,内脏供血为主,到跑步时候,骨骼鸡供血为主,这一章就特别重要,叫血液的重新分配。
[00:06:23] 为什么有些人跑步跑得太剧烈以后,饱餐之后就跑步,出来以后胃疼,恶心呕吐。
[00:06:29] 胃肠到脑袋要消化吸收,结果你把血拿出来,
[00:06:31] 骨骼鸡就没有血液,没有能量来帮助消化吸收,消化了也吸收不了。
[00:06:37] 这样的话,胃肠缺血,胃肠不适,建议饭后摆步走,可不是饭后摆步去暴走,缓步走。
[00:06:45] 饭后摆步走,能活99,饭后一袋烟,胜过活神仙,这怎么说都有理,我不说了,再说真实。
[00:06:55] 那么怎么调节血管活动,刚才说通过神经调节,体液调节和自身调节。
[00:07:01] 这三个不同方式。
[00:07:03] 那么神经调节的话,必须有个结构,叫反射弧。
[00:07:06] 换句话说,神经调节唯一的方式,就是反射。
[00:07:10] 所以从中学开始接触,到了咱们虚论里边,反射又包括非调节反射,就是所谓的本能。
[00:07:16] 非调节反射,还有条件反射。
[00:07:18] 条件反射,第一信号系统,第二信号系统,什么网媒、智科,都没看见梅子,我还流口水。
[00:07:25] 第二信号系统,抽象的,就是画个大饼拍。
[00:07:28] 这意思。
[00:07:29] 贴条件通常理解就是结束。
[00:07:31] 那边还有资深调节,刚才看了。
[00:07:33] 有微循环,这个毛绣花切块为基,代谢为产物,自身调节。
[00:07:38] 这样的东西。
[00:07:39] 那么具体怎么调节呢?
[00:07:43] 比如说通过调节博出量,通过调节心率,来影响心脏的输出量。
[00:07:48] 通过调节这个绣花紧张性,外周阻力,总的来调节动脉血压。
[00:07:53] 所以前面也说,动脉血压调节五个因素。
[00:07:56] 博出量,博出量大,输出量就高。
[00:07:58] 失法心率快,这个外周阻力大,舒展就高。
[00:08:01] 管鼻硬化,哎呀,挺胸而充盐也。
[00:08:03] 这样,类似这样一些。
[00:08:04] 这样来实现的。
[00:08:06] 嗯,先往下翻。
[00:08:09] 踏踏实实先看第一块,声音调节。
[00:08:12] 看看声音调节,在心血管这儿,有几种反射。
[00:08:15] 所以这个学习这个思路也挺有意思。
[00:08:17] 你要有这种感觉的话,应该翻开脚踩笃一下。
[00:08:20] 哦,在这个地方,声音调节脚踩起来三个反射。
[00:08:24] 分别叫做动弓反射,也就是解压反射。
[00:08:27] 还有解动脉体和主动脉体的化学感受反射。
[00:08:30] 还有所谓的心肺容量感受反射。
[00:08:33] 这个贴的条件又包括什么?
[00:08:34] RAS,叫声速觉光解囊组绝孤同系统。
[00:08:37] 哦,还有去甲生和生长线素,一个神秘亚药,一个强心药。
[00:08:42] 还有内皮素,还有营养化氮,是吧。
[00:08:45] 1dCF,1dRF,1dHF,还有基态化基态,还有VP,血管解压素。
[00:08:51] 一块儿。
[00:08:52] 哎,这儿还有局部血流调节,还有动脉血压短期长期调节。
[00:08:56] 随意往下走,先看声音调节。
[00:08:59] 嗯,声音调节像刚才咱们看的那个视野图一样。
[00:09:03] 实际上,这也是声音调节。
[00:09:05] 这是植物神经活动的特征。
[00:09:07] 这个内容有时候就是这样。
[00:09:09] 所以你一种方法是,就这么按照教材顺序往下学。
[00:09:12] 一种方法比方说,你学到这儿的时候先别着急,
[00:09:15] 你把教材停下来,课堂停下来。
[00:09:17] 你先翻开咱们神经神经学读一下。
[00:09:20] 叫内脏植物神经活动的四大特征。
[00:09:24] 紧张性支配,双重支配并相互结抗。
[00:09:28] 同一器官,不同神经活动作用也不一样。
[00:09:31] 还有植物神经的整体效应。
[00:09:35] 教材神经兴奋,让人血糖升高。
[00:09:37] 学一封兴奋配,应激应,将能量动远。
[00:09:41] 民族神经兴奋,胰岛素分泌增加。
[00:09:43] 让人血糖降低,产生糖原,代备症合成,脂肪合成。
[00:09:47] 这样子修养生息,修生养息,能量储备。
[00:09:51] 至少咱们学这一节内容的时候,你得有几个印象。
[00:09:55] 第一个印象,就心脏的支配。
[00:09:57] 心脏支配是最典型的一种活动支配,是双重支配的。
[00:10:02] 既有教材神经存在,也有民族神经存在。
[00:10:05] 那么我提前讲一句话,后期慢慢验证它。
[00:10:08] 心脏既接受教材支配,也接受民族支配。
[00:10:11] 那我主要听谁的?他,主要听你走的。
[00:10:15] 一会儿咱们验证他,主要听你走的。
[00:10:18] 这样的话,咱们先看教材。
[00:10:20] 教材的中枢神经链,所以上一章可叫你记着了啊,
[00:10:23] 教材节节线位、节后线位。
[00:10:25] 中枢神经链发出的线位叫节节线位。
[00:10:28] 那么支配教材,支配心脏的教材神经,
[00:10:32] 它的中枢神经链是谁?
[00:10:34] 来自于脊髓胸。
[00:10:35] 它是中端的中节外侧柱,也叫侧角。
[00:10:38] 这就是中枢神经链。
[00:10:40] 它的轴途就叫节前线位。
[00:10:43] 所以发出线位之后并没有直接支配心脏。
[00:10:46] 它的交换神经链变成节后。
[00:10:48] 在哪交换神经链的?
[00:10:49] 在颈部的心状神经节、颈交概神经节。
[00:10:54] 变成节后线位,也就是颈部、也就是纵格下心。
[00:10:58] 进入心包心脏以后,又分为心上、心中、心下。
[00:11:02] 三条神经,或者三个分支。
[00:11:04] 这三个分支,
[00:11:05] 差不多对应着斗方节方式数、方式交界、心花心识机,大概这个样子。
[00:11:11] 实际上对于生理学上,我们更感兴趣的不是这样一个分类,
[00:11:16] 而是把节后线位分为什么?
[00:11:18] 左支和右支,左右两支。
[00:11:21] 那个分类,但不管怎么样,通过这个图表看一下。
[00:11:25] 节前线位、节后线位。
[00:11:27] 交感神经从中枢脊髓发出以后,并没有直接支配心脏,先往上走。
[00:11:34] 从胸段发出来,到脖子上。
[00:11:37] 心脏和颈交感是引力的化约之后,再往下走。
[00:11:41] 所以节前线位是这一段。
[00:11:43] 节后线位一直下,节后线位反而更长。
[00:11:45] 诶,这个样子。
[00:11:49] 这样作为心上心中心下,刚才说分为左右两支。
[00:11:53] 这两支其实对于心脏活动来说,它的支配不太一样。
[00:11:57] 左侧支配方式交界,右侧支配斗方节。
[00:12:01] 所以右支心风的时候,或者变化的时候,心力变化更多。
[00:12:05] 左支心风的时候,它的手臂变化更多。
[00:12:05] 右支心风的时候,它的收缩力,包括方式节,交界处的传导速度变化更多。
[00:12:12] 不管怎么样,整个心脏的神经心风以后,交感神经起三个正性作用。
[00:12:18] 这是医学生学完之后,不管你愿不愿意也不会忘的。
[00:12:21] 交感神经心风,心率加快。
[00:12:24] 心率快慢,是里面的角。
[00:12:27] 心脏的正性辨识,负性辨识,辨识作用。
[00:12:31] 那么收缩的大小,叫辨率,这个简单。
[00:12:34] 方式节的传导速度,叫辨传导。
[00:12:37] 交感神经传导会加速,收缩力会加强,心率会加快。
[00:12:42] 那么我们既然是学习生理学,为什么会产生这些东西?
[00:12:46] 实际上这个内容在哪?不是在这一节,是在细胞那一章第二节,跨模型好传导就讲过了。
[00:12:53] 交感神经结合纤维会释放去甲神二线素,那么长在心肌细胞某一样是β1受体。
[00:12:59] 去甲神和β1这么一个G蛋白偶联受体结合,通过GS蛋白激活AC,激活CMP,激活蛋白基酶A,PKA。
[00:13:09] 再让心肌细胞膜上,钙通导蛋白质流向化,产生钙粒子内陆的增多。
[00:13:15] 实际上,整个心脏这三个正性作用,都是钙内陆增加,直接实现的。
[00:13:22] 当然,一会儿咱们会看到,交感神经不但会影响钙,也会影响豆房结细胞。
[00:13:28] 第四期内有起搏电流,叫RIF电流。
[00:13:32] 嗯,在前面心肌电脑上讲的比较细,这儿都要用了啊,都要用,先往下翻。
[00:13:39] 为什么会这样,就像刚才说的,咱们再叙述一遍。
[00:13:42] 去甲神,注意这个内容不是在心脏这儿讲,在哪讲的?在细胞内脏第二阶。
[00:13:47] 去甲神和β1受体,去结合,嗯,然后去通过G蛋白偶联受体的GS蛋白,叫信封的G蛋白,激活细胞内部AC,解开脏黄胺酶。
[00:13:58] 它就会把ATPC环化成CMP,然后它再去激活PKWGMA,WGMA激活之后,让心肌细胞帮忙盖通道,它代表着流算化。
[00:14:09] 哎,所以盖的通透性增加了,以致盖内流增多。
[00:14:13] 另外刚才说,除了盖通道之后,还有RIF,你还能记得啊,豆房结细胞第四期组织组织化是三个电轴,逐渐衰减的RIK,逐渐增强的RIF和T型盖。
[00:14:27] T型盖。
[00:14:28] RIF起波电轴它增大的以后,那的内流增加,这是一个特殊脑通道。
[00:14:34] 所以这个内容咱们学生理学就不依为然。
[00:14:37] 如果我的同学感兴趣,或者这不是打耳小朋友,学过药理学了,你注意,咱们第九版内科学,264页,264。
[00:14:47] 说为啥你把夜马记那么准啊?因为我在太原讲课这块,小学太原有一家部队医院,叫264,你就当我那样记起来吧,那个地方在内科学上有个药物,叫逆法不离地。
[00:14:58] 逆法不离地,为医校的人憔悴,逆法不离地,法律的法,棉布的布,离地,法不离地。
[00:15:07] 逆法不离地,就是内科学常用的一个通用的叫RIF通道解抗剂。
[00:15:14] 不用想象,你给他吃了逆法不离地以后把他阻断了,那么动物环境细胞四气自动去医化的速度减慢,心率就减慢了。
[00:15:22] 所以那个264页写的内科学的扩张性心肌病,这个病人要求心率不得超过。
[00:15:28] 每逢动70次,心率非常敏感,快累会要死人的,阻断RIF。
[00:15:34] 所以讲这么啰嗦,讲个案例干嘛呀,就跟这个电流做不是很大主要是一下什么,一下心率。
[00:15:41] 你想盖的话不用问,咱们在细胞那儿学过所谓的CR,CR,盖队道盖时方,你能让它开发增加,盖内部增多,那么收缩率,传导速度就加强。
[00:15:53] 嗯,这个样子。
[00:15:55] 传导为什么加强,咱们多讲一条。
[00:15:57] 实际上这个正经变差,
[00:15:58] 指的是谁啊,是房室交界区的传导。
[00:16:02] 房室交界区是用慢反应细胞。
[00:16:04] 前几节课讲过,慢反应细胞它的临期区域化是盖内流的。
[00:16:09] 盖内流如果增加,区域化速度就加快。
[00:16:13] 所以讲到心肌电视里的特质,咱们专门强调,影响动作电力在心肌细胞膜上传导速度的因素是谁?
[00:16:21] 是细胞区域化的速度和幅度。
[00:16:24] 盖内流加速了以后,它到速度就加快了。
[00:16:29] 所以正经变差导是通过盖内流加速实现的。
[00:16:32] 房室交界区它的传导与盖有关系。
[00:16:37] 所以下学期咱们做医药理学的时候,你注意,
[00:16:39] 你要给别人吃个改节抗击,比如说吃个微拉帕米,
[00:16:43] 就会让心脏的交界区传导减慢,能制造很多心理失常。
[00:16:48] 所以读的书越多,人反而越敞亮。
[00:16:51] 有时候老说呀,咱们其实有时候就是这样,读的太少,想的还太多。
[00:16:56] 所以生理学老师在讲生理学的时候,多举例子。
[00:16:59] 你如果能听懂最好,听不懂的一些搁这儿,
[00:17:02] 下学期再说,往前走。
[00:17:06] 另外,像刚才描述过,
[00:17:07] 介绍肝神经还会促进肌体的肝糖原分解加强,
[00:17:12] 提高它的血糖水平,增加能量供应。
[00:17:15] 这个在心脏这一边,不专门啰嗦了。
[00:17:18] 另外还能降低肌盖蛋白,对盖的亲和力,
[00:17:22] 甚至包括能够激活盖盆和纳开交换体。
[00:17:26] 所以这个地方多听一句话,
[00:17:28] 在人体交感神经,
[00:17:30] 如果激活盖盆,它就及时把盖给移走了,
[00:17:34] 促进细胞的舒张。
[00:17:36] 如果打开盖通道,盖内路增加CRCR,
[00:17:39] 促进心脏的收缩。
[00:17:41] 交感神经对于心脏是双向作用的,
[00:17:44] 既加强收缩,也加强舒张。
[00:17:48] 慢慢下去,
[00:17:49] 学药理学的时候,有一类药物叫阳地黄,
[00:17:52] 其实打二咱们还没研究,
[00:17:53] 但是咱们学过一个东西,
[00:17:55] 纳盆的意志,哇吧音。
[00:17:57] 所以内科学上就拿这个东西,
[00:17:59] 来增加心脏的收缩。
[00:18:00] 来增加心脏的收缩。
[00:18:00] 来增加心脏的收缩力,叫强心药。
[00:18:03] 有个麻烦,这个阳地黄强心药吃了以后,
[00:18:05] 是只加强收缩,不加强舒张。
[00:18:09] 它和人不一样,
[00:18:10] 我们交感神经兴奋的时候,
[00:18:12] 可是既加强收缩,也加强舒张。
[00:18:16] 所以不但心脏蹦起来快,
[00:18:18] 心脏回流,充盈也快,
[00:18:21] 对人体好处非常大,
[00:18:22] 这个样子。
[00:18:27] 按FD就刚才讲,
[00:18:29] 会让斗黄结丝细胞第四期自动虚拟化速度加快,
[00:18:32] 所以这样心率计划,
[00:18:33] 正经练习,
[00:18:33] 那么钙内陆增加,
[00:18:35] 一般细胞膜上,
[00:18:36] 内陆增加,
[00:18:37] 输出加强。
[00:18:38] 刚才都讲过了,
[00:18:40] 而在传导这儿,
[00:18:42] 防止交界区是有慢反应细胞的,
[00:18:44] 钙内陆一快,
[00:18:46] 灵气区区化速度加快了,
[00:18:49] 所以灵气区区化速度和幅度,
[00:18:51] 会影响到传导速度,
[00:18:53] 正气别传导,
[00:18:54] 这么个机制。
[00:18:57] 所以通过读这个东西以后,
[00:18:58] 你就发现,
[00:18:59] 交感神经兴奋的时候,
[00:19:00] 心脏活动为什么会加强,
[00:19:03] 这一篇是讲机制的。
[00:19:04] 对了,
[00:19:04] 差不多交感神经就这个样子。
[00:19:09] 接下来是弥祖,
[00:19:11] 弥祖是它的结构,
[00:19:13] 你知道,
[00:19:14] 和交感比一下,
[00:19:15] 它是结切线微长,
[00:19:16] 结厚线微长,
[00:19:17] 我怎么看,
[00:19:18] 你看,
[00:19:18] 弥祖中枢是来自于盐水的,
[00:19:20] 弥祖是一合被合,
[00:19:22] 这个合同发生的线微叫结结线微,
[00:19:25] 你得到了心脏壁内,
[00:19:26] 或者心脏旁边,
[00:19:28] 才交换神经元变成结厚线微,
[00:19:30] 举例上里边那一点是结厚,
[00:19:32] 所以全部,
[00:19:33] 全场,
[00:19:34] 从脖子颈髓,
[00:19:36] 盐水这儿,
[00:19:36] 到心脏,
[00:19:37] 都是结结线微,
[00:19:38] 所以结前长,
[00:19:40] 结厚短,
[00:19:41] 交感是结前短,
[00:19:42] 结厚长,
[00:19:43] 你必要发现,
[00:19:44] 那么结厚线微进了心脏以后,
[00:19:46] 也是分别支配方式,
[00:19:48] 也方式数,
[00:19:49] 是吧,
[00:19:49] 交接去心理产传导,
[00:19:51] 心房积合部分心室积,
[00:19:52] 为什么部分心室积,
[00:19:54] 就在很谨慎下头说,
[00:19:56] 心室内部,
[00:19:57] 弥祖结厚线微分布,
[00:19:59] 是很少,
[00:20:00] 有人甚至认为没有,
[00:20:02] 要是心室壁上面就没有长弥祖,
[00:20:05] 那么弥祖是因为心脏寒,
[00:20:07] 改变不改变,
[00:20:09] 就没有长弥祖,
[00:20:10] 怎么还能改变,
[00:20:13] 弥祖神经释放地质叫以邪难解,
[00:20:16] 它可以把难解释放到血液中,
[00:20:19] 通过血液循环的方式,
[00:20:21] 来调节心室活动,
[00:20:23] 所以没有神经线微,
[00:20:24] 黑血液循环,
[00:20:26] 它都不矛盾,
[00:20:27] 嗯,
[00:20:27] 不矛盾,
[00:20:28] 接着往下走,
[00:20:29] 弥祖和交感一样,
[00:20:31] 也分为左右两支,
[00:20:33] 也存在差异传导的这种现象,
[00:20:35] 但不如交感那么明显,
[00:20:37] 听过就好了啊,
[00:20:38] 不专门研究吧,
[00:20:39] 左侧主要支配的交界区域,
[00:20:41] 右侧主要支配的东方,
[00:20:42] 就和交感神经一样,
[00:20:43] 但是弥祖和交感的作用是相反的,
[00:20:46] 途径一样,
[00:20:47] 作用相反,
[00:20:48] 弥祖是让心脏产生复兴的变时,
[00:20:52] 变力,
[00:20:53] 变传导,
[00:20:54] 为什么会这个样子,
[00:20:56] 教材在这给说法的,
[00:20:57] 嗯,
[00:20:58] 细胞内障也给了个说法,
[00:20:59] 你读一下,
[00:21:00] 弥祖末梢释放胆解以后,
[00:21:03] 胆解是和心机细胞盲M2受体,
[00:21:05] 你要告诉交感是去甲生和βE,
[00:21:08] 这个地方弥祖是和M2,
[00:21:10] 结合之后激活另一类基蛋白,
[00:21:12] GI,
[00:21:13] 应该被生,
[00:21:14] 一类型基蛋白,
[00:21:15] 因为它就会让心机细胞内部啊,
[00:21:17] CMP的含量降低,
[00:21:20] 概率减少,
[00:21:21] 交感啊概率增加,
[00:21:22] 弥祖啊概率减少,
[00:21:24] 所以它的作用机制和交感正好相反,
[00:21:26] 另外交感不但影响概,
[00:21:28] 刚才记得,
[00:21:29] 还影响谁啊,
[00:21:30] IF,
[00:21:31] 你还记得,
[00:21:32] 这个地方一样,
[00:21:33] 弥祖不但影响概,
[00:21:34] 弥祖还影响,
[00:21:35] 其他,
[00:21:35] 假通道,
[00:21:37] 所以到这地方,
[00:21:38] 你仔细体会一下这文字啊,
[00:21:41] 弥祖会让价格流增加,
[00:21:43] 以至于最大的复旗点里,
[00:21:45] 下降这个词很不好,
[00:21:47] 改一下,
[00:21:48] 超激化,
[00:21:49] 你还记得多方阶细胞,
[00:21:51] 第四期自动区计划怎么实现不,
[00:21:53] 一,
[00:21:54] 第一个,
[00:21:55] 逐渐衰减的IK,
[00:21:58] 第二个,
[00:21:59] 逐步增强的IF,
[00:22:01] 第三个,
[00:22:02] 后半段的T型概,
[00:22:04] 所以如果IK,
[00:22:05] 开发增加以后,
[00:22:07] 该关闭,
[00:22:09] 减弱的时候没有变,
[00:22:10] 哗,
[00:22:11] 加一只外流,
[00:22:12] 加外流一多,
[00:22:14] 豆方结细胞,
[00:22:15] 就超激化了,
[00:22:16] 所以这个下降理解位,
[00:22:18] 下降这个词在中国那边好像产生起义,
[00:22:21] 你变成绝对值,
[00:22:23] 变成虚极化超激化,
[00:22:24] 说话就容易听懂,
[00:22:25] 实际上是要模仿超激化,
[00:22:27] 超激化以后,
[00:22:29] 新的点位,
[00:22:30] 新的超激化有这个点位,
[00:22:32] 那么和豆方结细胞那个预点位,
[00:22:33] 伏四超伏,
[00:22:34] 差几句拉达,
[00:22:37] 需要更大范围的自动区域化,
[00:22:39] 所以新的就减慢,
[00:22:41] 它是这样,
[00:22:42] 另外它让改通道开发减少以后,
[00:22:45] 概内流减少,
[00:22:46] 你还记得CR,
[00:22:47] 概入道概释放,
[00:22:50] 概内流少了,
[00:22:51] 当然输送率就弱了,
[00:22:52] 另外概内流少,
[00:22:54] 传导,
[00:22:55] 就嘛,
[00:22:55] 因为房市节这个地方的,
[00:22:58] 房市交接区,
[00:22:59] 零期区域化,
[00:23:00] 概内流减慢了,
[00:23:01] 幅度也减小,
[00:23:02] 所以传导速度,
[00:23:04] 这叫,
[00:23:04] 影响,
[00:23:05] 传导速度的因素,
[00:23:07] 零期区域化,
[00:23:08] 速度和幅度,
[00:23:09] 多被两遍,
[00:23:10] 熟悉了,
[00:23:12] 交感神经,
[00:23:14] 影响概,
[00:23:15] 迷走神经,
[00:23:17] 影响甲,
[00:23:18] 你看见了没有,
[00:23:19] 这个样子,
[00:23:23] 此外,
[00:23:23] 心脏神经支配,
[00:23:24] 除了迷走和交感之外,
[00:23:26] 也太累,
[00:23:27] 太累些因为有很多,
[00:23:29] 包括释放血管活性常态,
[00:23:31] 包括释放甲钙醋基酸,
[00:23:32] 这些内容,
[00:23:33] 咱们读一下,
[00:23:34] 了解一下,
[00:23:35] 本科阶段,
[00:23:36] 咱们也就心脏神经支配,
[00:23:37] 除了它的实施,
[00:23:39] 迷走和交感,
[00:23:39] 太多都就好了,
[00:23:40] 有没有,
[00:23:41] 肯定有,
[00:23:42] 作用咱们没有完全搞明白,
[00:23:44] 有个大概的,
[00:23:44] 比如说,
[00:23:45] 这些泰莱士经验释放这个血管活性常态VIP,
[00:23:49] 有正形便利效应,
[00:23:50] 以及舒张灌溉作用,
[00:23:52] 实际上,
[00:23:53] 显然,
[00:23:55] 灌溉动脉,
[00:23:56] 是一个最典型的,
[00:23:58] 自身调节,
[00:23:59] 那么这些泰类物质发挥什么作用,
[00:24:00] 咱们还没全然搞明白,
[00:24:02] 另外还讲了,
[00:24:03] 基因相关态,
[00:24:04] 也有整体便时效应,
[00:24:05] 读读就完了,
[00:24:06] 这张课件我就翻过去,
[00:24:08] 不把它作为重点,
[00:24:09] 了解一下,
[00:24:09] 这些内容读得越多,
[00:24:11] 你越混乱,
[00:24:12] 但是你有关交感和迷走作用,
[00:24:14] 你必须得会,
[00:24:15] 很准确,
[00:24:16] 很准确,
[00:24:17] 这个样子,
[00:24:18] 好,
[00:24:20] 同学们,
[00:24:20] 这样咱们就接下来看一下这个血管神经支配,
[00:24:24] 所以这张课件做的特别好,
[00:24:25] 这张课件,
[00:24:26] 它把心脏和血管神经支配,
[00:24:28] 在这做了一个比较,
[00:24:30] 心脏神经支配,
[00:24:31] 是最典型的一个双重支配,
[00:24:33] 既有迷走,
[00:24:34] 也有交感神经,
[00:24:35] 实际上,
[00:24:36] 你从多方面的角度看过去的话,
[00:24:38] 生理的安静情况下,
[00:24:40] 心脏神经支配是迷走占优势的,
[00:24:43] 所以说到现在为止,
[00:24:44] 咱们终于有些事可以说了,
[00:24:46] 你知道一个正常人的心率,
[00:24:48] 大概每分钟在160次到100次左右,
[00:24:52] 所以按教材写出75次平均值,
[00:24:55] 可能男生你比如说五六十,
[00:24:57] 女性女生七八十次,
[00:24:59] 这个样子,
[00:24:59] 女性比男性心率稍微快一点,
[00:25:02] 但不管男性女性,
[00:25:03] 我们在学到,
