# 源音频：P04-生理学本科教学及考研基础课 p04 细胞3.m4a
# 时长：2812s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好,同学们,咱们上节课在这个细胞的功能第二节,跨膜信号转导,我做了一个概述。
[00:03:36] 我这个羡慕记忆度恨,
[00:03:38] 我就拿语言编一段文字,
[00:03:40] 发给你一读,
[00:03:41] 你就生气了,
[00:03:42] 就是这个文字找你惹你了,
[00:03:44] 说明文字里面包含着信息的,
[00:03:47] 这个信息没法传导给你,
[00:03:49] 但信息变成文字,
[00:03:50] 变成一段话,
[00:03:51] 语言就把我的思想承载下来,
[00:03:55] 语言是我思想的载体,
[00:03:58] 你正好听见我说了,
[00:04:00] 你就很生气,
[00:04:01] 我说的时候对着空气说,
[00:04:02] 你听不见,
[00:04:03] 你就不生气,
[00:04:04] 所以这样,
[00:04:04] 讲半天给你听,
[00:04:06] 第二节是在学什么呀,
[00:04:07] 在学受体,
[00:04:09] 我怎么感受到他有想法,
[00:04:12] 那么在这个地方,
[00:04:13] 上一节和说,
[00:04:14] 在细胞膜上统计一下,
[00:04:16] 大概有三大类,
[00:04:18] 四小类,
[00:04:19] 膜表面受体,
[00:04:20] 细胞内部的受体,
[00:04:21] 这不关我们探讨,
[00:04:22] 放到内封面的一章再说,
[00:04:24] 所以细胞这章主要探讨,
[00:04:25] 膜表面的受体,
[00:04:26] 三,
[00:04:27] 三大类,
[00:04:28] 四小类,
[00:04:28] 在这我总喜欢说一句话,
[00:04:30] 你们提前介入,
[00:04:31] 叫三度四分法,
[00:04:32] 三个大类型,
[00:04:33] 四个小亚型,
[00:04:35] 三度四分法这个词,
[00:04:36] 一学生大二可以听了,
[00:04:38] 我们一学生学过大学以后,
[00:04:40] 不小心就记了一句话,
[00:04:42] 一个人在临床上如果被烧伤了,
[00:04:44] 烧得有多厉害,
[00:04:45] 他的生前,
[00:04:47] 生路,
[00:04:47] 生前,
[00:04:49] 叫做三度四分,
[00:04:50] 一二三度,
[00:04:51] 二度又分为前二和生二,
[00:04:54] 所以有时候讲课,
[00:04:56] 我喜欢解一个词过来用,
[00:04:57] 著名的三度四分法,
[00:04:59] 包括到内科学将来新功能的评价,
[00:05:02] 都所谓的三度四分,
[00:05:03] YHA,
[00:05:04] KDIP,
[00:05:05] FORST,
[00:05:06] 这样一些分析,
[00:05:07] 都是这样分析的,
[00:05:08] 不管它了,
[00:05:08] 今天咱们主要给大二小朋友讲课,
[00:05:11] 我就不要讲太难了,
[00:05:12] 把小朋友吓着了,
[00:05:13] 所以这而已,
[00:05:14] 一定注意第二阶不是打开数据读,
[00:05:17] 是一定想明白第二阶在说什么,
[00:05:19] 有三度四分这么一个膜表面受体的概念之后,
[00:05:23] 咱们一眼往下看,
[00:05:24] 受体排名不分先后,
[00:05:26] 从理论上讲,
[00:05:27] G蛋白欧列受体,
[00:05:28] 尿钙酸结合蛋白,
[00:05:29] 这种受体在人体的细胞膜上分布,
[00:05:32] 反而是最广的,
[00:05:33] 数量最大,
[00:05:34] 亚性最多,
[00:05:35] 对了,
[00:05:36] 所以肉教材一般喜欢把它写到第一,
[00:05:39] 有些事物教材,
[00:05:40] 也许在九百十里去,
[00:05:41] 应该我印象中,
[00:05:42] 就是把通道欧列受体放第一个,
[00:05:44] 无所谓,
[00:05:45] 爱放谁,
[00:05:45] 放谁,
[00:05:46] 咱们写一个往下读就完了,
[00:05:47] 第一个先往下读主要的信号分子,
[00:05:51] 这一类受体的信号分子有哪些,
[00:05:53] 所以咱往下一个一个第一小题目说,
[00:05:56] G蛋白欧列受体,
[00:05:58] 还有一个名字,
[00:05:59] 叫醋钠血型受体,
[00:06:01] 顾名思义,
[00:06:02] 就这种受体和它的,
[00:06:03] 血型,
[00:06:03] 信息载体,
[00:06:04] 里边举个例子,
[00:06:05] 说哎,
[00:06:06] 你现在我不知道咱们现在理论课讲到哪个地方了,
[00:06:09] 我现在学校里边安排讲呼吸,
[00:06:12] 我是下下周开课,
[00:06:13] 这样你们现在应该正好学到循环,
[00:06:15] 学到心血管系统第四章,
[00:06:17] 你就会有一个结论,
[00:06:18] 大二就记住了,
[00:06:20] 交感神经兴奋的时候,
[00:06:21] 让心脏活动加强,
[00:06:23] 心脏心跳加快,
[00:06:24] 传导加速,
[00:06:25] 收缩力加强,
[00:06:26] 我们生理学专业术语叫交感神经,
[00:06:29] 对心脏的三个正性作用,
[00:06:32] 正性的辨识,
[00:06:33] 辨历,
[00:06:34] 辨传导,
[00:06:35] 弥足神经是三个负性作用,
[00:06:37] 那么交感神经兴奋,
[00:06:39] 心脏怎么知道你让我活动加强呢?
[00:06:41] 哎,
[00:06:42] 那么交感神经和心肌细胞之间就存在一个所谓的信号端导,
[00:06:46] 弥足神经兴奋,
[00:06:48] 让心脏产生三个负性作用,
[00:06:49] 那么弥足和心肌细胞之间也存在一个信号端导,
[00:06:53] 弥足是想让心脏活动解锅,
[00:06:55] 心脏怎么知道的?
[00:06:57] 交感神经让心脏活动加强,
[00:06:58] 心脏怎么知道的?
[00:06:59] 结果发现交感神经兴奋的时候,
[00:07:02] 在心脏上是通过所谓的β1受体,
[00:07:05] 所以到这个地方,
[00:07:07] 咱们刚打开圣经学习到细胞这一章,
[00:07:09] 突然就加了一个词,
[00:07:10] receptor,
[00:07:11] 受体,
[00:07:13] 一下就把难度放到了一个空前的高度,
[00:07:16] 细胞这一章很难,
[00:07:17] 你们也发现了,
[00:07:18] 怎么学也不常量,
[00:07:19] 所以我讲课讲的啰嗦一点,
[00:07:21] 听的细一点,
[00:07:22] 体会一下,
[00:07:23] 在人体的细胞膜上,
[00:07:25] 以心脏为例,
[00:07:27] 最经典的两个既代表欧联受体,
[00:07:29] 一个就是心肌细胞膜上交感神经的β1受体,
[00:07:33] 一个就是心脏细胞膜上,
[00:07:35] 弥足神经或者预协单间的m2受体,
[00:07:39] 那么这样的受体,
[00:07:40] 就属于咱们这归类的既代表欧联受体,
[00:07:43] 又叫做代谢性,
[00:07:45] 一会儿还有一个名字,
[00:07:46] 也叫七跨膜受体,
[00:07:48] 三分transmember的七跨膜,
[00:07:52] 一会儿就看到了,
[00:07:53] 那么这样的受体相反一下,
[00:07:54] 反正稀里糊涂的多长时间反过来复习就明白了,
[00:07:57] 第一个是受体的结构,
[00:08:00] 挺有意思,
[00:08:01] 刚才说既代表欧联受体也叫做七次跨膜,
[00:08:03] 为什么这样说,
[00:08:04] 后面有示意图,
[00:08:05] 直接打开给你看,
[00:08:06] 就这个样子,
[00:08:08] 蛋白质,
[00:08:09] 或者换一句话说,
[00:08:10] 膜上面,
[00:08:11] 咱们具体一点,
[00:08:12] 心肌细胞膜上这个所谓的β1受体,
[00:08:15] 去甲胜,
[00:08:15] 去甲胜而且是β1受体,
[00:08:17] 它本身是一个整合蛋白质,
[00:08:20] 所以第一阶学膜结构,
[00:08:21] 你还记得说膜呀,
[00:08:23] 有基本的双层磷脂结构,
[00:08:25] 镶嵌一些蛋白质,
[00:08:26] 再加一些糖料,
[00:08:28] 而细胞膜上的糖料不会大多存在,
[00:08:30] 你还记得,
[00:08:31] 要么是糖质,
[00:08:32] 要么糖蛋白,
[00:08:33] 而且一般长在细胞膜外表面,
[00:08:35] 就朝向组织液内层,
[00:08:37] X层在这,
[00:08:38] 细胞外,
[00:08:39] 那么一个受体作为整合蛋白,
[00:08:42] 就它跨越整个细胞膜的双层磷脂结构,
[00:08:44] 全层的,
[00:08:45] 就像这个石头花的,
[00:08:47] 它是一个完整的蛋白质,
[00:08:48] 蛋白质咱们正在学生化,
[00:08:50] Bi-chemistry,
[00:08:51] 你就服戏了,
[00:08:52] 它总是从N阶段开始合成,
[00:08:54] 到缩阶段结束,
[00:08:56] 所以有人叫N末段,
[00:08:58] C末段,
[00:08:59] 这么一个说法,
[00:09:00] 这个完整蛋白质在穿过细胞膜,
[00:09:02] 咱们第一节讲过,
[00:09:03] 在膜内这一块是疏水片段,
[00:09:05] 穿进来,
[00:09:06] 穿出去,
[00:09:07] 穿进来,
[00:09:08] 穿出去,
[00:09:08] 这一组蛋白质非常好玩,
[00:09:10] 受体这个蛋白质,
[00:09:11] 它总是在膜上,
[00:09:12] 跨越7次,
[00:09:13] 你数一下,
[00:09:14] 1,
[00:09:15] 2,
[00:09:15] 3,
[00:09:16] 4,
[00:09:16] 5,
[00:09:17] 6,
[00:09:17] 7,
[00:09:18] 因为这个稳定的空间结构,
[00:09:23] 所以我们说G蛋白物类受体,
[00:09:25] 又叫做7块膜受体,
[00:09:27] 是说结构的,
[00:09:29] 为什么叫做粗带性受体,
[00:09:31] 说这种受体和它的,
[00:09:33] 性细载体,
[00:09:34] 就具体说被它一受体,
[00:09:36] 和它的配体,
[00:09:39] 去钾胜肠腺素结合以后,
[00:09:41] 总是让心肌细胞内部,
[00:09:43] 发生一些代谢变化,
[00:09:45] 你打开教室就读到了,
[00:09:46] HG或AC,
[00:09:48] 就血管酸化二酶,
[00:09:49] 让心肌细胞内部产生,
[00:09:51] 就从APP,
[00:09:52] 还化一些CAMP,
[00:09:54] 华能酸腺肝,
[00:09:55] 所以前面咱要讲,
[00:09:56] 华能腺肝,
[00:09:57] 这是苏塞兰特教授最早研究肝脏细胞,
[00:10:00] 糖原分解的时候发泄的一个物质,
[00:10:03] 因为这个时候,
[00:10:04] 他拿了一尊文章,
[00:10:06] 幸好转导,
[00:10:07] 第二,
[00:10:08] 姓氏,
[00:10:09] 我们从这一节开始,
[00:10:10] 正式开始进入一个专业书,
[00:10:12] 第二,
[00:10:13] 姓氏,
[00:10:15] 嗯,
[00:10:16] 这个样子,
[00:10:17] 所以第一个特点是气色夸膜,
[00:10:19] 第二个特点刚才卡示一图了,
[00:10:21] 作为一个整合蛋白,
[00:10:22] 在膜外它落入了一块,
[00:10:24] 在膜内也有一块,
[00:10:25] 那么膜外这一块东西干嘛的,
[00:10:27] 具有配体结合的部位,
[00:10:30] 配体你还记得Ledent,
[00:10:31] 什么东西,
[00:10:32] 能和受体发生特异性的,
[00:10:33] 能和受体发生特异性的,
[00:10:34] 能和受体发生特异性的,
[00:10:35] 这些话就注意是特异性的,
[00:10:37] 就像咱们在细胞,
[00:10:38] 这一章第一节学的,
[00:10:39] 载体一块扩散的时候,
[00:10:41] 需要特异性结合,
[00:10:42] 转运物和载体之间,
[00:10:44] 具有特定的空间对应关系,
[00:10:46] 锁实理论,
[00:10:48] 一把钥匙,
[00:10:50] 开一把锁,
[00:10:51] 特异性结合,
[00:10:52] 那么膜内还有那么多黄,
[00:10:54] 它这上面就长个鸡蛋白的,
[00:10:56] 一个结合位置,
[00:10:57] 你看示意图上,
[00:10:58] 这个地方,
[00:10:59] 一般,
[00:11:00] 结合鸡蛋白的在这一块,
[00:11:02] 结合配体的咱们说,
[00:11:04] 在膜外,
[00:11:05] 教材上都有详细的阐述,
[00:11:07] 你明白这没有一个完整的蛋白质,
[00:11:09] 在膜上七次跨膜,
[00:11:10] 膜外有一些就算是材料存在,
[00:11:12] 找的就类似于女生,
[00:11:14] 布娃儿爷也见过,
[00:11:16] 狮子袖,
[00:11:17] 那个蒸炸来炸去的,
[00:11:18] 在布的外面,
[00:11:19] 有花纹图案,
[00:11:20] 布的里边也有,
[00:11:22] 那么这么个受体,
[00:11:23] 一个整合蛋白质外,
[00:11:24] 里外都有干嘛,
[00:11:26] 外面去结合它的配体,
[00:11:28] 具体一点举个例子,
[00:11:29] 就心肌细胞膀被它一受体,
[00:11:31] 外面长了个空间结构,
[00:11:33] 能专门和去钾食料系统结合,
[00:11:35] 细胞内部又有一个空间结构,
[00:11:37] 能专门连接一个基蛋白,
[00:11:39] 那么什么是个基蛋白,
[00:11:40] 就出来问题了,
[00:11:41] 基蛋白本身成了咱们这一节,
[00:11:43] 最大一个话题了,
[00:11:45] 中文叫鸟肝酸结合蛋白,
[00:11:47] 所以什么基蛋白,
[00:11:49] 欧类基蛋白,
[00:11:50] 上面长了一个鸟肝酸结合蛋白,
[00:11:52] 这个蛋白质是连接膜的受体,
[00:11:55] 和基蛋白的特异性效应器,
[00:11:58] 所以这个特异性效应器,
[00:12:00] 你注意有时候听不懂,
[00:12:01] 这谁的效应器,
[00:12:02] 是基蛋白的效应器,
[00:12:04] 因为这个效应器一般都是一个酶,
[00:12:07] 就是基蛋白,
[00:12:08] 要来干嘛去了,
[00:12:09] 去积荟一个酶,
[00:12:10] 摧毁一个酶,
[00:12:11] 所以有人也叫做特异性的效应器酶,
[00:12:14] 基蛋白是受体和细胞内部一个酶之间的一个中介,
[00:12:19] 就像黑中介卖房子,
[00:12:21] 倒卖房屋一样,
[00:12:22] 类似于那样,
[00:12:23] 还有倒卖票的,
[00:12:24] 这个样子,
[00:12:25] 所以基蛋白就是个中介,
[00:12:27] 黑中介,
[00:12:28] 黄泥倒卖票的,
[00:12:29] 票贩子,
[00:12:30] 就这意思,
[00:12:31] L Legend就是配体,
[00:12:32] R Receptor就是物体,
[00:12:33] 就是物体,
[00:12:34] 一旦在细胞膜外具体下来,
[00:12:36] 你打开胸怀那一张读一下,
[00:12:38] 交感神经兴奋,
[00:12:39] 交感神经末梢,
[00:12:40] 就释放一个神经地质,
[00:12:42] 叫去钾神经腺素,
[00:12:44] 去钾神经腺素可就不是一个普通化学物质了,
[00:12:46] 它包含信息,
[00:12:47] 包含什么信息,
[00:12:48] 我想让心脏兴奋一下的这个信息,
[00:12:52] 所以在那边咱们问自己一句话,
[00:12:54] 去钾神是个化学物质吗?
[00:12:56] 不,
[00:12:57] 是信息的载体,
[00:12:59] 带着任务来的,
[00:13:01] 设想一下,
[00:13:02] 细胞膜外如果不是让细胞兴奋,
[00:13:04] 交感神经释放去钾神,
[00:13:06] 而是我拿个注射器往心脏这打点去钾神,
[00:13:09] 心脏能反应不?
[00:13:10] 照样能反应,
[00:13:12] 所以胸怀系统里会专门被去钾神,
[00:13:16] 又叫生压药,
[00:13:17] 会作用于血管和心脏,
[00:13:19] 临床上拿它经常来抢救临床病危的患者,
[00:13:25] 我们在药理学上叫心脏三连针,
[00:13:27] 正神就是去钾神上血素,
[00:13:29] 肾上血素,
[00:13:30] 和人工合成的一柄肾上血素,
[00:13:32] 正神,
[00:13:33] 负神,
[00:13:34] 一柄肾,
[00:13:35] 所以医学上喜欢把去钾神上血素,
[00:13:36] 正常的正,
[00:13:37] 正负的正,
[00:13:38] 叫正神素,
[00:13:39] 又把去掉钾以后的肾上腺素,
[00:13:42] 叫负神素,
[00:13:43] 所以你到盟诊,
[00:13:44] 如果是到医院盟诊看病,
[00:13:46] 感冒发生打个针,
[00:13:47] 经常你发现护士那个配药那个柜子里边,
[00:13:50] 有一个蓝色小注射器,
[00:13:52] 一般里边抽了一支药,
[00:13:54] 把那个小玻璃片就盖在针头上,
[00:13:56] 就在那放着,
[00:13:57] 拿来干嘛的?
[00:13:58] 拿来处理,
[00:13:59] 防止盟诊啥发生,
[00:14:01] 青霉素过敏的时候,
[00:14:02] 不用请示,
[00:14:03] 直接给人打上一毫升,
[00:14:05] 解除气导贫瓦基精卵,
[00:14:09] 救人一命,
[00:14:10] 一个非常好的,
[00:14:12] 紧急的抗过敏药,
[00:14:14] 叫负神素,
[00:14:15] 这个地方咱们学到心脏诊读的是,
[00:14:18] 去钾肾上腺素,
[00:14:19] 正神素,
[00:14:20] 所以有时候为什么说我们越学习心情越大,
[00:14:23] 说盟诊查为啥不防治正神素了,
[00:14:25] 是防治负神素,
[00:14:26] 药理学请我一定考你,
[00:14:28] 打上正神素,
[00:14:29] 皮肤肯定坏死,
[00:14:31] 去钾肾上腺素你学到了没有?
[00:14:33] 去钾肾上腺素,
[00:14:34] 在胸怀在第四章我提前讲啊,
[00:14:36] 它只作用到血管平滑剂的α受体,
[00:14:39] 让血管收缩,
[00:14:40] 而肾上腺素就不一样了,
[00:14:42] 肾上腺素既能作用于血管的α1受体,
[00:14:45] 也能作用于血管的β2受体,
[00:14:47] β2是让血管舒张的,
[00:14:49] α1是让血管收缩的,
[00:14:51] 所以打上肾上腺素以后,
[00:14:53] 血管收一收,
[00:14:55] 舒一舒,
[00:14:56] 两人综合下来以后,
[00:14:57] 强烈的塑血管效应不明显,
[00:14:59] α和β1,
[00:15:01] 和β2之间,
[00:15:02] α1β2之间,
[00:15:04] 互相结抗了,
[00:15:05] 但如果你给人打的是肾上腺素,
[00:15:07] 去掉肾上腺素,
[00:15:08] 只有缩血管效应,
[00:15:09] 没有输血管效应,
[00:15:10] 血管静腕性收缩,
[00:15:12] 皮肤严重缺血,
[00:15:13] 打完针第二天,
[00:15:14] 皮肤就快死,
[00:15:16] 药理学是百分之百靠谱,
[00:15:18] 这就叫正生复生领生,
[00:15:20] 所以争取这个学习我一直在想,
[00:15:22] 说老师生理学教材就没写那么多,
[00:15:24] 你讲那么多干嘛,
[00:15:26] 这叫做输到用时方很少,
[00:15:28] 大二时候不学习,
[00:15:30] 到大五要读研究生了,
[00:15:32] 要要要要要要要要要要包延了,
[00:15:34] 才发现成绩不理想,
[00:15:36] 又返回来混,
[00:15:37] 所以为什么我讲一句话,
[00:15:38] 电影台词说,
[00:15:39] 出来混,
[00:15:40] 早晚要缓的,
[00:15:41] 不是播报,
[00:15:42] 时候不到,
[00:15:43] 到那一刻学记着,
[00:15:44] 算总帐,
[00:15:45] 现在能学,
[00:15:47] 多学一点,
[00:15:48] 我能不能这样说句话,
[00:15:49] 我的学生这本优秀的,
[00:15:50] 杰出的,
[00:15:51] 卓越的,
[00:15:52] 普通的,
[00:15:53] 偷懒的,
[00:15:54] 压根不靠谱的,
[00:15:55] 就是,
[00:15:56] 你只是把这本书读明白了,
[00:15:58] 还是这本书之外你还读明白了,
[00:16:00] 还是这本书你也没读明白,
[00:16:02] 你听懂了没有
[00:16:03] 所以早点下手学好它
[00:16:05] 我这专门讲了个药理学知识
[00:16:07] 正肾就去甲肾
[00:16:09] 副肾肾上腺素
[00:16:10] 和人工合成一并肾上腺素
[00:16:12] 临床心血管内科
[00:16:15] 叫心脏三连针
[00:16:17] 简称心三连
[00:16:18] 强心剂
[00:16:19] 可以在临床上碰到紧急情况
[00:16:21] 拿个注射器
[00:16:22] 长针头九号针头
[00:16:23] 直接在胸前
[00:16:24] 炸到心包里边
[00:16:25] 炸到心脏里边
[00:16:26] 啪推进去
[00:16:27] 救人移民
[00:16:28] 临床上咱们有些措施
[00:16:30] 是非常简单粗暴的
[00:16:31] 就活再说
[00:16:32] 对了
[00:16:33] 讲这么啰嗦
[00:16:34] 是给你听一下
[00:16:35] 我们这是以心肌细胞的
[00:16:37] β1受体
[00:16:38] 经典的脊带白流受体为例
[00:16:40] 来强调
[00:16:41] 去亚生
[00:16:42] L-Legend
[00:16:43] 心脏β1受体的配体
[00:16:46] 合成β1受体结合之后
[00:16:48] 就激活β1了
[00:16:50] β1刚才看到了
[00:16:51] 是最经典的一个脊带白流受体
[00:16:53] 那么这个受体
[00:16:55] 激活细胞内部的脊带白以后
[00:16:58] 脊带白就作用于脊带白本身的
[00:17:01] 效益其美
[00:17:02] 教材你打开
[00:17:03] 让我看一下
[00:17:04] 脊带白的效益其美
[00:17:05] 在心肌细胞这是谁
[00:17:06] 是AC
[00:17:08] 叫腺肝酸化化酶
[00:17:10] 所以你发现脊带白啊
[00:17:12] 就是把受体和AC
[00:17:15] 这个腺肝酸化酶
[00:17:17] 起了一个偶联作用
[00:17:19] 所以我们开了个玩笑说
[00:17:20] 黑中介
[00:17:21] 脊带白是个中介
[00:17:22] 中介
[00:17:23] 那么为什么叫脊带白
[00:17:25] 因为这个蛋白质
[00:17:26] 能结合一个尿肝酸
[00:17:28] 所以中文叫尿肝酸结合蛋白
[00:17:31] 把尿肝酸偷了
[00:17:32] 换成一个英文的字母
[00:17:33] 缩写
[00:17:34] 脊带白
[00:17:34] 那么脊带白本身成了咱们研究这一节内容的一个细节知识
[00:17:41] 生化学会讲的更细
[00:17:43] 但生理学基本知识我们要阐述一下
[00:17:45] 在我们的细胞膜里边
[00:17:48] 经典的脊带白都是一个三具体
[00:17:51] 三个亚代维构成的
[00:17:52] 阿尔法贝塔和钢
[00:17:53] 因为我们细胞膜里边已经发现了脊带白啊
[00:17:57] 连亚新加一起数百上千种之多
[00:17:59] 所以这么多的脊带白为什么不一样
[00:18:02] 咱们说差异差在哪里
[00:18:03] 差在阿尔法贝塔和钢
[00:18:04] 阿尔法亚代维
[00:18:05] 一般这三个亚代维在一起合成着
[00:18:09] 阿尔法自成体系
[00:18:11] 贝塔和钢往往是抱成一团的抱团群
[00:18:14] 所以三个人一个小组吧
[00:18:16] 三个人一个团队应该说
[00:18:18] 还分两个小组两个团伙
[00:18:20] 宿舍住到三人
[00:18:21] 两人关系好
[00:18:22] 把另一个孤立了
[00:18:23] 能这样说我是开个玩笑
[00:18:25] 这样举个例子
[00:18:26] 那么这样我们目前教材上按照阿尔法亚代维的结构不同
[00:18:31] 通常喜欢把细胞膜的脊带白
[00:18:34] 分为四大组
[00:18:34] 其实分类比它要多
[00:18:36] 常见四大类是叫GS蛋白
[00:18:39] S-thymolate
[00:18:40] 刺激
[00:18:42] 信奉成绩蛋白
[00:18:43] GI-inhibition
[00:18:44] 抑制性
[00:18:45] 还GQ
[00:18:46] 还G12
[00:18:47] 至少应该是还有GT
[00:18:49] G0等等
[00:18:51] 所以这样的
[00:18:53] G蛋白的亚代维
[00:18:54] 或者亚型很多
[00:18:56] 因此教材这给了个专业书
[00:18:58] Superfamily
[00:18:59] G蛋白的超大家族
[00:19:01] 这个家族一个族长
[00:19:02] 像儿子孙子孙子的孙子
[00:19:04] 祖祖孙孙无群尽
[00:19:06] 很多
[00:19:06] 一两千亿龙之多
[00:19:08] 所以为什么说在膜表面受体这个地方
[00:19:11] 应该说把G蛋白放第一位
[00:19:12] 数量多
[00:19:13] 种类多
[00:19:14] 功能大
[00:19:14] 占我们肌体细胞膜表面受体的总量
[00:19:18] 90%以上
[00:19:19] 所以我们身体这个身体的细胞膜上
[00:19:21] 一说受体
[00:19:23] 大多数都是G蛋白熬炼的
[00:19:24] 通道熬炼的有相对数量少
[00:19:27] 那么这个G蛋白尿钙酸结合蛋白什么意思
[00:19:30] 说这个蛋白质
[00:19:31] 具有结合GTP
[00:19:33] 或GTB
[00:19:34] 的能力
[00:19:35] 受体和配体结合受体激活的时候
[00:19:39] G蛋白上结合的是GTP
[00:19:41] GDP中文叫三磷酸尿钙
[00:19:44] GDP可不是国平生产总值
[00:19:46] 是二磷酸尿钙
[00:19:48] 所以说老开玩笑
[00:19:49] GDP干我鸟事
[00:19:50] 就这意思
[00:19:51] 我这废话比较多
[00:19:52] 那么往下读
[00:19:54] 蒙字
[00:19:55] G蛋白存在两种构像
[00:19:57] 失活性的激活性的
[00:19:58] 体会一下
[00:19:59] 什么时候G蛋白是激活的
[00:20:01] 就是在受体
[00:20:02] 比如说心肌细胞膜上
[00:20:04] β一受体
[00:20:05] 结合到胶感神经释放的去甲肾的时候
[00:20:08] 那么G蛋白就是激活
[00:20:09] 这就是它结合的GTP
[00:20:11] 结合之后
[00:20:12] 它把它自己的效应器的AC一激活
[00:20:14] 它们的信号往下一转
[00:20:16] 它一步往下传
[00:20:17] 就像接力赛一样
[00:20:18] 传完之后
[00:20:19] 能量就消耗了
[00:20:20] 就重新变成GDP了
[00:20:22] GTP GDP GTP GDP
[00:20:24] 你得在变
[00:20:25] 就像咱们回家
[00:20:26] 这个书房里边有个灯
[00:20:28] 是吧
[00:20:29] 有个顶灯
[00:20:30] 有个台灯
