# 源音频：P28-生理学本科教学及考研基础课 p28 呼吸-第二节（肺换气和组织换气）.m4a
# 时长：1056s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:00] 这样咱们就看呼吸这张的第二节肺换气和组织换气。
[00:03:28] 都是一样的工资,是吧,一样的住房,一样的汽车,一样的油耗,等等。
[00:03:34] 孩子大小也一样,性别也一样,这样。
[00:03:36] 那么咱们俩人怎么样?
[00:03:37] 他这样,这样比较有公平可比性。
[00:03:40] 那么把这个情况,叫扩散系数,体会一下。
[00:03:43] 扩散系数,只与气体本身有关,与别的因素没有关系了。
[00:03:48] 那么这样的话,
[00:03:49] 两个人,
[00:03:49] 两个气体比一下怎么样?
[00:03:50] 你发现,扩散系数与该种气体的溶解度成正比,
[00:03:55] 另外和它气体的分子量平方根成反比。
[00:03:59] 氧气,二氧化碳不用问,二氧化碳比氧气多了一个碳,14。
[00:04:04] 所以你肯定是分子更大。
[00:04:07] 但是,二氧化碳比氧气溶解度大得多。
[00:04:11] 咱平时喝的可口可乐,可口可乐,
[00:04:12] 里边就是溶解的二氧化碳,就是碳酸饮料,
[00:04:15] 喝的时候,哦,大哥哥,还得两块,就它。
[00:04:18] 所以总共算下来,
[00:04:19] 尽管二氧化碳分子量比氧气大了一个14,
[00:04:23] 但是二氧化碳溶解度比氧气大很多,
[00:04:26] 所以把它俩人加了一起,
[00:04:28] 放到公式里边算一下。
[00:04:29] 反而二氧化碳比氧气的扩散系数大,
[00:04:32] 教材说大21.05倍。
[00:04:35] 咱们大概一个印象,
[00:04:36] 二氧化碳比氧气的扩散系数大20倍。
[00:04:39] 所以说,我老开玩笑说,
[00:04:40] 给点阳光就灿烂。
[00:04:41] 二氧化碳自带通透性的,
[00:04:43] 就是一般在呼吸膜发生变变的时候,
[00:04:46] 因为二氧化碳扩散系数大,
[00:04:48] 它得个空子就钻了,
[00:04:49] 要体会一下,
[00:04:51] 呼吸膜能挡住氧气的扩散,
[00:04:54] 几乎挡不住二氧化碳的扩散。
[00:04:58] 所以我们医学生大二学完这一届以后,
[00:05:01] 第二届都有个印象,
[00:05:02] 什么印象?
[00:05:03] 一个人如果呼吸膜出现问题了,
[00:05:05] 我们叫换气障碍。
[00:05:06] 一个病人在临床发生换气障碍的时候,
[00:05:09] 一般只表现为鼻氧血症,
[00:05:12] 几乎不会发生二氧化碳的注流。
[00:05:15] 一旦一个人血液中二氧化碳比平时多了,
[00:05:18] 那不用问,
[00:05:18] 那一定不是坏,
[00:05:19] 是通气造成的,
[00:05:20] 一定是通气造成的。
[00:05:22] 上一届通气,
[00:05:23] 换气要出问题以后,
[00:05:26] 只会有氧气的问题,
[00:05:28] 不会有二氧化碳的问题。
[00:05:29] 因为你这看到了,
[00:05:30] 二氧化碳扩散系数是氧气的20倍。
[00:05:32] 所以一旦非得换气出现障碍,
[00:05:35] 氧气一不小心就交换不了了,
[00:05:37] 二氧化碳扩散系数大,
[00:05:38] 有点困难也无所谓,
[00:05:40] 不在乎,
[00:05:41] 反正多的是,
[00:05:42] 它是这样,
[00:05:43] 一定要注意这个扩散系数,
[00:05:45] 是极其敏感的一个概念。
[00:05:47] 作为一个老教师,
[00:05:48] 讲生理学这门,
[00:05:49] 我是从1993年,
[00:05:52] 在陕西一大开始讲课,
[00:05:53] 所以你想到回头一想,
[00:05:55] 讲了27年,
[00:05:56] 之前一直当临床医生,
[00:05:57] 这几十年讲过了,
[00:05:58] 你发现呼吸力一张,
[00:05:59] 对本科生来说难度不大,
[00:06:02] 但呼吸力这张的每一个点都很重要,
[00:06:04] 为什么?
[00:06:05] 好用,
[00:06:06] 临床使用几率高,
[00:06:07] 所以讲这张一边讲一边还在想,
[00:06:09] 我能不能给我学生说明白,
[00:06:11] 它到底有多重要,
[00:06:13] 你越学习越发现,
[00:06:14] 这一张有多重要,
[00:06:16] 是这样,
[00:06:17] 先往下走,
[00:06:17] 扩散系数。
[00:06:20] 换气功,
[00:06:20] 过程别的,
[00:06:21] 就单纯快三呗,
[00:06:22] 对了,
[00:06:23] 这个肺泡表毛血管,
[00:06:24] 从动脉端流过来,
[00:06:26] 育新室出来,
[00:06:27] 然后换气完了以后,
[00:06:28] 就回到左心房去了,
[00:06:29] 这么一个过程,
[00:06:30] 它和气体交换,
[00:06:31] 所以说咱想想呼吸膜,
[00:06:32] 呼吸膜,
[00:06:33] 呼吸膜实际上从这看,
[00:06:35] 就是肺泡,
[00:06:36] 肺泡壁,
[00:06:37] 和它慢慢接触毛血管,
[00:06:38] 设想一下,
[00:06:40] 呼吸膜的面积,
[00:06:43] 本质上是什么?
[00:06:44] 是和肺泡气体交换的毛血管的长度,
[00:06:50] 哎,
[00:06:50] 你叫,
[00:06:51] 面积就是长度,
[00:06:52] 你是就是一点地方在交换,
[00:06:55] 还是整个和肺泡接触的全场,
[00:06:57] 从这开始交换,
[00:06:58] 一直换过去,
[00:06:59] 不用问,
[00:07:00] 你交换的长度越长,
[00:07:02] 我就说呼吸膜的面积越大吧,
[00:07:04] 这个不难理解,
[00:07:05] 一听就完了,
[00:07:06] 把它直接翻过去,
[00:07:08] 嗯,
[00:07:08] 就像刚才口头描述一样,
[00:07:10] 肺要进行换气的话,
[00:07:11] 有很多影响因素,
[00:07:13] 风压差,
[00:07:14] 溶解度,
[00:07:15] 温度,
[00:07:16] 哎,
[00:07:16] 像细胞内脏第一节学的,
[00:07:18] 一个单纯扩散脂溶性气体分子,
[00:07:21] 那么风压差,
[00:07:22] 浓度差,
[00:07:23] 不但决定扩散的方向,
[00:07:25] 而且影响扩散速度,
[00:07:27] 就还这个意思,
[00:07:28] 在细胞内脏就学过了,
[00:07:30] 通气功能炸的时候,
[00:07:31] 你可以降低风压差,
[00:07:32] 气体不能进出肺泡,
[00:07:34] 肺泡里边残气的很多,
[00:07:36] 什么叫残气,
[00:07:37] 尼老一只交换交换交换,
[00:07:38] 气体一只,
[00:07:39] 不和大气交换,
[00:07:40] 时间久了,
[00:07:41] 氧气,
[00:07:42] 肺泡氧气都给了,
[00:07:43] 都没血了,
[00:07:44] 肺泡就没氧气了,
[00:07:45] 哎,
[00:07:45] 肺泡气不断接触进外球的二氧化碳,
[00:07:48] 所以如果你交换时间久了,
[00:07:50] 你肺泡又不能通气,
[00:07:52] 让新鲜空气吸进来,
[00:07:54] 那么这样肺泡气就变得氧风压下降,
[00:07:57] 二氧化碳风压升高,
[00:07:58] 这个情况下,
[00:07:59] 呼吸膜两侧,
[00:08:00] 就没有氧气二氧化碳风压差,
[00:08:02] 就交换不了了,
[00:08:03] 所以通气炸压的时候,
[00:08:05] 会降低风压差,
[00:08:06] 影响换气,
[00:08:07] 换气需要力量,
[00:08:09] 风压差是气体交换的唯一动力,
[00:08:12] 对了,
[00:08:13] 这是物理因素,
[00:08:14] 下来还有解剖因素,
[00:08:15] 呼吸膜的面积厚度,
[00:08:17] 正常拿来换气的呼吸面积是40平方米,
[00:08:21] 如果运动,
[00:08:22] 呼吸膜面积像呼吸工一样,
[00:08:25] 像心理储备一样,
[00:08:26] 是有储备,
[00:08:27] 增加到70平方米,
[00:08:28] 加强换气,
[00:08:30] 比如说一个肺炎患者,
[00:08:32] 一个肺不张患者,
[00:08:33] 气胸等等,
[00:08:34] 呼吸膜面积会减小,
[00:08:35] 另外就是肺衰重,
[00:08:36] 纤维化,
[00:08:37] 呼吸膜厚度会增加,
[00:08:40] 不管面积小了还是厚度大了,
[00:08:42] 都会妨碍换气效率,
[00:08:44] 这不难理解,
[00:08:45] 呼吸膜厚了不好交换呗,
[00:08:47] 这是物理因素,
[00:08:49] 分压差距节的温度,
[00:08:50] 还有解剖因素,
[00:08:51] 这些因素一般都不容易发生变化,
[00:08:54] 但是你注意第三个,
[00:08:55] 生理因素,
[00:08:57] 肺炮的通气和血液比值,
[00:08:59] 上节咱们还当学了个东西,
[00:09:01] 你还记得,
[00:09:01] 肺炮不小强,
[00:09:03] 气体心一呼进肺炮了,
[00:09:04] 结果没有血,
[00:09:06] 血把气体放了个鸽子,
[00:09:08] 等了一把,
[00:09:09] 哭了一走了,
[00:09:09] 没人给我交换,
[00:09:10] 讨厌,
[00:09:10] 他一走了,
[00:09:11] 就换不了,
[00:09:12] 所以要想完成换气,
[00:09:14] 肺炮里边气和血,
[00:09:16] 得有一个恰当的比例,
[00:09:18] 这个比例,
[00:09:19] 就叫著名的肺炮通气血液比值,
[00:09:22] 简称VAQ比值,
[00:09:23] 0.84,
[00:09:25] 咱们一期二期的学生在大四大五,
[00:09:27] 接触很多,
[00:09:28] 已经过了好几年,
[00:09:29] 再一问多少呀,
[00:09:29] 0.84老师,
[00:09:30] 回答非常准确,
[00:09:32] 说明这个学期学明白了,
[00:09:34] 大二咱们见一次,
[00:09:35] 再做很多同学,
[00:09:36] 咱们大四大五还要见面,
[00:09:38] 那会记着,
[00:09:38] 我要提问你,
[00:09:40] 呼吸生理学的怎么样,
[00:09:41] 先往下走,
[00:09:42] 那么气体要交换,
[00:09:43] 得有结构,
[00:09:44] 结构叫呼吸膜,
[00:09:46] 呼吸膜在生物上一般认为,
[00:09:47] 它有六层结构,
[00:09:48] 祖培学也学过,
[00:09:49] 有肺表面活性物质,
[00:09:51] 这个液体层,
[00:09:52] 就是那个表面张力,
[00:09:54] 混合着表面活性物质,
[00:09:56] 然后有肺炮的上皮细胞层,
[00:09:58] 上皮细胞肯定是有肌膜层,
[00:09:59] 肌体层,
[00:10:00] 肌体膜,
[00:10:01] 再往外走,
[00:10:01] 肺炮的上皮和毛血管内的间隙,
[00:10:04] 所谓的肌质层,
[00:10:06] 还有毛血管本身的肌膜,
[00:10:08] 和毛血管内皮细胞,
[00:10:09] 这样的话,
[00:10:10] 一共大概有六层,
[00:10:11] 实际上你要组合一学看,
[00:10:12] 比这个还多,
[00:10:13] 一把六层结构了,
[00:10:14] 咱们也就六层,
[00:10:16] 那么呼吸膜整个的厚度,
[00:10:18] 我们认为是也是测出来,
[00:10:20] 量出来,
[00:10:22] 另的六个微米,
[00:10:23] 有的部位是凉,
[00:10:25] 所以呼吸膜实际上也有厚有薄,
[00:10:28] 气体易于扩散,
[00:10:29] 因为膜很薄,
[00:10:31] 扩散没有压力,
[00:10:32] 那么气体的扩散速度,
[00:10:35] 与呼吸膜厚度成反比,
[00:10:36] 这本来呼吸膜厚度不好扩散呗,
[00:10:38] 膜越厚,
[00:10:39] 交换就越少,
[00:10:40] 而扩散速率与扩散面积成正比,
[00:10:44] 所以实际上扩散速率,
[00:10:45] 这样说的话,
[00:10:46] 能接受,
[00:10:47] 但我们更多的时候认为这个气体扩散速率,
[00:10:49] 更多时候气体本身的特性,
[00:10:52] 你刚才背过,
[00:10:53] 气体的溶解度和分子量的平方根,
[00:10:56] 你还记得,
[00:10:56] 它是这个,
[00:10:57] 但不管怎么样,
[00:10:58] 这个地方作为第一次接触生理学,
[00:11:00] 你要知道,
[00:11:01] 气体能进行交换的原因,
[00:11:04] 是我们肺里胃的基本结构,
[00:11:06] 叫呼吸膜,
[00:11:07] 足培胶,
[00:11:08] 气血屏障,
[00:11:08] 大概六层,
[00:11:09] 因为它都在积膜的,
[00:11:10] 还有中间一个间隙,
[00:11:11] 所以你好数,
[00:11:12] 能数出来,
[00:11:13] 我就不啰嗦了,
[00:11:14] 然后气体从肺袍穿过来之后,
[00:11:17] 先溶解到血浆中,
[00:11:19] 然后再带出扩散进入红细胞膜内,
[00:11:21] 再去结合和运输,
[00:11:23] 就下一节谈这个话题了,
[00:11:24] 看看怎么运输的,
[00:11:26] 这儿协谈,
[00:11:26] 换气,
[00:11:27] 换气就是,
[00:11:28] 这么从肺袍内部,
[00:11:29] 把氧气出来,
[00:11:31] 从血液中,
[00:11:32] 把二氧化碳,
[00:11:33] 再进来,
[00:11:34] 就这么一个过程,
[00:11:37] 气血比例,
[00:11:39] 通气血流比例,
[00:11:40] 刚才专门说胃口比值,
[00:11:41] 通气血流比值,
[00:11:42] 每分钟肺泡通气量,
[00:11:44] 不是肺啊,
[00:11:45] 是肺泡,
[00:11:45] 它们通气量和每分钟肺血流量,
[00:11:48] 4.2比5,
[00:11:49] 0.84,
[00:11:49] 刚才说过,
[00:11:50] 但是气清往上走,
[00:11:52] 血液往下降,
[00:11:53] 所以站立位的时候,
[00:11:54] 肺尖部,
[00:11:56] 这个胃口比值可以多达2.5,
[00:11:58] 我觉得那天我同学说,
[00:11:59] 可能高达3.30,
[00:12:01] 我印象中是2.2,
[00:12:02] 不管多少吧,
[00:12:02] 你知道,
[00:12:03] 肺尖部分的胃口比值大,
[00:12:06] 平均那点84,
[00:12:07] 肺尖在3左右,
[00:12:08] 肺底,
[00:12:09] 气少,
[00:12:10] 血多,
[00:12:11] 胃口比值小,
[00:12:12] 0.6,
[00:12:13] 0.64,
[00:12:14] 小,
[00:12:14] 0.84,
[00:12:15] 听过就好了,
[00:12:16] 知道,
[00:12:16] 直立位和平卧位,
[00:12:18] 所以上节专门讲了一个说,
[00:12:19] 平卧位的时候,
[00:12:20] 人啊,
[00:12:21] 肺泡无效强为0,
[00:12:23] 为什么,
[00:12:23] 就是这样写的,
[00:12:24] 我们认为平卧的时候,
[00:12:26] 肺脏不同部位,
[00:12:27] 胃口比值都是0.84,
[00:12:30] 但是站起来,
[00:12:30] 血往下化一贯,
[00:12:32] 肺尖部分只有气没有血,
[00:12:33] 胃口比值变大,
[00:12:35] 肺底部分有血就没有气,
[00:12:36] 胃口比值减小,
[00:12:37] 那么这个比值变了以后,
[00:12:39] 怎么了,
[00:12:39] 上一节讲过,
[00:12:40] 如果胃口比值大了,
[00:12:42] 气体进到肺泡之后没有血,
[00:12:44] 气体就浪费了,
[00:12:45] 所以叫肺泡无效强,
[00:12:46] 如果是肺底部分,
[00:12:49] 胃口比值小,
[00:12:50] 0.6,
[00:12:52] 有血无气,
[00:12:54] 这个血过来之后,
[00:12:55] 把气很快用完了,
[00:12:56] 再过来血的时候,
[00:12:57] 就没有新鲜空气可以用,
[00:12:59] 交换不了了,
[00:13:00] 所以从动脉端进来,
[00:13:02] 从这一端进来以后,
[00:13:03] 应该说经过换气变成动脉血,
[00:13:05] 左心发走了,
[00:13:06] 但是流过来之后,
[00:13:07] 流了一圈,
[00:13:07] 肺泡就没有新鲜空气,
[00:13:10] 交换不了静脉血,
[00:13:12] 还是静脉血,
[00:13:13] 胸怀血过了,
[00:13:14] 到了胃胸怀这就没有交换,
[00:13:16] 胃动脉进来,
[00:13:17] 胃静脉就走了,
[00:13:18] 空走一圈,
[00:13:19] 把这个我们叫做什么呀,
[00:13:21] 功能性的动脉短路,
[00:13:24] 是在肺脏里的一圈,
[00:13:25] 但没有气可以交换,
[00:13:27] 白跑一趟,
[00:13:28] 这个叫短路,
[00:13:30] 所以这一定要注意一下,
[00:13:32] 胃口比值大,
[00:13:33] 叫肺泡无效强,
[00:13:34] 胃口比值小,
[00:13:35] 叫功能性,
[00:13:37] 动脉短路,
[00:13:37] 我们要注意的是生理学上,
[00:13:40] 不管胃口比值过大,
[00:13:42] 或过小,
[00:13:43] 气血比例不大,
[00:13:44] 要么把气浪费了,
[00:13:45] 要么把血浪费了,
[00:13:46] 反正就会影响换气效率,
[00:13:49] 像这一节刚才一开始一样,
[00:13:51] 如果影响换气效率了,
[00:13:52] 因为二氧化碳的矿材系数大,
[00:13:54] 所以影响不影响不要紧,
[00:13:55] 但一影响,
[00:13:56] 仍总是发生鼻腰血症,
[00:13:58] 而不会发生二氧化碳的注流,
[00:14:01] 我一直觉得我们标准的,
[00:14:03] 大二的生理学学习呀,
[00:14:05] 同学们,
[00:14:05] 学到这一节你应该明白,
[00:14:07] 单纯换气障碍,
[00:14:09] 只会发生鼻腰,
[00:14:11] 就像第一节学完之后得明白,
[00:14:13] 哮喘别人不是不能吸,
[00:14:15] 而是不能呼,
[00:14:16] 这个内容到内科学开始用的,
[00:14:18] 但咱们得认真说,
[00:14:20] 标准的本科教学,
[00:14:21] 在这会儿,
[00:14:22] 就应该能学会,
[00:14:24] 而且以为你不忘,
[00:14:25] 大二学会和大五学会,
[00:14:27] 一个人的知识沉淀,
[00:14:28] 和家里的发展的高度,
[00:14:30] 是不一样的,
[00:14:31] 越早学会的,
[00:14:33] 沉淀越久,
[00:14:34] 将来用起来,
[00:14:34] 灵魂用起来,
[00:14:35] 越得心应手,
[00:14:37] 是这样,
[00:14:38] 所以医学是拿来用的,
[00:14:39] 不是拿来背的,
[00:14:41] 歇克的不管他了,
[00:14:43] 就像刚才说一样,
[00:14:44] 换气障碍之后,
[00:14:46] 仍然只发生鼻腰,
[00:14:47] 而不发生癌,
[00:14:48] 还在处理,
[00:14:49] 那么接下来还有一个词,
[00:14:50] 咱们打开评一下,
[00:14:51] 非得扩散容量,
[00:14:52] 气体在单位的分压差,
[00:14:55] 一个毫米股,
[00:14:56] 0.1333,
[00:14:57] 这个前排,
[00:14:58] 一个毫米股的作用一下,
[00:14:59] 每分钟通过呼吸膜,
[00:15:01] 扩散气体的毫升数,
[00:15:04] 所以这咱们听过,
[00:15:05] 扩散容量,
[00:15:06] 听过就完了,
[00:15:06] 就看看这气体,
[00:15:08] 扩散效率怎么样,
[00:15:09] 对了,
[00:15:10] 所以在第二阶内容比较简单,
[00:15:12] 和第一阶比内容比较单纯,
[00:15:14] 第二阶按照教材的内容,
[00:15:17] 应该还有一个词叫组织换气,
[00:15:19] 刚才说过了,
[00:15:20] 读一下就完了,
[00:15:21] 组织换气机制和影响因素与退换气相似,
[00:15:24] 不同的指示,
[00:15:24] 气体发生在液像,
[00:15:27] 得先从血液中,
[00:15:29] 血浆中,
[00:15:30] 穿过盲血管,
[00:15:31] 到组织液,
[00:15:32] 这个氧气,
[00:15:33] 组织液里边氧气,
[00:15:34] 再穿过组织细胞膜到细胞内,
[00:15:37] 所以是在液体中进行的,
[00:15:38] 而且扩散膜两边的氧气二氧化的风压,
[00:15:42] 这个风压差值,
[00:15:43] 随着细胞内部氧化代谢的强度,
[00:15:46] 和组织血液量而不同,
[00:15:48] 而一,
[00:15:49] 设想组织细胞代谢越往上,
[00:15:52] 细胞内部的氧风压越低,
[00:15:53] 二氧化的风压越高,
[00:15:54] 那么交换起来就越容易,
[00:15:56] 反过来,
[00:15:57] 如果组织细胞就没有代谢,
[00:15:58] 你气体运输过来以后,
[00:15:59] 细胞内外没有气体风压差,
[00:16:02] 你想我就不干活,
[00:16:03] 我就不好氧,
[00:16:04] 你给我我也不要,
[00:16:05] 所以有没有可能者听一句话,
[00:16:08] 将来血液在微雄化运输通路,
[00:16:11] 能不能把氧气给组织细胞使用,
[00:16:13] 不是血液受到损,
[00:16:15] 谁受到损,
[00:16:16] 是组织细胞,
[00:16:17] 为什么?
[00:16:17] 组织细胞代谢越往上,
[00:16:19] 细胞内部的氧风压越低,
[00:16:21] 那么就产生细胞内外两侧的氧气风压差值,
[00:16:26] 能决定风压差值的不是血液,
[00:16:28] 血液它就是结合氧气送过来,
[00:16:30] 而是谁?
[00:16:31] 组织细胞,
[00:16:32] 组织细胞多干活,
[00:16:33] 多吃饭,
[00:16:34] 少干活,
[00:16:35] 少吃饭,
[00:16:36] 不干活,
[00:16:37] 不吃饭,
[00:16:37] 不干活氧风压就不低,
[00:16:39] 那么细胞内外没有氧气的风压差,
[00:16:41] 它就扩散不了,
[00:16:44] 风压差大小,
[00:16:46] 将来吃的多吃的少,
[00:16:47] 谁决定的?
[00:16:48] 答案是组织细胞,
[00:16:50] 而不是血液,
[00:16:52] 嗯,
[00:16:52] 差不多第二节肺患切,
[00:16:55] 就这么多东西了,
[00:16:56] 嗯,
[00:16:57] 接下来咱们拿一个专门时间,
[00:16:59] 来学习呼吸力量的第三,
[00:17:01] 第三节,
[00:17:01] 气体运输,
[00:17:02] 第三节的内容就比较多,
[00:17:04] 相对也比较难,
[00:17:06] 包括氧离曲线呀,
[00:17:07] 二氧化碳结粒曲线呀,
[00:17:09] 有很多很细,
[00:17:10] 有很难的知识,
[00:17:11] 所以第二节差不多背着几个概念,
[00:17:13] 扩散细说呀,
[00:17:15] 是吧,
[00:17:15] 这个肺跑通气学的比值,
[00:17:18] 微扣比值呀,
[00:17:19] 换气的障碍呀,
[00:17:20] 就几个名字,
[00:17:21] 单纯扩散呀,
[00:17:22] 但第三节和第一节不是,
[00:17:24] 第三节内容很多,
[00:17:26] 所以接下来咱们专门来学习这个第三节,
[00:17:29] 气体在血液中的运输,
[00:17:31] 包括氧气和二氧化碳,
[00:17:34] 两部分。
