# 源音频：P02-生理学本科教学及考研基础课 p02 细胞1.m4a
# 时长：6441s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,咱们接下来看生理学的本科教学这一块的内容,第二章,细胞的基本功能。
[00:03:48] 就是不断的丰富我们
[00:03:50] 生理学知识的一个过程
[00:03:52] 所以我直播课
[00:03:54] 还有个同学们开玩笑
[00:03:55] 就像观视频
[00:03:56] 这个于大刀老师
[00:03:57] 我喜欢叫于大刀
[00:03:58] 大刀老师还一直每一次节目
[00:04:01] 就说大力发展我们的工业文化
[00:04:03] 于老师喜欢有这么个口号
[00:04:05] 所以今天我还想给我的学生们提个口号
[00:04:08] 大力发展我们的生理文化
[00:04:11] 就不管他了
[00:04:12] 这张内容呀
[00:04:13] 有谈四个话
[00:04:15] 细胞这张第一节
[00:04:17] 咱们谈了一个细胞膜的结构
[00:04:19] 和物质黄膜转运
[00:04:21] 实际上细胞膜结构是一个老的话题
[00:04:23] 组织培兰学就开始学它了
[00:04:25] 甚至包括这个细胞生物学
[00:04:27] 就要学这样的基本内容
[00:04:29] 但是物质黄膜转运这么一个话题
[00:04:31] 在不同学科也在阐述
[00:04:33] 生理学阐述物质转运的时候
[00:04:35] 显然它的角度不太一样
[00:04:37] 在大二时候还没体会
[00:04:39] 一般往后学
[00:04:40] 这本书学的越多
[00:04:42] 你越发现第一节是有东西的
[00:04:43] 第二节叫做
[00:04:45] 跨模的信号转导
[00:04:46] 这个学期我们在大二的时候
[00:04:48] 是同时开始两门主科
[00:04:50] 一门叫生理physiology
[00:04:52] 一门叫生物化学by chemistry
[00:04:54] 所以实际上在生物化学里头
[00:04:56] 信号转导也是一个大的话题
[00:04:58] 生理学也有
[00:04:59] 它跟产生的角度不太一样
[00:05:01] 第三节细胞的生物链
[00:05:04] 这是咱们生理学独有的
[00:05:06] 实际上你慢慢发现在医学的不同学科中
[00:05:09] 也只有生理学这门科专门阐述
[00:05:11] 电的现象
[00:05:12] 这个电的现象在医学上非常实惠
[00:05:15] 它是个实用的知识
[00:05:17] 所以现在你就是学一下生物链
[00:05:19] 你慢慢到心血管内科会发现
[00:05:21] 心血管内科一大堆疾病
[00:05:23] 咱们使用电的手段来解决的
[00:05:25] 比方说心理市场
[00:05:26] 给它同步电辅助
[00:05:28] 给它电出颤
[00:05:30] 给它装气波器等等
[00:05:32] 它有很多
[00:05:33] 特别是近十年左右
[00:05:35] 心电生理在临床医学的发展
[00:05:38] 非常迅速
[00:05:40] 这也是很多医学生
[00:05:41] 通过学习生理学
[00:05:43] 或者通过学习诊断学
[00:05:44] 爱上电活动
[00:05:45] 应该叫一个契机
[00:05:48] 或者切入电
[00:05:49] 有好多同学慢慢因为喜欢生物电
[00:05:51] 一直热爱心血管内科这样一个学科
[00:05:54] 这个内科我也一直讲
[00:05:56] 慢慢慢慢你读到内外科
[00:05:58] 你会发现心血管内科
[00:05:59] 对于基础理论的需要
[00:06:01] 和对于临床实际操作的
[00:06:04] 这种手法技术
[00:06:06] 对吧
[00:06:06] 对一个全方面的信息的把握
[00:06:09] 应该是对一个医生的素养要求
[00:06:13] 从目前我们人生的范围内
[00:06:15] 来说
[00:06:15] 来看一个心电医生
[00:06:17] 他的医学素养要求是最高的
[00:06:20] 最好的同学喜欢挑战自我
[00:06:22] 说老师我要搞心理科
[00:06:23] 我的学生中在全国可大医院
[00:06:26] 什么北京协和
[00:06:28] 福外
[00:06:28] 安征
[00:06:29] 301
[00:06:30] 北一人民三院
[00:06:32] 包括上海二军大
[00:06:33] 广州中山
[00:06:34] 四军大
[00:06:35] 西京唐东
[00:06:37] 他们学生很多
[00:06:38] 大家也是搞得非常高兴
[00:06:41] 就是工作很累
[00:06:42] 但是干得很有成就感
[00:06:44] 慢慢的
[00:06:45] 在大二的时候
[00:06:46] 一道故事听
[00:06:47] 你在网上学发现生物链是生理学独特的一个内容
[00:06:51] 又是临床非常实用的知识
[00:06:54] 先不管他放着第四节
[00:06:56] 咱们要专门学一下机器把收缩
[00:06:58] 你慢慢慢慢的下学期再学别的学科学药理学病理解剖学病理生理越学越发现机器把收缩也是有很多信息的
[00:07:08] 要不今年给我最深刻的感受就是我在我的地板上同时开始讲大二的生理学基础课
[00:07:15] 考研的生理基础课
[00:07:17] 考研的生理强化课
[00:07:18] 乃至内外科的基础和强化课的时候
[00:07:21] 这种感受越来越深刻
[00:07:23] 还是那句话不断的通过学习丰富我们的生理学知识
[00:07:28] 大力发展我们的生理文化
[00:07:30] 咱们静下来先看第一节细胞膜的结构和物质夸膜转运
[00:07:37] 在咱们的教材上一般是以红细胞为例
[00:07:41] 人体的细胞是有真核细胞
[00:07:43] 对了
[00:07:43] 这样的
[00:07:44] 那么这么一个红细胞的一个经典的真核细胞是什么呢
[00:07:46] 真核细胞
[00:07:47] 它的细胞膜什么样的一个构成
[00:07:50] 这在教材上非常明确
[00:07:52] 它三大块内容构成的
[00:07:54] 一块是脂质
[00:07:55] 脂类物质
[00:07:56] 一块是保养
[00:07:57] 是蛋白质
[00:07:59] 还有一块糖
[00:08:00] 糖这个你现在已经开学了
[00:08:02] 同学们或多或少学了一点
[00:08:04] 你这个地方应该提前提出来
[00:08:06] 听一下
[00:08:07] 糖这个东西在细胞膜还存在的时候
[00:08:11] 不会单独存在
[00:08:12] 它要么是和一个脂类物质结合
[00:08:15] 一个化合物
[00:08:16] 糖质或者一个糖蛋白
[00:08:18] 糖总是以糖质
[00:08:20] 或糖蛋白的形式在细胞膜存在的
[00:08:23] 而且你知道细胞膜
[00:08:24] 它两个面
[00:08:25] 一个面是外面的组织液
[00:08:27] 所谓的第一张像
[00:08:29] 内环境细胞外液
[00:08:30] 一块它是包裹着细胞内部的抛浆的
[00:08:34] 所以它两个面
[00:08:35] 糖类物质糖质也好糖蛋白也好
[00:08:38] 教材专门强调
[00:08:39] 一般都长在细胞膜的外表面
[00:08:42] 为什么
[00:08:43] 你慢慢往后学别的学科就发现
[00:08:45] 糖糖料糖质糖蛋白
[00:08:48] 在细胞膜上
[00:08:49] 一般是作为这个细胞的标志存在的
[00:08:53] 就像一个发型一样
[00:08:54] 我们把它染一个漂染一个是吧
[00:08:56] 彩色的头发
[00:08:57] 弄个小发型
[00:08:59] 弄个什么
[00:08:59] 这个这这这这说
[00:09:00] 墨西干发型啊
[00:09:02] 东街留意到
[00:09:03] 那意思就是
[00:09:04] 还有人把后脑干出国庆时候
[00:09:05] 把后脑上贴出一个天安门来
[00:09:07] 我爱北京天安门
[00:09:08] 这个也有
[00:09:09] 而这个发型
[00:09:10] 发型是给别人
[00:09:11] 花了一千多块钱里边个发
[00:09:13] 你再带个帽子给藏住
[00:09:15] 你那边吃吧
[00:09:15] 成的
[00:09:16] 所以提前就被想
[00:09:17] 糖在膜上一般
[00:09:19] 都只像膜的外表面
[00:09:21] 作为细胞膜标志
[00:09:22] 一个抗原形式存在
[00:09:24] 蛋白质有两种不同存在形式
[00:09:26] 一会咱们再看
[00:09:27] 另外基本的构架是纸质
[00:09:29] 整个一红细胞胃里
[00:09:32] 积聚的其他细胞膜也是这样
[00:09:33] 整个这个构成
[00:09:35] 它是个什么样的理化性质
[00:09:37] 所以在1972年的时候
[00:09:39] Singer和Miggelson
[00:09:40] 提出一个所谓的液态相切模型
[00:09:43] 别的学科也讲过
[00:09:45] 膜
[00:09:45] 是具有一定的变形性
[00:09:48] 可流动性的
[00:09:50] 相切什么
[00:09:50] 相切一些蛋白质
[00:09:51] 它这样的
[00:09:53] 你想这张示意图
[00:09:55] 就是一个经典的生理学
[00:09:57] 双层细胞这个质膜的一个示意图
[00:10:00] 所以我们学这张内容的时候
[00:10:01] 还有专业术语
[00:10:02] 我们喜欢把细胞外面这一层膜
[00:10:05] 叫质膜
[00:10:06] 物质的质
[00:10:07] 因为细胞内部还有很多细胞器
[00:10:10] 还有细胞核
[00:10:11] 高级复合体
[00:10:12] 从免环面内质网
[00:10:13] 线粒体这些东西
[00:10:15] 就叫
[00:10:16] 细胞器膜
[00:10:17] 外面这个叫质膜
[00:10:19] 这个质膜像这个示意图描述的一样
[00:10:21] 经典的双层磷质结构
[00:10:24] 上面就像感冒胶囊
[00:10:25] 相切很多蛋白质
[00:10:26] 你看这些蛋白质上面还长了一个小尾巴
[00:10:28] 这是咱们刚才说的糖量
[00:10:30] 你看糖量
[00:10:31] 在画示意图的时候
[00:10:32] 都朝向细胞膜的外表面
[00:10:35] 这里边是site plasma
[00:10:37] 这是泡浆
[00:10:38] 这是内表面
[00:10:40] 所以外表面内表面
[00:10:42] 而且很有意思
[00:10:43] 你一看示意图发现
[00:10:44] 这个细胞膜基本构架
[00:10:46] 是说
[00:10:46] 双层磷质结构构成的
[00:10:48] 都是双层的
[00:10:49] 为什么双层
[00:10:51] 所以这个地方比较简单
[00:10:52] 你一听可发现
[00:10:53] 教材给你阐述
[00:10:54] 磷质是一个双石粉子
[00:10:56] 像示意图画的
[00:10:57] 像一个棒棒糖一样
[00:10:59] 一头呀
[00:10:59] 它清水
[00:11:00] 这个球布的
[00:11:02] 示意图画的
[00:11:03] 像球球一样
[00:11:03] 球布
[00:11:04] 清水集团
[00:11:05] 一头是疏水集团
[00:11:07] 也就是清脂集团
[00:11:08] 为什么必须得双层
[00:11:10] 你终于发现了
[00:11:11] 因为不管是细胞外面的组织液
[00:11:14] 还是细胞里面的泡浆
[00:11:16] 水溶液
[00:11:17] 所以水溶液
[00:11:18] 你必须清脂的这个集团
[00:11:20] 和它能够去结合在一起
[00:11:22] 水乳不交融
[00:11:24] 所以疏水集团
[00:11:25] 没法和液体去接触
[00:11:27] 和水溶液
[00:11:28] 它没法接触
[00:11:29] 这样的话
[00:11:29] 我要想让膜和这个泡浆
[00:11:32] 也好组织也好
[00:11:33] 很好地去和平共处
[00:11:35] 去融洽
[00:11:36] 那必须得让细胞膜有两层
[00:11:38] 不管朝南还是朝内
[00:11:40] 都得清水
[00:11:42] 这样逼着没办法
[00:11:44] 细胞膜必须双层结构
[00:11:45] 把这波
[00:11:46] 水溶液
[00:11:46] 你说学完之后
[00:11:47] 在消化上你学
[00:11:49] 你会发现磷脂分子
[00:11:50] 在体内是有单层结构的
[00:11:52] 这个地方到消化系统你注意
[00:11:55] 胆盐也是磷脂分子
[00:11:57] 胆盐这个分子
[00:11:58] 在消化系统中
[00:12:00] 有一个结构
[00:12:00] 叫微胶粒
[00:12:01] 它就是单层的
[00:12:03] 它为什么单层呢
[00:12:05] 它实际上学到消化
[00:12:06] 你会看到
[00:12:06] 这个胆盐的微胶粒
[00:12:09] 这个单层结构
[00:12:10] 是包裹在咱们的
[00:12:12] 消化产物
[00:12:13] 脂肪
[00:12:14] 一个脂底表面的
[00:12:16] 所以这是一块
[00:12:17] 的
[00:12:17] 脂肪
[00:12:17] 它本身是脂类的
[00:12:19] 这样磷脂分子
[00:12:19] 想法上包的时候怎么包
[00:12:21] 清水就差到脂肪表面
[00:12:23] 漏到外面的是清水基团
[00:12:25] 所以你慢慢体会这样一个东西
[00:12:28] 胆盐的微胶粒
[00:12:29] 胆盐
[00:12:30] 它的微胶粒
[00:12:32] 就是给一团脂肪
[00:12:33] 穿一层水溶性的衣服
[00:12:36] 没有这个微胶粒的话
[00:12:38] 脂肪没法穿过水
[00:12:40] 这个内容在消化系统非常重要
[00:12:42] 到后面再说
[00:12:43] 这咱们先说一般正常细胞膜
[00:12:45] 膜的结构
[00:12:46] 是在消化系统中
[00:12:47] 都双层结构
[00:12:48] 而且同学读书比较细
[00:12:50] 你打开教材读的话
[00:12:51] 这个磷脂分子
[00:12:53] 在细胞膜构成的时候
[00:12:55] 也不是一种
[00:12:56] 很多很多种类型
[00:12:58] 比如说磷脂腺单解
[00:12:59] 磷脂腺乙醇胺
[00:13:01] 磷脂腺酸酸
[00:13:03] 磷脂腺甘油
[00:13:04] 等等等等有很多
[00:13:05] 另外外表面内表面
[00:13:08] 两层磷脂分子
[00:13:09] 实际上构架不完全一样
[00:13:11] 你比如说
[00:13:12] 这个磷脂腺乙醇胺
[00:13:14] 这些磷脂腺基醇
[00:13:16] 它们就
[00:13:17] 更多长在细胞膜的内表面
[00:13:19] 所以你觉得第二阶性好
[00:13:21] 不然早就发现
[00:13:22] 这磷脂腺基醇将来
[00:13:23] 会形成一类变性式
[00:13:25] 三氧酸基醇
[00:13:27] 二氧钢油
[00:13:28] 就是细胞膜内表面
[00:13:29] 一些磷脂腺基醇
[00:13:30] 它来参与这些
[00:13:32] 这个应该叫
[00:13:33] 生化合成
[00:13:35] 降解一些代谢反应的
[00:13:37] 所以膜上的磷脂分子本身
[00:13:39] 它还有功能
[00:13:40] 这样一个东西
[00:13:42] 这个通过读教材
[00:13:44] 稍微丰富一下
[00:13:45] 磷脂可不是磷脂
[00:13:47] 磷脂包括
[00:13:47] 磷脂氦基
[00:13:48] 磷脂氦益醇
[00:13:49] 磷脂氦酸
[00:13:50] 磷脂氦钢油
[00:13:51] 等等等等
[00:13:52] 都弄成分
[00:13:52] 但总之
[00:13:53] 它都是一类之类的
[00:13:55] 这个样子
[00:13:57] 相切这个蛋白质
[00:13:57] 像感冒胶脑一样
[00:13:58] 贯穿着细胞膜的
[00:14:00] 这个全层
[00:14:01] 这个你已经读过书了
[00:14:03] 放心
[00:14:04] 贯穿全层这样的一个蛋白质
[00:14:06] 我们叫做整合蛋白
[00:14:09] 排泄蛋白质
[00:14:09] 相切在膜的表面
[00:14:11] 贴附在表面上
[00:14:13] 就叫表面蛋白
[00:14:14] 这样的
[00:14:15] 一会儿再往下看
[00:14:16] 这个是一图
[00:14:19] 就是描述了一下
[00:14:20] 膜的相切蛋白质
[00:14:22] 和双层磷脂结构关系
[00:14:24] 就很清楚了
[00:14:24] 你发现
[00:14:25] 这个叫表面蛋白
[00:14:26] 吸附在膜的内表面
[00:14:28] 所以教材这会给个说法
[00:14:30] 说细胞膜上蛋白质
[00:14:32] 80%的都是整合蛋白
[00:14:34] 20%是表面蛋白
[00:14:36] 表面蛋白
[00:14:37] 大多数存在于细胞膜的内表面
[00:14:39] 整合蛋白就不用问了
[00:14:41] 观察细胞膜的全部厚度
[00:14:43] 双层磷脂结构
[00:14:44] 一个磷脂分子
[00:14:45] 大概长度是三个纳米
[00:14:47] 所以两层一般是六个纳米的厚度
[00:14:48] 六个纳米
[00:14:49] 六个纳米厚度上
[00:14:50] 有个蛋白质
[00:14:50] 你知道生物化学院在学习
[00:14:52] 第一节就要先学蛋白质结构了
[00:14:55] 一级结构
[00:14:56] 你算台量
[00:14:57] 这个台量呀
[00:14:58] 就穿过细胞膜
[00:14:59] 从外面穿到里边
[00:15:00] 里边穿到
[00:15:01] 穿来穿去的
[00:15:02] 而且你学完这一节发现
[00:15:03] 经常蛋白质在膜上
[00:15:05] 不是只穿过膜一次
[00:15:07] 所以学到这里边
[00:15:09] 有点小知识
[00:15:10] 体会一下
[00:15:10] 这个膜双层磷脂结构
[00:15:12] 你想画在这半块糖
[00:15:14] 这个小球球是清水的
[00:15:16] 主要是搞什么
[00:15:17] 输水是清脂的
[00:15:19] 输水是清脂的
[00:15:19] 那么在这个时候麻烦
[00:15:20] 为什么试一头画的时候
[00:15:22] 这个外表面
[00:15:23] 内表面画的这个台量呀
[00:15:25] 是黄色
[00:15:26] 中间这个画的就是蓝色的
[00:15:29] 他想说什么
[00:15:30] 他想说
[00:15:30] 你就算台量
[00:15:32] 如果想穿过细胞膜的话
[00:15:34] 你必须保证蓝色这一段
[00:15:35] 是输水的
[00:15:38] 因为磷脂分子
[00:15:40] 膜内部这一段
[00:15:42] 输水集团
[00:15:44] 它输水
[00:15:45] 所以你如果台量
[00:15:46] 如果是清水的话
[00:15:47] 你穿不进来
[00:15:49] 所以这个蛋白质非常有意思
[00:15:50] 你发现了
[00:15:51] 泡在浸泡在细胞外面的组织液
[00:15:55] 希望你不抛缰中的台量
[00:15:57] 就是清水的
[00:15:58] 台量
[00:15:59] 就像台量
[00:16:00] 但是在膜的里边贯穿的
[00:16:04] 穿过膜的
[00:16:05] 藏在膜里的这一段
[00:16:06] 就必须输水这一段
[00:16:08] 要不你穿不进来
[00:16:09] 所以这样生化学家非常聪明
[00:16:11] 他在实验室中
[00:16:13] 重新组成一个蛋白质
[00:16:14] 重组一个蛋白质的时候
[00:16:15] 最早在实验室重组出来
[00:16:17] 是一个基本的一级结构
[00:16:19] 安全台量
[00:16:20] 所以你需要
[00:16:21] 学生化这一个词
[00:16:22] 叫复兴
[00:16:22] 你在实验室中
[00:16:24] 你把丝氨酸
[00:16:25] 素氨酸
[00:16:26] 什么鲜氨酸
[00:16:27] 白光氨酸
[00:16:27] 光氨酸
[00:16:28] 鸟氨酸
[00:16:28] 你把这些东西
[00:16:29] 串成一串以后
[00:16:30] 这个台量
[00:16:31] 并没有生物学火性
[00:16:33] 你必须让这个台量
[00:16:34] 重新恢复成生理性化下
[00:16:36] 那么一个
[00:16:37] 二级三级四级结构
[00:16:38] 有空间构像的时候
[00:16:40] 蛋白质才有火性
[00:16:42] 所以你拿个鸡蛋煮熟以后
[00:16:45] 就没法付出小劲了
[00:16:46] 蛋白质变新了
[00:16:48] 因此生化学一个词
[00:16:49] 叫复兴
[00:16:50] 先把它重组出一个台量
[00:16:52] 然后重新恢复它的火性
[00:16:54] 这样就恢复它的什么呀
[00:16:55] 空间构像
[00:16:56] 蛋白质的空间构像
[00:16:58] 很意思
[00:16:58] 在膜上
[00:16:59] 你在第二阶就学到一个词
[00:17:01] 叫七次划膜
[00:17:03] 实际上你在第一阶
[00:17:04] 学到哪通道呀
[00:17:06] 这样的东西
[00:17:06] 还能学到四次划膜
[00:17:08] 它一个蛋白质在膜上
[00:17:10] 贯穿几次
[00:17:11] 我怎么能知道
[00:17:12] 我在实验室
[00:17:14] 重组一个台量的时候
[00:17:15] 我数一下这个台量上
[00:17:17] 有几段数水片段
[00:17:19] 一般这个长度
[00:17:20] 大概22到28个阿基萨长度
[00:17:22] 这么一个长度的话
[00:17:23] 就是藏在细胞膜内的
[00:17:26] 那一小部分
[00:17:26] 就是咱们实际图上
[00:17:27] 蓝色这一小片
[00:17:29] 所以说要不就想
[00:17:31] 这个生理学呀
[00:17:32] 为什么说
[00:17:32] 不断发展我们的
[00:17:34] 大力发展我们的生理文化
[00:17:36] 就是你这一块
[00:17:37] 只是被双次粒子结构
[00:17:38] 就翻过去了
[00:17:39] 也得镶嵌
[00:17:40] 还是说
[00:17:40] 你能搞一个
[00:17:41] 零质分子
[00:17:42] 分布的类型不一样
[00:17:44] 有人在外表面
[00:17:45] 有人内表面
[00:17:46] 而且蛋白质在镶嵌的时候
[00:17:48] 镶嵌在膜内的
[00:17:49] 那一段是数水片段
[00:17:50] 有几个数水片段
[00:17:52] 生命蛋白质
[00:17:52] 管它细胞膜几次
[00:17:54] 这样的话题
[00:17:55] 越往下躲
[00:17:56] 越嚼
[00:17:57] 它越有味儿
[00:17:59] 所以这个医学
[00:18:00] 其实所有学习都是一样
[00:18:02] 它不是一蹴而就的
[00:18:03] 这蛮可爱的
[00:18:04] 你需要走到地方
[00:18:05] 晚上上仔细
[00:18:06] 没事干
[00:18:07] 翻开书
[00:18:07] 听听课
[00:18:08] 翻翻书
[00:18:09] 来回去琢磨它
[00:18:11] 去消化
[00:18:12] 吸收它
[00:18:13] 把这些内容
[00:18:14] 变成我自己
[00:18:15] 日常学习工作的
[00:18:17] 我的知识构架的
[00:18:18] 一部分
[00:18:19] 所谓的把书吃扣
[00:18:21] 就学好了
[00:18:23] 有同学就
[00:18:23] 就说老师我背下来就得了
[00:18:25] 不是这么回事
[00:18:26] 背下来未必能用上
[00:18:28] 但你要没背下来
[00:18:29] 你就更不可能了
[00:18:30] 所以我老开个玩笑说
[00:18:32] 背书死定了
[00:18:33] 不背书死定了
[00:18:35] 你死背书不行
[00:18:36] 背完给用
[00:18:36] 才叫学会
[00:18:38] 这是两种不同蛋白质
[00:18:40] 表面蛋白
[00:18:41] 整合蛋白
[00:18:42] 这个样子
[00:18:43] 就像刚才阐述过
[00:18:47] 摸上这个摸
[00:18:49] 纸质
[00:18:49] 纸质里边有灵质
[00:18:51] 另外还有一种
[00:18:51] 带过唇
[00:18:52] 还少了翘指
[00:18:54] 所以作为一个双十分子
[00:18:56] 还没有吧
[00:18:57] 刚才都讲过了
[00:18:58] 灵质的比例最大
[00:18:59] 在细胞膜的纸类物质里边
[00:19:01] 灵质一般大的70%
[00:19:03] 带过唇一般不足30%
[00:19:06] 所以咱们慢慢的
[00:19:07] 还没有认真的学习生理生化
[00:19:09] 乃至于临床学科之前
[00:19:11] 你们家里大人经常做体检
[00:19:13] 医术查
[00:19:13] 血脂高
[00:19:14] 带过唇高
[00:19:15] 啊
[00:19:15] 得吃他丁
[00:19:17] 阿夫他丁
[00:19:18] 只能把自己下成了带过唇
[00:19:20] 慢慢学习发现带过唇呀
[00:19:22] 是我们的生物化学和生理学会强调
[00:19:25] 是人体基本的一种分子构成
[00:19:27] 离开带过唇你活不了
[00:19:29] 我们很多质类激素
[00:19:31] 就是这样合成的
[00:19:33] 离不开带过唇
[00:19:34] 所以带过唇太多不好
[00:19:36] 太少也不行
[00:19:38] 甚至这么多年给我的印象呀
[00:19:41] 在临床学家这块看过去
[00:19:44] 我们有的纸质
[00:19:45] 学质偏高10%
[00:19:48] 按照国家目前的检测指标看
[00:19:50] 学质偏高10%
[00:19:52] 的几乎是
[00:19:52] 反而比低10%的
[00:19:55] 他的健康的安全性更大一点
[00:19:58] 所以看起来这个学质呀
[00:20:00] 并不是越低越
[00:20:01] 当然不能太高
[00:20:02] 太高学业年宠
[00:20:03] 高职学生是不行的
[00:20:05] 但是我们不强调学质必须要低
[00:20:08] 我们一直担心我们设置的
[00:20:12] 生化的学质指标是不是偏低了
[00:20:14] 所以这里面大概有更深次的文化
[00:20:17] 或者其他一些背景
[00:20:18] 这个地方不太好讲
[00:20:19] 因为大儿小朋友年龄小不太容易理解
[00:20:22] 你比如咱们随便说
[00:20:23] 十讲会
[00:20:24] 你看就听不懂
[00:20:25] 公级会
[00:20:25] 所以你慢慢慢慢有一天读硕士读博士
[00:20:29] 是吧
[00:20:29] 做到学部委员
[00:20:30] 做到院士
[00:20:31] 做到大级别教授
[00:20:32] 就是你能够一眼看到整个人类的文化构架的时候
[00:20:36] 好多指标你反回来看
[00:20:38] 还是非常interesting的
[00:20:41] 嗯
[00:20:41] 当老师的在大二呀
[00:20:43] 不太方便给同学们讲太多
[00:20:45] 不是卖龙风骚
[00:20:46] 你好好学习积累
[00:20:47] 我一直觉得学习呀
[00:20:49] 是给我的灵魂按个加
[00:20:51] 到任何时候我说起来
[00:20:53] 我是学医的
[00:20:54] 谈医学知识
[00:20:55] 我非常专业
[00:20:56] 非常自信
[00:20:57] self evidence
[00:20:59] 嗯
[00:21:00] confidence
[00:21:00] self esteem
[00:21:02] 我很自信
[00:21:02] 我是学医的
[00:21:05] 这样有这样一个机识
[00:21:06] 从医学这个角度出发
[00:21:08] 再去看待人类其他类型的文化的时候
[00:21:11] 我就能够比较准确的把握
[00:21:13] 而不是道听途说
[00:21:15] 人云亦云
[00:21:16] 所以一个人在大学学好专业课
[00:21:19] 是未来能走多远的一个机识
[00:21:22] 这个我相信你慢慢就懂了
[00:21:24] 一个连学习都抓不好的别的事情也费劲
[00:21:28] 你至少应该具有一定的自律的能力
[00:21:31] 愿意坐下来读书
[00:21:33] 愿意接受其他一些现成的知识
[00:21:37] 你光自己
[00:21:38] 先不管他了
[00:21:39] 党国传刚才我讲的多了点
[00:21:41] 听一下
